year,agency_code,target,pct_met,target_met,target_assign
2018,010347,Total Targets,15.4,2,13
2018,010347,EL Progress,100.0,1,1
2018,010347,Math Grades 3-8,16.7,1,6
2018,010347,Reading Grades 3-8,0.0,0,6
2018,010348,Total Targets,18.8,3,16
2018,010348,4 Year Graduation Rate,0.0,0,6
2018,010348,EL Progress,0.0,0,1
2018,010348,Math Grade 11,50.0,2,4
2018,010348,Reading Grade 10,20.0,1,5
2018,010350,Total Targets,64.7,11,17
2018,010350,EL Progress,100.0,1,1
2018,010350,Math Grades 3-8,62.5,5,8
2018,010350,Reading Grades 3-8,62.5,5,8
2018,010351,Total Targets,60.0,9,15
2018,010351,EL Progress,100.0,1,1
2018,010351,Math Grades 3-8,57.1,4,7
2018,010351,Reading Grades 3-8,57.1,4,7
2018,010353,Total Targets,78.6,11,14
2018,010353,Math Grades 3-8,100.0,7,7
2018,010353,Reading Grades 3-8,57.1,4,7
2018,010354,Total Targets,40.0,6,15
2018,010354,EL Progress,100.0,1,1
2018,010354,Math Grades 3-8,28.6,2,7
2018,010354,Reading Grades 3-8,42.9,3,7
2018,010357,Total Targets,69.2,9,13
2018,010357,EL Progress,100.0,1,1
2018,010357,Math Grades 3-8,66.7,4,6
2018,010357,Reading Grades 3-8,66.7,4,6
2018,010358,Total Targets,18.2,2,11
2018,010358,EL Progress,100.0,1,1
2018,010358,Math Grades 3-8,0.0,0,5
2018,010358,Reading Grades 3-8,20.0,1,5
2018,010360,Total Targets,46.2,6,13
2018,010360,4 Year Graduation Rate,0.0,0,4
2018,010360,EL Progress,100.0,1,1
2018,010360,Math Grade 11,100.0,4,4
2018,010360,Reading Grade 10,25.0,1,4
2018,010362,Total Targets,60.0,6,10
2018,010362,Math Grades 3-8,80.0,4,5
2018,010362,Reading Grades 3-8,40.0,2,5
2018,010364,Total Targets,18.2,2,11
2018,010364,EL Progress,100.0,1,1
2018,010364,Math Grades 3-8,20.0,1,5
2018,010364,Reading Grades 3-8,0.0,0,5
2018,010372,Total Targets,25.0,2,8
2018,010372,Math Grades 3-8,25.0,1,4
2018,010372,Reading Grades 3-8,25.0,1,4
2018,010374,Total Targets,23.1,3,13
2018,010374,EL Progress,100.0,1,1
2018,010374,Math Grades 3-8,16.7,1,6
2018,010374,Reading Grades 3-8,16.7,1,6
2018,010378,Total Targets,0.0,0,4
2018,010378,Math Grades 3-8,0.0,0,2
2018,010378,Reading Grades 3-8,0.0,0,2
2018,010380,Total Targets,13.3,2,15
2018,010380,EL Progress,100.0,1,1
2018,010380,Math Grades 3-8,0.0,0,7
2018,010380,Reading Grades 3-8,14.3,1,7
2018,010384,Total Targets,58.3,7,12
2018,010384,Math Grades 3-8,50.0,3,6
2018,010384,Reading Grades 3-8,66.7,4,6
2018,010388,Total Targets,35.7,5,14
2018,010388,4 Year Graduation Rate,20.0,1,5
2018,010388,Math Grade 11,75.0,3,4
2018,010388,Reading Grade 10,20.0,1,5
2018,010390,Total Targets,60.0,6,10
2018,010390,Math Grades 3-8,40.0,2,5
2018,010390,Reading Grades 3-8,80.0,4,5
2018,010392,Total Targets,0.0,0,6
2018,010392,Math Grades 3-8,0.0,0,3
2018,010392,Reading Grades 3-8,0.0,0,3
2018,010394,Total Targets,35.3,6,17
2018,010394,EL Progress,0.0,0,1
2018,010394,Math Grades 3-8,12.5,1,8
2018,010394,Reading Grades 3-8,62.5,5,8
2018,010396,Total Targets,25.0,4,16
2018,010396,4 Year Graduation Rate,0.0,0,5
2018,010396,EL Progress,100.0,1,1
2018,010396,Math Grade 11,0.0,0,5
2018,010396,Reading Grade 10,60.0,3,5
2018,010400,Total Targets,84.6,11,13
2018,010400,4 Year Graduation Rate,100.0,5,5
2018,010400,Math Grade 11,100.0,3,3
2018,010400,Reading Grade 10,60.0,3,5
2018,010403,Total Targets,75.0,9,12
2018,010403,Math Grades 3-8,100.0,6,6
2018,010403,Reading Grades 3-8,50.0,3,6
2018,010406,Total Targets,75.0,9,12
2018,010406,Math Grades 3-8,50.0,3,6
2018,010406,Reading Grades 3-8,100.0,6,6
2018,01B000,Total Targets,14.3,2,14
2018,01B000,4 Year Graduation Rate,0.0,0,1
2018,01B000,Math Grades 3-8,0.0,0,5
2018,01B000,Math Grade 11,100.0,1,1
