year,agency_code,welcome_url
2018,100336,https://www.bcswan.net/domain/41
2018,100338,https://www.bcswan.net/domain/41
2018,100339,https://www.bcswan.net/domain/41
2018,100340,https://www.bcswan.net/domain/41
2018,100342,https://www.bcswan.net/domain/41
2018,100344,https://www.bcswan.net/domain/41
2018,100348,https://www.bcswan.net/domain/41
2018,140304,https://www.caldwellschools.com/Page/2218
2018,140305,https://www.caldwellschools.com/Page/2218
2018,140306,https://www.caldwellschools.com/Page/2218
2018,140307,https://www.caldwellschools.com/Page/2218
2018,140308,https://www.caldwellschools.com/Page/2218
2018,140309,https://www.caldwellschools.com/Page/2218
2018,140312,https://www.caldwellschools.com/Page/2218
2018,140316,https://www.caldwellschools.com/Page/2218
2018,140324,https://www.caldwellschools.com/Page/2218
2018,140332,https://www.caldwellschools.com/Page/2218
2018,140336,https://www.caldwellschools.com/Page/2218
2018,140340,https://www.caldwellschools.com/Page/2218
2018,140344,https://www.caldwellschools.com/Page/2218
2018,140348,https://www.caldwellschools.com/Page/2218
2018,140352,https://www.caldwellschools.com/Page/2218
2018,140356,https://www.caldwellschools.com/Page/2218
2018,140360,https://www.caldwellschools.com/Page/2218
2018,140368,https://www.caldwellschools.com/Page/2218
2018,140372,https://www.caldwellschools.com/Page/2218
2018,140376,https://www.caldwellschools.com/Page/2218
2018,140384,https://www.caldwellschools.com/Page/2218
2018,140386,https://www.caldwellschools.com/Page/2218
2018,140388,https://www.caldwellschools.com/Page/2218
2018,140390,https://www.caldwellschools.com/Page/2218
2018,140392,https://www.caldwellschools.com/Page/2218
2018,140396,https://www.caldwellschools.com/Page/2218
2018,150304,https://ccsnc.org/information/report-card/
2018,150308,https://ccsnc.org/information/report-card/
2018,150310,https://ccsnc.org/information/report-card/
2018,150312,https://ccsnc.org/information/report-card/
2018,150350,https://ccsnc.org/information/report-card/
2018,170316,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
2018,170334,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
2018,170338,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
2018,170339,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
2018,170342,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
2018,170344,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
2018,182304,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,182316,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,182321,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,182322,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,182324,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,182328,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,182700,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
2018,210304,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
2018,210306,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
2018,210312,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
2018,210316,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
2018,220308,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
2018,220310,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
2018,220312,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
2018,230304,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230308,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230312,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230316,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230320,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230322,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230324,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230328,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230330,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230334,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
