year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only
2018,480318,0,1,7,1.0
2018,490320,0,0,1,0.0
2018,490335,0,79,277,18.0
2018,490346,0,75,97,18.0
2018,490350,2,0,1,4.0
2018,490354,1,33,66,2.0
2018,490355,0,1,55,0.0
2018,490362,0,43,94,13.0
2018,490380,0,50,48,13.0
2018,491312,0,66,197,22.0
2018,49E000,0,0,114,0.0
2018,500302,0,2,14,2.0
2018,500323,0,0,24,1.0
2018,500340,1,48,91,20.0
2018,510324,1,123,123,47.0
2018,510327,7,88,142,16.0
2018,510333,0,162,125,25.0
2018,510357,1,4,29,2.0
2018,510368,1,54,31,12.0
2018,510376,1,51,25,7.0
2018,510399,2,18,74,12.0
2018,510402,0,68,67,31.0
2018,510406,1,94,73,7.0
2018,51A000,0,0,29,2.0
2018,520320,1,37,4,5.0
2018,530335,0,6,27,0.0
2018,530336,0,92,102,26.0
2018,530343,0,63,59,6.0
2018,540315,1,8,45,0.0
2018,540317,0,0,31,0.0
2018,540324,1,37,59,1.0
2018,540336,11,51,38,9.0
2018,550320,1,0,1,2.0
2018,550332,0,0,2,1.0
2018,550344,5,61,100,11.0
2018,550368,1,2,3,5.0
2018,55A000,0,0,130,0.0
2018,560324,0,4,14,2.0
2018,560332,0,0,4,0.0
2018,560350,0,0,1,0.0
2018,570317,0,0,2,2.0
2018,570318,0,56,20,4.0
2018,580344,0,18,11,1.0
2018,580368,0,49,30,5.0
2018,58B000,0,0,25,4.0
2018,590328,0,0,0,1.0
2018,590330,9,86,93,23.0
2018,590393,0,3,0,2.0
2018,600302,0,63,258,4.0
2018,600312,0,78,319,14.0
2018,600334,0,16,72,0.0
2018,600341,0,1,6,0.0
2018,600361,0,21,73,6.0
2018,600377,0,10,53,16.0
2018,600386,0,10,3,0.0
2018,600397,1,11,69,4.0
2018,600404,1,6,42,1.0
2018,600405,0,6,61,5.0
2018,600415,0,61,81,11.0
2018,600426,0,59,223,11.0
2018,600443,1,5,88,0.0
2018,600445,0,76,253,8.0
2018,600457,0,14,64,1.0
2018,600466,0,15,221,8.0
2018,600480,0,28,157,10.0
2018,600482,0,0,43,2.0
2018,600496,0,151,53,0.0
2018,600498,0,3,4,1.0
2018,600499,0,0,16,3.0
2018,600508,0,53,177,5.0
2018,600535,0,64,257,12.0
2018,600576,0,6,45,2.0
2018,600579,0,8,72,5.0
2018,600592,0,38,75,1.0
2018,600594,0,1,2,0.0
2018,600693,0,11,37,2.0
2018,600694,0,28,36,1.0
2018,600695,0,11,16,0.0
2018,600696,0,13,12,1.0
2018,600697,0,18,30,1.0
2018,60D000,0,0,158,0.0
2018,60G000,0,0,38,11.0
2018,60V000,0,0,10,0.0
2018,610332,0,5,14,0.0
2018,610334,2,76,18,0.0
2018,620310,0,1,1,0.0
2018,620316,2,28,55,11.0
2018,620340,0,24,41,8.0
2018,630330,0,0,0,3.0
2018,630332,3,61,26,9.0
2018,630336,1,75,260,23.0
2018,630360,0,65,129,23.0
2018,640346,3,42,58,11.0
2018,640347,0,4,42,0.0
2018,640350,1,76,59,7.0
2018,640361,2,31,83,9.0
2018,640364,1,75,64,17.0
2018,64A000,0,0,34,0.0
2018,650326,4,62,251,26.0
2018,650327,0,72,186,21.0
2018,650340,0,0,2,0.0
2018,650342,1,57,291,24.0
2018,650352,0,32,169,23.0
2018,650355,0,1,0,1.0
2018,650394,3,24,19,0.0
2018,660336,0,14,21,1.0
2018,66A000,0,0,12,34.0
2018,670320,3,69,74,19.0
2018,670324,0,106,82,4.0
2018,670333,0,90,94,20.0
2018,670340,0,92,49,7.0
2018,670344,0,49,45,6.0
2018,670352,4,97,31,7.0
2018,670364,1,56,74,11.0
2018,680310,0,71,102,5.0
2018,680332,2,59,157,7.0
2018,680335,0,0,0,2.0
2018,681305,0,17,101,3.0
2018,681308,0,32,168,7.0
2018,681314,0,49,132,7.0
2018,681338,0,0,1,2.0
2018,690320,0,28,17,20.0
2018,69A000,0,0,7,7.0
2018,700317,0,50,69,5.0
2018,700319,0,56,50,2.0
2018,710321,0,43,50,6.0
2018,710326,0,32,29,14.0
2018,710327,0,0,8,1.0
2018,710342,1,109,141,12.0
2018,720316,0,26,23,5.0
2018,730352,2,8,2,2.0
2018,73B000,0,1,78,0.0
2018,740309,13,43,37,4.0
2018,740333,7,153,99,21.0
2018,740344,1,42,22,8.0
2018,740366,3,57,106,10.0
2018,740374,0,49,43,5.0
2018,740388,0,137,91,16.0
2018,750318,1,64,40,12.0
2018,760318,0,2,1,4.0
2018,760339,0,4,1,1.0
2018,760348,0,89,40,21.0
2018,760354,0,2,67,5.0
2018,760358,1,96,58,8.0
2018,760380,0,2,1,1.0
2018,760388,0,70,67,6.0
2018,761304,2,76,128,5.0
2018,76A000,0,0,68,17.0
2018,770342,0,0,0,2.0
2018,770348,0,121,110,11.0
2018,780325,3,63,23,5.0
2018,780342,1,107,124,11.0
2018,780385,0,22,0,0.0
2018,780391,0,42,37,15.0
2018,780401,0,69,21,8.0
2018,780402,0,16,30,12.0
2018,780420,0,71,99,32.0
2018,790314,0,49,65,2.0
2018,790354,0,44,67,9.0
2018,790366,0,13,68,4.0
2018,790378,3,42,91,10.0
2018,790379,0,0,2,0.0
2018,800340,3,41,64,8.0
2018,800361,3,51,121,12.0
2018,800376,0,14,52,2.0
2018,800394,0,0,1,0.0
2018,800396,1,23,61,2.0
2018,800400,4,50,79,3.0
2018,800408,3,43,107,8.0
2018,810324,0,60,26,3.0
2018,810340,1,78,31,2.0
2018,810384,1,40,66,16.0
2018,810385,0,0,23,2.0
2018,810386,0,0,0,1.0
2018,81A000,0,0,77,0.0
2018,820324,0,7,20,0.0
2018,820348,0,74,9,2.0
2018,820349,0,38,27,9.0
2018,820352,0,90,26,2.0
2018,820388,0,44,30,3.0
2018,821308,1,54,60,5.0
2018,830343,1,93,104,5.0
2018,830348,0,0,26,1.0
2018,840302,0,1,4,0.0
2018,840332,1,7,1,2.0
2018,840356,3,4,0,4.0
2018,840361,0,6,27,3.0
2018,840368,2,2,1,3.0
2018,840370,0,0,0,2.0
2018,84B000,0,0,1,0.0
2018,850332,0,39,19,20.0
2018,850352,1,26,55,4.0
2018,850358,4,40,66,11.0
2018,860316,1,50,45,13.0
2018,860336,5,61,45,19.0
2018,860352,8,43,46,17.0
2018,860354,0,11,42,2.0
2018,861308,0,31,48,5.0
2018,862312,0,22,53,3.0
2018,870314,3,33,26,1.0
2018,880308,2,72,37,5.0
2018,880328,5,29,16,4.0
2018,890304,1,6,3,8.0
2018,900311,2,76,216,3.0
2018,900316,1,30,55,2.0
2018,900336,2,31,85,6.0
2018,900342,2,68,205,11.0
2018,900344,8,68,121,7.0
2018,900348,7,77,172,10.0
2018,900360,0,53,191,15.0
2018,900365,1,0,0,0.0
2018,900366,0,146,33,1.0
2018,900367,0,0,1,1.0
2018,900377,0,66,182,2.0
2018,900393,0,77,297,12.0
2018,90A000,0,4,94,0.0
2018,910364,0,18,53,0.0
2018,910368,0,0,1,2.0
2018,910370,0,7,69,4.0
2018,910382,0,0,29,0.0
2018,920316,0,158,199,16.0
2018,920317,0,96,223,8.0
2018,920318,0,98,158,5.0
2018,920348,0,67,218,7.0
2018,920368,1,91,258,16.0
2018,920386,0,0,17,1.0
2018,920411,1,55,100,10.0
2018,920412,0,86,277,5.0
2018,920428,0,69,242,18.0
2018,920436,0,63,226,9.0
2018,920441,0,170,415,11.0
2018,920445,0,115,202,8.0
2018,920455,0,62,282,16.0
2018,920466,0,51,152,9.0
2018,920473,0,77,304,13.0
2018,920495,0,81,277,9.0
2018,920500,0,87,228,20.0
2018,920526,0,196,297,3.0
2018,920528,0,0,12,1.0
2018,920546,0,62,174,10.0
2018,920552,0,79,182,8.0
2018,920556,0,0,1,1.0
2018,920562,0,1,3,1.0
2018,920581,0,22,6,1.0
2018,920582,0,0,4,1.0
2018,920583,0,0,4,0.0
2018,920585,0,0,0,1.0
2018,920586,0,0,1,0.0
2018,920588,0,83,215,9.0
2018,920595,0,65,243,5.0
2018,92F000,0,0,106,0.0
2018,92G000,0,0,64,1.0
2018,92P000,0,1,23,4.0
2018,92U000,0,0,37,0.0
2018,930352,0,16,12,1.0
2018,940308,0,5,7,1.0
2018,940316,0,12,24,1.0
2018,94Z000,0,2,0,0.0
2018,950336,0,41,140,9.0
2018,950338,4,36,19,8.0
2018,960324,1,107,118,7.0
2018,960330,0,41,83,7.0
2018,960335,0,12,29,3.0
2018,960372,0,40,41,7.0
2018,960380,3,65,62,7.0
2018,960386,0,51,39,3.0
2018,960490,0,0,1,0.0
2018,960700,0,6,19,0.0
2018,970320,0,45,53,9.0
2018,970356,14,67,38,8.0
2018,970388,2,58,35,27.0
2018,970390,9,66,35,13.0
2018,970393,0,1,30,11.0
2018,980318,43,2,0,1.0
2018,980336,5,54,87,2.0
2018,980342,0,60,102,3.0
2018,990322,5,62,67,10.0
2018,990326,2,34,48,10.0
2018,995330,0,70,61,18.0
