year,agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
2004,650LEA,,7524.74,0.679,0.136,0.093,0.077,0.009,,0.006,2397.6,4385.83,741.31
2004,680LEA,,8125.28,0.711,0.131,0.079,0.069,0.004,,0.006,2841.35,4736.06,547.87
2004,660LEA,,8482.44,0.633,0.124,0.103,0.122,0.011,,0.007,1123.1,5836.1,1523.24
2004,761LEA,,6851.15,0.695,0.141,0.078,0.074,0.001,,0.011,1566.59,4639.97,644.59
2004,690LEA,,8609.33,0.716,0.139,0.074,0.055,0.01,,0.006,1239.1,6416.79,953.44
2004,292LEA,,7589.5,0.642,0.126,0.089,0.133,0.005,,0.005,1573.14,4437.42,1578.94
2004,310LEA,,6977.1,0.674,0.133,0.068,0.095,0.021,,0.009,977.33,4784.19,1215.58
2004,630LEA,,7004.37,0.699,0.14,0.066,0.084,0.005,,0.006,1797.19,4553.13,654.05
2004,060LEA,,8917.76,0.687,0.14,0.08,0.078,0.006,,0.009,1667.15,5948.05,1302.56
2004,940LEA,,9231.51,0.67,0.133,0.084,0.099,0.007,,0.007,1187.64,6304.94,1738.93
2004,460LEA,,7929.53,0.689,0.137,0.071,0.085,0.012,,0.006,1168.93,5579.07,1181.53
2004,520LEA,,10009.43,0.663,0.128,0.077,0.082,0.039,,0.011,919.69,7473.16,1616.58
2004,470LEA,,6661.48,0.658,0.126,0.093,0.109,0.006,,0.008,898.47,4803.08,959.93
2004,422LEA,,9463.89,0.647,0.129,0.143,0.063,0.006,,0.012,1832.29,5965.85,1665.75
2004,990LEA,,6352.36,0.703,0.137,0.049,0.094,0.004,,0.013,1309.48,4501.75,541.13
2004,620LEA,,7622.24,0.667,0.131,0.072,0.112,0.014,,0.004,1652.15,5046.12,923.97
2004,790LEA,,7019.48,0.692,0.14,0.075,0.083,0.006,,0.004,1469.07,4814.98,735.43
2004,260LEA,,6647.77,0.709,0.133,0.061,0.08,0.01,,0.007,1304.9,4369.26,973.61
2004,491LEA,,6591.28,0.678,0.13,0.091,0.089,0.006,,0.006,1894.35,4229.62,467.31
2004,160LEA,,7728.91,0.689,0.136,0.074,0.093,0.002,,0.006,2394.86,4663.3,670.75
2004,291LEA,,8360.33,0.675,0.137,0.088,0.086,0.009,,0.005,2006.89,5161.2,1192.24
2004,280LEA,,8256.23,0.668,0.136,0.111,0.075,0.003,,0.007,3211.22,4621.96,423.05
2004,241LEA,,7200.07,0.708,0.14,0.056,0.067,0.023,,0.006,910.01,5217.4,1072.66
2004,232LEA,,8012.26,0.704,0.139,0.068,0.079,0.003,,0.007,1711,4960.87,1340.39
2004,020LEA,,6338.94,0.682,0.138,0.056,0.108,0.007,,0.009,1375.54,4396.78,566.62
2004,600LEA,,7299.8,0.706,0.132,0.073,0.071,0.007,,0.011,2363.77,4307.61,628.42
2004,995LEA,,7548.55,0.698,0.138,0.062,0.095,0.001,,0.006,1143.55,5520.95,884.05
2004,610LEA,,7533.03,0.686,0.139,0.059,0.104,0.009,,0.003,1018.22,5710.73,804.08
2004,540LEA,,6965.45,0.648,0.126,0.1,0.115,0.006,,0.005,1303.76,4674.91,986.78
2004,970LEA,,6993,0.691,0.143,0.074,0.08,0.007,,0.005,1508.86,4705.28,778.86
2004,181LEA,,6878.05,0.694,0.133,0.081,0.079,0.001,,0.012,1524.91,4543.41,809.73
2004,890LEA,,11746.2,0.656,0.131,0.079,0.093,0.028,,0.013,1220.15,9287.56,1238.49
2004,090LEA,,7293.42,0.689,0.136,0.071,0.085,0.01,,0.009,970.79,5044.42,1278.21
2004,100LEA,,7585.6,0.688,0.143,0.082,0.08,0,,0.007,2216.37,4608.97,760.26
2004,170LEA,,7370.55,0.674,0.134,0.078,0.094,0.014,,0.006,939.83,5631.06,799.66
2004,200LEA,,7342.5,0.698,0.138,0.032,0.099,0.027,,0.006,837.25,5404.36,1100.89
2004,190LEA,,7674.43,0.672,0.132,0.078,0.105,0.006,,0.007,2397.69,4628.07,648.67
2004,230LEA,,6752.76,0.667,0.137,0.082,0.1,0.009,,0.005,1409.91,4607.58,735.27
2004,250LEA,,6839.94,0.687,0.132,0.079,0.09,0.006,,0.006,1136.27,4641.38,1062.29
2004,220LEA,,8988.49,0.683,0.135,0.089,0.065,0.022,,0.006,1352.12,6790.12,846.25
