year,agency_code,category_code,avg_sat_score,pct_sat_participation
2002,760LEA,,973,0.468
2002,761304,,1011,0.676
2002,761LEA,,1011,0.676
2002,770348,,908,0.334
2002,770LEA,,908,0.334
2002,780325,,833,0.398
2002,780342,,909,0.647
2002,780391,,817,0.414
2002,780401,,893,0.394
2002,780402,,811,0.495
2002,780420,,891,0.414
2002,780LEA,,879,0.493
2002,790314,,909,0.685
2002,790354,,979,0.586
2002,790366,,918,0.556
2002,790378,,996,0.62
2002,790LEA,,952,0.605
2002,800340,,993,0.519
2002,800376,,931,0.428
2002,800396,,987,0.644
2002,800400,,960,0.424
2002,800408,,964,0.549
2002,800LEA,,971,0.504
2002,810324,,967,0.324
2002,810340,,912,0.64
2002,810384,,954,0.539
2002,810LEA,,937,0.513
2002,820348,,942,0.421
2002,820349,,906,0.45
2002,820352,,944,0.398
2002,820388,,885,0.434
2002,820LEA,,920,0.425
2002,821308,,896,0.714
2002,821LEA,,896,0.714
2002,830346,,942,0.622
2002,830LEA,,942,0.622
2002,840302,,969,0.752
2002,840332,,979,0.5
2002,840356,,974,0.541
2002,840368,,1000,0.593
2002,840LEA,,983,0.586
2002,850332,,905,0.476
2002,850352,,920,0.463
2002,850358,,977,0.519
2002,850LEA,,945,0.464
2002,860316,,1034,0.575
2002,860336,,984,0.321
2002,860352,,977,0.336
2002,860LEA,,1003,0.394
2002,861308,,1040,0.733
2002,861LEA,,1040,0.733
2002,862312,,1005,0.583
2002,862LEA,,1005,0.583
2002,870314,,1025,0.477
2002,870LEA,,1025,0.477
2002,880308,,1033,0.628
2002,880328,,1013,0.527
2002,880LEA,,1027,0.563
2002,890304,,889,0.49
2002,890LEA,,889,0.49
2002,900316,,981,0.523
2002,900336,,905,0.586
2002,900344,,1055,0.681
2002,900348,,1050,0.634
2002,900360,,989,0.668
2002,900377,,1060,0.885
2002,900LEA,,1017,0.652
2002,910364,,866,0.467
2002,910370,,887,0.601
2002,910LEA,,878,0.538
2002,920316,,1090,0.757
2002,920318,,1089,0.818
2002,920348,,1093,0.845
2002,920368,,1070,0.763
2002,920411,,970,0.576
2002,920412,,1164,0.912
2002,920428,,987,0.641
2002,920436,,1002,0.531
2002,920441,,1070,0.88
2002,920473,,1097,0.905
2002,920500,,1023,0.752
2002,920552,,1067,0.837
2002,920562,,1061,0.895
2002,920588,,1014,0.677
2002,920595,,1007,0.784
2002,920LEA,,1067,0.775
2002,92K000,,1189,0.839
2002,930352,,859,0.711
2002,930LEA,,859,0.711
2002,940308,,894,0.55
2002,940316,,844,0.574
2002,940LEA,,851,0.57
2002,950336,,1064,0.801
2002,950LEA,,1064,0.801
2002,960324,,967,0.612
2002,960330,,1023,0.634
2002,960335,,818,0.541
2002,960372,,952,0.443
2002,960380,,927,0.409
2002,960LEA,,951,0.526
2002,970320,,1021,0.537
2002,970356,,1004,0.421
2002,970388,,982,0.467
2002,970390,,1023,0.637
2002,970LEA,,1010,0.527
2002,980318,,918,0.437
2002,980336,,963,0.461
2002,980342,,984,0.54
2002,980LEA,,958,0.475
2002,990322,,982,0.543
2002,990326,,968,0.617
2002,990LEA,,976,0.569
2002,995330,,999,0.472
2002,995LEA,,999,0.472
2002,NATION,,,0.46
2003,010324,,1039,0.469
2003,010348,,922,0.46
2003,010360,,887,0.459
2003,010388,,944,0.538
2003,010396,,1034,0.743
2003,010400,,944,0.623
2003,010LEA,,975,0.568
2003,01B000,,944,0.714
2003,020302,,977,0.442
2003,020LEA,,977,0.442
2003,030304,,972,0.48
2003,030LEA,,972,0.48
2003,040306,,886,0.567
2003,040LEA,,886,0.545
2003,050302,,987,0.624
2003,050LEA,,987,0.624
2003,060302,,994,0.507
2003,060LEA,,994,0.507
2003,070330,,1034,0.423
2003,070339,,1015,0.364
2003,070342,,952,0.548
2003,070LEA,,983,0.468
2003,080312,,790,0.505
2003,080LEA,,790,0.505
2003,090330,,897,0.647
2003,090368,,857,0.41
2003,090LEA,,882,0.622
2003,100326,,969,0.339
2003,100334,,1007,0.519
2003,100348,,1004,0.465
2003,100LEA,,998,0.447
2003,110304,,1079,0.776
2003,110336,,1061,0.514
2003,110340,,998,0.407
2003,110352,,1046,0.578
2003,110380,,1079,0.566
2003,110416,,1107,0.724
2003,110LEA,,1072,0.609
2003,111302,,1020,0.795
2003,111LEA,,1020,0.795
2003,120314,,1045,0.319
2003,120318,,1023,0.491
2003,120LEA,,1031,0.401
2003,130310,,1060,0.749
2003,130314,,1046,0.701
2003,130316,,1049,0.686
2003,130324,,1004,0.505
2003,130326,,1016,0.755
2003,130LEA,,1037,0.682
2003,132304,,961,0.358
2003,132LEA,,961,0.358
2003,140348,,1018,0.482
