year,agency_code,status,subgroup,count,pct_enrolled
2011,030304,NOENROLL,MU7,,33.33
2011,030304,NOENROLL,PI7,,
2011,030304,NOENROLL,SWD,7,22.22
2011,030304,NOENROLL,WH7,31,63.95
2011,030LEA,ENROLL,AM7,,
2011,030LEA,ENROLL,AS7,,
2011,030LEA,ENROLL,ALL,65,61.32
2011,030LEA,ENROLL,BL7,,50
2011,030LEA,ENROLL,EDS,31,51.66
2011,030LEA,ENROLL,FEM,32,68.08
2011,030LEA,ENROLL,HI7,8,57.14
2011,030LEA,ENROLL,ELS,,
2011,030LEA,ENROLL,MALE,33,55.93
2011,030LEA,ENROLL,MU7,,33.33
2011,030LEA,ENROLL,PI7,,
2011,030LEA,ENROLL,SWD,,22.22
2011,030LEA,ENROLL,WH7,55,63.95
2011,030LEA,NOENROLL,AM7,,
2011,030LEA,NOENROLL,AS7,,
2011,030LEA,NOENROLL,ALL,41,61.32
2011,030LEA,NOENROLL,BL7,,50
2011,030LEA,NOENROLL,EDS,29,51.66
2011,030LEA,NOENROLL,FEM,15,68.08
2011,030LEA,NOENROLL,HI7,6,57.14
2011,030LEA,NOENROLL,ELS,,
2011,030LEA,NOENROLL,MALE,26,55.93
2011,030LEA,NOENROLL,MU7,,33.33
2011,030LEA,NOENROLL,PI7,,
2011,030LEA,NOENROLL,SWD,7,22.22
2011,030LEA,NOENROLL,WH7,31,63.95
2011,040304,ENROLL,AM7,,
2011,040304,ENROLL,AS7,,
2011,040304,ENROLL,ALL,29,70.73
2011,040304,ENROLL,BL7,11,78.57
2011,040304,ENROLL,EDS,12,80
2011,040304,ENROLL,FEM,20,76.92
2011,040304,ENROLL,HI7,,
2011,040304,ENROLL,ELS,,
2011,040304,ENROLL,MALE,9,60
2011,040304,ENROLL,MU7,,
2011,040304,ENROLL,PI7,,
2011,040304,ENROLL,SWD,,
2011,040304,ENROLL,WH7,18,66.66
2011,040304,NOENROLL,AM7,,
2011,040304,NOENROLL,AS7,,
2011,040304,NOENROLL,ALL,12,70.73
2011,040304,NOENROLL,BL7,,78.57
2011,040304,NOENROLL,EDS,,80
2011,040304,NOENROLL,FEM,6,76.92
2011,040304,NOENROLL,HI7,,
2011,040304,NOENROLL,ELS,,
2011,040304,NOENROLL,MALE,6,60
2011,040304,NOENROLL,MU7,,
2011,040304,NOENROLL,PI7,,
2011,040304,NOENROLL,SWD,,
2011,040304,NOENROLL,WH7,9,66.66
2011,040305,ENROLL,AM7,,
2011,040305,ENROLL,AS7,,
2011,040305,ENROLL,ALL,,22.22
2011,040305,ENROLL,BL7,,23.07
2011,040305,ENROLL,EDS,,26.66
2011,040305,ENROLL,FEM,,16.66
2011,040305,ENROLL,HI7,,50
2011,040305,ENROLL,ELS,,
2011,040305,ENROLL,MALE,,25
2011,040305,ENROLL,MU7,,
2011,040305,ENROLL,PI7,,
2011,040305,ENROLL,SWD,,
2011,040305,ENROLL,WH7,,
2011,040305,NOENROLL,AM7,,
2011,040305,NOENROLL,AS7,,
2011,040305,NOENROLL,ALL,14,22.22
2011,040305,NOENROLL,BL7,10,23.07
2011,040305,NOENROLL,EDS,11,26.66
2011,040305,NOENROLL,FEM,5,16.66
2011,040305,NOENROLL,HI7,,50
2011,040305,NOENROLL,ELS,,
2011,040305,NOENROLL,MALE,9,25
2011,040305,NOENROLL,MU7,,
2011,040305,NOENROLL,PI7,,
2011,040305,NOENROLL,SWD,,
2011,040305,NOENROLL,WH7,,
2011,040306,ENROLL,AM7,,
2011,040306,ENROLL,AS7,,33.33
2011,040306,ENROLL,ALL,84,48.27
2011,040306,ENROLL,BL7,63,47.72
2011,040306,ENROLL,EDS,57,43.18
2011,040306,ENROLL,FEM,50,53.76
2011,040306,ENROLL,HI7,,
2011,040306,ENROLL,ELS,,
2011,040306,ENROLL,MALE,34,41.97
2011,040306,ENROLL,MU7,,95
2011,040306,ENROLL,PI7,,
2011,040306,ENROLL,SWD,5,21.73
2011,040306,ENROLL,WH7,18,58.06
2011,040306,NOENROLL,AM7,,
2011,040306,NOENROLL,AS7,,33.33
2011,040306,NOENROLL,ALL,90,48.27
2011,040306,NOENROLL,BL7,69,47.72
2011,040306,NOENROLL,EDS,75,43.18
2011,040306,NOENROLL,FEM,43,53.76
2011,040306,NOENROLL,HI7,5,
2011,040306,NOENROLL,ELS,,
2011,040306,NOENROLL,MALE,47,41.97
2011,040306,NOENROLL,MU7,,95
2011,040306,NOENROLL,PI7,,
2011,040306,NOENROLL,SWD,18,21.73
2011,040306,NOENROLL,WH7,13,58.06
2011,040700,ENROLL,AM7,,
2011,040700,ENROLL,AS7,,95
2011,040700,ENROLL,ALL,31,73.8
2011,040700,ENROLL,BL7,20,83.33
2011,040700,ENROLL,EDS,13,68.42
2011,040700,ENROLL,FEM,17,89.47
2011,040700,ENROLL,HI7,,
2011,040700,ENROLL,ELS,,
2011,040700,ENROLL,MALE,14,60.86
2011,040700,ENROLL,MU7,,
2011,040700,ENROLL,PI7,,
2011,040700,ENROLL,SWD,,
2011,040700,ENROLL,WH7,10,58.82
2011,040700,NOENROLL,AM7,,
2011,040700,NOENROLL,AS7,,95
2011,040700,NOENROLL,ALL,11,73.8
2011,040700,NOENROLL,BL7,,83.33
2011,040700,NOENROLL,EDS,6,68.42
2011,040700,NOENROLL,FEM,,89.47
2011,040700,NOENROLL,HI7,,
2011,040700,NOENROLL,ELS,,
2011,040700,NOENROLL,MALE,9,60.86
2011,040700,NOENROLL,MU7,,
2011,040700,NOENROLL,PI7,,
2011,040700,NOENROLL,SWD,,
2011,040700,NOENROLL,WH7,7,58.82
2011,040LEA,ENROLL,AM7,,
2011,040LEA,ENROLL,AS7,,50
2011,040LEA,ENROLL,ALL,148,53.81
2011,040LEA,ENROLL,BL7,97,53
2011,040LEA,ENROLL,EDS,86,47.51
2011,040LEA,ENROLL,FEM,88,61.11
2011,040LEA,ENROLL,HI7,,14.28
2011,040LEA,ENROLL,ELS,,
2011,040LEA,ENROLL,MALE,60,45.8
2011,040LEA,ENROLL,MU7,,66.66
2011,040LEA,ENROLL,PI7,,
2011,040LEA,ENROLL,SWD,5,20
2011,040LEA,ENROLL,WH7,46,59.74
2011,040LEA,NOENROLL,AM7,,
2011,040LEA,NOENROLL,AS7,,50
2011,040LEA,NOENROLL,ALL,127,53.81
2011,040LEA,NOENROLL,BL7,86,53
2011,040LEA,NOENROLL,EDS,95,47.51
2011,040LEA,NOENROLL,FEM,56,61.11
2011,040LEA,NOENROLL,HI7,6,14.28
2011,040LEA,NOENROLL,ELS,,
2011,040LEA,NOENROLL,MALE,71,45.8
2011,040LEA,NOENROLL,MU7,,66.66
2011,040LEA,NOENROLL,PI7,,
2011,040LEA,NOENROLL,SWD,20,20
2011,040LEA,NOENROLL,WH7,31,59.74
2011,050302,ENROLL,AM7,,33.33
2011,050302,ENROLL,AS7,,
2011,050302,ENROLL,ALL,157,72.01
2011,050302,ENROLL,BL7,,95
2011,050302,ENROLL,EDS,62,64.58
2011,050302,ENROLL,FEM,78,75
2011,050302,ENROLL,HI7,8,50
2011,050302,ENROLL,ELS,,33.33
2011,050302,ENROLL,MALE,79,69.29
2011,050302,ENROLL,MU7,,
2011,050302,ENROLL,PI7,,
2011,050302,ENROLL,SWD,9,40.9
2011,050302,ENROLL,WH7,146,74.87
2011,050302,NOENROLL,AM7,,33.33
2011,050302,NOENROLL,AS7,,
2011,050302,NOENROLL,ALL,61,72.01
2011,050302,NOENROLL,BL7,,95
2011,050302,NOENROLL,EDS,34,64.58
2011,050302,NOENROLL,FEM,26,75
2011,050302,NOENROLL,HI7,8,50
2011,050302,NOENROLL,ELS,,33.33
2011,050302,NOENROLL,MALE,35,69.29
2011,050302,NOENROLL,MU7,,
2011,050302,NOENROLL,PI7,,
2011,050302,NOENROLL,SWD,13,40.9
2011,050302,NOENROLL,WH7,49,74.87
2011,050LEA,ENROLL,AM7,,33.33
2011,050LEA,ENROLL,AS7,,
2011,050LEA,ENROLL,ALL,157,72.01
2011,050LEA,ENROLL,BL7,,95
2011,050LEA,ENROLL,EDS,62,64.58
2011,050LEA,ENROLL,FEM,78,75
2011,050LEA,ENROLL,HI7,8,50
2011,050LEA,ENROLL,ELS,,33.33
2011,050LEA,ENROLL,MALE,79,69.29
2011,050LEA,ENROLL,MU7,,
2011,050LEA,ENROLL,PI7,,
2011,050LEA,ENROLL,SWD,9,40.9
2011,050LEA,ENROLL,WH7,146,74.87
2011,050LEA,NOENROLL,AM7,,33.33
2011,050LEA,NOENROLL,AS7,,
2011,050LEA,NOENROLL,ALL,61,72.01
2011,050LEA,NOENROLL,BL7,,95
2011,050LEA,NOENROLL,EDS,34,64.58
2011,050LEA,NOENROLL,FEM,26,75
2011,050LEA,NOENROLL,HI7,8,50
2011,050LEA,NOENROLL,ELS,,33.33
2011,050LEA,NOENROLL,MALE,35,69.29
2011,050LEA,NOENROLL,MU7,,
2011,050LEA,NOENROLL,PI7,,
2011,050LEA,NOENROLL,SWD,13,40.9
2011,050LEA,NOENROLL,WH7,49,74.87
2011,060302,ENROLL,AM7,,95
2011,060302,ENROLL,AS7,,95
2011,060302,ENROLL,ALL,109,67.28
2011,060302,ENROLL,BL7,,
2011,060302,ENROLL,EDS,34,47.88
2011,060302,ENROLL,FEM,58,77.33
2011,060302,ENROLL,HI7,,33.33
2011,060302,ENROLL,ELS,,
2011,060302,ENROLL,MALE,51,58.62
2011,060302,ENROLL,MU7,,
2011,060302,ENROLL,PI7,,
2011,060302,ENROLL,SWD,,33.33
2011,060302,ENROLL,WH7,105,68.18
2011,060302,NOENROLL,AM7,,95
2011,060302,NOENROLL,AS7,,95
2011,060302,NOENROLL,ALL,53,67.28
2011,060302,NOENROLL,BL7,,
2011,060302,NOENROLL,EDS,37,47.88
2011,060302,NOENROLL,FEM,17,77.33
2011,060302,NOENROLL,HI7,,33.33
2011,060302,NOENROLL,ELS,,
2011,060302,NOENROLL,MALE,36,58.62
2011,060302,NOENROLL,MU7,,
2011,060302,NOENROLL,PI7,,
2011,060302,NOENROLL,SWD,8,33.33
2011,060302,NOENROLL,WH7,49,68.18
2011,060LEA,ENROLL,AM7,,95
2011,060LEA,ENROLL,AS7,,95
2011,060LEA,ENROLL,ALL,109,67.28
2011,060LEA,ENROLL,BL7,,
2011,060LEA,ENROLL,EDS,34,47.88
2011,060LEA,ENROLL,FEM,58,77.33
2011,060LEA,ENROLL,HI7,,33.33
2011,060LEA,ENROLL,ELS,,
2011,060LEA,ENROLL,MALE,51,58.62
2011,060LEA,ENROLL,MU7,,
2011,060LEA,ENROLL,PI7,,
2011,060LEA,ENROLL,SWD,,33.33
2011,060LEA,ENROLL,WH7,105,68.18
2011,060LEA,NOENROLL,AM7,,95
2011,060LEA,NOENROLL,AS7,,95
2011,060LEA,NOENROLL,ALL,53,67.28
2011,060LEA,NOENROLL,BL7,,
2011,060LEA,NOENROLL,EDS,37,47.88
2011,060LEA,NOENROLL,FEM,17,77.33
2011,060LEA,NOENROLL,HI7,,33.33
2011,060LEA,NOENROLL,ELS,,
2011,060LEA,NOENROLL,MALE,36,58.62
2011,060LEA,NOENROLL,MU7,,
2011,060LEA,NOENROLL,PI7,,
2011,060LEA,NOENROLL,SWD,8,33.33
2011,060LEA,NOENROLL,WH7,49,68.18
2011,06B000,ENROLL,AM7,,
2011,06B000,ENROLL,AS7,,
2011,06B000,ENROLL,ALL,7,70
2011,06B000,ENROLL,BL7,,
2011,06B000,ENROLL,EDS,5,95
2011,06B000,ENROLL,FEM,6,75
2011,06B000,ENROLL,HI7,,50
2011,06B000,ENROLL,ELS,,
2011,06B000,ENROLL,MALE,,50
2011,06B000,ENROLL,MU7,,95
2011,06B000,ENROLL,PI7,,
2011,06B000,ENROLL,SWD,,
2011,06B000,ENROLL,WH7,,66.66
2011,06B000,NOENROLL,AM7,,
2011,06B000,NOENROLL,AS7,,
2011,06B000,NOENROLL,ALL,,70
2011,06B000,NOENROLL,BL7,,
2011,06B000,NOENROLL,EDS,,95
2011,06B000,NOENROLL,FEM,,75
2011,06B000,NOENROLL,HI7,,50
2011,06B000,NOENROLL,ELS,,
2011,06B000,NOENROLL,MALE,,50
2011,06B000,NOENROLL,MU7,,95
2011,06B000,NOENROLL,PI7,,
2011,06B000,NOENROLL,SWD,,
2011,06B000,NOENROLL,WH7,,66.66
2011,070310,ENROLL,AM7,,
2011,070310,ENROLL,AS7,,
