year,agency_code,subgroup,den,pct,masking
2018,160314,MALE,102,90.2,
2018,160314,MIL,23,95.0,1.0
2018,160314,MU7,10,90.0,
2018,160314,SWD,17,64.7,
2018,160314,WH7,169,88.8,
2018,160344,AIG,52,95.0,1.0
2018,160344,ALL,273,81.7,
2018,160344,BL7,13,61.5,
2018,160344,EDS,72,58.3,
2018,160344,FEM,129,85.3,
2018,160344,HI7,27,70.4,
2018,160344,MALE,144,78.5,
2018,160344,MU7,17,76.5,
2018,160344,SWD,14,21.4,
2018,160344,WH7,210,85.2,
2018,160LEA,AIG,111,95.0,1.0
2018,160LEA,ALL,592,84.3,
2018,160LEA,BL7,27,66.7,
2018,160LEA,EDS,144,69.4,
2018,160LEA,FEM,291,86.3,
2018,160LEA,HI7,37,70.3,
2018,160LEA,MALE,301,82.4,
2018,160LEA,MIL,26,95.0,1.0
2018,160LEA,MU7,30,80.0,
2018,160LEA,SWD,36,41.7,
2018,160LEA,WH7,487,86.7,
2018,170316,AIG,38,95.0,1.0
2018,170316,ALL,172,58.1,
2018,170316,BL7,66,31.8,
2018,170316,EDS,86,40.7,
2018,170316,FEM,80,62.5,
2018,170316,HI7,13,53.8,
2018,170316,MALE,92,54.3,
2018,170316,WH7,84,79.8,
2018,170LEA,AIG,38,95.0,1.0
2018,170LEA,ALL,172,58.1,
2018,170LEA,BL7,66,31.8,
2018,170LEA,EDS,86,40.7,
2018,170LEA,FEM,80,62.5,
2018,170LEA,HI7,13,53.8,
2018,170LEA,MALE,92,54.3,
2018,170LEA,WH7,84,79.8,
2018,180308,AIG,48,95.0,1.0
2018,180308,ALL,195,77.9,
2018,180308,EDS,40,67.5,
2018,180308,FEM,99,85.9,
2018,180308,MALE,96,69.8,
2018,180308,WH7,175,80.6,
2018,180320,AIG,33,95.0,1.0
2018,180320,ALL,185,60.5,
2018,180320,AS7,17,64.7,
2018,180320,BL7,12,25.0,
2018,180320,EDS,81,53.1,
2018,180320,FEM,88,68.2,
2018,180320,HI7,29,48.3,
2018,180320,MALE,97,53.6,
