year,agency_code,category_code,esea_att
2013,260316,E,Met
2013,260318,H,Did Not Meet
2013,260320,E,Met
2013,260321,M,Met
2013,260322,H,Did Not Meet
2013,260325,H,Did Not Meet
2013,260326,E,Met
2013,260332,E,Met
2013,260336,M,Met
2013,260338,E,Met
2013,260340,E,Met
2013,260342,E,Met
2013,260344,E,Met
2013,260347,H,Met
2013,260348,E,Met
2013,260352,E,Met
2013,260354,H,Did Not Meet
2013,260356,E,Met
2013,260357,H,Did Not Meet
2013,260358,M,Met
2013,260359,H,Did Not Meet
2013,260361,E,Met
2013,260362,M,Met
2013,260363,E,Did Not Meet
2013,260364,E,Met
2013,260365,M,Met
2013,260366,E,Met
2013,260367,E,Met
2013,260368,M,Met
2013,260369,M,Met
2013,260370,E,Met
2013,260371,M,Met
2013,260372,M,Met
2013,260373,E,Met
2013,260374,H,Did Not Meet
2013,260375,E,Met
2013,260380,E,Met
2013,260382,E,Met
2013,260383,M,Met
2013,260386,E,Met
2013,260388,H,Did Not Meet
2013,260396,E,Met
2013,260397,E,Met
2013,260398,E,Met
2013,260400,E,Met
2013,260401,E,Met
2013,260402,E,Met
2013,260403,E,Met
2013,260404,E,Met
2013,260405,E,Met
2013,260406,M,Met
2013,260407,E,Met
2013,260408,H,Did Not Meet
2013,260410,E,Met
2013,260411,H,Did Not Meet
2013,260412,E,Did Not Meet
2013,260413,M,Did Not Meet
2013,260414,E,Met
2013,260415,E,Met
2013,260416,E,Met
2013,260417,M,Met
2013,260418,M,Met
2013,260419,M,Met
2013,260424,H,Did Not Meet
2013,260425,M,Met
2013,260426,E,Met
2013,260427,H,Did Not Meet
2013,260428,M,Met
2013,260430,E,Met
2013,260432,E,Did Not Meet
2013,260434,E,Met
2013,260440,E,Met
2013,260444,E,Met
2013,260446,H,Did Not Meet
2013,260448,E,Met
2013,260449,H,Did Not Meet
2013,260450,E,Met
2013,260452,E,Met
2013,260454,M,Met
2013,260455,H,Did Not Meet
2013,260456,E,Met
2013,260459,E,Met
2013,260700,H,Did Not Meet
2013,260LEA,,Met
2013,26B000,I,Met
2013,270304,E,Met
2013,270306,H,Did Not Meet
2013,270308,M,Met
2013,270309,E,Met
2013,270310,E,Met
2013,270311,H,Did Not Meet
2013,270312,E,Met
2013,270316,E,Met
2013,270318,M,Met
2013,270320,E,Met
2013,270LEA,,Met
2013,27A000,E,Did Not Meet
2013,280302,E,Met
2013,280304,T,Did Not Meet
2013,280306,T,Did Not Meet
2013,280308,E,Met
2013,280310,E,Met
2013,280312,E,Met
2013,280316,H,Did Not Meet
2013,280320,M,Met
2013,280324,E,Met
2013,280328,M,Met
2013,280330,H,Did Not Meet
2013,280LEA,,Met
2013,290302,E,Met
2013,290306,E,Met
2013,290307,E,Met
2013,290308,H,Did Not Meet
2013,290309,M,Met
2013,290310,,Met
2013,290312,E,Met
2013,290314,T,Did Not Meet
2013,290315,H,Did Not Meet
2013,290316,E,Met
2013,290320,E,Met
2013,290322,M,Met
2013,290324,H,Did Not Meet
2013,290328,E,Met
2013,290330,E,Met
2013,290332,E,Met
2013,290333,E,Met
2013,290334,M,Met
2013,290336,H,Did Not Meet
2013,290344,E,Met
2013,290348,H,Did Not Meet
2013,290350,M,Met
2013,290351,M,Met
2013,290352,E,Met
2013,290356,E,Met
2013,290364,E,Met
2013,290365,H,Did Not Meet
2013,290366,E,Met
2013,290367,M,Met
2013,290375,E,Met
2013,290376,M,Met
2013,290380,E,Met
2013,290384,E,Met
2013,290388,H,Did Not Meet
2013,290389,H,Did Not Meet
2013,290LEA,,Met
2013,291308,E,Met
2013,291332,M,Met
2013,291336,H,Did Not Meet
2013,291340,E,Met
2013,291348,E,Did Not Meet
2013,291350,A,Did Not Meet
2013,291352,E,Met
2013,291LEA,,Met
2013,292316,E,Met
2013,292318,E,Met
2013,292320,M,Met
2013,292324,H,Did Not Meet
2013,292LEA,,Met
2013,300306,T,Did Not Meet
2013,300308,E,Met
2013,300310,E,Met
2013,300312,H,Did Not Meet
2013,300314,H,Did Not Meet
2013,300320,E,Met
2013,300325,M,Met
2013,300326,E,Met
2013,300328,E,Met
2013,300330,M,Met
2013,300336,E,Met
2013,300337,M,Met
2013,300LEA,,Met
2013,310304,I,Met
2013,310308,I,Met
2013,310324,M,Met
2013,310330,I,Met
2013,310336,E,Met
2013,310338,H,Did Not Meet
2013,310340,M,Met
2013,310344,H,Did Not Meet
2013,310352,H,Did Not Meet
2013,310356,E,Met
2013,310360,E,Met
2013,310364,T,Did Not Meet
2013,310384,E,Met
2013,310388,E,Met
2013,310392,H,Did Not Meet
2013,310396,M,Met
2013,310LEA,,Met
2013,320304,E,Met
2013,320306,M,Met
2013,320308,E,Met
2013,320309,H,Did Not Meet
2013,320310,E,Met
2013,320312,H,Did Not Meet
2013,320313,E,Met
2013,320314,M,Met
2013,320315,E,Met
2013,320316,M,Met
2013,320317,H,Did Not Meet
2013,320318,E,Met
2013,320319,E,Met
2013,320320,E,Met
2013,320322,H,Did Not Meet
2013,320323,T,Did Not Meet
2013,320324,E,Met
2013,320325,H,Did Not Meet
2013,320327,E,Met
2013,320328,E,Met
2013,320329,,Did Not Meet
2013,320332,E,Met
2013,320336,A,Did Not Meet
2013,320338,M,Met
2013,320339,E,Met
2013,320340,E,Met
2013,320341,T,Did Not Meet
2013,320342,M,Met
2013,320343,M,Met
2013,320344,E,Met
2013,320346,M,Met
2013,320347,E,Met
2013,320348,E,Met
2013,320352,E,Met
2013,320353,H,Did Not Meet
2013,320354,E,Met
2013,320355,M,Met
2013,320356,H,Did Not Meet
2013,320360,E,Met
2013,320362,E,Met
2013,320363,E,Met
2013,320364,E,Met
2013,320365,H,Did Not Meet
2013,320366,M,Met
2013,320367,E,Met
2013,320368,H,Did Not Meet
2013,320369,E,Met
2013,320370,M,Met
2013,320372,E,Met
2013,320374,E,Met
2013,320376,E,Met
2013,320388,E,Met
2013,320389,M,Met
2013,320400,E,Met
2013,320700,H,Did Not Meet
2013,320701,H,Did Not Meet
2013,320LEA,,Met
2013,32A000,I,Met
2013,32B000,I,Met
2013,32C000,I,Met
2013,32D000,A,Did Not Meet
2013,32H000,I,Met
2013,32K000,E,Met
2013,32L000,A,Met
2013,32M000,E,Met
2013,32N000,H,Did Not Meet
2013,330304,E,Met
2013,330308,E,Met
2013,330312,E,Met
2013,330324,M,Met
2013,330326,H,Did Not Meet
2013,330328,H,Did Not Meet
2013,330330,E,Met
2013,330332,M,Met
2013,330334,E,Met
2013,330340,M,Met
2013,330348,M,Met
2013,330350,H,Did Not Meet
2013,330354,E,Met
2013,330358,H,Did Not Meet
2013,330LEA,,Met
2013,33A000,I,Met
2013,340308,E,Met
2013,340311,H,Did Not Meet
2013,340314,E,Met
2013,340320,E,Met
2013,340326,E,Met
2013,340330,H,Did Not Meet
2013,340332,,Did Not Meet
2013,340334,E,Met
2013,340336,H,Met
2013,340344,E,Did Not Meet
2013,340348,E,Met
2013,340350,M,Met
2013,340351,E,Met
2013,340354,I,Met
2013,340362,H,Did Not Meet
2013,340364,H,Did Not Meet
2013,340366,M,Met
2013,340368,E,Met
2013,340372,M,Met
2013,340376,E,Met
2013,340380,E,Met
2013,340382,H,Did Not Meet
2013,340384,E,Met
2013,340385,T,Did Not Meet
2013,340390,E,Met
2013,340392,M,Met
2013,340398,A,Did Not Meet
2013,340400,E,Met
2013,340403,E,Met
2013,340406,M,Met
2013,340416,E,Met
2013,340420,M,Met
2013,340424,E,Met
2013,340426,E,Met
2013,340427,A,Did Not Meet
2013,340428,E,Met
2013,340430,E,Met
2013,340432,E,Met
2013,340436,,Met
2013,340440,E,Met
2013,340442,M,Met
2013,340446,H,Did Not Meet
2013,340447,E,Met
2013,340448,E,Met
2013,340452,M,Met
2013,340453,E,Met
2013,340454,H,Did Not Meet
2013,340457,E,Met
2013,340460,H,Did Not Meet
2013,340462,E,Met
2013,340464,M,Met
2013,340472,E,Met
2013,340476,E,Met
2013,340480,T,Met
2013,340486,H,Did Not Meet
2013,340488,T,Met
2013,340490,E,Met
2013,340492,M,Met
2013,340494,E,Met
2013,340495,H,Did Not Meet
2013,340496,H,Did Not Meet
2013,340504,E,Met
2013,340508,E,Met
2013,340512,E,Met
2013,340516,M,Met
2013,340520,E,Met
2013,340528,E,Met
2013,340530,E,Met
2013,340531,E,Did Not Meet
2013,340532,E,Met
2013,340536,E,Met
2013,340540,E,Met
2013,340542,H,Met
2013,340544,M,Met
2013,340548,E,Met
2013,340556,H,Did Not Meet
2013,340560,E,Met
2013,340564,M,Met
2013,340568,T,Did Not Meet
2013,340703,H,Did Not Meet
2013,340LEA,,Met
2013,34B000,A,Did Not Meet
2013,34C000,M,Met
2013,34D000,A,Did Not Meet
2013,34F000,I,Met
2013,34G000,E,Met
2013,350304,E,Met
2013,350308,H,Did Not Meet
2013,350310,M,Met
2013,350312,M,Met
2013,350316,E,Met
2013,350317,H,Met
2013,350318,E,Met
2013,350321,H,Did Not Meet
2013,350330,E,Met
2013,350331,E,Met
2013,350332,E,Met
2013,350336,H,Did Not Meet
2013,350338,M,Met
2013,350339,E,Met
2013,350340,E,Met
2013,350LEA,,Met
2013,35A000,I,Met
2013,360310,H,Did Not Meet
2013,360320,E,Met
2013,360324,M,Met
2013,360332,E,Met
2013,360336,H,Did Not Meet
2013,360337,H,Did Not Meet
2013,360338,E,Did Not Meet
2013,360339,E,Met
2013,360340,E,Met
2013,360344,E,Met
2013,360348,E,Met
2013,360352,E,Met
2013,360360,H,Did Not Meet
2013,360364,E,Met
2013,360372,T,Did Not Meet
2013,360376,E,Met
2013,360380,M,Met
2013,360390,H,Did Not Meet
2013,360392,E,Met
2013,360394,,Met
2013,360396,H,Did Not Meet
2013,360400,E,Met
2013,360408,M,Met
2013,360416,E,Met
2013,360418,H,Did Not Meet
2013,360426,M,Met
2013,360428,H,Did Not Meet
2013,360430,E,Did Not Meet
2013,360431,M,Met
2013,360432,E,Met
2013,360436,M,Met
2013,360438,E,Met
2013,360440,E,Met
2013,360448,E,Met
2013,360456,M,Met
2013,360460,E,Met
2013,360464,E,Met
2013,360468,E,Met
2013,360470,H,Did Not Meet
2013,360478,E,Met
2013,360480,E,Met
2013,360482,E,Met
2013,360484,E,Met
2013,360488,E,Met
2013,360490,E,Met
2013,360492,E,Met
2013,360494,H,Did Not Meet
2013,360498,M,Met
2013,360499,E,Did Not Meet
2013,360500,M,Met
2013,360504,E,Met
2013,360510,E,Met
2013,360514,M,Met
2013,360520,E,Met
2013,360526,M,Met
2013,360LEA,,Met
2013,36B000,A,Did Not Meet
2013,36C000,I,Met
2013,370304,E,Met
2013,370308,M,Met
2013,370312,H,Did Not Meet
2013,370316,E,Met
2013,370324,E,Met
2013,370LEA,,Met
2013,380306,E,Met
2013,380308,H,Did Not Meet
2013,380310,M,Met
2013,380LEA,,Met
2013,390309,M,Met
2013,390311,E,Met
2013,390312,E,Met
2013,390314,A,Did Not Meet
2013,390316,E,Met
2013,390320,M,Met
2013,390322,H,Did Not Meet
2013,390323,H,Met
2013,390324,H,Did Not Meet
2013,390331,M,Met
2013,390333,E,Met
2013,390334,M,Met
2013,390336,E,Met
