year,agency_code,category_code,pct_fully_licensed,pct_lateral_entry
2018,170LEA,E,1.0,0.057999999999999996
2018,170LEA,H,1.0,0.228
2018,170LEA,M,1.0,0.10800000000000001
2018,180302,M,1.0,0.053
2018,180304,E,1.0,0.0
2018,180308,H,1.0,0.02
2018,180312,E,1.0,0.0
2018,180316,E,0.9740000000000001,0.013000000000000001
2018,180320,H,0.981,0.11199999999999999
2018,180323,A,1.0,0.0
2018,180324,E,1.0,0.032
2018,180325,H,1.0,0.071
2018,180326,E,1.0,0.0
2018,180332,E,1.0,0.0
2018,180336,E,1.0,0.0
2018,180340,H,1.0,0.052000000000000005
2018,180342,M,1.0,0.0
2018,180343,E,1.0,0.0
2018,180344,E,1.0,0.0
2018,180346,M,1.0,0.036000000000000004
2018,180348,H,1.0,0.0
2018,180352,M,1.0,0.0
2018,180356,E,1.0,0.023
2018,180360,E,1.0,0.0
2018,180364,M,1.0,0.107
2018,180368,E,1.0,0.0
2018,180372,E,1.0,0.0
2018,180376,H,0.986,0.013999999999999999
2018,180379,E,1.0,0.0
2018,180380,E,1.0,0.015
2018,180388,E,1.0,0.0
2018,180LEA,A,1.0,0.0
2018,180LEA,E,0.998,0.006
2018,180LEA,H,0.993,0.04
2018,180LEA,M,1.0,0.040999999999999995
2018,180LEA,T,,
2018,181312,M,1.0,0.0
2018,181316,M,1.0,0.094
2018,181318,T,1.0,0.195
2018,181322,H,1.0,0.17800000000000002
2018,181326,E,1.0,0.036000000000000004
2018,181332,E,1.0,0.0
2018,181336,E,1.0,0.0
2018,181342,E,1.0,0.039
2018,181344,E,1.0,0.0
2018,181LEA,E,1.0,0.016
2018,181LEA,H,1.0,0.17800000000000002
2018,181LEA,M,1.0,0.045
2018,181LEA,T,1.0,0.195
2018,182304,A,1.0,0.095
2018,182316,H,1.0,0.02
2018,182321,M,1.0,0.027999999999999997
2018,182322,E,1.0,0.034
2018,182324,E,1.0,0.0
2018,182328,E,1.0,0.0
2018,182700,H,1.0,0.1
2018,182LEA,A,1.0,0.095
2018,182LEA,E,1.0,0.011000000000000001
2018,182LEA,H,1.0,0.033
2018,182LEA,M,1.0,0.027999999999999997
2018,190304,I,1.0,0.03
2018,190308,I,1.0,0.0
2018,190310,H,1.0,0.11800000000000001
2018,190312,M,1.0,0.14300000000000002
2018,190316,H,1.0,0.11699999999999999
2018,190328,M,1.0,0.077
2018,190332,I,1.0,0.027000000000000003
2018,190336,H,0.9840000000000001,0.07200000000000001
2018,190339,M,1.0,0.13
2018,190340,I,1.0,0.0
2018,190341,E,1.0,0.025
2018,190342,H,1.0,0.07200000000000001
2018,190346,E,0.978,0.0
2018,190348,E,1.0,0.027000000000000003
2018,190350,E,1.0,0.027999999999999997
2018,190352,I,1.0,0.038
2018,190370,E,1.0,0.049
2018,190501,H,,
2018,190LEA,E,0.996,0.026000000000000002
2018,190LEA,H,0.995,0.08199999999999999
2018,190LEA,I,1.0,0.019
2018,190LEA,M,1.0,0.122
2018,19A000,A,0.941,0.028999999999999998
2018,19B000,A,0.68,0.02
2018,19C000,I,0.667,0.0
2018,200304,E,1.0,0.0
2018,200308,H,1.0,0.14300000000000002
2018,200310,M,1.0,0.16699999999999998
2018,200312,I,1.0,0.0
2018,200314,H,1.0,0.059000000000000004
2018,200320,I,1.0,0.0
2018,200322,T,1.0,0.125
2018,200324,E,1.0,0.027000000000000003
2018,200328,H,1.0,0.125
2018,200330,M,1.0,0.136
2018,200332,E,1.0,0.0
2018,200336,I,1.0,0.048
2018,200350,H,1.0,0.14300000000000002
2018,200LEA,E,1.0,0.012
2018,200LEA,H,1.0,0.11699999999999999
2018,200LEA,I,1.0,0.018000000000000002
2018,200LEA,M,1.0,0.15
2018,200LEA,T,1.0,0.125
2018,20A000,I,1.0,0.048
2018,210304,M,1.0,0.03
2018,210306,E,1.0,0.0
2018,210312,H,1.0,0.14300000000000002
2018,210316,E,1.0,0.0
2018,210LEA,E,1.0,0.0
2018,210LEA,H,1.0,0.14300000000000002
2018,210LEA,M,1.0,0.03
2018,220308,E,1.0,0.0
2018,220310,H,1.0,0.063
2018,220312,M,1.0,0.0
2018,220LEA,E,1.0,0.0
2018,220LEA,H,1.0,0.063
2018,220LEA,M,1.0,0.0
2018,230304,E,1.0,0.0
2018,230308,E,1.0,0.0
2018,230312,H,1.0,0.07
2018,230316,M,1.0,0.037000000000000005
2018,230320,E,1.0,0.0
2018,230322,H,1.0,0.0
2018,230324,H,1.0,0.042
2018,230328,M,1.0,0.034
2018,230330,T,1.0,0.16399999999999998
2018,230334,E,1.0,0.113
2018,230336,M,1.0,0.132
2018,230340,E,1.0,0.027000000000000003
2018,230342,E,1.0,0.040999999999999995
2018,230344,E,1.0,0.0
2018,230346,E,0.961,0.155
2018,230348,E,1.0,0.07200000000000001
2018,230350,H,1.0,0.052000000000000005
2018,230351,M,1.0,0.051
2018,230352,M,1.0,0.024
2018,230355,E,1.0,0.115
2018,230357,E,1.0,0.0
2018,230359,A,1.0,0.075
2018,230361,H,1.0,0.095
2018,230362,M,1.0,0.131
2018,230364,E,1.0,0.0
2018,230368,E,0.978,0.09
2018,230370,E,1.0,0.0
2018,230376,E,0.9670000000000001,0.033
2018,230380,E,1.0,0.048
2018,230LEA,A,1.0,0.076
