year,agency_code,pct_prin_demo,subgroup
2006,220LEA,,BL7
2006,220LEA,0.333,FEM
2006,220LEA,0.667,MALE
2006,220LEA,,OTHER
2006,220LEA,1,WH7
2006,230LEA,0.143,BL7
2006,230LEA,0.571,FEM
2006,230LEA,0.429,MALE
2006,230LEA,,OTHER
2006,230LEA,0.857,WH7
2006,240LEA,0.158,BL7
2006,240LEA,0.316,FEM
2006,240LEA,0.684,MALE
2006,240LEA,0.158,OTHER
2006,240LEA,0.684,WH7
2006,241LEA,0.2,BL7
2006,241LEA,0.8,FEM
2006,241LEA,0.2,MALE
2006,241LEA,,OTHER
2006,241LEA,0.8,WH7
2006,250LEA,0.182,BL7
2006,250LEA,0.636,FEM
2006,250LEA,0.364,MALE
2006,250LEA,,OTHER
2006,250LEA,0.818,WH7
2006,260LEA,0.403,BL7
2006,260LEA,0.74,FEM
2006,260LEA,0.26,MALE
2006,260LEA,,OTHER
2006,260LEA,0.597,WH7
2006,270LEA,0.375,BL7
2006,270LEA,0.5,FEM
2006,270LEA,0.5,MALE
2006,270LEA,,OTHER
2006,270LEA,0.625,WH7
2006,280LEA,,BL7
2006,280LEA,0.273,FEM
2006,280LEA,0.727,MALE
2006,280LEA,,OTHER
2006,280LEA,1,WH7
2006,290LEA,0.034,BL7
2006,290LEA,0.69,FEM
2006,290LEA,0.31,MALE
2006,290LEA,,OTHER
2006,290LEA,0.966,WH7
2006,291LEA,0.167,BL7
2006,291LEA,0.833,FEM
2006,291LEA,0.167,MALE
2006,291LEA,,OTHER
2006,291LEA,0.833,WH7
2006,292LEA,,BL7
2006,292LEA,0.5,FEM
2006,292LEA,0.5,MALE
2006,292LEA,,OTHER
2006,292LEA,1,WH7
2006,300LEA,0.111,BL7
2006,300LEA,0.333,FEM
2006,300LEA,0.667,MALE
2006,300LEA,0.111,OTHER
2006,300LEA,0.778,WH7
2006,310LEA,0.133,BL7
2006,310LEA,0.667,FEM
2006,310LEA,0.333,MALE
2006,310LEA,,OTHER
2006,310LEA,0.867,WH7
2006,320LEA,0.5,BL7
2006,320LEA,0.543,FEM
2006,320LEA,0.457,MALE
2006,320LEA,0.022,OTHER
2006,320LEA,0.478,WH7
2006,330LEA,0.438,BL7
2006,330LEA,0.563,FEM
2006,330LEA,0.438,MALE
2006,330LEA,,OTHER
2006,330LEA,0.563,WH7
2006,340LEA,0.324,BL7
2006,340LEA,0.527,FEM
2006,340LEA,0.473,MALE
2006,340LEA,0.014,OTHER
2006,340LEA,0.662,WH7
2006,350LEA,0.214,BL7
2006,350LEA,0.429,FEM
2006,350LEA,0.571,MALE
2006,350LEA,,OTHER
2006,350LEA,0.786,WH7
2006,360LEA,0.185,BL7
2006,360LEA,0.5,FEM
2006,360LEA,0.5,MALE
2006,360LEA,,OTHER
2006,360LEA,0.815,WH7
2006,370LEA,0.2,BL7
2006,370LEA,0.4,FEM
2006,370LEA,0.6,MALE
2006,370LEA,,OTHER
2006,370LEA,0.8,WH7
2006,380LEA,,BL7
2006,380LEA,1,FEM
2006,380LEA,1,MALE
2006,380LEA,,OTHER
2006,380LEA,,WH7
2006,390LEA,0.375,BL7
2006,390LEA,0.625,FEM
2006,390LEA,0.375,MALE
2006,390LEA,,OTHER
2006,390LEA,0.625,WH7
2006,400LEA,0.25,BL7
2006,400LEA,0.5,FEM
2006,400LEA,0.5,MALE
2006,400LEA,,OTHER
2006,400LEA,0.75,WH7
2006,410LEA,0.402,BL7
2006,410LEA,0.661,FEM
2006,410LEA,0.339,MALE
2006,410LEA,0.027,OTHER
2006,410LEA,0.571,WH7
2006,420LEA,0.867,BL7
2006,420LEA,0.667,FEM
2006,420LEA,0.333,MALE
2006,420LEA,0.067,OTHER
2006,420LEA,0.067,WH7
2006,421LEA,0.5,BL7
2006,421LEA,0.5,FEM
2006,421LEA,0.5,MALE
2006,421LEA,,OTHER
2006,421LEA,0.5,WH7
2006,422LEA,,BL7
2006,422LEA,0.333,FEM
2006,422LEA,0.667,MALE
2006,422LEA,,OTHER
2006,422LEA,1,WH7
2006,430LEA,0.231,BL7
2006,430LEA,0.577,FEM
2006,430LEA,0.423,MALE
2006,430LEA,,OTHER
2006,430LEA,0.769,WH7
2006,440LEA,,BL7
2006,440LEA,0.333,FEM
2006,440LEA,0.667,MALE
2006,440LEA,,OTHER
2006,440LEA,1,WH7
2006,450LEA,,BL7
2006,450LEA,0.476,FEM
2006,450LEA,0.524,MALE
2006,450LEA,,OTHER
2006,450LEA,1,WH7
2006,460LEA,0.6,BL7
2006,460LEA,0.4,FEM
2006,460LEA,0.6,MALE
2006,460LEA,,OTHER
2006,460LEA,0.4,WH7
2006,470LEA,0.273,BL7
2006,470LEA,0.545,FEM
2006,470LEA,0.455,MALE
2006,470LEA,0.182,OTHER
2006,470LEA,0.545,WH7
2006,480LEA,0.25,BL7
2006,480LEA,0.25,FEM
2006,480LEA,0.75,MALE
2006,480LEA,,OTHER
2006,480LEA,0.75,WH7
2006,490LEA,0.057,BL7
2006,490LEA,0.514,FEM
2006,490LEA,0.486,MALE
2006,490LEA,,OTHER
2006,490LEA,0.943,WH7
2006,491LEA,0.143,BL7
2006,491LEA,0.714,FEM
2006,491LEA,0.286,MALE
2006,491LEA,,OTHER
2006,491LEA,0.857,WH7
2006,500LEA,,BL7
2006,500LEA,0.429,FEM
2006,500LEA,0.571,MALE
2006,500LEA,,OTHER
2006,500LEA,1,WH7
2006,510LEA,0.139,BL7
2006,510LEA,0.528,FEM
2006,510LEA,0.472,MALE
2006,510LEA,0.028,OTHER
