year,agency_code,grade,pct_prof,pct_prof_masking
2018,510376,9,43.4,
2018,510379,6,54.7,
2018,510382,6,62.4,
2018,510390,6,16.8,
2018,510397,6,31.5,
2018,510399,9,28.3,
2018,510402,9,24.4,
2018,510406,9,41.0,
2018,510411,6,46.5,
2018,510412,6,37.6,
2018,51A000,6,52.2,
2018,51A000,9,48.3,
2018,520304,6,45.5,
2018,520308,6,50.0,
2018,520320,9,34.1,
2018,520336,6,53.1,
2018,530306,9,5.0,2.0
2018,530314,6,44.2,
2018,530335,9,75.0,
2018,530336,9,28.0,
2018,530341,6,49.3,
2018,530343,9,32.3,
2018,530356,6,42.7,
2018,540308,6,39.5,
2018,540312,6,37.2,
2018,540315,9,10.0,
2018,540317,9,59.0,
2018,540318,9,8.3,
2018,540324,9,26.9,
2018,540330,6,20.5,
2018,540336,9,24.2,
2018,540344,6,62.0,
2018,54A000,6,21.4,
2018,550320,9,54.1,
2018,550322,6,65.9,
2018,550332,9,39.4,
2018,550334,6,37.4,
2018,550344,9,61.2,
2018,550350,6,62.0,
2018,550368,9,28.8,
2018,550372,6,49.0,
2018,55A000,6,68.0,
2018,55A000,9,66.1,
2018,560320,9,43.3,
2018,560324,6,75.0,
2018,560324,9,46.2,
2018,560329,9,80.8,
2018,560331,6,51.2,
2018,560350,9,16.7,
2018,570317,9,56.7,
2018,570318,9,23.1,
2018,570319,6,64.4,
2018,580344,9,29.5,
2018,580350,6,22.2,
2018,580368,9,29.3,
2018,580372,6,37.1,
2018,58B000,6,47.0,
2018,58B000,9,47.3,
2018,590310,6,37.2,
2018,590328,9,71.9,
2018,590330,9,39.2,
2018,590356,6,44.7,
2018,590393,6,63.9,
2018,590393,9,5.0,
2018,600301,6,31.6,
2018,600302,9,78.3,
2018,600305,6,50.5,
2018,600311,6,19.6,
2018,600312,9,69.4,
2018,600313,6,71.1,
2018,600317,6,23.0,
2018,600319,6,21.8,
2018,600333,6,59.9,
2018,600336,6,72.2,
