year,agency_code,status,subgroup,ccc_count,ccc_pct
2009,01B000,COMP1Y,AS7,,
2009,01B000,COMP1Y,ALL,14,58.33
2009,01B000,COMP1Y,BL7,5,55.55
2009,01B000,COMP1Y,EDS,,33.33
2009,01B000,COMP1Y,FEM,7,43.75
2009,01B000,COMP1Y,HI7,,
2009,01B000,COMP1Y,ELS,,
2009,01B000,COMP1Y,MALE,7,87.5
2009,01B000,COMP1Y,MU7,,50
2009,01B000,COMP1Y,SWD,,
2009,01B000,COMP1Y,WH7,7,58.33
2009,01B000,NOCOMP1Y,AM7,,95
2009,01B000,NOCOMP1Y,AS7,,
2009,01B000,NOCOMP1Y,ALL,10,58.33
2009,01B000,NOCOMP1Y,BL7,,55.55
2009,01B000,NOCOMP1Y,EDS,,33.33
2009,01B000,NOCOMP1Y,FEM,9,43.75
2009,01B000,NOCOMP1Y,HI7,,
2009,01B000,NOCOMP1Y,ELS,,
2009,01B000,NOCOMP1Y,MALE,,87.5
2009,01B000,NOCOMP1Y,MU7,,50
2009,01B000,NOCOMP1Y,SWD,,
2009,01B000,NOCOMP1Y,WH7,5,58.33
2009,01C000,COMP1Y,AM7,,
2009,01C000,COMP1Y,AS7,,
2009,01C000,COMP1Y,ALL,11,91.66
2009,01C000,COMP1Y,BL7,,
2009,01C000,COMP1Y,EDS,,
2009,01C000,COMP1Y,FEM,9,95
2009,01C000,COMP1Y,HI7,,
2009,01C000,COMP1Y,ELS,,
2009,01C000,COMP1Y,MALE,,66.66
2009,01C000,COMP1Y,MU7,,
2009,01C000,COMP1Y,SWD,,
2009,01C000,COMP1Y,WH7,11,91.66
2009,01C000,NOCOMP1Y,AM7,,
2009,01C000,NOCOMP1Y,AS7,,
2009,01C000,NOCOMP1Y,ALL,,91.66
2009,01C000,NOCOMP1Y,BL7,,
2009,01C000,NOCOMP1Y,EDS,,
2009,01C000,NOCOMP1Y,FEM,,95
2009,01C000,NOCOMP1Y,HI7,,
2009,01C000,NOCOMP1Y,ELS,,
2009,01C000,NOCOMP1Y,MALE,,66.66
2009,01C000,NOCOMP1Y,MU7,,
2009,01C000,NOCOMP1Y,SWD,,
2009,01C000,NOCOMP1Y,WH7,,91.66
2009,01D000,COMP1Y,AM7,,
2009,01D000,COMP1Y,AS7,,
2009,01D000,COMP1Y,ALL,,42.85
2009,01D000,COMP1Y,BL7,,
2009,01D000,COMP1Y,EDS,,
2009,01D000,COMP1Y,FEM,,40
2009,01D000,COMP1Y,HI7,,
2009,01D000,COMP1Y,ELS,,
2009,01D000,COMP1Y,MALE,,50
2009,01D000,COMP1Y,MU7,,
2009,01D000,COMP1Y,SWD,,
2009,01D000,COMP1Y,WH7,,42.85
2009,01D000,NOCOMP1Y,AM7,,
2009,01D000,NOCOMP1Y,AS7,,
2009,01D000,NOCOMP1Y,ALL,,42.85
2009,01D000,NOCOMP1Y,BL7,,
2009,01D000,NOCOMP1Y,EDS,,
2009,01D000,NOCOMP1Y,FEM,,40
2009,01D000,NOCOMP1Y,HI7,,
2009,01D000,NOCOMP1Y,ELS,,
2009,01D000,NOCOMP1Y,MALE,,50
2009,01D000,NOCOMP1Y,MU7,,
2009,01D000,NOCOMP1Y,SWD,,
2009,01D000,NOCOMP1Y,WH7,,42.85
2009,020302,COMP1Y,AM7,,
2009,020302,COMP1Y,AS7,,25
2009,020302,COMP1Y,ALL,101,53.15
2009,020302,COMP1Y,BL7,,25
2009,020302,COMP1Y,EDS,15,37.5
2009,020302,COMP1Y,FEM,59,57.28
2009,020302,COMP1Y,HI7,,25
2009,020302,COMP1Y,ELS,,12.5
2009,020302,COMP1Y,MALE,42,48.27
2009,020302,COMP1Y,MU7,,95
2009,020302,COMP1Y,SWD,,
2009,020302,COMP1Y,WH7,95,56.21
2009,020302,NOCOMP1Y,AM7,,
2009,020302,NOCOMP1Y,AS7,6,25
2009,020302,NOCOMP1Y,ALL,89,53.15
2009,020302,NOCOMP1Y,BL7,6,25
2009,020302,NOCOMP1Y,EDS,25,37.5
2009,020302,NOCOMP1Y,FEM,44,57.28
2009,020302,NOCOMP1Y,HI7,,25
2009,020302,NOCOMP1Y,ELS,7,12.5
2009,020302,NOCOMP1Y,MALE,45,48.27
2009,020302,NOCOMP1Y,MU7,,95
2009,020302,NOCOMP1Y,SWD,,
2009,020302,NOCOMP1Y,WH7,74,56.21
2009,020LEA,COMP1Y,AM7,,
2009,020LEA,COMP1Y,AS7,,25
2009,020LEA,COMP1Y,ALL,101,53.15
2009,020LEA,COMP1Y,BL7,,25
2009,020LEA,COMP1Y,EDS,15,37.5
2009,020LEA,COMP1Y,FEM,59,57.28
2009,020LEA,COMP1Y,HI7,,25
2009,020LEA,COMP1Y,ELS,,12.5
2009,020LEA,COMP1Y,MALE,42,48.27
2009,020LEA,COMP1Y,MU7,,95
2009,020LEA,COMP1Y,SWD,,
2009,020LEA,COMP1Y,WH7,95,56.21
2009,020LEA,NOCOMP1Y,AM7,,
2009,020LEA,NOCOMP1Y,AS7,6,25
2009,020LEA,NOCOMP1Y,ALL,89,53.15
2009,020LEA,NOCOMP1Y,BL7,6,25
2009,020LEA,NOCOMP1Y,EDS,25,37.5
2009,020LEA,NOCOMP1Y,FEM,44,57.28
2009,020LEA,NOCOMP1Y,HI7,,25
2009,020LEA,NOCOMP1Y,ELS,7,12.5
2009,020LEA,NOCOMP1Y,MALE,45,48.27
2009,020LEA,NOCOMP1Y,MU7,,95
2009,020LEA,NOCOMP1Y,SWD,,
2009,020LEA,NOCOMP1Y,WH7,74,56.21
2009,030304,COMP1Y,AM7,,
2009,030304,COMP1Y,AS7,,
2009,030304,COMP1Y,ALL,26,53.06
2009,030304,COMP1Y,BL7,,
2009,030304,COMP1Y,EDS,,30.76
2009,030304,COMP1Y,FEM,16,53.33
2009,030304,COMP1Y,HI7,,33.33
2009,030304,COMP1Y,ELS,,
2009,030304,COMP1Y,MALE,10,52.63
2009,030304,COMP1Y,MU7,,
2009,030304,COMP1Y,SWD,,
2009,030304,COMP1Y,WH7,25,55.55
2009,030304,NOCOMP1Y,AM7,,
2009,030304,NOCOMP1Y,AS7,,
2009,030304,NOCOMP1Y,ALL,23,53.06
2009,030304,NOCOMP1Y,BL7,,
2009,030304,NOCOMP1Y,EDS,9,30.76
2009,030304,NOCOMP1Y,FEM,14,53.33
2009,030304,NOCOMP1Y,HI7,,33.33
2009,030304,NOCOMP1Y,ELS,,
2009,030304,NOCOMP1Y,MALE,9,52.63
2009,030304,NOCOMP1Y,MU7,,
2009,030304,NOCOMP1Y,SWD,,
2009,030304,NOCOMP1Y,WH7,20,55.55
2009,030LEA,COMP1Y,AM7,,
2009,030LEA,COMP1Y,AS7,,
2009,030LEA,COMP1Y,ALL,26,53.06
2009,030LEA,COMP1Y,BL7,,
2009,030LEA,COMP1Y,EDS,,30.76
2009,030LEA,COMP1Y,FEM,16,53.33
2009,030LEA,COMP1Y,HI7,,33.33
2009,030LEA,COMP1Y,ELS,,
2009,030LEA,COMP1Y,MALE,10,52.63
2009,030LEA,COMP1Y,MU7,,
2009,030LEA,COMP1Y,SWD,,
2009,030LEA,COMP1Y,WH7,25,55.55
2009,030LEA,NOCOMP1Y,AM7,,
2009,030LEA,NOCOMP1Y,AS7,,
2009,030LEA,NOCOMP1Y,ALL,23,53.06
2009,030LEA,NOCOMP1Y,BL7,,
2009,030LEA,NOCOMP1Y,EDS,9,30.76
2009,030LEA,NOCOMP1Y,FEM,14,53.33
2009,030LEA,NOCOMP1Y,HI7,,33.33
2009,030LEA,NOCOMP1Y,ELS,,
2009,030LEA,NOCOMP1Y,MALE,9,52.63
2009,030LEA,NOCOMP1Y,MU7,,
2009,030LEA,NOCOMP1Y,SWD,,
2009,030LEA,NOCOMP1Y,WH7,20,55.55
2009,040304,COMP1Y,AM7,,
2009,040304,COMP1Y,AS7,,
2009,040304,COMP1Y,ALL,,50
2009,040304,COMP1Y,BL7,,50
2009,040304,COMP1Y,EDS,,
2009,040304,COMP1Y,FEM,,66.66
2009,040304,COMP1Y,HI7,,
