year,agency_code,total_nbpts_num,category_code,nbpts_num
2006,140344,7976,I,4
2006,140348,7976,H,12
2006,140352,7976,E,6
2006,140356,7976,M,10
2006,140360,7976,I,2
2006,140368,7976,M,12
2006,140372,7976,E,4
2006,140376,7976,I,2
2006,140384,7976,E,10
2006,140386,7976,H,13
2006,140388,7976,E,1
2006,140390,7976,H,7
2006,140392,7976,E,3
2006,140396,7976,E,3
2006,140LEA,7976,E,4
2006,140LEA,7976,H,11
2006,140LEA,7976,I,2
2006,140LEA,7976,M,8
2006,140LEA,7976,T,
2006,150304,7976,H,7
2006,150308,7976,E,1
2006,150312,7976,M,3
2006,150LEA,7976,E,1
2006,150LEA,7976,H,7
2006,150LEA,7976,M,3
2006,160304,7976,I,
2006,160306,7976,E,8
2006,160308,7976,E,2
2006,160310,7976,M,1
2006,160311,7976,M,3
2006,160312,7976,I,
2006,160313,7976,H,11
2006,160314,7976,H,13
2006,160316,7976,I,1
2006,160317,7976,E,6
2006,160318,7976,M,5
2006,160322,7976,E,7
2006,160324,7976,E,1
2006,160326,7976,M,11
2006,160332,7976,I,8
2006,160344,7976,H,9
2006,160352,7976,E,4
2006,160LEA,7976,E,5
2006,160LEA,7976,H,11
2006,160LEA,7976,I,5
2006,160LEA,7976,M,5
2006,16A000,7976,H,
2006,16B000,7976,I,
2006,170316,7976,H,4
2006,170334,7976,E,5
2006,170338,7976,M,3
2006,170339,7976,E,3
2006,170342,7976,E,4
2006,170344,7976,E,1
2006,170LEA,7976,E,3
2006,170LEA,7976,H,4
2006,170LEA,7976,M,3
2006,180302,7976,M,7
2006,180304,7976,E,8
2006,180308,7976,H,7
2006,180312,7976,E,4
2006,180316,7976,E,4
2006,180320,7976,H,3
2006,180324,7976,M,4
2006,180325,7976,H,
2006,180326,7976,M,2
2006,180332,7976,E,8
2006,180336,7976,E,7
2006,180340,7976,H,6
2006,180342,7976,M,3
2006,180343,7976,E,6
2006,180344,7976,E,5
2006,180348,7976,H,3
2006,180352,7976,M,5
2006,180356,7976,E,11
2006,180360,7976,E,5
2006,180364,7976,M,4
2006,180368,7976,E,6
2006,180372,7976,E,12
2006,180376,7976,H,13
2006,180380,7976,E,6
2006,180384,7976,E,2
2006,180388,7976,E,5
2006,180LEA,7976,E,6
2006,180LEA,7976,H,6
2006,180LEA,7976,M,4
2006,181312,7976,M,4
2006,181316,7976,M,
2006,181318,7976,T,
2006,181322,7976,H,14
2006,181324,7976,T,
2006,181326,7976,E,2
2006,181332,7976,E,1
2006,181336,7976,E,3
2006,181342,7976,E,4
2006,181344,7976,E,2
2006,181LEA,7976,E,2
2006,181LEA,7976,H,14
2006,181LEA,7976,M,4
2006,181LEA,7976,T,
2006,182304,7976,A,3
2006,182316,7976,H,1
2006,182321,7976,M,4
2006,182322,7976,E,4
2006,182324,7976,E,4
2006,182328,7976,E,2
2006,182700,7976,H,
2006,182LEA,7976,A,3
2006,182LEA,7976,E,3
2006,182LEA,7976,H,1
2006,182LEA,7976,M,4
2006,18B000,7976,E,
2006,190304,7976,I,3
2006,190308,7976,I,4
2006,190310,7976,H,
2006,190312,7976,M,
2006,190316,7976,H,1
2006,190328,7976,M,1
2006,190332,7976,I,2
2006,190336,7976,H,2
2006,190340,7976,I,2
2006,190341,7976,I,
2006,190342,7976,H,10
2006,190346,7976,I,4
2006,190348,7976,E,4
2006,190350,7976,E,7
2006,190352,7976,I,3
2006,190LEA,7976,E,6
2006,190LEA,7976,H,4
2006,190LEA,7976,I,3
2006,190LEA,7976,M,1
2006,19A000,7976,I,
2006,19B000,7976,A,
2006,200304,7976,E,3
2006,200308,7976,H,3
2006,200310,7976,M,5
2006,200312,7976,I,1
2006,200314,7976,H,2
2006,200316,7976,E,
2006,200320,7976,I,4
2006,200322,7976,T,
2006,200324,7976,E,3
2006,200328,7976,H,9
2006,200330,7976,M,3
2006,200332,7976,E,1
2006,200336,7976,I,5
2006,200LEA,7976,E,2
2006,200LEA,7976,H,5
2006,200LEA,7976,I,3
2006,200LEA,7976,M,4
2006,200LEA,7976,T,
2006,20A000,7976,E,
2006,210304,7976,M,3
2006,210306,7976,E,12
2006,210312,7976,H,12
2006,210316,7976,E,10
2006,210LEA,7976,E,11
2006,210LEA,7976,H,12
2006,210LEA,7976,M,3
2006,220308,7976,E,1
2006,220310,7976,H,9
2006,220312,7976,M,3
2006,220LEA,7976,E,1
2006,220LEA,7976,H,9
2006,220LEA,7976,M,3
2006,230304,7976,E,1
2006,230308,7976,E,14
2006,230312,7976,H,8
2006,230316,7976,M,4
2006,230320,7976,E,4
2006,230324,7976,H,18
2006,230328,7976,M,13
2006,230330,7976,T,
2006,230334,7976,E,3
2006,230336,7976,E,6
2006,230340,7976,E,2
2006,230342,7976,E,1
2006,230344,7976,E,4
2006,230346,7976,E,2
2006,230348,7976,E,7
2006,230350,7976,H,12
2006,230351,7976,M,8
2006,230352,7976,M,4
2006,230355,7976,E,7
2006,230357,7976,E,5
2006,230359,7976,A,4
2006,230361,7976,H,15
2006,230362,7976,M,7
2006,230364,7976,E,9
2006,230368,7976,E,2
2006,230370,7976,E,3
2006,230376,7976,E,2
2006,230380,7976,E,2
2006,230LEA,7976,A,4
2006,230LEA,7976,E,4
2006,230LEA,7976,H,13
2006,230LEA,7976,M,7
2006,230LEA,7976,T,
2006,240304,7976,M,
2006,240308,7976,E,2
2006,240318,7976,M,
2006,240328,7976,I,4
2006,240330,7976,M,1
2006,240332,7976,E,2
2006,240334,7976,H,3
2006,240336,7976,T,
