digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,year,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
1,Yes,3:04:05,No,-,Neither,-,080360,2018,26.9,23.0,1.35,2001.0,0.62,E
0,Yes,2:3:4:5,No,-,Neither,-,080362,2018,13.57,29.0,1.12,2001.0,0.56,E
0,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,080700,2018,,12.0,1.5,2008.0,,
,,,,,,,080LEA,2018,24.03,233.0,1.27,2004.0,0.57,
1,No,-,No,-,Staff,-,090304,2018,58.1,25.0,1.25,1992.0,0.52,E
15,Yes,7:08,No,-,Staff,-,090315,2018,20.77,34.0,1.31,1997.0,0.37,M
12,No,-,No,-,Staff,-,090317,2018,44.62,39.0,1.08,1996.0,1.26,E
1,No,-,No,-,Staff,-,090318,2018,59.91,29.0,1.26,1997.0,0.78,E
4,No,-,No,-,Staff,-,090320,2018,43.19,36.0,1.8,2000.0,0.33,M
15,No,-,No,-,Neither,-,090324,2018,33.71,26.0,1.13,2006.0,0.82,E
1,Yes,7:08,No,-,Staff,-,090328,2018,94.7,27.0,1.35,1997.0,0.63,I
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,090330,2018,7.74,56.0,1.12,1991.0,0.83,H
11,No,-,No,-,Staff,-,090332,2018,27.54,49.0,1.63,1998.0,0.75,M
10,No,-,No,-,Staff,-,090333,2018,25.58,47.0,1.27,2002.0,0.81,E
15,No,-,No,-,Staff,-,090352,2018,54.18,21.0,1.24,1997.0,0.7,E
1,Yes,7:08,No,-,Neither,-,090365,2018,24.48,35.0,1.3,2001.0,0.78,M
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,090368,2018,8.67,59.0,1.07,1985.0,0.76,H
,,,,,,,090LEA,2018,28.29,483.0,1.26,1997.0,0.68,
-,No,-,No,-,Neither,-,09A000,2018,,23.0,1.92,,6.84,T
0,No,-,No,-,Neither,-,09B000,2018,0.34,18.0,1.0,,5.82,E
3,No,-,No,-,Both,K:1:2:3:4:5,100302,2018,17.6,66.0,1.25,1999.0,1.09,E
6,No,-,No,-,Neither,-,100304,2018,22.55,71.0,1.65,2001.0,0.72,E
