year,agency_code,num_credentials,num_enrollments,cred_earned_pct
2018,862312,88,374,24
2018,870314,202,450,45
2018,880308,352,585,60
2018,880328,153,241,63
2018,890304,26,122,21
2018,900311,597,1209,49
2018,900316,287,792,36
2018,900336,283,915,31
2018,900342,469,1294,36
2018,900344,268,927,29
2018,900348,603,983,61
2018,900360,437,1092,40
2018,900365,8,25,32
2018,900366,191,754,25
2018,900377,298,857,35
2018,900393,332,1039,32
2018,910364,168,530,32
2018,910370,4,477,1
2018,920316,489,1415,35
2018,920317,494,1453,34
2018,920318,285,1316,22
2018,920348,226,1411,16
2018,920368,464,1565,30
2018,920411,144,995,14
2018,920412,182,1493,12
2018,920428,591,1455,41
2018,920436,640,1933,33
2018,920441,1080,1806,60
2018,920445,461,1312,35
2018,920455,471,1231,38
2018,920466,45,1043,4
2018,920473,431,1375,31
2018,920495,265,1372,19
2018,920500,418,1514,28
2018,920518,26,122,21
2018,920526,990,1887,52
2018,920528,15,68,22
2018,920546,447,1442,31
2018,920552,368,1257,29
2018,920562,55,1023,5
2018,920581,58,337,17
2018,920585,15,149,10
2018,920586,50,150,33
2018,920588,140,1289,11
2018,920595,166,1285,13
2018,930352,11,338,3
2018,940308,35,101,35
2018,940316,129,262,49
2018,940330,5,27,19
2018,950336,129,673,19
2018,950338,34,272,13
2018,960324,373,886,42
2018,960330,252,687,37
2018,960335,124,323,38
2018,960372,306,360,85
2018,960380,643,774,83
2018,960386,381,509,75
2018,970320,186,414,45
2018,970356,265,544,49
2018,970388,373,593,63
2018,970390,248,664,37
2018,980318,282,572,49
2018,980336,248,842,29
2018,980342,157,948,17
2018,980397,23,90,26
2018,990322,284,695,41
2018,990326,305,496,61
2018,995330,341,494,69
