year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2018.0,761336,ELS,1.0,1.0,448.0,448.0,0.0022,0.0022,
2018.0,770310,ELS,3.0,3.0,578.0,578.0,0.0051,0.0051,
2018.0,770316,ELS,1.0,1.0,235.0,235.0,0.0042,0.0042,
2018.0,770318,ELS,3.0,3.0,507.0,507.0,0.0059,0.0059,
2018.0,770328,ELS,1.0,1.0,476.0,476.0,0.0021,0.0021,
2018.0,770340,ELS,1.0,1.0,558.0,558.0,0.0017,0.0017,
2018.0,770342,ELS,3.0,3.0,68.0,68.0,0.0441,0.0441,
2018.0,770344,ELS,2.0,2.0,416.0,416.0,0.0048,0.0048,
2018.0,770346,ELS,3.0,3.0,416.0,416.0,0.0072,0.0072,
2018.0,770348,ELS,8.0,8.0,1365.0,1365.0,0.0058,0.0058,
2018.0,770351,ELS,2.0,2.0,494.0,494.0,0.004,0.004,
2018.0,770364,ELS,1.0,1.0,272.0,272.0,0.0036,0.0036,
2018.0,770368,ELS,1.0,1.0,299.0,299.0,0.0033,0.0033,
2018.0,780322,ELS,4.0,4.0,545.0,545.0,0.0073,0.0073,
2018.0,780324,ELS,2.0,2.0,265.0,265.0,0.0075,0.0075,
2018.0,780325,ELS,1.0,1.0,636.0,636.0,0.0015,0.0015,
2018.0,780329,ELS,4.0,4.0,237.0,237.0,0.0168,0.0168,
2018.0,780330,ELS,5.0,5.0,671.0,671.0,0.0074,0.0074,
2018.0,780336,ELS,8.0,8.0,776.0,776.0,0.0103,0.0103,
2018.0,780340,ELS,1.0,1.0,425.0,425.0,0.0023,0.0023,
2018.0,780341,ELS,5.0,5.0,403.0,403.0,0.0124,0.0124,
2018.0,780342,ELS,35.0,35.0,1878.0,1878.0,0.0186,0.0186,
2018.0,780344,ELS,10.0,10.0,760.0,760.0,0.0131,0.0131,
2018.0,780352,ELS,4.0,4.0,321.0,321.0,0.0124,0.0124,
2018.0,780360,ELS,2.0,2.0,593.0,593.0,0.0033,0.0033,
2018.0,780364,ELS,4.0,4.0,781.0,781.0,0.0051,0.0051,
2018.0,780368,ELS,6.0,6.0,619.0,619.0,0.0096,0.0096,
2018.0,780374,ELS,11.0,11.0,568.0,568.0,0.0193,0.0193,
2018.0,780376,ELS,2.0,2.0,616.0,616.0,0.0032,0.0032,
2018.0,780390,ELS,1.0,1.0,292.0,292.0,0.0034,0.0034,
2018.0,780391,ELS,32.0,32.0,714.0,714.0,0.0448,0.0448,
2018.0,780392,ELS,8.0,8.0,397.0,397.0,0.0201,0.0201,
2018.0,780393,ELS,11.0,11.0,635.0,635.0,0.0173,0.0173,
2018.0,780394,ELS,3.0,3.0,408.0,408.0,0.0073,0.0073,
2018.0,780398,ELS,5.0,5.0,480.0,480.0,0.0104,0.0104,
2018.0,780400,ELS,26.0,26.0,949.0,949.0,0.0273,0.0273,
2018.0,780401,ELS,19.0,19.0,934.0,934.0,0.0203,0.0203,
2018.0,780403,ELS,4.0,4.0,470.0,470.0,0.0085,0.0085,
2018.0,780407,ELS,1.0,1.0,398.0,398.0,0.0025,0.0025,
2018.0,780408,ELS,1.0,1.0,246.0,246.0,0.004,0.004,
2018.0,780410,ELS,3.0,3.0,194.0,194.0,0.0154,0.0154,
2018.0,780412,ELS,3.0,3.0,574.0,574.0,0.0052,0.0052,
2018.0,780420,ELS,3.0,3.0,1577.0,1577.0,0.0019,0.0019,
2018.0,790302,ELS,2.0,2.0,443.0,443.0,0.0045,0.0045,
2018.0,790310,ELS,1.0,1.0,389.0,389.0,0.0025,0.0025,
2018.0,790314,ELS,10.0,10.0,902.0,902.0,0.011000000000000001,0.011000000000000001,
2018.0,790318,ELS,4.0,4.0,363.0,363.0,0.011000000000000001,0.011000000000000001,
2018.0,790322,ELS,2.0,2.0,195.0,195.0,0.0102,0.0102,
2018.0,790327,ELS,1.0,1.0,418.0,418.0,0.0023,0.0023,
2018.0,790330,ELS,4.0,4.0,631.0,631.0,0.0063,0.0063,
2018.0,790334,ELS,2.0,2.0,229.0,229.0,0.0087,0.0087,
2018.0,790344,ELS,6.0,6.0,483.0,483.0,0.0124,0.0124,
2018.0,790347,ELS,1.0,1.0,302.0,302.0,0.0033,0.0033,
2018.0,790350,ELS,5.0,5.0,458.0,458.0,0.0109,0.0109,
2018.0,790354,ELS,12.0,12.0,808.0,808.0,0.0148,0.0148,
2018.0,790358,ELS,3.0,3.0,419.0,419.0,0.0071,0.0071,
2018.0,790366,ELS,9.0,9.0,674.0,674.0,0.0133,0.0133,
2018.0,790374,ELS,4.0,4.0,533.0,533.0,0.0075,0.0075,
2018.0,790378,ELS,6.0,6.0,1038.0,1038.0,0.0057,0.0057,
2018.0,790380,ELS,1.0,1.0,738.0,738.0,0.0013,0.0013,
2018.0,790392,ELS,1.0,1.0,47.0,47.0,0.0212,0.0212,
2018.0,790394,ELS,2.0,2.0,600.0,600.0,0.0033,0.0033,
2018.0,790402,ELS,9.0,9.0,530.0,530.0,0.0169,0.0169,
2018.0,800308,ELS,4.0,4.0,79.0,79.0,0.0506,0.0506,
2018.0,800312,ELS,1.0,1.0,325.0,325.0,0.003,0.003,
2018.0,800314,ELS,2.0,2.0,793.0,793.0,0.0025,0.0025,
2018.0,800315,ELS,3.0,3.0,392.0,392.0,0.0076,0.0076,
2018.0,800316,ELS,5.0,5.0,570.0,570.0,0.0087,0.0087,
2018.0,800340,ELS,2.0,2.0,976.0,976.0,0.002,0.002,
2018.0,800346,ELS,8.0,8.0,497.0,497.0,0.016,0.016,
2018.0,800347,ELS,5.0,5.0,423.0,423.0,0.0118,0.0118,
2018.0,800352,ELS,1.0,1.0,372.0,372.0,0.0026,0.0026,
2018.0,800356,ELS,1.0,1.0,518.0,518.0,0.0019,0.0019,
2018.0,800358,ELS,2.0,2.0,373.0,373.0,0.0053,0.0053,
2018.0,800359,ELS,10.0,10.0,501.0,501.0,0.0199,0.0199,
2018.0,800360,ELS,7.0,7.0,493.0,493.0,0.0141,0.0141,
2018.0,800361,ELS,7.0,7.0,1299.0,1299.0,0.0053,0.0053,
2018.0,800362,ELS,8.0,8.0,587.0,587.0,0.0136,0.0136,
2018.0,800363,ELS,6.0,6.0,561.0,561.0,0.0106,0.0106,
2018.0,800364,ELS,4.0,4.0,487.0,487.0,0.0082,0.0082,
2018.0,800366,ELS,2.0,2.0,560.0,560.0,0.0035,0.0035,
2018.0,800372,ELS,4.0,4.0,292.0,292.0,0.0136,0.0136,
2018.0,800373,ELS,9.0,9.0,491.0,491.0,0.0183,0.0183,
2018.0,800376,ELS,20.0,20.0,593.0,593.0,0.0337,0.0337,
2018.0,800377,ELS,7.0,7.0,479.0,479.0,0.0146,0.0146,
2018.0,800392,ELS,1.0,1.0,539.0,539.0,0.0018,0.0018,
2018.0,800396,ELS,27.0,27.0,819.0,819.0,0.0329,0.0329,
2018.0,800398,ELS,7.0,7.0,722.0,722.0,0.0096,0.0096,
2018.0,800400,ELS,11.0,11.0,952.0,952.0,0.0115,0.0115,
