year,lea,lea name,school,school name,indian male,indian female,asian male,asian female,hispanic male,hispanic female,black male,black female,white male,white female,pacific island male,pacific island female,two or more male,two or more female,total,agency_code
2018,060,Avery County Schools,316,Crossnore Elementary,0,0,0,0,16,14,1,0,83,80,0,0,1,4,199,060316
2018,060,Avery County Schools,318,Avery Middle,0,1,1,4,25,21,0,2,109,109,0,0,0,2,274,060318
2018,060,Avery County Schools,322,Freedom Trail Elementary,0,0,0,1,3,7,0,0,86,92,0,0,2,2,193,060322
2018,060,Avery County Schools,328,Newland Elementary,0,1,1,4,30,28,0,0,105,84,0,0,3,1,257,060328
2018,060,Avery County Schools,332,Riverside Elementary,1,2,0,0,1,1,0,0,51,44,0,0,0,2,102,060332
2018,060,Avery County Schools,334,Blue Ridge Academy,0,0,0,0,0,0,0,0,16,4,0,0,0,0,20,060334
2018,060,Avery County Schools,700,Avery High STEM Academy,0,0,1,0,1,5,0,1,54,89,0,0,0,0,151,060700
2018,060,Avery County Schools,701,Avery High Viking Academy,0,0,0,0,6,4,0,0,21,31,0,1,0,0,63,060701
2018,070,Beaufort County Schools,302,Eastern Elementary,1,0,0,1,53,59,121,96,82,91,0,0,10,17,531,070302
2018,070,Beaufort County Schools,308,Bath Elementary,1,0,0,0,30,30,7,8,223,253,0,0,13,7,572,070308
2018,070,Beaufort County Schools,310,B C Ed Tech Center,0,0,0,0,4,1,20,14,4,5,0,0,2,0,50,070310
2018,070,Beaufort County Schools,311,Beaufort Co Early College High,0,2,0,1,16,45,14,32,52,77,0,0,3,4,246,070311
2018,070,Beaufort County Schools,325,Chocowinity Middle,0,0,3,0,31,31,58,65,108,93,0,0,13,8,410,070325
2018,070,Beaufort County Schools,326,Chocowinity Primary,0,1,1,0,33,22,84,52,138,129,0,0,17,19,496,070326
2018,070,Beaufort County Schools,327,John C Tayloe Elementary,1,0,1,2,64,54,116,111,71,74,0,0,12,9,515,070327
2018,070,Beaufort County Schools,328,John Small Elementary,0,0,3,2,58,64,102,100,101,81,0,0,11,13,535,070328
2018,070,Beaufort County Schools,329,Northeast Elementary,0,0,0,0,41,33,56,54,124,106,0,0,13,11,438,070329
2018,070,Beaufort County Schools,330,Northside High,0,0,1,0,28,22,46,43,149,140,0,0,5,3,437,070330
2018,070,Beaufort County Schools,338,P S Jones Middle,2,1,1,0,77,75,151,132,163,133,1,0,15,14,765,070338
2018,070,Beaufort County Schools,339,Southside High,0,0,1,0,31,17,81,80,124,85,0,0,13,11,443,070339
2018,070,Beaufort County Schools,340,S W Snowden Elementary,0,0,0,0,1,2,55,48,20,12,0,0,6,7,151,070340
2018,070,Beaufort County Schools,342,Washington High,1,0,0,0,85,75,184,194,212,223,0,1,14,15,"1,004",070342
2018,080,Bertie County Schools,311,Bertie Early College High,2,1,0,0,3,2,39,67,31,33,0,0,1,2,181,080311
2018,080,Bertie County Schools,312,Bertie High,0,0,0,1,1,4,269,227,33,29,0,0,3,2,569,080312
2018,080,Bertie County Schools,314,Bertie Middle,0,3,1,2,4,7,207,214,30,29,0,0,3,3,503,080314
2018,080,Bertie County Schools,348,Aulander Elementary,0,0,0,0,1,1,56,49,19,11,0,0,0,4,141,080348
2018,080,Bertie County Schools,356,West Bertie Elementary,1,0,0,1,7,3,108,88,6,2,0,0,4,3,223,080356
2018,080,Bertie County Schools,360,Colerain Elementary,0,0,0,0,6,4,73,78,19,10,0,0,5,2,197,080360
2018,080,Bertie County Schools,362,Windsor Elementary,0,2,2,2,2,3,144,146,30,28,0,0,4,9,372,080362
2015,080,Bertie County Schools,375,Bertie Academy,0,0,0,0,0,0,26,7,1,0,0,0,0,0,34,080375
2017,080,Bertie County Schools,700,Bertie STEM High,2,0,0,0,0,1,45,61,14,12,0,0,0,1,136,080700
2018,090,Bladen County Schools,304,B T Washington Primary,6,5,0,0,10,9,56,49,11,12,0,0,3,3,164,090304
2018,090,Bladen County Schools,315,Bladenboro Middle,3,4,0,0,12,21,29,32,86,101,0,0,11,11,310,090315
2018,090,Bladen County Schools,317,Bladenboro Primary,1,4,0,0,18,15,41,28,90,103,0,0,13,11,324,090317
2018,090,Bladen County Schools,318,Bladen Lakes Primary,1,1,0,0,31,30,31,19,35,37,0,0,5,1,191,090318
2018,090,Bladen County Schools,320,Clarkton School of Discovery,0,2,0,0,9,11,42,42,24,64,0,0,8,7,209,090320
2018,090,Bladen County Schools,324,Dublin Primary,1,2,0,0,44,51,23,32,49,43,0,0,1,1,247,090324
2018,090,Bladen County Schools,328,East Arcadia Elementary,1,1,0,0,12,14,30,39,3,7,0,0,3,6,116,090328
2018,090,Bladen County Schools,330,East Bladen High,4,5,1,3,31,40,167,147,121,104,0,0,14,19,656,090330
2018,090,Bladen County Schools,332,Elizabethtown Middle,6,2,0,1,36,26,100,101,72,42,0,0,9,7,402,090332
2018,090,Bladen County Schools,333,Elizabethtown Primary,7,4,0,0,20,36,127,105,58,52,0,0,10,14,433,090333
2018,090,Bladen County Schools,352,Plain View Primary,4,2,0,0,26,28,26,28,18,12,0,0,6,2,152,090352
2018,090,Bladen County Schools,365,Tar Heel Middle,2,3,0,0,70,53,52,42,52,49,0,0,6,7,336,090365
2018,090,Bladen County Schools,368,West Bladen High,6,9,1,0,86,70,84,114,170,171,0,0,12,16,739,090368
2018,100,Brunswick County Schools,302,Belville Elementary,3,1,3,2,56,53,74,79,299,220,0,1,24,26,841,100302
2018,100,Brunswick County Schools,304,Bolivia Elementary,1,0,1,2,13,12,22,19,180,137,1,0,16,14,418,100304
2018,100,Brunswick County Schools,307,Brunswick County Early College,0,0,5,3,20,31,4,24,103,145,0,0,7,15,357,100307
2018,100,Brunswick County Schools,308,Brunswick County Academy,0,0,0,0,6,6,13,6,61,33,0,0,2,6,133,100308
2018,100,Brunswick County Schools,309,Cedar Grove Middle,4,1,2,1,22,17,50,43,159,162,0,0,10,9,480,100309
2018,100,Brunswick County Schools,310,Jessie Mae Monroe Elementary,2,4,2,1,57,46,36,38,102,131,0,1,12,7,439,100310
2018,100,Brunswick County Schools,316,Leland Middle,2,4,4,0,67,69,92,77,236,241,0,0,26,19,837,100316
2018,100,Brunswick County Schools,320,Lincoln Elementary,3,7,0,1,82,85,63,75,144,121,0,0,23,18,622,100320
2018,100,Brunswick County Schools,326,North Brunswick High,5,6,7,5,80,71,142,126,332,298,2,1,27,29,"1,131",100326
2018,100,Brunswick County Schools,332,Shallotte Middle,2,2,6,0,65,73,48,48,198,183,0,0,11,6,642,100332
2018,100,Brunswick County Schools,334,South Brunswick High,6,4,3,4,27,24,59,46,495,419,1,1,24,24,"1,137",100334
2018,100,Brunswick County Schools,335,South Brunswick Middle,2,0,2,3,23,25,23,26,280,285,2,2,23,24,720,100335
2018,100,Brunswick County Schools,336,Southport Elementary,2,1,4,3,15,19,22,20,245,235,1,1,9,18,595,100336
2018,100,Brunswick County Schools,338,Supply Elementary,0,0,1,0,58,49,63,62,172,152,1,0,22,16,596,100338
2018,100,Brunswick County Schools,339,Town Creek Elementary,3,5,0,0,31,22,42,34,223,168,0,1,19,15,563,100339
2018,100,Brunswick County Schools,340,Union Elementary,2,1,5,2,52,47,31,35,192,191,0,0,8,17,583,100340
2018,100,Brunswick County Schools,342,Virginia Williamson Elem,2,0,0,1,23,28,49,40,190,171,0,0,12,15,531,100342
2018,100,Brunswick County Schools,344,Waccamaw,0,1,0,1,65,49,31,22,171,151,0,0,8,3,502,100344
2018,100,Brunswick County Schools,348,West Brunswick High,5,4,8,4,102,84,107,99,525,461,1,2,27,21,"1,450",100348
2018,110,Buncombe County Schools,303,Community High School,0,0,1,0,4,3,9,11,58,40,0,1,7,7,141,110303
2018,110,Buncombe County Schools,304,Reynolds High,1,1,10,10,55,62,52,63,457,405,3,0,54,34,"1,207",110304
2018,110,Buncombe County Schools,306,Reynolds Middle,0,1,1,7,35,38,43,44,158,163,2,0,14,15,521,110306
2018,110,Buncombe County Schools,308,Barnardsville Elementary,1,1,0,0,3,3,2,0,77,58,0,0,1,2,148,110308
2018,110,Buncombe County Schools,318,Black Mountain Elementary,1,0,0,0,10,8,4,3,96,89,0,0,4,7,222,110318
2018,110,Buncombe County Schools,320,Black Mountain Primary,1,1,1,3,11,18,7,8,149,178,0,0,10,7,394,110320
2018,110,Buncombe County Schools,322,Early College,0,1,3,8,16,36,0,6,80,118,0,0,6,4,278,110322
2018,110,Buncombe County Schools,323,Middle College,0,0,0,1,1,6,0,5,18,41,0,0,1,4,77,110323
2018,110,Buncombe County Schools,324,Candler Elementary,1,2,1,1,39,36,10,7,158,164,0,0,3,13,435,110324
2018,110,Buncombe County Schools,326,Cane Creek Middle,2,1,6,5,18,15,6,3,248,231,0,0,10,10,555,110326
2018,110,Buncombe County Schools,332,Bell Elementary,0,0,5,3,25,17,6,14,92,110,0,0,10,8,290,110332
2018,110,Buncombe County Schools,336,Owen High,1,1,1,4,46,45,22,9,307,294,0,0,17,21,768,110336
2018,110,Buncombe County Schools,338,Owen Middle,2,3,2,1,31,29,11,16,222,191,0,0,12,4,524,110338
2018,110,Buncombe County Schools,340,Erwin High,1,0,6,2,159,155,53,46,408,338,5,10,38,30,"1,251",110340
2018,110,Buncombe County Schools,342,Erwin Middle,1,0,1,2,82,89,21,28,209,187,9,5,17,19,670,110342
2018,110,Buncombe County Schools,348,Emma Elementary,0,0,1,1,100,70,27,20,60,63,1,2,8,3,356,110348
2018,110,Buncombe County Schools,352,Enka High,1,1,3,2,94,70,18,19,429,403,1,1,17,24,"1,083",110352
2018,110,Buncombe County Schools,356,Fairview Elementary,1,2,3,4,29,25,10,5,334,302,1,1,9,14,740,110356
2018,110,Buncombe County Schools,366,Glen Arden Elementary,0,1,10,4,27,31,13,18,200,228,2,2,16,22,574,110366
2018,110,Buncombe County Schools,368,Haw Creek Elementary,0,0,3,8,16,5,32,34,150,122,3,2,15,11,401,110368
2018,110,Buncombe County Schools,370,Hominy Valley Elementary,0,0,0,0,18,16,1,4,186,164,0,0,4,7,400,110370
2018,110,Buncombe County Schools,372,Johnston Elementary,0,2,1,0,40,45,33,33,34,46,17,12,7,11,281,110372
2018,110,Buncombe County Schools,376,Leicester Elementary,2,0,1,0,19,24,4,6,180,181,1,0,3,4,425,110376
2018,110,Buncombe County Schools,379,North Buncombe Elementary,0,0,1,1,45,49,2,4,231,225,0,0,9,12,579,110379
2018,110,Buncombe County Schools,380,North Buncombe High,0,2,3,3,66,72,4,5,488,407,0,0,15,11,"1,076",110380
2018,110,Buncombe County Schools,381,North Buncombe Middle,0,2,1,3,41,41,3,5,229,215,0,0,9,8,557,110381
2018,110,Buncombe County Schools,382,North Windy Ridge Intermediate,2,2,1,1,42,35,5,2,236,269,0,0,5,6,606,110382
2018,110,Buncombe County Schools,384,Oakley Elementary,1,0,2,0,51,43,57,57,103,108,2,1,10,11,446,110384
2018,110,Buncombe County Schools,388,Pisgah Elementary,0,1,0,0,7,5,3,0,70,79,0,1,1,1,168,110388
2018,110,Buncombe County Schools,401,Enka Middle,2,1,5,2,51,54,4,8,244,195,0,0,14,12,592,110401
2018,110,Buncombe County Schools,408,Sand Hill-Venable Elem,0,0,0,0,85,63,21,20,190,165,3,0,11,14,572,110408
2018,110,Buncombe County Schools,410,Avery's Creek Elementary,1,1,7,4,91,95,34,38,134,148,0,0,23,13,589,110410
2018,110,Buncombe County Schools,412,Williams Elementary,1,2,1,0,56,53,13,8,147,148,0,0,11,6,446,110412
2018,110,Buncombe County Schools,416,Roberson High,1,1,15,24,157,106,81,101,504,495,0,0,46,42,"1,573",110416
2018,110,Buncombe County Schools,420,Valley Springs Middle,1,1,15,11,60,69,27,33,186,157,0,0,23,17,600,110420
2018,110,Buncombe County Schools,422,Estes Elementary,2,1,11,8,74,89,58,42,213,199,1,1,33,22,754,110422
2018,110,Buncombe County Schools,425,Enka Intermediate,1,0,0,0,53,55,11,12,261,223,0,2,9,8,635,110425
2018,110,Buncombe County Schools,428,Weaverville Elementary,1,2,0,4,16,21,2,4,143,146,0,0,6,3,348,110428
2018,110,Buncombe County Schools,432,Weaverville Primary,1,0,2,1,17,8,1,0,104,102,0,0,3,3,242,110432
2018,110,Buncombe County Schools,436,West Buncombe Elementary,1,2,0,4,46,51,14,9,210,187,1,1,8,13,547,110436
2018,110,Buncombe County Schools,444,Woodfin Elementary,1,0,0,0,14,17,3,3,48,39,1,1,3,4,134,110444
2018,110,Buncombe County Schools,450,Koontz Intermediate,3,0,12,10,92,81,48,31,217,195,0,0,33,19,741,110450
2018,110,Buncombe County Schools,451,Eblen Intermediate,1,0,2,5,83,90,24,32,205,222,6,6,10,12,698,110451
2018,110,Buncombe County Schools,500,Nesbitt Discovery Academy,1,0,7,8,13,18,2,3,168,156,0,0,7,6,389,110500
2018,111,Asheville City Schools,302,Asheville High,1,1,6,8,44,28,106,86,322,340,1,0,26,26,995,111302
2018,111,Asheville City Schools,304,Hall Fletcher Elementary,0,0,0,1,10,27,41,39,82,76,1,0,20,18,315,111304
2018,111,Asheville City Schools,306,Isaac Dickson Elementary,0,0,0,6,21,19,62,47,131,166,2,2,27,8,491,111306
2018,111,Asheville City Schools,307,Asheville Primary,0,0,1,0,4,0,9,5,13,11,0,0,1,3,47,111307
2018,111,Asheville City Schools,312,Claxton Elementary,0,0,1,1,10,21,51,42,153,156,4,1,10,23,473,111312
2018,111,Asheville City Schools,332,Ira B Jones Elementary,0,0,2,2,11,14,47,54,153,138,6,2,11,8,448,111332
2018,111,Asheville City Schools,356,Asheville Middle,2,0,3,4,27,35,74,75,257,228,2,1,27,34,769,111356
2018,111,Asheville City Schools,360,Vance Elementary,0,1,2,4,25,28,44,30,132,129,0,0,12,15,422,111360
2018,111,Asheville City Schools,369,Montford North Star Academy,1,0,1,0,1,5,12,10,28,17,0,0,2,5,82,111369
2018,111,Asheville City Schools,700,School of Inquiry and Life Sciences,0,0,1,4,12,21,26,39,113,145,0,1,5,12,379,111700
2018,120,Burke County Schools,304,Chesterfield Elementary,0,1,6,3,21,8,6,2,59,57,0,0,5,5,173,120304
2018,120,Burke County Schools,308,Hallyburton Academy,0,0,0,0,7,4,10,6,54,18,0,1,5,0,105,120308
2018,120,Burke County Schools,310,Burke Middle College,0,0,9,16,3,4,0,2,28,62,0,0,1,2,127,120310
2018,120,Burke County Schools,312,Drexel Elementary,0,0,28,15,26,19,10,9,158,143,1,0,9,9,427,120312
2018,120,Burke County Schools,314,East Burke High,1,0,49,23,35,28,4,3,404,358,1,0,12,14,932,120314
2018,120,Burke County Schools,315,East Burke Middle,0,1,18,23,23,24,3,3,272,248,0,0,10,14,639,120315
2018,120,Burke County Schools,316,Forest Hill Elementary,1,1,5,11,123,112,21,13,57,57,2,1,12,8,424,120316
2018,120,Burke County Schools,318,Freedom High,1,0,38,28,63,64,76,55,381,357,1,2,31,34,"1,131",120318
2018,120,Burke County Schools,320,George Hildebrand Elementary,0,0,19,7,4,3,1,0,147,122,0,0,6,9,318,120320
2018,120,Burke County Schools,324,Glen Alpine Elementary,1,2,18,17,7,16,18,15,139,119,0,0,24,14,390,120324
2018,120,Burke County Schools,334,Heritage Middle,0,0,19,23,25,25,9,9,186,175,0,3,12,22,508,120334
2018,120,Burke County Schools,338,Hildebran Elementary,0,0,12,13,8,20,3,3,137,138,0,0,14,10,358,120338
2018,120,Burke County Schools,340,Hillcrest Elementary,0,0,3,5,166,168,27,24,51,34,1,5,17,13,514,120340
2018,120,Burke County Schools,344,Icard Elementary,0,0,21,14,12,14,1,0,109,110,0,0,3,3,287,120344
2018,120,Burke County Schools,346,Jimmy C Draughn High School,1,1,32,20,21,17,8,14,263,247,0,0,7,10,641,120346
2018,120,Burke County Schools,350,Liberty Middle,1,0,21,13,39,36,5,9,189,231,0,0,13,13,570,120350
2018,120,Burke County Schools,352,North Liberty,0,0,2,0,6,3,3,1,38,26,1,1,1,5,87,120352
2018,120,Burke County Schools,360,Mull Elementary,0,0,5,2,11,11,7,1,114,125,0,0,7,5,288,120360
2018,120,Burke County Schools,364,Oak Hill Elementary,0,3,2,3,7,12,34,29,152,116,0,0,21,18,397,120364
2018,120,Burke County Schools,368,Ray Childers Elementary,0,0,21,17,22,24,4,1,161,161,1,0,5,6,423,120368
2018,120,Burke County Schools,370,Robert L. Patton High School,4,4,18,11,123,103,20,17,342,316,0,0,13,17,988,120370
2018,120,Burke County Schools,372,Rutherford College Elem,0,0,12,3,6,4,0,0,71,91,0,0,1,2,190,120372
2018,120,Burke County Schools,374,Salem Elementary,1,1,11,4,12,17,4,3,181,192,0,0,14,13,453,120374
2018,120,Burke County Schools,376,Table Rock Middle,0,1,19,20,13,14,29,32,175,149,0,0,30,24,506,120376
2018,120,Burke County Schools,380,Valdese Elementary,0,0,13,12,10,21,4,1,145,154,0,1,18,7,386,120380
2018,120,Burke County Schools,386,W A Young Elementary,0,0,27,15,17,9,7,2,168,127,0,0,16,11,399,120386
2018,120,Burke County Schools,390,Walter R Johnson Middle,0,0,6,2,147,106,19,11,81,64,3,0,12,13,464,120390
2018,130,Cabarrus County Schools,304,A T Allen Elementary,1,2,6,4,129,125,67,59,235,223,1,1,18,9,880,130304
2018,130,Cabarrus County Schools,307,Cox Mill High School,6,12,60,69,54,72,192,196,526,516,1,2,42,35,"1,783",130307
2018,130,Cabarrus County Schools,308,Bethel Elementary,0,1,5,5,40,41,19,19,206,207,1,2,15,13,574,130308
2018,130,Cabarrus County Schools,309,Beverly Hills Elementary,0,1,2,2,59,50,42,33,120,84,0,0,14,15,422,130309
2018,130,Cabarrus County Schools,310,Central Cabarrus High,4,3,17,10,162,168,216,189,457,406,0,2,27,33,"1,694",130310
2018,130,Cabarrus County Schools,311,Coltrane-Webb Elementary,0,4,35,22,66,44,44,60,105,67,0,0,11,12,470,130311
2018,130,Cabarrus County Schools,312,Harrisburg Elementary,3,2,80,81,22,22,95,94,297,294,1,2,30,31,"1,054",130312
2018,130,Cabarrus County Schools,313,Concord Middle,0,0,7,9,141,114,131,134,160,164,1,1,25,18,905,130313
2018,130,Cabarrus County Schools,314,Concord High,0,3,13,12,152,144,163,195,264,281,2,0,26,21,"1,276",130314
2018,130,Cabarrus County Schools,315,J N Fries Magnet School,1,3,46,31,57,29,54,56,180,143,1,0,23,16,640,130315
2018,130,Cabarrus County Schools,316,Jay M Robinson High,1,0,5,6,163,140,159,159,348,291,0,2,16,19,"1,309",130316
2018,130,Cabarrus County Schools,317,Cabarrus Co Opportunity School,0,0,0,0,8,1,19,10,14,6,0,0,2,0,60,130317
2018,130,Cabarrus County Schools,318,C C Griffin Middle,4,1,3,7,106,123,145,104,259,237,1,2,25,29,"1,046",130318
2018,130,Cabarrus County Schools,319,Cox Mill Elementary,1,1,95,112,34,43,72,93,279,241,2,5,17,13,"1,008",130319
2018,130,Cabarrus County Schools,320,Harris Road Middle,5,2,61,47,47,43,139,124,380,400,2,4,25,22,"1,301",130320
2018,130,Cabarrus County Schools,321,Carl A Furr Elementary,0,2,18,9,131,116,92,87,163,150,0,0,14,12,794,130321
2018,130,Cabarrus County Schools,322,Mount Pleasant Elementary,0,1,2,2,17,17,10,10,296,268,0,0,8,8,639,130322
2018,130,Cabarrus County Schools,323,Mount Pleasant Middle,0,0,1,1,32,25,17,11,274,257,0,0,14,17,649,130323
