year,agency_code,subgroup,iss_per1000,iss_mask_code,sts_per1000,sts_mask_code,lts_per1000,lts_mask_code,exp_per1000,exp_mask_code,crime_per1000,act_mask_code,blhr_per1000,bha_mask_code,rplw_per1000,rpt_mask_code,arre_per1000,arm_mask_code
2018,010360,ALL,107.064,0,183.223,0,0,0,0,0,7.7263,0,1.104,0,0,0,0,0
2018,010360,AS7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010360,BL7,140.449,0,323.034,0,0,0,0,0,11.236,0,2.809,0,0,0,0,0
2018,010360,EDS,108.871,0,200.269,0,0,0,0,0,8.0645,0,1.344,0,0,0,0,0
2018,010360,ELS,95.238,0,88.435,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010360,FEM,71.121,0,127.155,0,0,0,0,0,2.1552,0,0,0,0,0,0,0
2018,010360,HI7,82.816,0,55.901,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010360,MALE,130.081,0,217.48,0,0,0,0,0,12.1951,0,2.033,0,0,0,0,0
2018,010360,MU7,114.286,0,342.857,0,0,0,0,0,85.7143,0,0,0,0,0,0,0
2018,010360,SWD,91.549,0,288.732,0,0,0,0,0,7.0423,0,0,0,0,0,0,0
2018,010360,WH7,28.169,0,169.014,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010362,ALL,16.886,0,48.78,0,0,0,0,0,3.7523,0,7.505,0,0,0,0,0
2018,010362,BL7,32.787,0,81.967,0,0,0,0,0,0,0,16.393,0,0,0,0,0
2018,010362,EDS,28.455,0,69.106,0,0,0,0,0,8.1301,0,16.26,0,0,0,0,0
2018,010362,ELS,25,0,125,0,0,0,0,0,25,0,0,0,0,0,0,0
2018,010362,FEM,15.564,0,19.455,0,0,0,0,0,3.8911,0,11.673,0,0,0,0,0
2018,010362,HI7,19.231,0,57.692,0,0,0,0,0,9.6154,0,9.615,0,0,0,0,0
2018,010362,MALE,17.73,0,74.468,0,0,0,0,0,3.5461,0,3.546,0,0,0,0,0
2018,010362,MU7,28.571,0,0,0,0,0,0,0,0,0,28.571,0,0,0,0,0
2018,010362,SWD,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010362,WH7,7.692,0,38.462,0,0,0,0,0,3.8462,0,0,0,0,0,0,0
2018,010364,ALL,0,0,76.294,0,0,0,0,0,2.7248,0,0,0,0,0,0,0
2018,010364,BL7,0,0,97.015,0,0,0,0,0,7.4627,0,0,0,0,0,0,0
2018,010364,EDS,0,0,79.545,0,0,0,0,0,3.7879,0,0,0,0,0,0,0
2018,010364,ELS,0,0,56.338,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010364,FEM,0,0,70.968,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010364,HI7,0,0,57.377,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010364,MALE,0,0,88.083,0,0,0,0,0,5.1813,0,0,0,0,0,0,0
2018,010364,MU7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010364,SWD,0,0,129.63,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010364,WH7,0,0,114.754,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010372,ALL,0,0,141.818,0,0,0,0,0,3.6364,0,3.636,0,0,0,0,0
2018,010372,BL7,0,0,225.352,0,0,0,0,0,14.0845,0,14.085,0,0,0,0,0
2018,010372,EDS,0,0,193.333,0,0,0,0,0,6.6667,0,6.667,0,0,0,0,0
2018,010372,ELS,0,0,46.512,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010372,FEM,0,0,32.258,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010372,HI7,0,0,82.192,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010372,MALE,0,0,251.799,0,0,0,0,0,7.1942,0,7.194,0,0,0,0,0
2018,010372,MU7,0,0,117.647,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010372,SWD,0,0,541.667,0,0,0,0,0,41.6667,0,41.667,0,0,0,0,0
2018,010372,WH7,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010374,ALL,0,0,107.72,0,0,0,0,0,8.9767,0,10.772,0,0,0,0,0
2018,010374,BL7,0,0,224.242,0,0,0,0,0,24.2424,0,12.121,0,0,0,0,0
2018,010374,EDS,0,0,136.646,0,0,0,0,0,15.528,0,15.528,0,0,0,0,0
2018,010374,ELS,0,0,58.824,0,0,0,0,0,4.902,0,14.706,0,0,0,0,0
2018,010374,FEM,0,0,33.67,0,0,0,0,0,3.367,0,0,0,0,0,0,0
2018,010374,HI7,0,0,55.233,0,0,0,0,0,2.907,0,8.721,0,0,0,0,0
2018,010374,MALE,0,0,187.266,0,0,0,0,0,14.9813,0,22.472,0,0,0,0,0
2018,010374,MU7,0,0,133.333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010374,SWD,0,0,188.679,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010374,WH7,0,0,62.5,0,0,0,0,0,0,0,31.25,0,0,0,0,0
2018,010378,ALL,134.021,0,2412.371,0,0,0,0,0,61.8557,0,51.546,0,0,0,0,0
2018,010378,BL7,151.515,0,3393.939,0,0,0,0,0,121.2121,0,30.303,0,0,0,0,0
2018,010378,EDS,96.491,0,1631.579,0,0,0,0,0,35.0877,0,17.544,0,0,0,0,0
2018,010378,ELS,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010378,FEM,0,0,3176.471,0,0,0,0,0,0,0,176.471,0,0,0,0,0
2018,010378,HI7,,3,,3,,3,,3,142.8571,3,142.857,3,0,3,0,3
2018,010378,MALE,191.176,0,2647.059,0,0,0,0,0,88.2353,0,29.412,0,0,0,0,0
2018,010378,MU7,,3,,3,,3,,3,0,3,200,3,0,3,0,3
2018,010378,SWD,183.333,0,2150,0,0,0,0,0,16.6667,0,33.333,0,0,0,0,0
2018,010378,WH7,153.846,0,2000,0,0,0,0,0,25.641,0,51.282,0,0,0,0,0
2018,010380,ALL,0,0,107.273,0,0,0,0,0,3.6364,0,3.636,0,0,0,0,0
2018,010380,BL7,0,0,186.992,0,0,0,0,0,0,0,16.26,0,0,0,0,0
2018,010380,EDS,0,0,151.724,0,0,0,0,0,6.8966,0,6.897,0,0,0,0,0
2018,010380,ELS,0,0,5.952,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010380,FEM,0,0,22.936,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010380,HI7,0,0,25.316,0,0,0,0,0,4.2194,0,0,0,0,0,0,0
2018,010380,MALE,0,0,167.183,0,0,0,0,0,6.192,0,6.192,0,0,0,0,0
2018,010380,MU7,0,0,208.333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010380,SWD,0,0,317.46,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010380,WH7,0,0,179.856,0,0,0,0,0,7.1942,0,0,0,0,0,0,0
2018,010384,ALL,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,BL7,0,0,17.241,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,EDS,0,0,7.782,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,FEM,0,0,3.067,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,MALE,0,0,9.901,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,SWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010384,WH7,0,0,3.145,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010388,ALL,119.945,0,144.62,0,5.4832,0,0,0,19.1912,0,2.742,0,0.685,0,0,0
2018,010388,BL7,146.789,0,256.881,0,9.1743,0,0,0,9.1743,0,0,0,0,0,0,0
2018,010388,EDS,126.894,0,212.121,0,9.4697,0,0,0,24.6212,0,5.682,0,0,0,0,0
2018,010388,ELS,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010388,FEM,69.93,0,67.133,0,4.1958,0,0,0,11.1888,0,0,0,0,0,0,0
2018,010388,HI7,135.965,0,197.368,0,0,0,0,0,17.5439,0,4.386,0,0,0,0,0
2018,010388,MALE,159.439,0,207.908,0,6.3776,0,0,0,25.5102,0,5.102,0,1.276,0,0,0
2018,010388,MU7,365.854,0,243.902,0,0,0,0,0,0,0,24.39,0,0,0,0,0
