year,agency_code,category_code,grade_eoc,avg_size
2006,040LEA,,00,16
2006,040LEA,,01,16
2006,040LEA,,02,16
2006,040LEA,,03,16
2006,040LEA,,04,17
2006,040LEA,,05,19
2006,040LEA,,06,21
2006,040LEA,,07,21
2006,040LEA,,08,15
2006,040LEA,,Biology,9
2006,040LEA,,English II,15
2006,040LEA,,Math I,19
2006,050302,,Biology,21
2006,050302,,English II,21
2006,050302,,Math I,19
2006,050305,,07,18
2006,050305,,08,19
2006,050310,,00,19
2006,050310,,01,17
2006,050310,,02,17
2006,050310,,03,19
2006,050310,,04,19
2006,050310,,05,22
2006,050310,,06,23
2006,050330,,00,20
2006,050330,,01,17
2006,050330,,02,18
2006,050330,,03,19
2006,050330,,04,22
2006,050330,,05,20
2006,050330,,06,20
2006,050335,,00,22
2006,050335,,01,19
2006,050335,,02,21
2006,050335,,03,18
2006,050335,,04,21
2006,050335,,05,22
2006,050335,,06,20
2006,050LEA,,00,20
2006,050LEA,,01,18
2006,050LEA,,02,19
2006,050LEA,,03,19
2006,050LEA,,04,21
2006,050LEA,,05,21
2006,050LEA,,06,21
2006,050LEA,,07,18
2006,050LEA,,08,19
2006,050LEA,,Biology,21
2006,050LEA,,English II,21
2006,050LEA,,Math I,19
2006,060302,,Biology,21
2006,060302,,English II,21
2006,060302,,Math I,23
2006,060304,,00,37
2006,060304,,01,19
2006,060304,,02,17
2006,060304,,03,13
2006,060304,,05,22
2006,060308,,00,19
2006,060308,,03,12
2006,060308,,04,21
2006,060308,,06,20
2006,060310,,06,18
2006,060310,,07,18
2006,060310,,08,18
2006,060310,,Math I,22
2006,060316,,00,21
2006,060316,,01,19
2006,060316,,02,15
2006,060316,,03,15
2006,060316,,04,19
2006,060316,,05,14
2006,060318,,06,20
2006,060318,,07,21
2006,060318,,08,20
2006,060318,,Math I,22
2006,060322,,00,19
2006,060322,,01,21
2006,060322,,02,22
2006,060322,,03,17
2006,060322,,04,16
2006,060322,,05,19
2006,060328,,00,17
2006,060328,,01,21
2006,060328,,02,12
2006,060328,,03,15
2006,060328,,04,25
2006,060328,,05,20
