year,agency_code,asm_option,k2_feeder,subgroup,aaa_score,aaa_score_masking,awa_score,awa_score_masking,cgrs_score,cgrs_score_masking,elp_score,elp_score_masking,mcr_score,mcr_score_masking,scgs_score,scgs_score_masking,bi_score,bi_score_masking,ach_score,eg_status,eg_score,spg_score,spg_grade,mags_score,mags_score_masking,ma_eg_status,ma_eg_score,ma_spg_score,ma_spg_grade,rdgs_score,rdgs_score_masking,rd_eg_status,rd_eg_score,rd_spg_score,rd_spg_grade
2018,010308,N,N,HI7,42.5,,,,,,,,,,,,,,42.5,Exceeded,85.9,51.0,D,,,,,,,,,,,,
2018,010308,N,N,SWD,17.1,,,,,,,,,,,,,,17.1,Exceeded,85.1,31.0,F,,,,,,,,,,,,
2018,010308,N,N,WH7,67.6,,,,,,,,,,66.3,,,,67.4,Met,83.5,71.0,B,,,,,,,,,,,,
2018,010310,N,N,ALL,24.8,,,,,,26.3,,,,43.6,,,,27.3,NotMet,54.4,33.0,F,18.4,,NotMet,50.0,25.0,F,31.1,,Met,75.4,40.0,D
2018,010310,N,N,BL7,14.1,,,,,,,,,,31.3,,,,16.5,NotMet,56.9,25.0,F,,,,,,,,,,,,
2018,010310,N,N,EDS,19.4,,,,,,25.6,,,,37.7,,,,22.1,NotMet,57.2,29.0,F,,,,,,,,,,,,
2018,010310,N,N,ELS,25.5,,,,,,26.3,,,,27.7,,,,25.8,Met,74.5,36.0,F,,,,,,,,,,,,
2018,010310,N,N,HI7,30.2,,,,,,26.9,,,,47.5,,,,32.0,NotMet,61.5,38.0,F,,,,,,,,,,,,
2018,010310,N,N,MU7,35.6,,,,,,,,,,,,,,35.6,NotMet,69.7,42.0,D,,,,,,,,,,,,
2018,010310,N,N,SWD,6.3,,,,,,21.9,,,,10.3,,,,8.6,NotMet,69.0,21.0,F,,,,,,,,,,,,
2018,010310,N,N,WH7,34.3,,,,,,,,,,,,,,34.3,Met,72.4,42.0,D,,,,,,,,,,,,
2018,010312,N,N,ALL,65.8,,,,,,,,,,65.4,,,,65.7,Met,80.9,69.0,C,68.4,,Met,84.8,72.0,B,63.1,,Met,77.2,66.0,C
2018,010312,N,N,AS7,78.9,,,,,,,,,,,,,,78.9,,,79.0,B,,,,,,,,,,,,
2018,010312,N,N,BL7,49.2,,,,,,,,,,,,,,49.2,Met,76.0,55.0,C,,,,,,,,,,,,
2018,010312,N,N,EDS,43.8,,,,,,,,,,51.2,,,,44.9,Met,77.6,51.0,D,,,,,,,,,,,,
2018,010312,N,N,ELS,41.4,,,,,,,,,,,,,,41.4,Met,83.6,50.0,D,,,,,,,,,,,,
2018,010312,N,N,HI7,39.5,,,,,,,,,,,,,,39.5,Met,83.2,48.0,D,,,,,,,,,,,,
2018,010312,N,N,MU7,78.1,,,,,,,,,,,,,,78.1,,,78.0,B,,,,,,,,,,,,
2018,010312,N,N,SWD,26.0,,,,,,,,,,,,,,26.0,Met,81.8,37.0,F,,,,,,,,,,,,
2018,010312,N,N,WH7,74.7,,,,,,,,,,76.4,,,,75.0,Met,79.6,76.0,B,,,,,,,,,,,,
2018,010320,N,N,ALL,61.0,,,,,,,,,,74.5,,,,62.8,Met,82.0,67.0,C,66.1,,Exceeded,85.5,70.0,B,56.0,,Met,74.8,60.0,C
2018,010320,N,N,BL7,41.1,,,,,,,,,,,,,,41.1,Met,81.6,49.0,D,,,,,,,,,,,,
2018,010320,N,N,EDS,46.8,,,,,,,,,,,,,,46.8,Met,84.3,54.0,D,,,,,,,,,,,,
2018,010320,N,N,HI7,47.1,,,,,,,,,,,,,,47.1,,,47.0,D,,,,,,,,,,,,
2018,010320,N,N,SWD,22.2,,,,,,,,,,,,,,22.2,,,22.0,F,,,,,,,,,,,,
2018,010320,N,N,WH7,70.4,,,,,,,,,,80.0,,,,71.7,Met,83.4,74.0,B,,,,,,,,,,,,
2018,010324,N,N,ALL,59.1,,66.3,,84.2,,,,88.0,,,,78.9,,71.6,NotMet,67.8,71.0,B,,,,,,,,,,,,
2018,010324,N,N,BL7,48.6,,50.8,,87.7,,,,83.9,,,,,,64.1,NotMet,69.8,65.0,C,,,,,,,,,,,,
2018,010324,N,N,EDS,42.7,,50.7,,73.1,,,,81.4,,,,55.8,,55.4,NotMet,64.4,57.0,C,,,,,,,,,,,,
2018,010324,N,N,HI7,46.9,,,,82.5,,,,87.1,,,,,,61.4,Met,82.1,66.0,C,,,,,,,,,,,,
2018,010324,N,N,MU7,37.5,,,,,,,,,,,,,,37.5,Met,72.9,45.0,D,,,,,,,,,,,,
2018,010324,N,N,SWD,8.2,,,,68.5,,,,40.0,,,,,,31.6,NotMet,66.2,39.0,F,,,,,,,,,,,,
2018,010324,N,N,WH7,68.5,,72.3,,83.4,,,,89.4,,,,83.9,,77.1,Met,71.3,76.0,B,,,,,,,,,,,,
2018,010326,N,N,ALL,36.7,,,,,,49.4,,,,36.8,,,,38.1,Met,80.2,47.0,D,40.0,,NotMet,68.7,46.0,D,33.3,,Exceeded,87.2,44.0,D
2018,010326,N,N,BL7,32.4,,,,,,,,,,30.6,,,,32.1,Met,81.4,42.0,D,,,,,,,,,,,,
2018,010326,N,N,EDS,28.4,,,,,,50.0,,,,29.7,,,,30.5,Met,82.4,41.0,D,,,,,,,,,,,,
2018,010326,N,N,ELS,32.1,,,,,,49.4,,,,34.1,,,,36.4,Met,81.3,45.0,D,,,,,,,,,,,,
2018,010326,N,N,HI7,40.3,,,,,,51.3,,,,39.2,,,,42.1,Met,81.6,50.0,D,,,,,,,,,,,,
2018,010326,N,N,SWD,20.7,,,,,,,,,,,,,,20.7,Met,80.6,33.0,F,,,,,,,,,,,,
2018,010326,N,N,WH7,32.6,,,,,,,,,,,,,,32.6,,,33.0,F,,,,,,,,,,,,
2018,010328,N,N,ALL,62.0,,,,,,,,,,76.6,,,,64.1,NotMet,56.3,63.0,C,60.4,,NotMet,60.3,60.0,C,63.6,,NotMet,58.4,63.0,C
2018,010328,N,N,EDS,39.1,,,,,,,,,,56.7,,,,41.4,NotMet,66.8,46.0,D,,,,,,,,,,,,
2018,010328,N,N,HI7,52.6,,,,,,,,,,,,,,52.6,,,53.0,D,,,,,,,,,,,,
2018,010328,N,N,SWD,7.1,,,,,,,,,,,,,,7.1,NotMet,64.7,19.0,F,,,,,,,,,,,,
2018,010328,N,N,WH7,63.8,,,,,,,,,,74.2,,,,65.3,NotMet,55.9,63.0,C,,,,,,,,,,,,
2018,010340,N,N,ALL,54.2,,,,,,43.3,,,,69.3,,,,55.8,NotMet,67.2,58.0,C,52.7,,Met,77.0,58.0,C,55.6,,NotMet,66.8,58.0,C
2018,010340,N,N,BL7,33.7,,,,,,,,,,,,,,33.7,Met,73.5,42.0,D,,,,,,,,,,,,
2018,010340,N,N,EDS,38.4,,,,,,,,,,47.1,,,,39.6,Met,79.1,48.0,D,,,,,,,,,,,,
2018,010340,N,N,ELS,27.7,,,,,,43.3,,,,,,,,31.5,Met,83.1,42.0,D,,,,,,,,,,,,
2018,010340,N,N,HI7,42.9,,,,,,,,,,,,,,42.9,Met,83.4,51.0,D,,,,,,,,,,,,
2018,010340,N,N,SWD,20.5,,,,,,,,,,,,,,20.5,,,21.0,F,,,,,,,,,,,,
2018,010340,N,N,WH7,63.2,,,,,,,,,,81.2,,,,65.8,NotMet,61.2,65.0,C,,,,,,,,,,,,
2018,010346,N,N,ALL,44.4,,,,,,,,,,42.9,,,,44.1,NotMet,54.2,46.0,D,40.7,,NotMet,54.5,43.0,D,48.0,,NotMet,65.0,51.0,D
2018,010346,N,N,EDS,31.4,,,,,,,,,,39.0,,,,32.7,NotMet,57.0,38.0,F,,,,,,,,,,,,
2018,010346,N,N,ELS,30.6,,,,,,,,,,,,,,30.6,Met,74.5,39.0,F,,,,,,,,,,,,
2018,010346,N,N,HI7,34.5,,,,,,,,,,,,,,34.5,Met,73.5,42.0,D,,,,,,,,,,,,
2018,010346,N,N,SWD,16.7,,,,,,,,,,,,,,16.7,,,17.0,F,,,,,,,,,,,,
2018,010346,N,N,WH7,47.8,,,,,,,,,,43.9,,,,47.2,NotMet,55.8,49.0,D,,,,,,,,,,,,
2018,010347,N,N,ALL,55.4,,,,,,65.6,,,,51.0,,,,55.3,Met,75.6,59.0,C,56.0,,Met,81.5,61.0,C,54.8,,Met,78.7,60.0,C
2018,010347,N,N,BL7,43.6,,,,,,,,,,,,,,43.6,Met,80.1,51.0,D,,,,,,,,,,,,
2018,010347,N,N,EDS,43.6,,,,,,,,,,30.6,,,,42.1,Met,77.3,49.0,D,,,,,,,,,,,,
2018,010347,N,N,ELS,34.4,,,,,,65.6,,,,,,,,42.6,Met,84.3,51.0,D,,,,,,,,,,,,
2018,010347,N,N,HI7,46.5,,,,,,,,,,,,,,46.5,Met,82.1,54.0,D,,,,,,,,,,,,
2018,010347,N,N,SWD,16.2,,,,,,,,,,,,,,16.2,Met,81.4,29.0,F,,,,,,,,,,,,
2018,010347,N,N,WH7,62.6,,,,,,,,,,62.1,,,,62.5,Met,71.4,64.0,C,,,,,,,,,,,,
2018,010348,N,N,ALL,32.2,,55.9,,73.5,,,,91.4,,,,29.1,,52.0,NotMet,69.3,55.0,C,,,,,,,,,,,,
2018,010348,N,N,BL7,26.5,,54.8,,74.6,,,,93.6,,,,24.4,,50.0,Met,76.6,55.0,C,,,,,,,,,,,,
2018,010348,N,N,EDS,32.1,,50.5,,77.9,,,,90.3,,,,28.0,,49.4,NotMet,67.8,53.0,D,,,,,,,,,,,,
2018,010348,N,N,ELS,5.0,2.0,,,61.3,,,,,,,,,,27.4,Met,74.4,37.0,F,,,,,,,,,,,,
2018,010348,N,N,HI7,36.5,,50.0,,76.3,,,,95.0,1.0,,,34.0,,53.6,Met,75.3,58.0,C,,,,,,,,,,,,
2018,010348,N,N,SWD,8.0,,,,50.0,,,,,,,,,,20.0,Met,72.6,31.0,F,,,,,,,,,,,,
2018,010348,N,N,WH7,31.5,,,,70.7,,,,77.8,,,,25.0,,48.4,NotMet,63.3,51.0,D,,,,,,,,,,,,
2018,010350,N,N,ALL,35.1,,,,,,23.2,,,,57.1,,,,37.3,Met,83.8,47.0,D,31.3,,Met,78.8,41.0,D,39.0,,Exceeded,85.5,48.0,D
2018,010350,N,N,BL7,27.4,,,,,,,,,,46.8,,,,29.8,Met,70.7,38.0,F,,,,,,,,,,,,
2018,010350,N,N,EDS,31.9,,,,,,21.2,,,,53.5,,,,34.0,Met,79.5,43.0,D,,,,,,,,,,,,
2018,010350,N,N,ELS,27.1,,,,,,23.2,,,,33.3,,,,27.1,Met,84.4,39.0,F,,,,,,,,,,,,
2018,010350,N,N,HI7,34.1,,,,,,21.2,,,,49.3,,,,34.8,Exceeded,85.0,45.0,D,,,,,,,,,,,,
2018,010350,N,N,MU7,36.2,,,,,,,,,,,,,,36.2,Met,74.3,44.0,D,,,,,,,,,,,,
2018,010350,N,N,SWD,7.7,,,,,,,,,,,,,,7.7,Met,84.3,23.0,F,,,,,,,,,,,,
2018,010350,N,N,WH7,46.5,,,,,,,,,,80.0,,,,50.4,Met,75.7,55.0,C,,,,,,,,,,,,
2018,010351,N,N,ALL,38.2,,,,,,69.7,,,,57.5,,,,42.8,Met,76.9,50.0,D,37.0,,Met,74.0,44.0,D,39.4,,Met,80.2,48.0,D
2018,010351,N,N,BL7,25.5,,,,,,,,,,43.3,,,,28.0,Met,77.2,38.0,F,,,,,,,,,,,,
2018,010351,N,N,EDS,29.3,,,,,,,,,,50.0,,,,32.1,Met,70.7,40.0,D,,,,,,,,,,,,
2018,010351,N,N,ELS,39.5,,,,,,69.7,,,,,,,,47.9,Met,83.4,55.0,C,,,,,,,,,,,,
2018,010351,N,N,HI7,36.4,,,,,,,,,,,,,,36.4,Met,80.4,45.0,D,,,,,,,,,,,,
2018,010351,N,N,MU7,63.2,,,,,,,,,,,,,,63.2,,,63.0,C,,,,,,,,,,,,
2018,010351,N,N,SWD,9.4,,,,,,,,,,,,,,9.4,Met,80.5,24.0,F,,,,,,,,,,,,
2018,010351,N,N,WH7,63.3,,,,,,,,,,,,,,63.3,Met,70.6,65.0,C,,,,,,,,,,,,
2018,010353,N,N,ALL,63.9,,,,,,34.4,,,,87.3,,,,66.4,Exceeded,100.0,73.0,B,65.7,,Exceeded,100.0,73.0,B,62.1,,Exceeded,93.8,68.0,C
2018,010353,N,N,AS7,80.0,,,,,,,,,,,,,,80.0,,,80.0,B,,,,,,,,,,,,
2018,010353,N,N,BL7,50.0,,,,,,,,,,,,,,50.0,Exceeded,90.8,58.0,C,,,,,,,,,,,,
2018,010353,N,N,EDS,54.5,,,,,,36.7,,,,80.7,,,,57.3,Exceeded,100.0,66.0,C,,,,,,,,,,,,
2018,010353,N,N,ELS,41.7,,,,,,34.4,,,,,,,,40.6,Exceeded,91.9,51.0,D,,,,,,,,,,,,
2018,010353,N,N,HI7,54.9,,,,,,,,,,82.4,,,,58.8,Exceeded,95.3,66.0,C,,,,,,,,,,,,
2018,010353,N,N,MU7,65.2,,,,,,,,,,,,,,65.2,Exceeded,90.0,70.0,B,,,,,,,,,,,,
2018,010353,N,N,SWD,9.7,,,,,,,,,,,,,,9.7,Exceeded,90.6,26.0,F,,,,,,,,,,,,
2018,010353,N,N,WH7,71.5,,,,,,,,,,92.5,,,,74.4,Exceeded,98.7,79.0,B,,,,,,,,,,,,
2018,010354,N,N,ALL,33.7,,,,,,46.0,,,,36.8,,,,34.8,Met,71.1,42.0,D,30.7,,NotMet,64.3,37.0,F,36.6,,Met,82.1,46.0,D
2018,010354,N,N,BL7,24.8,,,,,,,,,,33.3,,,,25.9,Met,73.1,35.0,F,,,,,,,,,,,,
2018,010354,N,N,EDS,30.5,,,,,,,,,,33.3,,,,30.9,NotMet,67.0,38.0,F,,,,,,,,,,,,
2018,010354,N,N,ELS,27.5,,,,,,46.0,,,,,,,,32.4,Met,77.1,41.0,D,,,,,,,,,,,,
2018,010354,N,N,HI7,37.8,,,,,,46.0,,,,27.3,,,,38.0,Met,74.9,45.0,D,,,,,,,,,,,,
2018,010354,N,N,SWD,21.9,,,,,,,,,,,,,,21.9,Met,80.2,34.0,F,,,,,,,,,,,,
2018,010354,N,N,WH7,44.8,,,,,,,,,,,,,,44.8,Met,71.5,50.0,D,,,,,,,,,,,,
2018,010357,N,N,ALL,34.8,,,,,,63.6,,,,24.7,,,,36.7,NotMet,66.6,43.0,D,37.9,,Met,75.5,45.0,D,31.8,,Met,73.7,40.0,D
2018,010357,N,N,BL7,20.6,,,,,,,,,,,,,,20.6,Met,70.6,31.0,F,,,,,,,,,,,,
2018,010357,N,N,EDS,24.1,,,,,,57.1,,,,18.9,,,,26.5,Met,71.7,36.0,F,,,,,,,,,,,,
2018,010357,N,N,ELS,32.7,,,,,,63.6,,,,24.3,,,,39.1,Met,76.8,47.0,D,,,,,,,,,,,,
2018,010357,N,N,HI7,40.8,,,,,,64.4,,,,32.7,,,,44.2,Met,78.0,51.0,D,,,,,,,,,,,,
2018,010357,N,N,SWD,8.3,,,,,,,,,,,,,,8.3,Met,81.7,23.0,F,,,,,,,,,,,,
2018,010357,N,N,WH7,42.2,,,,,,,,,,,,,,42.2,Met,71.4,48.0,D,,,,,,,,,,,,
2018,010358,N,N,ALL,27.4,,,,,,64.9,,,,18.2,,,,28.0,NotMet,57.2,34.0,F,26.8,,NotMet,65.6,35.0,F,28.1,,NotMet,62.8,35.0,F
2018,010358,N,N,BL7,20.7,,,,,,,,,,17.3,,,,20.2,NotMet,59.9,28.0,F,,,,,,,,,,,,
2018,010358,N,N,EDS,22.5,,,,,,,,,,20.0,,,,22.2,NotMet,59.6,30.0,F,,,,,,,,,,,,
2018,010358,N,N,ELS,27.5,,,,,,64.9,,,,,,,,36.3,NotMet,61.5,41.0,D,,,,,,,,,,,,
2018,010358,N,N,HI7,30.0,,,,,,64.9,,,,,,,,35.9,NotMet,59.8,41.0,D,,,,,,,,,,,,
2018,010358,N,N,MU7,25.0,,,,,,,,,,,,,,25.0,,,25.0,F,,,,,,,,,,,,
2018,010358,N,N,SWD,11.7,,,,,,,,,,,,,,11.7,Met,71.1,24.0,F,,,,,,,,,,,,
2018,010358,N,N,WH7,42.3,,,,,,,,,,,,,,42.3,Met,71.6,48.0,D,,,,,,,,,,,,
2018,010360,N,N,ALL,36.5,,40.0,,68.8,,30.0,,87.7,,,,76.5,,57.4,Met,83.9,63.0,C,,,,,,,,,,,,
2018,010360,N,N,BL7,29.2,,37.7,,73.7,,,,93.8,,,,71.8,,56.0,Met,77.8,60.0,C,,,,,,,,,,,,
2018,010360,N,N,EDS,37.3,,38.7,,70.8,,,,86.5,,,,76.2,,57.6,Met,83.3,63.0,C,,,,,,,,,,,,
2018,010360,N,N,ELS,13.3,,22.9,,55.2,,30.0,,76.9,,,,48.6,,38.2,Met,84.4,47.0,D,,,,,,,,,,,,
2018,010360,N,N,HI7,39.4,,39.1,,66.4,,,,86.9,,,,79.0,,58.8,Exceeded,85.1,64.0,C,,,,,,,,,,,,
2018,010360,N,N,SWD,22.2,,,,58.8,,,,,,,,47.1,,38.2,Exceeded,85.1,48.0,D,,,,,,,,,,,,
2018,010362,N,N,ALL,69.7,,,,,,,,,,77.2,,,,70.8,NotMet,60.1,69.0,C,71.8,,NotMet,58.0,69.0,C,67.6,,Met,71.4,68.0,C
2018,010362,N,N,BL7,45.4,,,,,,,,,,,,,,45.4,Met,76.8,52.0,D,,,,,,,,,,,,
2018,010362,N,N,EDS,56.1,,,,,,,,,,62.5,,,,57.0,Met,72.6,60.0,C,,,,,,,,,,,,
2018,010362,N,N,ELS,55.8,,,,,,,,,,,,,,55.8,Met,82.8,61.0,C,,,,,,,,,,,,
2018,010362,N,N,HI7,61.1,,,,,,,,,,,,,,61.1,Met,80.0,65.0,C,,,,,,,,,,,,
2018,010362,N,N,SWD,34.2,,,,,,,,,,,,,,34.2,,,34.0,F,,,,,,,,,,,,
2018,010362,N,N,WH7,80.9,,,,,,,,,,90.7,,,,82.3,NotMet,58.7,78.0,B,,,,,,,,,,,,
2018,010364,N,N,ALL,42.4,,,,,,65.0,,,,34.4,,,,43.3,Met,76.9,50.0,D,44.9,,Met,80.7,52.0,D,39.9,,Met,76.5,47.0,D
2018,010364,N,N,BL7,32.7,,,,,,,,,,,,,,32.7,Met,80.4,42.0,D,,,,,,,,,,,,
2018,010364,N,N,EDS,35.2,,,,,,,,,,23.1,,,,33.6,Met,80.9,43.0,D,,,,,,,,,,,,
2018,010364,N,N,ELS,42.2,,,,,,65.0,,,,,,,,48.1,Met,73.9,53.0,D,,,,,,,,,,,,
2018,010364,N,N,HI7,41.4,,,,,,64.1,,,,,,,,46.4,Met,74.1,52.0,D,,,,,,,,,,,,
2018,010364,N,N,MU7,70.0,,,,,,,,,,,,,,70.0,,,70.0,B,,,,,,,,,,,,
2018,010364,N,N,SWD,13.9,,,,,,,,,,,,,,13.9,Met,78.8,27.0,F,,,,,,,,,,,,
2018,010364,N,N,WH7,50.0,,,,,,,,,,,,,,50.0,Met,81.5,56.0,C,,,,,,,,,,,,
2018,010372,N,N,ALL,47.7,,,,,,,,,,71.4,,,,51.0,NotMet,69.6,55.0,C,48.5,,NotMet,61.0,51.0,D,46.9,,Met,78.5,53.0,D
2018,010372,N,N,BL7,28.4,,,,,,,,,,,,,,28.4,Met,70.9,37.0,F,,,,,,,,,,,,
2018,010372,N,N,EDS,46.0,,,,,,,,,,,,,,46.0,Met,74.5,52.0,D,,,,,,,,,,,,
2018,010372,N,N,ELS,45.7,,,,,,,,,,,,,,45.7,,,46.0,D,,,,,,,,,,,,
2018,010372,N,N,HI7,39.4,,,,,,,,,,,,,,39.4,Met,77.4,47.0,D,,,,,,,,,,,,
2018,010372,N,N,SWD,23.7,,,,,,,,,,,,,,23.7,,,24.0,F,,,,,,,,,,,,
2018,010372,N,N,WH7,62.5,,,,,,,,,,,,,,62.5,Met,76.9,65.0,C,,,,,,,,,,,,
2018,010374,N,N,ALL,41.2,,,,,,80.4,,,,31.5,,,,44.9,Met,73.8,51.0,D,39.1,,NotMet,66.2,45.0,D,43.4,,Met,83.4,51.0,D
2018,010374,N,N,BL7,23.6,,,,,,,,,,,,,,23.6,Met,76.3,34.0,F,,,,,,,,,,,,
2018,010374,N,N,EDS,30.9,,,,,,74.5,,,,26.0,,,,35.8,Met,73.3,43.0,D,,,,,,,,,,,,
2018,010374,N,N,ELS,43.3,,,,,,80.4,,,,26.0,,,,49.3,Met,76.8,55.0,C,,,,,,,,,,,,
2018,010374,N,N,HI7,46.6,,,,,,80.2,,,,32.2,,,,50.7,Met,75.0,56.0,C,,,,,,,,,,,,
2018,010374,N,N,SWD,9.4,,,,,,,,,,,,,,9.4,Met,75.1,23.0,F,,,,,,,,,,,,
2018,010378,Y,N,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,AM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,AS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,EDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,HI7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,MU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,SWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010378,Y,N,WH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,010380,N,N,ALL,38.1,,,,,,71.2,,,,40.0,,,,41.3,NotMet,57.7,45.0,D,38.7,,NotMet,57.5,42.0,D,37.5,,Met,72.5,45.0,D
2018,010380,N,N,BL7,26.4,,,,,,,,,,,,,,26.4,NotMet,66.8,34.0,F,,,,,,,,,,,,
2018,010380,N,N,EDS,27.4,,,,,,,,,,23.5,,,,26.9,NotMet,61.8,34.0,F,,,,,,,,,,,,
2018,010380,N,N,ELS,29.8,,,,,,71.2,,,,,,,,40.1,NotMet,62.4,45.0,D,,,,,,,,,,,,
2018,010380,N,N,HI7,38.3,,,,,,71.4,,,,39.0,,,,43.6,NotMet,59.0,47.0,D,,,,,,,,,,,,
2018,010380,N,N,SWD,8.3,,,,,,,,,,,,,,8.3,Met,73.6,21.0,F,,,,,,,,,,,,
2018,010380,N,N,WH7,45.5,,,,,,,,,,,,,,45.5,NotMet,65.9,50.0,D,,,,,,,,,,,,
2018,010384,N,N,ALL,66.7,,,,,,,,,,80.6,,,,68.6,Exceeded,94.1,74.0,B,71.3,,Exceeded,94.9,76.0,B,62.1,,Exceeded,85.6,67.0,C
2018,010384,N,N,BL7,58.1,,,,,,,,,,,,,,58.1,Exceeded,89.1,64.0,C,,,,,,,,,,,,
2018,010384,N,N,EDS,56.3,,,,,,,,,,73.7,,,,58.6,Exceeded,91.2,65.0,C,,,,,,,,,,,,
2018,010384,N,N,HI7,48.6,,,,,,,,,,,,,,48.6,Exceeded,86.9,56.0,C,,,,,,,,,,,,
