year,agency_code,category_code,highqual_class_pct
2016,040304,H,0.909
2006,040305,T,0.723
2007,040305,T,1
2008,040305,T,1
2009,040305,T,1
2010,040305,T,1
2011,040305,T,
2012,040305,T,
2013,040305,T,
2014,040305,H,
2015,040305,H,0.875
2016,040305,H,1
2006,040306,H,0.914
2007,040306,H,1
2008,040306,H,0.996
2009,040306,H,1
2010,040306,H,0.953
2011,040306,H,1
2012,040306,H,0.989
2013,040306,H,1
2014,040306,H,
2015,040306,H,0.976
2016,040306,H,0.978
2006,040308,E,1
2007,040308,E,1
2008,040308,E,1
2009,040308,E,1
2010,040308,E,1
2011,040308,E,1
2012,040308,E,1
2013,040308,E,1
2014,040308,E,
2015,040308,E,1
2016,040308,E,1
2006,040309,M,0.849
2007,040309,M,1
2008,040309,M,1
2009,040309,M,1
2010,040309,M,0.986
2011,040309,M,1
2012,040309,M,1
2013,040309,M,1
2014,040309,M,
2015,040309,M,1
2016,040309,M,1
2006,040311,E,0.943
2007,040311,E,1
2008,040311,E,1
2009,040311,E,1
2010,040311,E,1
2011,040311,E,1
2012,040311,E,1
2013,040311,E,1
2014,040311,E,
2015,040311,E,0.979
2016,040311,E,1
2006,040316,E,1
2007,040316,E,1
2008,040316,E,1
2009,040316,E,1
2010,040316,E,1
2011,040316,E,1
2012,040316,E,1
2013,040316,E,1
2014,040316,E,
2015,040316,E,0.964
2016,040316,E,1
2006,040324,E,0.85
2007,040324,E,1
2008,040324,E,1
2009,040324,E,1
2010,040324,E,1
2011,040324,E,1
2012,040324,E,1
2013,040324,E,1
2014,040324,E,
2015,040324,E,1
2016,040324,E,1
2006,040328,E,1
2007,040328,E,1
2008,040328,E,1
2009,040328,E,1
2010,040328,E,1
2011,040328,E,1
2012,040328,E,1
2013,040328,E,1
2014,040328,E,
2015,040328,E,1
2016,040328,E,1
2006,040330,E,0.96
2007,040330,E,1
2008,040330,E,1
2009,040330,E,1
2010,040330,E,1
2011,040330,E,1
2012,040330,E,1
2013,040330,E,1
2014,040330,M,
2015,040330,M,1
2016,040330,M,1
2008,040700,H,1
2009,040700,H,1
2010,040700,H,1
2011,040700,H,1
2012,040700,H,1
2013,040700,H,1
2014,040700,H,
2015,040700,H,0.9
2016,040700,H,1
2006,040LEA,E,0.96
2006,040LEA,H,0.919
2006,040LEA,M,0.848
2006,040LEA,T,0.723
2007,040LEA,E,1
2007,040LEA,H,1
2007,040LEA,M,1
2007,040LEA,T,1
2008,040LEA,E,1
2008,040LEA,H,0.997
2008,040LEA,M,1
2008,040LEA,T,1
2009,040LEA,E,1
2009,040LEA,H,1
2009,040LEA,M,1
2009,040LEA,T,1
2010,040LEA,E,1
2010,040LEA,H,0.97
2010,040LEA,M,0.986
2010,040LEA,T,1
2011,040LEA,E,1
2011,040LEA,H,1
2011,040LEA,M,1
2011,040LEA,T,
2012,040LEA,E,1
2012,040LEA,H,0.992
2012,040LEA,M,1
2012,040LEA,T,
2013,040LEA,E,1
2013,040LEA,H,1
2013,040LEA,M,1
2013,040LEA,T,
2014,040LEA,E,
2014,040LEA,H,
2014,040LEA,M,
2014,040LEA,T,
2015,040LEA,E,0.988
2015,040LEA,H,0.944
2015,040LEA,M,1
2015,040LEA,T,
2016,040LEA,E,1
2016,040LEA,H,0.972
2016,040LEA,M,1
2016,040LEA,T,
2006,050302,H,0.924
2007,050302,H,1
2008,050302,H,1
2009,050302,H,0.982
2010,050302,H,0.966
2011,050302,H,1
2012,050302,H,1
2013,050302,H,1
2014,050302,H,
2015,050302,H,1
2016,050302,H,1
2006,050305,M,0.914
2007,050305,M,1
2008,050305,M,1
2009,050305,M,0.989
2010,050305,M,0.983
2011,050305,M,0.929
2012,050305,M,0.984
2013,050305,M,1
2014,050305,M,
2015,050305,M,0.992
2016,050305,M,1
2006,050310,E,0.967
2007,050310,E,1
2008,050310,E,1
2009,050310,E,1
2010,050310,E,1
2011,050310,E,1
2012,050310,E,1
2013,050310,E,1
2014,050310,E,
2015,050310,E,1
2016,050310,E,0.987
2006,050330,E,1
2007,050330,E,1
2008,050330,E,1
2009,050330,E,1
2010,050330,E,1
2011,050330,E,1
2012,050330,E,1
2013,050330,E,1
2014,050330,E,
2015,050330,E,1
2016,050330,E,1
2006,050335,E,1
2007,050335,E,1
2008,050335,E,1
2009,050335,E,1
2010,050335,E,1
2011,050335,E,1
2012,050335,E,1
2013,050335,E,1
2014,050335,E,
2015,050335,E,1
2016,050335,E,1
2006,050LEA,E,0.99
2006,050LEA,H,0.924
2006,050LEA,M,0.914
2007,050LEA,E,1
2007,050LEA,H,1
2007,050LEA,M,1
2008,050LEA,E,1
2008,050LEA,H,1
2008,050LEA,M,1
2009,050LEA,E,1
2009,050LEA,H,0.981
2009,050LEA,M,0.989
2010,050LEA,E,1
2010,050LEA,H,0.966
2010,050LEA,M,0.983
2011,050LEA,E,1
2011,050LEA,H,1
2011,050LEA,M,0.929
2012,050LEA,E,1
2012,050LEA,H,1
2012,050LEA,M,0.984
2013,050LEA,E,1
2013,050LEA,H,1
2013,050LEA,M,1
2014,050LEA,E,
2014,050LEA,H,
2014,050LEA,M,
2015,050LEA,E,1
2015,050LEA,H,1
2015,050LEA,M,0.992
2016,050LEA,E,0.996
2016,050LEA,H,1
2016,050LEA,M,1
2006,060302,H,0.888
2007,060302,H,1
2008,060302,H,0.957
2009,060302,H,1
2010,060302,H,0.907
2011,060302,H,0.978
2012,060302,H,1
2013,060302,H,0.997
2014,060302,H,
2015,060302,H,1
2016,060302,H,1
2006,060304,E,1
2007,060304,E,1
2008,060304,E,1
2009,060304,E,1
2010,060304,E,1
2011,060304,E,1
2012,060304,E,1
2013,060304,E,1
2014,060304,E,
2015,060304,E,1
2016,060304,E,1
2006,060308,I,0.75
2007,060308,I,1
2008,060308,I,1
2009,060308,E,1
2010,060308,E,1
2006,060310,M,0.919
2007,060310,M,1
2008,060310,M,1
2009,060310,M,1
2010,060310,M,1
2011,060310,M,0.955
2012,060310,M,1
2013,060310,M,1
2014,060310,M,
2015,060310,M,1
2016,060310,M,1
2006,060316,E,1
2007,060316,E,1
2008,060316,E,1
2009,060316,E,1
2010,060316,E,1
2011,060316,E,1
2012,060316,E,1
2013,060316,E,1
2014,060316,E,
2015,060316,E,1
2016,060316,E,1
2006,060318,M,0.978
2007,060318,M,1
2008,060318,M,1
2009,060318,M,1
2010,060318,M,0.978
2011,060318,M,1
2012,060318,M,1
2013,060318,M,1
2014,060318,M,
2015,060318,M,0.967
2016,060318,M,0.974
2006,060322,E,1
2007,060322,E,1
2008,060322,E,1
2009,060322,E,1
2010,060322,E,1
2011,060322,E,1
2012,060322,E,1
2013,060322,E,1
2014,060322,E,
2015,060322,E,1
2016,060322,E,1
2006,060328,E,1
2007,060328,E,1
2008,060328,E,0.947
2009,060328,E,1
2010,060328,E,0.938
2011,060328,E,1
2012,060328,E,0.938
2013,060328,E,0.941
2014,060328,E,
2015,060328,E,1
2016,060328,E,0.983
2006,060332,E,1
2007,060332,E,1
2008,060332,E,1
2009,060332,E,1
2010,060332,E,1
2011,060332,E,1
2012,060332,E,1
2013,060332,E,1
2014,060332,E,
2015,060332,E,1
2016,060332,E,1
2013,060334,T,
2014,060334,T,
2015,060334,T,0.825
2016,060334,T,0.8
2012,060700,H,1
2013,060700,H,1
2014,060700,H,
2015,060700,H,1
2016,060700,H,1
