LEA Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared
Beaufort County Schools,070325,Chocowinity Middle,Northeast,C,59.0,C,57.0,D,54.0,NotMet,62.8,58,55,49,72,100,,,,,,,
Beaufort County Schools,070326,Chocowinity Primary,Northeast,B,81.0,B,84.0,B,78.0,Met,80.5,82,84,80,,,,,,,,,
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast,C,62.0,C,61.0,C,57.0,Exceeded,88.2,56,55,57,,,,,,,,,
Beaufort County Schools,070328,John Small Elementary,Northeast,D,49.0,D,51.0,D,46.0,NotMet,57.1,47,47,43,54,,,,,,,,
Beaufort County Schools,070329,Northeast Elementary,Northeast,C,56.0,D,54.0,D,54.0,Exceeded,86.2,49,47,46,56,100,,,,,,,
Beaufort County Schools,070330,Northside High,Northeast,C,62.0,,,,,NotMet,55.3,64,,,,44,52,46,51,81,100,87,
Beaufort County Schools,070338,P S Jones Middle,Northeast,D,54.0,D,49.0,D,48.0,Exceeded,90.0,45,41,36,69,90,,,,,,,
Beaufort County Schools,070339,Southside High,Northeast,C,62.0,,,,,Met,80.0,58,,,,50,42,33,33,76,100,90,
Beaufort County Schools,070340,S W Snowden Elementary,Northeast,F,38.0,D,46.0,F,31.0,Met,70.0,29,37,22,29,,,,,,,,
Beaufort County Schools,070342,Washington High,Northeast,C,57.0,,,,,NotMet,55.5,57,,,,33,49,38,49,68,93,87,
Bertie County Schools,080311,Bertie Early College High,Northeast,B,80.0,,,,,Met,82.2,80,,,,80,74,77,60,70,100,100,
Bertie County Schools,080312,Bertie High,Northeast,D,47.0,,,,,Met,73.3,40,,,,24,23,18,10,32,100,84,
Bertie County Schools,080314,Bertie Middle,Northeast,D,44.0,D,46.0,F,32.0,Met,76.6,36,37,23,64,94,,,,,,,
Bertie County Schools,080348,Aulander Elementary,Northeast,D,47.0,D,44.0,D,50.0,Met,81.8,39,35,41,41,,,,,,,,
Bertie County Schools,080356,West Bertie Elementary,Northeast,D,46.0,D,48.0,D,47.0,Met,78.7,38,40,38,33,,,,,,,,
Bertie County Schools,080360,Colerain Elementary,Northeast,D,44.0,D,47.0,D,45.0,Met,72.4,37,39,39,30,,,,,,,,
Bertie County Schools,080362,Windsor Elementary,Northeast,D,50.0,D,43.0,D,48.0,Met,73.4,44,37,41,71,,,,,,,,
Bertie County Schools,080375,Bertie Academy,Northeast,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080700,Bertie STEM High,Northeast,A,86.0,,,,,Met,79.4,86,,,,73,75,87,73,53,100,100,Insufficient Data
Bladen County Schools,090304,B T Washington Primary,Sandhills,D,45.0,D,46.0,D,49.0,NotMet,63.8,40,41,43,29,,,,,,,,
Bladen County Schools,090315,Bladenboro Middle,Sandhills,D,43.0,D,43.0,F,30.0,NotMet,67.4,37,35,21,63,92,,,,,,,
Bladen County Schools,090317,Bladenboro Primary,Sandhills,C,60.0,C,61.0,C,60.0,Met,71.7,58,59,56,,,,,,,,,
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,D,54.0,C,59.0,D,50.0,Met,74.7,49,56,42,,,,,,,,,
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,C,58.0,C,62.0,D,49.0,NotMet,59.8,57,59,46,71,100,,,,,,,
Bladen County Schools,090324,Dublin Primary,Sandhills,C,66.0,C,67.0,C,65.0,Met,80.2,63,64,62,,,,,,,,,
Bladen County Schools,090328,East Arcadia Elementary,Sandhills,D,43.0,D,46.0,F,36.0,Met,81.1,33,36,26,35,100,,,,,,,
Bladen County Schools,090330,East Bladen High,Sandhills,D,51.0,,,,,NotMet,59.5,49,,,,25,37,33,39,47,100,79,
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,F,31.0,F,35.0,F,25.0,NotMet,50.0,26,28,18,36,37,,,,,,,
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,D,51.0,D,49.0,D,53.0,Met,81.8,43,41,46,,,,,,,,,
Bladen County Schools,090352,Plain View Primary,Sandhills,D,48.0,C,55.0,D,42.0,NotMet,68.4,43,49,37,,,,,,,,,
Bladen County Schools,090365,Tar Heel Middle,Sandhills,D,45.0,D,45.0,D,40.0,Met,73.4,38,39,29,46,82,,,,,,,
Bladen County Schools,090368,West Bladen High,Sandhills,C,55.0,,,,,NotMet,69.9,51,,,,30,46,34,29,62,100,77,
Brunswick County Schools,100302,Belville Elementary,Southeast,C,61.0,C,62.0,C,67.0,NotMet,68.9,59,62,62,43,,,,,,,,
Brunswick County Schools,100304,Bolivia Elementary,Southeast,C,59.0,C,59.0,C,60.0,NotMet,56.5,60,58,61,68,,,,,,,,
Brunswick County Schools,100307,Brunswick County Early College,Southeast,A,95.0,,,,,Exceeded,89.6,100,,,,95,100,88,100,,100,100,Insufficient Data
Brunswick County Schools,100308,Brunswick County Academy,Southeast,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100309,Cedar Grove Middle,Southeast,D,54.0,C,57.0,D,41.0,Met,77.8,49,51,34,81,100,,,,,,,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast,D,46.0,D,51.0,D,46.0,NotMet,62.2,42,46,41,36,,,,,,,,
Brunswick County Schools,100316,Leland Middle,Southeast,C,55.0,C,55.0,D,45.0,Met,80.5,49,50,36,74,100,,,,,,,
Brunswick County Schools,100320,Lincoln Elementary,Southeast,C,58.0,D,47.0,C,63.0,Exceeded,88.0,50,40,56,61,,,,,,,,
