"County","Year","Index Rate","Violent Rate","Property Rate","Murder Rate","Rape Rate","Robbery Rate","Assault Rate","Burglary Rate","Larceny Rate","MVT Rate","Arson Rate"
"Chowan County","2015","2,131.7","198.1","1,933.6","","6.8","20.5","170.8","580.8","1,298.2","54.7","13.7"
"Clay County","2015","3,131.4","176.0","2,955.3","","27.8","","148.2","1,537.9","1,260.0","157.5","46.3"
"Cleveland County","2015","2,324.2","246.2","2,078.0","2.1","24.4","63.7","156.0","699.4","1,301.1","77.5","15.9"
"Columbus County","2015","4,064.7","438.2","3,626.5","23.2","16.0","73.0","326.0","1,398.2","1,943.3","285.0","30.3"
"Craven County","2015","2,630.2","223.6","2,406.5","6.0","16.0","37.1","164.4","772.1","1,552.2","82.2","7.0"
"Cumberland County","2015","5,107.1","554.8","4,552.3","8.8","28.6","167.4","350.0","1,099.3","3,262.9","190.1","31.8"
"Currituck County","2015","1,687.1","147.6","1,539.6","","4.0","12.0","131.6","402.8","1,112.8","23.9","16.0"
"Dare County","2015","4,068.9","220.2","3,848.7","5.6","45.2","8.5","160.9","1,423.1","2,374.7","50.8","19.8"
"Davidson County","2015","2,330.0","166.0","2,164.0","0.6","8.8","42.1","114.5","899.3","1,171.6","93.1","18.9"
"Davie County","2015","2,186.9","138.2","2,048.7","","22.2","12.3","103.7","614.6","1,355.1","79.0","7.4"
"Duplin County","2015","2,266.5","228.5","2,037.9","5.1","8.5","44.0","171.0","687.2","1,252.6","98.2","22.0"
"Durham County","2015","4,923.7","785.0","4,138.8","13.5","27.8","263.3","480.4","1,250.7","2,660.2","227.8","12.2"
"Edgecombe County","2015","3,290.3","546.6","2,743.7","23.7","16.4","100.2","406.3","1,104.0","1,526.7","113.0","23.7"
"Forsyth County","2015","5,133.3","597.2","4,536.0","5.2","31.9","133.4","426.8","1,223.9","3,091.6","220.5","32.7"
"Franklin County","2015","1,758.5","152.7","1,605.8","9.6","11.3","25.7","106.1","646.2","893.7","65.9","9.6"
"Gaston County","2015","3,436.7","396.6","3,040.1","5.1","24.8","88.7","277.9","629.3","2,197.3","213.5","16.2"
"Gates County","2015","","","","","","","","","","",""
"Graham County","2015","2,817.7","190.2","2,627.5","","11.9","23.8","154.6","701.5","1,735.8","190.2","11.9"
"Granville County","2015","2,882.8","275.6","2,607.2","1.7","5.2","50.3","218.4","1,026.2","1,480.4","100.5","15.6"
"Greene County","2015","","","","","","","","","","",""
"Guilford County","2015","3,497.8","483.8","3,014.0","7.3","24.6","144.5","307.3","719.8","2,136.8","157.4","23.8"
"Halifax County","2015","4,475.8","487.8","3,988.0","10.0","28.0","105.9","343.8","1,241.4","2,626.7","119.9","28.0"
"Harnett County","2015","2,422.2","223.7","2,198.5","4.3","13.8","44.7","160.9","733.1","1,362.1","103.3","9.5"
"Haywood County","2015","2,557.0","268.7","2,288.3","0.0","10.0","23.4","235.3","797.8","1,372.0","118.5","6.7"
"Henderson County","2015","1,893.0","154.2","1,738.8","0.9","27.1","38.8","87.5","423.9","1,190.4","124.5","6.3"
"Hertford County","2015","2,802.1","230.7","2,571.4","12.6","12.6","71.3","134.2","1,019.3","1,459.8","92.3","21.0"
"Hoke County","2015","2,051.7","174.6","1,877.1","","2.0","39.2","133.4","763.0","1,055.3","58.8","7.8"
"Iredell County","2015","2,775.4","251.8","2,523.6","1.8","14.4","33.6","202.0","769.7","1,607.7","146.3","9.0"
"Jackson County","2015","2,865.2","254.2","2,611.0","7.9","37.1","7.9","201.3","1,173.1","1,321.4","116.5","2.6"
"Johnston County","2015","2,249.9","189.1","2,060.8","3.9","16.9","48.4","119.9","697.4","1,290.7","72.6","5.6"
"Jones County","2015","757.6","94.7","662.9","","0.0","94.7","","94.7","473.5","94.7",""
"Lee County","2015","2,359.9","229.4","2,130.5","6.9","20.7","51.8","150.1","526.2","1,481.9","122.5","17.3"
"Lenoir County","2015","4,169.2","707.2","3,462.0","10.3","27.5","106.7","562.7","1,123.6","2,223.1","115.3","8.6"
"Lincoln County","2015","2,027.4","167.1","1,860.3","1.2","6.2","18.7","140.9","480.0","1,322.9","57.4","6.2"
"Macon County","2015","2,555.8","87.1","2,468.6","","14.5","5.8","66.8","932.3","1,455.0","81.3","5.8"
"Madison County","2015","1,068.1","64.6","1,003.5","9.9","5.0","5.0","44.7","457.1","496.8","49.7","34.8"
"Martin County","2015","4,111.5","501.8","3,609.7","4.2","25.3","92.8","379.5","1,513.9","1,982.0","113.9","50.6"
"McDowell County","2015","3,230.7","146.3","3,084.3","4.5","9.0","15.8","117.1","1,073.9","1,864.1","146.3","22.5"
"Mecklenburg County","2015","4,275.7","613.5","3,662.3","6.2","22.6","199.5","385.1","725.8","2,709.6","226.9","22.7"
"Mitchell County","2015","2,539.4","87.6","2,451.8","","43.8","","43.8","437.8","1,926.4","87.6",""
"Montgomery County","2015","2,843.3","190.5","2,652.8","","14.4","21.6","154.6","833.9","1,725.4","93.5","14.4"
"Moore County","2015","2,049.4","183.4","1,866.0","5.5","17.6","34.0","126.3","579.9","1,214.7","71.4","3.3"
"Nash County","2015","3,012.3","361.7","2,650.6","8.0","22.8","87.9","243.0","770.2","1,791.4","89.0","6.8"
"New Hanover County","2015","4,140.1","500.9","3,639.3","7.9","34.9","151.3","306.8","969.6","2,494.6","175.0","6.5"
"Northampton County","2015","2,739.3","159.1","2,580.3","","11.8","64.8","82.5","1,508.1","919.0","153.2","17.7"
"Onslow County","2015","2,889.5","184.1","2,705.4","4.6","25.4","38.1","116.0","702.3","1,917.7","85.4","18.5"
"Orange County","2015","2,178.3","148.2","2,030.0","4.3","14.9","41.1","88.0","575.3","1,371.8","83.0","3.5"
"Pamlico County","2015","1,888.2","106.3","1,781.9","16.3","8.2","16.3","65.4","261.6","1,455.0","65.4","8.2"
"Pasquotank County","2015","2,818.6","332.2","2,486.4","5.0","17.6","78.0","231.5","817.9","1,610.6","57.9","7.5"
"Pender County","2015","2,374.2","161.2","2,213.0","1.8","28.3","23.0","108.1","629.0","1,506.1","78.0","5.3"
"Perquimans County","2015","1,419.4","191.8","1,227.6","","15.3","23.0","153.4","529.4","675.2","23.0","23.0"
"Person County","2015","2,325.2","272.5","2,052.7","7.6","17.8","35.7","211.4","624.0","1,360.0","68.8","5.1"
"Pitt County","2015","3,306.6","441.9","2,864.7","8.2","31.5","100.3","302.0","706.0","2,082.3","76.4","4.7"
"Polk County","2015","1,354.0","43.4","1,310.7","4.8","","4.8","33.7","404.8","867.3","38.5","4.8"
"Randolph County","2015","2,570.4","140.7","2,429.7","2.1","9.8","32.9","95.9","650.1","1,696.3","83.3","8.4"
"Richmond County","2015","5,432.0","586.2","4,845.8","15.4","30.7","160.3","379.8","1,679.7","2,972.9","193.2","22.0"
"Robeson County","2015","6,562.1","910.8","5,651.3","30.7","22.3","217.9","639.9","2,013.4","3,375.4","262.4","41.4"
"Rockingham County","2015","3,052.3","268.8","2,783.5","4.5","7.8","78.4","178.1","915.1","1,775.4","93.0","11.2"
"Rowan County","2015","2,743.5","331.0","2,412.5","6.4","17.6","77.7","229.2","589.1","1,671.9","151.5","8.8"
"Rutherford County","2015","3,076.0","195.9","2,880.1","1.6","7.9","19.0","167.5","1,139.1","1,602.0","139.0","9.5"
"Sampson County","2015","2,394.0","205.0","2,189.0","11.0","25.2","44.2","124.6","880.0","1,176.5","132.5","12.6"
"Scotland County","2015","4,840.7","650.8","4,190.0","14.3","31.4","108.5","496.6","2,126.4","1,878.1","185.5","42.8"
"Stanly County","2015","2,469.9","211.0","2,258.9","3.9","15.5","40.6","151.0","772.3","1,413.0","73.6","19.4"
"Statewide County","2015","","","","","","","","","","",""
"Stokes County","2015","2,134.4","213.0","1,921.4","","6.3","6.3","200.4","523.1","1,292.9","105.5","6.3"
"Surry County","2015","2,893.9","194.8","2,699.0","","17.6","29.8","147.5","794.2","1,779.1","125.8","17.6"
"Swain County","2015","2,885.0","221.1","2,663.9","","0.0","10.1","211.1","1,517.9","1,015.3","130.7","10.1"
"Transylvania County","2015","1,471.8","122.7","1,349.2","6.0","15.0","15.0","86.8","400.9","867.5","80.8","15.0"
"Tyrrell County","2015","1,641.3","169.0","1,472.4","","","24.1","144.8","169.0","1,279.3","24.1",""
"Union County","2015","2,241.7","182.3","2,059.4","2.3","13.6","38.1","128.3","497.6","1,490.9","70.9","14.6"
"Vance County","2015","4,940.4","665.5","4,274.9","11.1","8.9","133.1","512.5","1,211.3","2,906.1","157.5","24.4"
"Wake County","2015","2,236.5","246.5","1,990.0","2.8","13.8","79.5","150.4","381.8","1,509.6","98.5","7.3"
"Warren County","2015","1,591.6","170.0","1,421.7","5.2","10.3","15.5","139.1","623.3","710.8","87.6","5.2"
"Washington County","2015","4,403.9","617.6","3,786.3","26.9","80.6","107.4","402.8","698.2","3,007.5","80.6",""
"Watauga County","2015","1,541.2","97.0","1,444.2","3.8","19.0","3.8","70.4","239.7","1,153.1","51.4","1.9"
"Wayne County","2015","4,100.8","495.2","3,605.6","9.0","3.3","107.9","375.1","1,100.8","2,336.5","168.3","6.5"
"Wilkes County","2015","2,002.8","181.9","1,820.9","5.7","14.3","14.3","147.6","522.9","1,220.6","77.4","20.1"
"Wilson County","2015","3,810.7","454.8","3,355.9","8.7","9.9","110.3","325.9","825.4","2,363.3","167.3","23.5"
"Yadkin County","2015","2,556.3","341.4","2,214.9","2.8","16.7","25.0","297.0","799.4","1,326.7","88.8","13.9"
"Yancey County","2015","664.5","72.6","591.9","","","","72.6","167.5","396.5","27.9",""
