vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url
(336)570-6125,2015,010354,316 Carden Street,Burlington,NC,27215.0,P,0.0,0.0,,E,http://hne.abss.k12.nc.us/,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Harvey R Newlin Elementary,State Of North Carolina,,759.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)578-0177,2015,010357,701 E Main Street,Haw River,NC,27258.0,P,0.0,0.0,,E,http://hre.abss.k12.nc.us,PK-5,"Regular School, Year-Round Calendar",Y,http://www.abss.k12.nc.us/Page/34260,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,Haw River Elementary,State Of North Carolina,,517.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6120,2015,010358,1714 W Davis Street,Burlington,NC,27215.0,P,0.0,0.0,,E,http://hie.abss.k12.nc.us/,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Hillcrest Elementary,State Of North Carolina,,542.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6100,2015,010360,2200 N Mebane Street,Burlington,NC,27217.0,P,0.0,0.0,,H,http://hch.abss.k12.nc.us/,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,Y,,,,Alamance-Burlington Schools,Hugh M Cummings High,State Of North Carolina,,902.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)570-6140,2015,010362,2235 Delaney Drive,Burlington,NC,27215.0,P,0.0,0.0,,E,http://mse.abss.k12.nc.us/,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Marvin B Smith Elementary,State Of North Carolina,,475.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)578-2272,2015,010364,1025 Trollinger Road,Graham,NC,27253.0,P,0.0,0.0,,E,http://nge.abss.k12.nc.us,PK-5,"Regular School, Year-Round Calendar",Y,http://www.abss.k12.nc.us/Page/34260,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,North Graham Elementary,State Of North Carolina,,370.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)421-3701,2015,010372,2847 Pleasant Grv Sch Road,Burlington,NC,27217.0,P,0.0,0.0,,E,http://pge.abss.k12.nc.us/,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,"Pleasant Grove Elementary, Burlington",State Of North Carolina,,257.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6170,2015,010374,2630 Buckingham Road,Burlington,NC,27217.0,P,0.0,0.0,,E,http://rae.abss.k12.nc.us/,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,R Homer Andrews Elementary,State Of North Carolina,,583.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6643,2015,010378,609 Ray Street,Graham,NC,27253.0,P,0.0,0.0,,A,http://.abss.k12.nc.us,K-12,"Alternative Education, Traditional Calendar",A,http://www.abss.k12.nc.us/Page/34260,Alternative Education,Traditional Calendar,,,,,Y,,Alamance-Burlington Schools,Ray Street Academy,State Of North Carolina,,104.0,104.0,454.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6520,2015,010380,320 Ivey Road,Graham,NC,27253.0,P,0.0,0.0,,E,http://sge.abss.k12.nc.us,PK-5,"Regular School, Year-Round Calendar",Y,http://www.abss.k12.nc.us/Page/34260,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,South Graham Elementary,State Of North Carolina,,573.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-6905,2015,010384,600 S 3rd Street,Mebane,NC,27302.0,P,0.0,0.0,,E,http://sme.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,South Mebane Elementary,State Of North Carolina,,566.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6400,2015,010388,631 Southern High Road,Graham,NC,27253.0,P,0.0,0.0,,H,http://sah.abss.k12.nc.us/,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Southern High,State Of North Carolina,,1471.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)570-6500,2015,010390,771 Southern High Road,Graham,NC,27253.0,P,0.0,0.0,,M,http://sam.abss.k12.nc.us,6-8,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,"Southern Middle, Graham",State Of North Carolina,,792.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(336)376-3350,2015,010392,7718 Sylvan Road,Snow Camp,NC,27349.0,P,0.0,0.0,,E,http://sye.abss.k12.nc.us/,PK-5,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Sylvan Elementary,State Of North Carolina,,315.0,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6150,2015,010394,1710 Edgewood Avenue,Burlington,NC,27215.0,P,0.0,0.0,,M,http://tum.abss.k12.nc.us/,6-8,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Turrentine Middle,State Of North Carolina,F,863.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6161,2015,010396,1307 S Church Street,Burlington,NC,27215.0,P,0.0,0.0,,H,http://wwh.abss.k12.nc.us/,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Walter M Williams High,State Of North Carolina,,1154.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)538-6020,2015,010400,1731 N NC 87,Elon,NC,27244.0,P,0.0,0.0,,H,http://wah.abss.k12.nc.us/,9-12,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,Y,,,,,Alamance-Burlington Schools,Western Alamance High,State Of North Carolina,,1195.0,972.0,848.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)538-6010,2015,010403,2100 Eldon Drive,Elon,NC,27244.0,P,0.0,0.0,,M,http://wam.abss.k12.nc.us/,6-8,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Western Middle,State Of North Carolina,,857.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-3222,2015,010406,3970 Mebane Rogers Road,Mebane,NC,27302.0,P,0.0,0.0,,M,http://wom.abss.k12.nc.us/,6-8,"Regular School, Traditional Calendar",R,http://www.abss.k12.nc.us/Page/34260,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Woodlawn Middle,State Of North Carolina,,581.0,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6060,2015,010LEA,1712 Vaughn Road,Burlington,NC,27217.0,P,0.0,0.0,William Harrison,A,http://www.abss.k12.nc.us,,,,http://www.abss.k12.nc.us/Page/34260,,,,,,,,,Alamance-Burlington Schools,,State Of North Carolina,,,104.0,454.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6060,2015,010LEA,1712 Vaughn Road,Burlington,NC,27217.0,P,0.0,0.0,William Harrison,M,http://www.abss.k12.nc.us,,,,http://www.abss.k12.nc.us/Page/34260,,,,,,,,,Alamance-Burlington Schools,,State Of North Carolina,,,749.0,659.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6060,2015,010LEA,1712 Vaughn Road,Burlington,NC,27217.0,P,0.0,0.0,William Harrison,E,http://www.abss.k12.nc.us,,,,http://www.abss.k12.nc.us/Page/34260,,,,,,,,,Alamance-Burlington Schools,,State Of North Carolina,,,523.0,490.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6060,2015,010LEA,1712 Vaughn Road,Burlington,NC,27217.0,P,0.0,0.0,William Harrison,H,http://www.abss.k12.nc.us,,,,http://www.abss.k12.nc.us/Page/34260,,,,,,,,,Alamance-Burlington Schools,,State Of North Carolina,,,972.0,848.0,,,https://www.abss.k12.nc.us/Page/27733
(336)229-0909,2015,01B000,1242 South Main Street,Graham,NC,27253.0,C,0.0,0.0,Jeffrey Dishmon,A,http://www.rivermill-academy.org,K-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Charter and Non-District Affiliated Schools,River Mill Academy,State Of North Carolina,,654.0,,454.0,N,,
(336)586-9440,2015,01C000,2454 Altamhaw Union Ridge Road,Burlington,NC,27217.0,C,0.0,0.0,Walter R. Finnigan,A,http://www.cgsnc.org,K-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Charter and Non-District Affiliated Schools,Clover Garden,State Of North Carolina,,598.0,,454.0,N,,
(336)376-1122,2015,01D000,1735 Saxapahaw Bethlehem Churc,Saxapahaw,NC,27340.0,C,0.0,0.0,Robert Kreiner,T,http://www.hawbridgeschool.org,6-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Charter and Non-District Affiliated Schools,The Hawbridge School,State Of North Carolina,,235.0,,252.0,N,,
(828)632-7063,2015,020302,223 School Drive,Taylorsville,NC,28681.0,P,0.0,0.0,,H,http://www.alexander.k12.nc.us/alexandercentral,9-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,Y,,,Alexander County Schools,Alexander Central High,State Of North Carolina,,1563.0,1563.0,848.0,Y,,
(828)495-8198,2015,020304,7900 NC Hwy 127,Taylorsville,NC,28681.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/bethlehem,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Bethlehem Elementary,State Of North Carolina,,484.0,339.0,490.0,,,
(828)632-7565,2015,020306,1285 White Plains Road,Hiddenite,NC,28636.0,P,0.0,0.0,,M,http://www.alexander.k12.nc.us/eastalexander,6-8,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alexander County Schools,East Alexander Middle,State Of North Carolina,,666.0,593.0,659.0,,,
(828)632-4866,2015,020308,175 Ellendale Park Lane,Taylorsville,NC,28681.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/ellendale,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Ellendale Elementary,State Of North Carolina,,314.0,339.0,490.0,,,
(828)632-2503,2015,020316,374 Sulphur Springs Road,Hiddenite,NC,28636.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/hiddenite,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Hiddenite Elementary,State Of North Carolina,,497.0,339.0,490.0,,,
(704)585-6981,2015,020320,311 Stony Point School Road,Stony Point,NC,28678.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/stonypoint,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Stony Point Elementary,State Of North Carolina,,255.0,339.0,490.0,,,
(828)632-2192,2015,020324,3600 NC Hwy 16N,Taylorsville,NC,28681.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/sugarloaf,K-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Sugar Loaf Elementary,State Of North Carolina,,237.0,339.0,490.0,,,
(828)632-3072,2015,020328,100 7th Street SW,Taylorsville,NC,28681.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/taylorsville,K-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Taylorsville Elementary,State Of North Carolina,,277.0,339.0,490.0,,,
(828)495-4611,2015,020330,85 Bulldog Lane,Taylorsville,NC,28681.0,P,0.0,0.0,,M,http://www.alexander.k12.nc.us/westalexander,6-8,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alexander County Schools,West Alexander Middle,State Of North Carolina,,519.0,593.0,659.0,,,
(828)632-2395,2015,020332,7300 Church Road,Taylorsville,NC,28681.0,P,0.0,0.0,,E,http://www.alexander.k12.nc.us/wittenburg,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alexander County Schools,Wittenburg Elementary,State Of North Carolina,,308.0,339.0,490.0,,,
(828)632-7001,2015,020LEA,700 Liledoun Road,Taylorsville,NC,28681.0,P,0.0,0.0,Jennifer F Hefner,M,http://www.alexander.k12.nc.us,,,,,,,,,,,,,Alexander County Schools,,State Of North Carolina,,,593.0,659.0,,,
(828)632-7001,2015,020LEA,700 Liledoun Road,Taylorsville,NC,28681.0,P,0.0,0.0,Jennifer F Hefner,H,http://www.alexander.k12.nc.us,,,,,,,,,,,,,Alexander County Schools,,State Of North Carolina,,,1563.0,848.0,,,
(828)632-7001,2015,020LEA,700 Liledoun Road,Taylorsville,NC,28681.0,P,0.0,0.0,Jennifer F Hefner,E,http://www.alexander.k12.nc.us,,,,,,,,,,,,,Alexander County Schools,,State Of North Carolina,,,339.0,490.0,,,
(336)372-4554,2015,030304,404 Trojan Avenue,Sparta,NC,28675.0,P,0.0,0.0,,H,https://sites.google.com/a/alleghany.k12.nc.us/ahs/,9-12,"Regular School, Traditional Calendar",R,https://docs.google.com/a/alleghanyhighschool.net/document/d/1S3wIuM_-NiCluAD74MjFAZEbm4IcR4rhMkdy-bQadR0/edit?usp=sharing,Regular School,Traditional Calendar,,,,Y,,,Alleghany County Schools,Alleghany High,State Of North Carolina,,429.0,429.0,848.0,Y,,
(336)657-3388,2015,030308,32 Glade Creek Sch Road,Ennice,NC,28623.0,P,0.0,0.0,,I,https://sites.google.com/a/alleghany.k12.nc.us/glade-creek-school/Home,PK-8,"Regular School, Traditional Calendar",R,https://docs.google.com/a/alleghanyhighschool.net/document/d/1S3wIuM_-NiCluAD74MjFAZEbm4IcR4rhMkdy-bQadR0/edit?usp=sharing,Regular School,Traditional Calendar,Y,,,Y,,,Alleghany County Schools,Glade Creek Elementary,State Of North Carolina,,242.0,319.0,462.0,,,
(336)359-2988,2015,030316,559 Piney Creek Sch Road,Piney Creek,NC,28663.0,P,0.0,0.0,,I,https://sites.google.com/a/alleghany.k12.nc.us/piney-creek-school-1/,PK-8,"Regular School, Traditional Calendar",R,https://docs.google.com/a/alleghanyhighschool.net/document/d/1S3wIuM_-NiCluAD74MjFAZEbm4IcR4rhMkdy-bQadR0/edit?usp=sharing,Regular School,Traditional Calendar,Y,,,Y,,,Alleghany County Schools,Piney Creek Elementary,State Of North Carolina,,164.0,319.0,462.0,,,
(336)372-8546,2015,030320,450 N Main Street,Sparta,NC,28675.0,P,0.0,0.0,,I,https://sites.google.com/a/alleghany.k12.nc.us/sparta-elementary-school/,PK-8,"Regular School, Traditional Calendar",R,https://docs.google.com/a/alleghanyhighschool.net/document/d/1S3wIuM_-NiCluAD74MjFAZEbm4IcR4rhMkdy-bQadR0/edit?usp=sharing,Regular School,Traditional Calendar,Y,,,Y,,,Alleghany County Schools,Sparta Elementary,State Of North Carolina,,552.0,319.0,462.0,,,
(336)372-4345,2015,030LEA,85 Peachtree Street,Sparta,NC,28675.0,P,0.0,0.0,Kim I Mattox,H,http://www.alleghany.k12.nc.us,,,,https://docs.google.com/a/alleghanyhighschool.net/document/d/1S3wIuM_-NiCluAD74MjFAZEbm4IcR4rhMkdy-bQadR0/edit?usp=sharing,,,,,,,,,Alleghany County Schools,,State Of North Carolina,,,429.0,848.0,,,
(336)372-4345,2015,030LEA,85 Peachtree Street,Sparta,NC,28675.0,P,0.0,0.0,Kim I Mattox,I,http://www.alleghany.k12.nc.us,,,,https://docs.google.com/a/alleghanyhighschool.net/document/d/1S3wIuM_-NiCluAD74MjFAZEbm4IcR4rhMkdy-bQadR0/edit?usp=sharing,,,,,,,,,Alleghany County Schools,,State Of North Carolina,,,319.0,462.0,,,
(704)272-5396,2015,040304,177 Ledbetter Street,Polkton,NC,28135.0,P,0.0,0.0,,H,http://www.ansonschools.org,9-13,"Regular School, Traditional Calendar",R,http://www.ansonschools.org/files/user/1/file/letter.htm.,Regular School,Traditional Calendar,,,,,,,Anson County Schools,Anson Co. Early College High,State Of North Carolina,,194.0,259.0,848.0,Y,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
(704)694-4417,2015,040305,514 N. Washington Street,Wadesboro,NC,28170.0,P,0.0,0.0,,H,http://www.ansonschools.org,9-12,"Alternative Education, Traditional Calendar",A,http://www.ansonschools.org/files/user/1/file/letter.htm.,Alternative Education,Traditional Calendar,,,,,Y,,Anson County Schools,Anson Academy,State Of North Carolina,P,60.0,259.0,848.0,Y,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
(704)694-9301,2015,040306,96 Anson High School Road,Wadesboro,NC,28170.0,P,0.0,0.0,,H,http://ahs.ansonschools.org/home.aspx,9-12,"Regular School, Traditional Calendar",R,http://www.ansonschools.org/files/user/1/file/letter.htm.,Regular School,Traditional Calendar,,Y,,,,,Anson County Schools,Anson High School,State Of North Carolina,P,622.0,259.0,848.0,Y,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
(704)826-8337,2015,040308,9104 Hwy 52 N,Ansonville,NC,28007.0,P,0.0,0.0,,E,http://aes.ansonschools.org/home.aspx,K-6,"Regular School, Traditional Calendar",R,http://www.ansonschools.org/files/user/1/file/letter.htm.,Regular School,Traditional Calendar,Y,,,,,,Anson County Schools,Ansonville Elementary,State Of North Carolina,,219.0,361.0,490.0,,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
(704)694-3945,2015,040309,832 US Hwy 52 N,Wadesboro,NC,28170.0,P,0.0,0.0,,M,http://ams.ansonschools.org/home.aspx,7-8,"Regular School, Traditional Calendar",R,http://www.ansonschools.org/files/user/1/file/letter.htm.,Regular School,Traditional Calendar,,,,,,,Anson County Schools,Anson Middle,State Of North Carolina,,540.0,325.0,659.0,,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
(704)694-4423,2015,040311,1542 Hwy 52 S,Wadesboro,NC,28170.0,P,0.0,0.0,,E,http://wps.ansonschools.org/home.aspx,K-5,"Regular School, Traditional Calendar",R,http://www.ansonschools.org/files/user/1/file/letter.htm.,Regular School,Traditional Calendar,Y,,,,,,Anson County Schools,Wadesboro Primary,State Of North Carolina,,538.0,361.0,490.0,,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
(704)848-4975,2015,040316,121 Camden Street,Lilesville,NC,28091.0,P,0.0,0.0,,E,http://les.ansonschools.org/home.aspx,K-6,"Regular School, Traditional Calendar",R,http://www.ansonschools.org/files/user/1/file/letter.htm.,Regular School,Traditional Calendar,Y,,,,,,Anson County Schools,Lilesville Elementary,State Of North Carolina,,323.0,361.0,490.0,,,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendent's%20Welcome%20Letter%20-2016-17%20data.pdf
