metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,600451,Charlotte-Mecklenburg Schools,McKee Road Elementary,State Of North Carolina,E,0.0,0.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600453,Charlotte-Mecklenburg Schools,Merry Oaks International Academy,State Of North Carolina,E,0.165,21.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600454,Charlotte-Mecklenburg Schools,Metro School,State Of North Carolina,A,1.0,2.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600459,Charlotte-Mecklenburg Schools,Montclaire Elementary,State Of North Carolina,E,0.165,17.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600461,Charlotte-Mecklenburg Schools,Lincoln Heights Academy,State Of North Carolina,A,0.0,0.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600462,Charlotte-Mecklenburg Schools,Mountain Island Lake Academy,State Of North Carolina,I,0.075,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600463,Charlotte-Mecklenburg Schools,River Oaks Academy,State Of North Carolina,E,0.065,7.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600464,Charlotte-Mecklenburg Schools,Myers Park Traditional,State Of North Carolina,E,0.034,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600468,Charlotte-Mecklenburg Schools,Nathaniel Alexander Elementary,State Of North Carolina,E,0.082,10.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600471,Charlotte-Mecklenburg Schools,Nations Ford Elementary,State Of North Carolina,E,0.142,18.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600474,Charlotte-Mecklenburg Schools,Newell Elementary,State Of North Carolina,E,0.113,16.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600478,Charlotte-Mecklenburg Schools,J H Gunn Elementary,State Of North Carolina,E,0.067,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600485,Charlotte-Mecklenburg Schools,Oakdale Elementary,State Of North Carolina,E,0.068,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600488,Charlotte-Mecklenburg Schools,Oaklawn Language Academy,State Of North Carolina,I,0.0,0.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600489,Charlotte-Mecklenburg Schools,Bruns Academy,State Of North Carolina,I,0.043,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600491,Charlotte-Mecklenburg Schools,Olde Providence Elementary,State Of North Carolina,E,0.034,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600492,Charlotte-Mecklenburg Schools,Park Road Montessori,State Of North Carolina,E,0.0,0.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600493,Charlotte-Mecklenburg Schools,Palisades Park Elementary,State Of North Carolina,E,0.038,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600494,Charlotte-Mecklenburg Schools,Paw Creek Elementary,State Of North Carolina,E,0.112,10.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600500,Charlotte-Mecklenburg Schools,Pineville Elementary,State Of North Carolina,E,0.093,13.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600501,Charlotte-Mecklenburg Schools,"Pinewood Elementary, Charlotte",State Of North Carolina,E,0.098,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600503,Charlotte-Mecklenburg Schools,"Piney Grove Elementary, Charlotte",State Of North Carolina,E,0.145,20.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600507,Charlotte-Mecklenburg Schools,Providence Spring Elementary,State Of North Carolina,E,0.027,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600512,Charlotte-Mecklenburg Schools,Rama Road Elementary,State Of North Carolina,E,0.069,7.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600516,Charlotte-Mecklenburg Schools,"Reedy Creek Elementary, Charlotte",State Of North Carolina,E,0.015,2.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600517,Charlotte-Mecklenburg Schools,Reid Park Academy,State Of North Carolina,I,0.121,11.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600519,Charlotte-Mecklenburg Schools,"Sedgefield Elementary, Charlotte",State Of North Carolina,E,0.143,11.0,902.0,0.075,12367.0,0.104
