year,unit_code,category_cd,School_Name,Lea_Name,State_Name,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses
2015,430384,H,Western Harnett High,Harnett County Schools,State Of North Carolina,1.0,0.112752721617418,0.768273716951788,0.0256609642301711,1.0,0.115944511046412,0.761089227607467,0.0467545812639151,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,430LEA,,,Harnett County Schools,State Of North Carolina,,,,,1.0,0.115944511046412,0.761089227607467,0.0467545812639151,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,440326,H,Central Haywood High,Haywood County Schools,State Of North Carolina,1.0,,1.0,0.0338983050847458,1.0,0.0816044260027663,0.741355463347165,0.101890272014753,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,440346,H,Haywood Early College,Haywood County Schools,State Of North Carolina,1.0,,0.0335570469798658,0.973154362416107,1.0,0.0816044260027663,0.741355463347165,0.101890272014753,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,440378,H,Pisgah High,Haywood County Schools,State Of North Carolina,1.0,0.076530612244898,0.839795918367347,0.0275510204081633,1.0,0.0816044260027663,0.741355463347165,0.101890272014753,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,440390,H,Tuscola High,Haywood County Schools,State Of North Carolina,0.978593272171254,0.103975535168196,0.728848114169215,0.0479102956167176,1.0,0.0816044260027663,0.741355463347165,0.101890272014753,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,440LEA,,,Haywood County Schools,State Of North Carolina,,,,,1.0,0.0816044260027663,0.741355463347165,0.101890272014753,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,450316,H,East Henderson High,Henderson County Schools,State Of North Carolina,1.0,0.0963855421686747,0.695509309967141,0.0230010952902519,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,450334,H,Hendersonville High,Henderson County Schools,State Of North Carolina,0.974254742547426,0.239837398373984,0.643631436314363,0.0596205962059621,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,450341,H,North Henderson High,Henderson County Schools,State Of North Carolina,0.976235741444867,0.107414448669202,0.681558935361217,0.00380228136882129,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
