year,unit_code,grade,pct_prof,School_Name,Lea_Name,State_Name
2017,11D000,9,32.3,The Franklin School of Innovation,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,11K000,6,65,Francine Delany New School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,120308,6,0,Hallyburton Academy,Burke County Schools,State Of North Carolina
2017,120308,9,0,Hallyburton Academy,Burke County Schools,State Of North Carolina
2017,120314,9,52.4,East Burke High,Burke County Schools,State Of North Carolina
2017,120315,6,45.6,East Burke Middle,Burke County Schools,State Of North Carolina
2017,120318,9,35.1,Freedom High,Burke County Schools,State Of North Carolina
2017,120334,6,61.4,"Heritage Middle, Valdese",Burke County Schools,State Of North Carolina
2017,120346,9,52.4,Jimmy C Draughn High School,Burke County Schools,State Of North Carolina
2017,120350,6,56.7,Liberty Middle,Burke County Schools,State Of North Carolina
2017,120352,6,0,North Liberty,Burke County Schools,State Of North Carolina
2017,120352,9,0,North Liberty,Burke County Schools,State Of North Carolina
2017,120370,9,44.8,Robert L. Patton High School,Burke County Schools,State Of North Carolina
2017,120376,6,37.2,Table Rock Middle,Burke County Schools,State Of North Carolina
2017,120390,6,35.2,Walter R Johnson Middle,Burke County Schools,State Of North Carolina
2017,12A000,6,53.8,New Dimensions,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,130307,9,65.3,Cox Mill High School,Cabarrus County Schools,State Of North Carolina
2017,130310,9,32.4,Central Cabarrus High,Cabarrus County Schools,State Of North Carolina
2017,130313,6,27.8,Concord Middle,Cabarrus County Schools,State Of North Carolina
2017,130314,9,31.8,Concord High,Cabarrus County Schools,State Of North Carolina
2017,130315,6,74.8,J N Fries Magnet School,Cabarrus County Schools,State Of North Carolina
2017,130316,9,33.7,Jay M Robinson High,Cabarrus County Schools,State Of North Carolina
2017,130318,6,35.1,C C Griffin Middle,Cabarrus County Schools,State Of North Carolina
2017,130319,9,0,Cox Mill Elementary,Cabarrus County Schools,State Of North Carolina
2017,130320,6,69.3,Harris Road Middle,Cabarrus County Schools,State Of North Carolina
2017,130323,6,55.4,Mount Pleasant Middle,Cabarrus County Schools,State Of North Carolina
2017,130324,9,43,Mount Pleasant High,Cabarrus County Schools,State Of North Carolina
2017,130326,9,36.9,Northwest Cabarrus High,Cabarrus County Schools,State Of North Carolina
2017,130327,6,47.2,Northwest Cabarrus Middle,Cabarrus County Schools,State Of North Carolina
2017,130332,9,48.9,Hickory Ridge High,Cabarrus County Schools,State Of North Carolina
2017,130333,9,0,"Performance Learning Center, Concord",Cabarrus County Schools,State Of North Carolina
2017,130346,6,63.5,Hickory Ridge Middle,Cabarrus County Schools,State Of North Carolina
2017,130349,9,62.9,Cabarrus Early College of Technology,Cabarrus County Schools,State Of North Carolina
2017,130350,9,65.5,Cabarrus-Kannapolis Early Coll,Cabarrus County Schools,State Of North Carolina
2017,130355,6,41,Harold E. Winkler Middle,Cabarrus County Schools,State Of North Carolina
2017,132304,9,20.9,A L Brown High,Kannapolis City Schools,State Of North Carolina
2017,132329,6,31.5,Kannapolis Intermediate,Kannapolis City Schools,State Of North Carolina
2017,13A000,6,43.5,Carolina International School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,13A000,9,15.7,Carolina International School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,13B000,6,49.2,Cabarrus Charter Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,13B000,9,37.5,Cabarrus Charter Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,13C000,6,20,A.C.E. Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,13D000,6,44,Kannapolis Charter Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,140305,9,57.6,Caldwell Career Cen Mid. Coll.,Caldwell County Schools,State Of North Carolina
2017,140306,6,0,Gateway School,Caldwell County Schools,State Of North Carolina
2017,140306,9,0,Gateway School,Caldwell County Schools,State Of North Carolina
2017,140308,6,47.5,Collettsville School,Caldwell County Schools,State Of North Carolina
2017,140309,9,72.9,Caldwell Early College,Caldwell County Schools,State Of North Carolina
2017,140332,6,30.1,Gamewell Middle,Caldwell County Schools,State Of North Carolina
2017,140336,6,51.3,Granite Falls Middle,Caldwell County Schools,State Of North Carolina
2017,140344,6,21.7,Happy Valley Elementary,Caldwell County Schools,State Of North Carolina
2017,140348,9,38.8,Hibriten High,Caldwell County Schools,State Of North Carolina
2017,140356,6,54.8,Hudson Middle,Caldwell County Schools,State Of North Carolina
2017,140360,6,44.4,Kings Creek Elementary,Caldwell County Schools,State Of North Carolina
2017,140368,6,46.1,William Lenoir Middle,Caldwell County Schools,State Of North Carolina
