year,unit_code,School_Name,Lea_Name,State_Name,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,esea_attendance,lea_esea_attendance,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,ib_participation_pct,lea_ib_participation_pct,st_ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,st_ib_pct_4_or_above
2017,020303,Alexander Early College,Alexander County Schools,State Of North Carolina,H,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020304,Bethlehem Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020306,East Alexander Middle,Alexander County Schools,State Of North Carolina,M,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020308,Ellendale Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020316,Hiddenite Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020320,Stony Point Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020324,Sugar Loaf Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020328,Taylorsville Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020330,West Alexander Middle,Alexander County Schools,State Of North Carolina,M,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020332,Wittenburg Elementary,Alexander County Schools,State Of North Carolina,E,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,020LEA,,Alexander County Schools,State Of North Carolina,,,1092.0,1074.0,1044.0,,0.266,0.44,0.0,,,,0.11,0.16,,0.44,0.51,,,,,,0.95
2017,030304,Alleghany High,Alleghany County Schools,State Of North Carolina,H,1051.0,1051.0,1074.0,1044.0,0.33,0.33,0.44,0.0,,,,,0.16,0.18,0.18,0.51,,,,,,0.95
2017,030308,Glade Creek Elementary,Alleghany County Schools,State Of North Carolina,I,,1051.0,1074.0,1044.0,,0.33,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,030316,Piney Creek Elementary,Alleghany County Schools,State Of North Carolina,I,,1051.0,1074.0,1044.0,,0.33,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,030320,Sparta Elementary,Alleghany County Schools,State Of North Carolina,I,,1051.0,1074.0,1044.0,,0.33,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,030LEA,,Alleghany County Schools,State Of North Carolina,,,1051.0,1074.0,1044.0,,0.33,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040304,Anson Co. Early College High,Anson County Schools,State Of North Carolina,H,915.0,879.0,1074.0,1044.0,0.215,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040305,Anson Academy,Anson County Schools,State Of North Carolina,T,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040306,Anson High School,Anson County Schools,State Of North Carolina,H,872.0,879.0,1074.0,1044.0,0.57,0.477,0.44,0.0,,,,,0.16,0.18,0.18,0.51,,,,,,0.95
2017,040308,Ansonville Elementary,Anson County Schools,State Of North Carolina,E,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040309,Anson Middle,Anson County Schools,State Of North Carolina,M,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040311,Wadesboro Primary,Anson County Schools,State Of North Carolina,E,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040316,Lilesville Elementary,Anson County Schools,State Of North Carolina,E,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040324,Morven Elementary,Anson County Schools,State Of North Carolina,E,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040328,Peachland-Polkton Elem,Anson County Schools,State Of North Carolina,E,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040330,Wadesboro Elementary,Anson County Schools,State Of North Carolina,M,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040700,Anson New Tech High,Anson County Schools,State Of North Carolina,H,876.0,879.0,1074.0,1044.0,0.926,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,040LEA,,Anson County Schools,State Of North Carolina,,,879.0,1074.0,1044.0,,0.477,0.44,0.0,,,,,0.16,,0.18,0.51,,,,,,0.95
2017,050302,Ashe County High,Ashe County Schools,State Of North Carolina,H,1100.0,1100.0,1074.0,1044.0,0.397,0.397,0.44,0.0,,,0.13,0.13,0.16,0.53,0.53,0.51,,,,,,0.95
2017,050305,Ashe County Middle,Ashe County Schools,State Of North Carolina,M,,1100.0,1074.0,1044.0,,0.397,0.44,0.0,,,,0.13,0.16,,0.53,0.51,,,,,,0.95
2017,050310,Blue Ridge Elementary,Ashe County Schools,State Of North Carolina,E,,1100.0,1074.0,1044.0,,0.397,0.44,0.0,,,,0.13,0.16,,0.53,0.51,,,,,,0.95
2017,050330,"Mountain View Elementary, Jefferson",Ashe County Schools,State Of North Carolina,E,,1100.0,1074.0,1044.0,,0.397,0.44,0.0,,,,0.13,0.16,,0.53,0.51,,,,,,0.95
2017,050335,Westwood Elementary,Ashe County Schools,State Of North Carolina,E,,1100.0,1074.0,1044.0,,0.397,0.44,0.0,,,,0.13,0.16,,0.53,0.51,,,,,,0.95
2017,050LEA,,Ashe County Schools,State Of North Carolina,,,1100.0,1074.0,1044.0,,0.397,0.44,0.0,,,,0.13,0.16,,0.53,0.51,,,,,,0.95
2017,060302,Avery County High,Avery County Schools,State Of North Carolina,H,1082.0,1094.0,1074.0,1044.0,0.202,0.178,0.44,0.0,,,0.22,0.14,0.16,0.31,0.31,0.51,,,,,,0.95
2017,060304,Banner Elk Elementary,Avery County Schools,State Of North Carolina,E,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060310,Cranberry Middle,Avery County Schools,State Of North Carolina,M,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060316,Crossnore Elementary,Avery County Schools,State Of North Carolina,E,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060318,Avery Middle,Avery County Schools,State Of North Carolina,M,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060322,Freedom Trail Elementary,Avery County Schools,State Of North Carolina,E,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060328,Newland Elementary,Avery County Schools,State Of North Carolina,E,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060332,Riverside Elementary,Avery County Schools,State Of North Carolina,E,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060334,Blue Ridge Academy,Avery County Schools,State Of North Carolina,T,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060700,Avery High STEM Academy,Avery County Schools,State Of North Carolina,H,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060701,Avery High Viking Academy,Avery County Schools,State Of North Carolina,H,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,060LEA,,Avery County Schools,State Of North Carolina,,,1094.0,1074.0,1044.0,,0.178,0.44,0.0,,,,0.14,0.16,,0.31,0.51,,,,,,0.95
2017,06A000,Grandfather Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,A,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,06B000,Williams Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,A,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,070302,"Eastern Elementary, Washington",Beaufort County Schools,State Of North Carolina,E,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070308,Bath Elementary,Beaufort County Schools,State Of North Carolina,I,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070310,B C Ed Tech Center,Beaufort County Schools,State Of North Carolina,T,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070311,Beaufort Co Early College High,Beaufort County Schools,State Of North Carolina,H,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070325,Chocowinity Middle,Beaufort County Schools,State Of North Carolina,M,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070326,Chocowinity Primary,Beaufort County Schools,State Of North Carolina,E,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070327,John C Tayloe Elementary,Beaufort County Schools,State Of North Carolina,E,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070328,John Small Elementary,Beaufort County Schools,State Of North Carolina,E,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070329,"Northeast Elementary, Pinetown",Beaufort County Schools,State Of North Carolina,I,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070330,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina,H,1087.0,1030.0,1074.0,1044.0,0.25,0.287,0.44,0.0,,,,0.08,0.16,0.51,0.29,0.51,,,,,,0.95
2017,070338,P S Jones Middle,Beaufort County Schools,State Of North Carolina,M,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070339,Southside High,Beaufort County Schools,State Of North Carolina,H,974.0,1030.0,1074.0,1044.0,0.317,0.287,0.44,0.0,,,0.08,0.08,0.16,0.08,0.29,0.51,,,,,,0.95
2017,070340,S W Snowden Elementary,Beaufort County Schools,State Of North Carolina,I,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,070342,Washington High,Beaufort County Schools,State Of North Carolina,H,1013.0,1030.0,1074.0,1044.0,0.367,0.287,0.44,0.0,,,0.12,0.08,0.16,0.3,0.29,0.51,,,,,,0.95
2017,070LEA,,Beaufort County Schools,State Of North Carolina,,,1030.0,1074.0,1044.0,,0.287,0.44,0.0,,,,0.08,0.16,,0.29,0.51,,,,,,0.95
2017,07A000,Washington Montessori,Charter and Non-District Affiliated Schools,State Of North Carolina,A,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080311,Bertie Early College High,Bertie County Schools,State Of North Carolina,H,968.0,912.0,1074.0,1044.0,0.48,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080312,Bertie High,Bertie County Schools,State Of North Carolina,H,834.0,912.0,1074.0,1044.0,0.378,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080314,Bertie Middle,Bertie County Schools,State Of North Carolina,M,,912.0,1074.0,1044.0,,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080348,Aulander Elementary,Bertie County Schools,State Of North Carolina,E,,912.0,1074.0,1044.0,,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080356,West Bertie Elementary,Bertie County Schools,State Of North Carolina,E,,912.0,1074.0,1044.0,,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080360,Colerain Elementary,Bertie County Schools,State Of North Carolina,E,,912.0,1074.0,1044.0,,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080362,Windsor Elementary,Bertie County Schools,State Of North Carolina,E,,912.0,1074.0,1044.0,,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080700,Bertie STEM High,Bertie County Schools,State Of North Carolina,H,978.0,912.0,1074.0,1044.0,0.742,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,080LEA,,Bertie County Schools,State Of North Carolina,,,912.0,1074.0,1044.0,,0.469,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,08A000,Heritage Collegiate Leadership Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,E,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,090304,B T Washington Primary,Bladen County Schools,State Of North Carolina,E,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090315,Bladenboro Middle,Bladen County Schools,State Of North Carolina,M,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090317,Bladenboro Primary,Bladen County Schools,State Of North Carolina,E,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090318,Bladen Lakes Primary,Bladen County Schools,State Of North Carolina,E,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090320,Clarkton School of Discovery,Bladen County Schools,State Of North Carolina,M,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090324,Dublin Primary,Bladen County Schools,State Of North Carolina,E,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090328,East Arcadia Elementary,Bladen County Schools,State Of North Carolina,I,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090330,East Bladen High,Bladen County Schools,State Of North Carolina,H,939.0,942.0,1074.0,1044.0,0.554,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090332,Elizabethtown Middle,Bladen County Schools,State Of North Carolina,M,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090333,Elizabethtown Primary,Bladen County Schools,State Of North Carolina,E,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090352,Plain View Primary,Bladen County Schools,State Of North Carolina,E,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090365,Tar Heel Middle,Bladen County Schools,State Of North Carolina,M,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,090368,West Bladen High,Bladen County Schools,State Of North Carolina,H,947.0,942.0,1074.0,1044.0,0.415,0.484,0.44,0.0,,,0.08,,0.16,0.06,0.06,0.51,,,,,,0.95
2017,090LEA,,Bladen County Schools,State Of North Carolina,,,942.0,1074.0,1044.0,,0.484,0.44,0.0,,,,,0.16,,0.06,0.51,,,,,,0.95
2017,09A000,Paul R Brown Leadership Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,T,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,,,0.51,,,,,,0.95
2017,100302,Belville Elementary,Brunswick County Schools,State Of North Carolina,E,,1066.0,1074.0,1044.0,,0.339,0.44,0.0,,,,0.09,0.16,,0.36,0.51,,,,,,0.95
2017,100304,Bolivia Elementary,Brunswick County Schools,State Of North Carolina,E,,1066.0,1074.0,1044.0,,0.339,0.44,0.0,,,,0.09,0.16,,0.36,0.51,,,,,,0.95
2017,100307,Brunswick County Early College,Brunswick County Schools,State Of North Carolina,H,1181.0,1066.0,1074.0,1044.0,0.161,0.339,0.44,0.0,,,,0.09,0.16,,0.36,0.51,,,,,,0.95
2017,100308,Brunswick County Academy,Brunswick County Schools,State Of North Carolina,T,,1066.0,1074.0,1044.0,,0.339,0.44,0.0,,,,0.09,0.16,,0.36,0.51,,,,,,0.95
2017,100309,Cedar Grove Middle,Brunswick County Schools,State Of North Carolina,M,,1066.0,1074.0,1044.0,,0.339,0.44,0.0,,,,0.09,0.16,,0.36,0.51,,,,,,0.95
2017,100310,Jessie Mae Monroe Elementary,Brunswick County Schools,State Of North Carolina,E,,1066.0,1074.0,1044.0,,0.339,0.44,0.0,,,,0.09,0.16,,0.36,0.51,,,,,,0.95
