year,unit_code,Number_Industry_Recognized_Crede,School_Name,Lea_Name,State_Name
2017,390324,335,J. F. Webb High,Granville County Schools,State Of North Carolina
2017,390352,88,South Granville High,Granville County Schools,State Of North Carolina
2017,390700,35,JF Webb HS Of Health And Life Sciences,Granville County Schools,State Of North Carolina
2017,400308,353,Greene Central High,Greene County Schools,State Of North Carolina
2017,410319,98,T Wingate Andrews High,Guilford County Schools,State Of North Carolina
2017,410326,10,Middle College High at Bennett,Guilford County Schools,State Of North Carolina
2017,410355,383,James B Dudley High,Guilford County Schools,State Of North Carolina
2017,410358,476,Eastern Guilford High,Guilford County Schools,State Of North Carolina
2017,410394,186,Grimsley High,Guilford County Schools,State Of North Carolina
2017,410406,221,High Point Central High,Guilford County Schools,State Of North Carolina
2017,410407,92,Dorothy Kendall Kearns Academy at HPC,Guilford County Schools,State Of North Carolina
2017,410408,4,Middle College GTCC High Point,Guilford County Schools,State Of North Carolina
2017,410483,15,Middle College High @ NC A&T,Guilford County Schools,State Of North Carolina
2017,410484,393,Northeast Guilford High,Guilford County Schools,State Of North Carolina
2017,410489,232,Northern Guilford High,Guilford County Schools,State Of North Carolina
2017,410490,375,Northwest Guilford High,Guilford County Schools,State Of North Carolina
2017,410508,382,Page High,Guilford County Schools,State Of North Carolina
2017,410529,370,Lucy Ragsdale High,Guilford County Schools,State Of North Carolina
2017,410544,51,Ben L. Smith High School,Guilford County Schools,State Of North Carolina
2017,410545,219,The Academy at Smith,Guilford County Schools,State Of North Carolina
2017,410547,406,Southeast Guilford High,Guilford County Schools,State Of North Carolina
2017,410556,511,Southern Guilford High,Guilford County Schools,State Of North Carolina
2017,410562,485,Southwest Guilford High,Guilford County Schools,State Of North Carolina
2017,410569,10,STEM Early College @ NC A&T SU,Guilford County Schools,State Of North Carolina
2017,410579,22,UNCG Early/Middle College,Guilford County Schools,State Of North Carolina
2017,410589,119,Philip J Weaver Ed Center,Guilford County Schools,State Of North Carolina
2017,410595,158,Western Guilford High,Guilford County Schools,State Of North Carolina
2017,420346,85,Northwest Halifax High,Halifax County Schools,State Of North Carolina
2017,420358,165,Southeast Halifax High,Halifax County Schools,State Of North Carolina
2017,421316,741,Roanoke Rapids High School,Roanoke Rapids City Schools,State Of North Carolina
2017,422310,122,Roanoke Valley Early College,Weldon City Schools,State Of North Carolina
2017,422315,158,Weldon STEM High School Career Academies,Weldon City Schools,State Of North Carolina
2017,430345,22,STAR Academy,Harnett County Schools,State Of North Carolina
2017,430346,1131,Harnett Central High,Harnett County Schools,State Of North Carolina
2017,430371,1189,Overhills High,Harnett County Schools,State Of North Carolina
