year,unit_code,Concentrator,Counts,School_Name,Lea_Name,State_Name
2017,060302,HUMA,4,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,LAW,11,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,MANU,32,Avery County High,Avery County Schools,State Of North Carolina
2017,060302,STEM,4,Avery County High,Avery County Schools,State Of North Carolina
2017,060700,AGNR,5,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,060700,BMA,1,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,060700,HLTH,1,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,060700,LAW,1,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,060700,MANU,4,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,060700,STEM,3,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,070310,AGNR,1,B C Ed Tech Center,Beaufort County Schools,State Of North Carolina
2017,070311,AGNR,1,Beaufort Co Early College High,Beaufort County Schools,State Of North Carolina
2017,070311,INFO,1,Beaufort Co Early College High,Beaufort County Schools,State Of North Carolina
2017,070330,AGNR,143,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,ARCH,72,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,FINA,119,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,HLTH,13,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,HOSP,19,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,INFO,11,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,MANU,1,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,STEM,10,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,TRAN,67,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070339,AGNR,24,Southside High,Beaufort County Schools,State Of North Carolina
2017,070339,ARCH,17,Southside High,Beaufort County Schools,State Of North Carolina
2017,070339,FINA,3,Southside High,Beaufort County Schools,State Of North Carolina
2017,070339,HLTH,12,Southside High,Beaufort County Schools,State Of North Carolina
2017,070339,HOSP,3,Southside High,Beaufort County Schools,State Of North Carolina
2017,070339,LAW,7,Southside High,Beaufort County Schools,State Of North Carolina
2017,070339,MANU,19,Southside High,Beaufort County Schools,State Of North Carolina
2017,070342,AGNR,84,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,ARCH,16,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,BMA,14,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,HLTH,12,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,HOSP,16,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,HUMA,1,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,INFO,11,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,LAW,3,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,MANU,5,Washington High,Beaufort County Schools,State Of North Carolina
2017,070342,MRKT,5,Washington High,Beaufort County Schools,State Of North Carolina
2017,080311,AGNR,13,Bertie Early College High,Bertie County Schools,State Of North Carolina
2017,080312,AAVC,9,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,AGNR,17,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,ARCH,10,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,BMA,11,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,HLTH,3,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,HOSP,7,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,HUMA,1,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,LAW,14,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,MANU,15,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,MRKT,2,Bertie High,Bertie County Schools,State Of North Carolina
2017,080312,TRAN,1,Bertie High,Bertie County Schools,State Of North Carolina
2017,080700,AGNR,1,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,080700,BMA,1,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,080700,HLTH,1,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,080700,HOSP,1,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,080700,LAW,6,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,080700,MANU,1,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,090330,AAVC,12,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,AGNR,57,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,ARCH,42,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,BMA,24,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,HLTH,34,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,HOSP,18,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,HUMA,3,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,INFO,36,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,LAW,10,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,MANU,20,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,MRKT,12,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090330,TRAN,11,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,AAVC,12,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,AGNR,481,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,ARCH,2,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,BMA,16,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,HLTH,71,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,HOSP,44,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,HUMA,1,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,INFO,13,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,LAW,130,West Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,MANU,162,West Bladen High,Bladen County Schools,State Of North Carolina
2017,100307,INFO,1,Brunswick County Early College,Brunswick County Schools,State Of North Carolina
2017,100308,ARCH,4,Brunswick County Academy,Brunswick County Schools,State Of North Carolina
2017,100308,HOSP,5,Brunswick County Academy,Brunswick County Schools,State Of North Carolina
2017,100326,AAVC,2,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,AGNR,42,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,ARCH,24,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,FINA,1,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,HLTH,6,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,HOSP,12,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,HUMA,1,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,INFO,9,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,MANU,2,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100326,STEM,3,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,AGNR,53,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,ARCH,66,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,BMA,69,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,FINA,2,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,HLTH,16,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,HOSP,51,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,HUMA,4,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,INFO,6,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,MANU,8,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,MRKT,77,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,STEM,1,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,TRAN,43,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,AGNR,46,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,ARCH,22,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,BMA,51,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,FINA,1,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,HLTH,57,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,HOSP,36,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,HUMA,1,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,INFO,46,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,MANU,5,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,MRKT,25,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,TRAN,27,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,110292,ARCH,1,,,
2017,110303,AGNR,3,Community High School,Buncombe County Schools,State Of North Carolina
2017,110303,BMA,1,Community High School,Buncombe County Schools,State Of North Carolina
2017,110304,AAVC,44,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,AGNR,56,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,ARCH,36,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,BMA,39,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,HLTH,48,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,HOSP,36,Reynolds High,Buncombe County Schools,State Of North Carolina
