year,unit_code,pct_eds,School_Name,Lea_Name,State_Name
2017,270306,28.5,Currituck County High,Currituck County Schools,State Of North Carolina
2017,270308,45.4,Currituck County Middle,Currituck County Schools,State Of North Carolina
2017,270309,50.0,Jarvisburg Elementary,Currituck County Schools,State Of North Carolina
2017,270310,39.4,Shawboro Elementary School,Currituck County Schools,State Of North Carolina
2017,270311,22.9,The JP Knapp ECH (i)School,Currituck County Schools,State Of North Carolina
2017,270312,47.4,Knotts Island Elementary,Currituck County Schools,State Of North Carolina
2017,270316,21.8,Moyock Elementary,Currituck County Schools,State Of North Carolina
2017,270318,27.5,Moyock Middle,Currituck County Schools,State Of North Carolina
2017,270320,54.1,W T Griggs Elementary,Currituck County Schools,State Of North Carolina
2017,270LEA,34.7,,Currituck County Schools,State Of North Carolina
2017,27A000,18.8,Water's Edge Village School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,280302,63.2,Cape Hatteras Elementary School,Dare County Schools,State Of North Carolina
2017,280304,56.5,Cape Hatteras Secondary School,Dare County Schools,State Of North Carolina
2017,280306,42.9,Dare County Alternative School,Dare County Schools,State Of North Carolina
2017,280308,19.7,Kitty Hawk Elementary School,Dare County Schools,State Of North Carolina
2017,280310,39.6,Nags Head Elementary School,Dare County Schools,State Of North Carolina
2017,280312,62.2,Manteo Elementary School,Dare County Schools,State Of North Carolina
2017,280316,43.6,Manteo High School,Dare County Schools,State Of North Carolina
2017,280320,45.0,Manteo Middle School,Dare County Schools,State Of North Carolina
2017,280324,44.2,First Flight Elementary School,Dare County Schools,State Of North Carolina
2017,280328,30.0,First Flight Middle School,Dare County Schools,State Of North Carolina
2017,280330,27.6,First Flight High School,Dare County Schools,State Of North Carolina
2017,280LEA,41.5,,Dare County Schools,State Of North Carolina
2017,290302,58.8,"Brier Creek Elementary, Thomasville",Davidson County Schools,State Of North Carolina
2017,290306,33.1,"Northwest Elementary, Lexington",Davidson County Schools,State Of North Carolina
2017,290307,63.7,"Southmont Elementary, Lexington",Davidson County Schools,State Of North Carolina
2017,290308,44.6,Central Davidson High,Davidson County Schools,State Of North Carolina
2017,290309,50.7,Central Davidson Middle,Davidson County Schools,State Of North Carolina
2017,290310,57.6,Stoner-Thomas School,Davidson County Schools,State Of North Carolina
2017,290312,65.7,Churchland Elementary,Davidson County Schools,State Of North Carolina
2017,290314,59.5,Davidson County High School,Davidson County Schools,State Of North Carolina
2017,290315,21.5,Davidson Early College,Davidson County Schools,State Of North Carolina
2017,290316,46.8,Davis-Townsend Elementary,Davidson County Schools,State Of North Carolina
2017,290320,53.9,Denton Elementary,Davidson County Schools,State Of North Carolina
2017,290322,50.3,E Lawson Brown Middle,Davidson County Schools,State Of North Carolina
2017,290324,39.0,East Davidson High,Davidson County Schools,State Of North Carolina
2017,290328,53.4,Fair Grove Elementary,Davidson County Schools,State Of North Carolina
2017,290330,28.2,Friedberg Elementary,Davidson County Schools,State Of North Carolina
2017,290332,58.8,Hasty Elementary,Davidson County Schools,State Of North Carolina
2017,290333,35.3,Friendship Elementary,Davidson County Schools,State Of North Carolina
2017,290334,43.3,Ledford Middle,Davidson County Schools,State Of North Carolina
2017,290336,30.7,Ledford Senior High,Davidson County Schools,State Of North Carolina
2017,290344,35.9,"Midway Elementary, Lexington",Davidson County Schools,State Of North Carolina
2017,290348,28.0,North Davidson High,Davidson County Schools,State Of North Carolina
2017,290350,36.9,North Davidson Middle,Davidson County Schools,State Of North Carolina
2017,290351,31.3,Oak Grove Middle,Davidson County Schools,State Of North Carolina
2017,290352,59.6,"Pilot Elementary, Thomasville",Davidson County Schools,State Of North Carolina
2017,290356,54.8,Reeds Elementary,Davidson County Schools,State Of North Carolina
2017,290364,76.0,Silver Valley Elementary,Davidson County Schools,State Of North Carolina
2017,290365,52.5,South Davidson High,Davidson County Schools,State Of North Carolina
2017,290366,69.9,"Southwood Elementary, Lexington",Davidson County Schools,State Of North Carolina
2017,290367,56.9,South Davidson Middle,Davidson County Schools,State Of North Carolina
2017,290375,58.6,Tyro Elementary,Davidson County Schools,State Of North Carolina
2017,290376,52.3,Tyro Middle,Davidson County Schools,State Of North Carolina
2017,290380,36.2,Wallburg Elementary,Davidson County Schools,State Of North Carolina
2017,290384,50.3,Welcome Elementary,Davidson County Schools,State Of North Carolina
2017,290388,36.8,West Davidson High,Davidson County Schools,State Of North Carolina
2017,290389,33.7,Yadkin Valley Regional Career Academy,Davidson County Schools,State Of North Carolina
2017,290LEA,44.7,,Davidson County Schools,State Of North Carolina
2017,291308,68.8,Charles England Elementary School,Lexington City Schools,State Of North Carolina
2017,291332,60.8,Lexington Middle School,Lexington City Schools,State Of North Carolina
2017,291336,48.0,Lexington Senior High,Lexington City Schools,State Of North Carolina
2017,291340,67.5,Pickett Elementary School,Lexington City Schools,State Of North Carolina
2017,291348,69.6,South Lexington School,Lexington City Schools,State Of North Carolina
2017,291350,32.5,South Lexington Development Center,Lexington City Schools,State Of North Carolina
2017,291352,64.1,Southwest Elementary School,Lexington City Schools,State Of North Carolina
2017,291LEA,61.0,,Lexington City Schools,State Of North Carolina
2017,292316,100,Liberty Drive Elementary,Thomasville City Schools,State Of North Carolina
2017,292318,100,Thomasville Primary,Thomasville City Schools,State Of North Carolina
2017,292320,100,Thomasville Middle,Thomasville City Schools,State Of North Carolina
2017,292324,91.2,Thomasville High,Thomasville City Schools,State Of North Carolina
2017,292LEA,100,,Thomasville City Schools,State Of North Carolina
2017,300306,73.7,Central Davie Academy,Davie County Schools,State Of North Carolina
2017,300308,78.1,Cooleemee Elementary,Davie County Schools,State Of North Carolina
2017,300310,54.2,Cornatzer Elementary,Davie County Schools,State Of North Carolina
2017,300312,39.6,Davie County High,Davie County Schools,State Of North Carolina
2017,300314,38.4,Davie County Early College High,Davie County Schools,State Of North Carolina
2017,300320,64.5,Mocksville Elementary,Davie County Schools,State Of North Carolina
2017,300325,34.8,North Davie Middle,Davie County Schools,State Of North Carolina
2017,300326,35.3,Pinebrook Elementary,Davie County Schools,State Of North Carolina
2017,300328,16.2,Shady Grove Elementary,Davie County Schools,State Of North Carolina
2017,300330,65.8,South Davie Middle,Davie County Schools,State Of North Carolina
2017,300336,61.2,William R Davie Elementary,Davie County Schools,State Of North Carolina
2017,300337,28.5,William Ellis Middle,Davie County Schools,State Of North Carolina
2017,300LEA,45.7,,Davie County Schools,State Of North Carolina
2017,310304,56.0,B F Grady Elementary,Duplin County Schools,State Of North Carolina
2017,310308,48.9,Beulaville Elementary,Duplin County Schools,State Of North Carolina
2017,310324,62.8,Charity Middle,Duplin County Schools,State Of North Carolina
2017,310330,42.1,Chinquapin Elementary,Duplin County Schools,State Of North Carolina
2017,310336,80.0,Warsaw Elementary,Duplin County Schools,State Of North Carolina
2017,310338,46.2,Duplin Early College High,Duplin County Schools,State Of North Carolina
2017,310340,66.8,E E Smith Middle,Duplin County Schools,State Of North Carolina
2017,310344,41.5,East Duplin High,Duplin County Schools,State Of North Carolina
2017,310352,61.8,James Kenan High,Duplin County Schools,State Of North Carolina
2017,310356,64.1,Kenansville Elementary,Duplin County Schools,State Of North Carolina
2017,310360,51.6,North Duplin Elementary,Duplin County Schools,State Of North Carolina
2017,310364,43.4,North Duplin Jr Sr High,Duplin County Schools,State Of North Carolina
2017,310384,71.2,Rose Hill-Magnolia Elementary,Duplin County Schools,State Of North Carolina
2017,310388,68.6,Wallace Elementary,Duplin County Schools,State Of North Carolina
2017,310392,55.2,Wallace-Rose Hill High,Duplin County Schools,State Of North Carolina
2017,310396,80.3,Warsaw Middle,Duplin County Schools,State Of North Carolina
2017,310LEA,58.0,,Duplin County Schools,State Of North Carolina
2017,320304,61.9,Bethesda Elementary,Durham Public Schools,State Of North Carolina
2017,320306,81.9,"Brogden Middle, Durham",Durham Public Schools,State Of North Carolina
2017,320308,76.8,Burton Elementary,Durham Public Schools,State Of North Carolina
2017,320309,55.0,J D Clement Early College HS,Durham Public Schools,State Of North Carolina
2017,320310,80.7,Eastway Elementary,Durham Public Schools,State Of North Carolina
2017,320312,42.0,C E Jordan High,Durham Public Schools,State Of North Carolina
2017,320313,29.4,Easley Elementary,Durham Public Schools,State Of North Carolina
2017,320314,45.9,The School for Creative Studies,Durham Public Schools,State Of North Carolina
2017,320315,86.7,Eno Valley Elementary,Durham Public Schools,State Of North Carolina
2017,320316,67.2,George L Carrington Middle,Durham Public Schools,State Of North Carolina
2017,320317,56.1,City of Medicine Academy,Durham Public Schools,State Of North Carolina
2017,320318,60.3,Club Boulevard Elementary,Durham Public Schools,State Of North Carolina
2017,320319,42.3,"Creekside Elementary, Durham",Durham Public Schools,State Of North Carolina
2017,320320,73.5,Glenn Elementary,Durham Public Schools,State Of North Carolina
2017,320322,63.2,Durham's Performance Learning Center,Durham Public Schools,State Of North Carolina
2017,320323,36.3,Durham School of the Arts,Durham Public Schools,State Of North Carolina
2017,320324,62.4,"Hillandale Elementary, Durham",Durham Public Schools,State Of North Carolina
2017,320325,61.2,Hillside High,Durham Public Schools,State Of North Carolina
2017,320327,70.2,Hope Valley Elementary,Durham Public Schools,State Of North Carolina
2017,320328,84.0,Holt Elementary,Durham Public Schools,State Of North Carolina
2017,320329,0,Holton Career and Resource Center,Durham Public Schools,State Of North Carolina
2017,320332,64.4,Forest View Elementary,Durham Public Schools,State Of North Carolina
2017,320336,14.8,DPS Hospital School,Durham Public Schools,State Of North Carolina
2017,320338,78.7,James E Shepard Middle,Durham Public Schools,State Of North Carolina
2017,320339,75.7,Lakewood Elementary,Durham Public Schools,State Of North Carolina
2017,320340,39.7,Little River Elementary,Durham Public Schools,State Of North Carolina
2017,320341,85.5,Lakeview School,Durham Public Schools,State Of North Carolina
2017,320342,43.0,Lakewood Montessori Middle,Durham Public Schools,State Of North Carolina
2017,320343,63.4,Lucas Middle,Durham Public Schools,State Of North Carolina
2017,320344,75.5,Fayetteville Street Elementary,Durham Public Schools,State Of North Carolina
2017,320346,80.6,Lowe's Grove Middle,Durham Public Schools,State Of North Carolina
2017,320347,39.3,George Watts Elementary,Durham Public Schools,State Of North Carolina
2017,320348,24.1,Mangum Elementary,Durham Public Schools,State Of North Carolina
2017,320352,70.9,Merrick-Moore Elementary,Durham Public Schools,State Of North Carolina
2017,320353,20.1,Middle College HS @ DTCC,Durham Public Schools,State Of North Carolina
2017,320354,35.4,Morehead Montessori,Durham Public Schools,State Of North Carolina
2017,320355,80.6,Neal Middle,Durham Public Schools,State Of North Carolina
2017,320356,56.4,Northern High,Durham Public Schools,State Of North Carolina
2017,320360,78.3,"Oak Grove Elementary, Durham",Durham Public Schools,State Of North Carolina
2017,320362,71.8,"Parkwood Elementary, Durham",Durham Public Schools,State Of North Carolina
2017,320363,51.1,E K Powe Elementary,Durham Public Schools,State Of North Carolina
2017,320364,30.4,Pearsontown Elementary,Durham Public Schools,State Of North Carolina
2017,320365,53.2,"Riverside High, Durham",Durham Public Schools,State Of North Carolina
2017,320366,65.6,Sherwood Githens Middle,Durham Public Schools,State Of North Carolina
