agency_code,pct_aig_wk,pct_all_wk,pct_am7_wk,pct_as7_wk,pct_bl7_wk,pct_eds_wk,pct_els_wk,pct_fem_wk,pct_hi7_wk,pct_hms_wk,pct_male_wk,pct_mig_wk,pct_mil_wk,pct_mu7_wk,pct_neds_wk,pct_nswd_wk,pct_swd_wk,pct_wh7_wk
840368,94.1,62.6,,,,52.4,,68.3,,,59.1,,,,65.1,67.0,,62.6
850332,94.1,73.2,,,,60.9,,66.7,,,79.3,,,,81.8,80.0,,72.0
850352,,52.3,,,,38.9,,45.5,,,59.1,,,,61.5,56.8,,53.5
850358,,76.1,,,,81.0,,74.4,,,78.1,,,,74.0,80.0,,73.4
860316,,66.2,,,,45.0,,53.3,,,77.1,,,,75.6,69.5,,72.7
860336,95.0,62.6,,,,52.4,,63.3,31.3,,62.1,,,,69.2,68.1,23.1,68.2
860352,,58.5,,,,41.2,,65.3,36.8,,48.5,,,,70.8,64.4,,64.5
861308,,70.5,,,,75.0,,81.8,,,66.7,,,,67.9,75.0,,71.4
862312,95.0,79.6,,,,63.2,,76.9,,,82.6,,,,90.0,80.9,,78.9
870314,95.0,64.2,53.3,,,64.5,,65.4,,,63.4,,,,63.9,68.3,,68.8
880308,95.0,86.4,,,,71.0,,84.0,,,88.3,,,,92.4,91.2,,89.2
880320,,43.8,,,,46.2,,,,,,,,,,46.7,,
880328,,65.0,,,,63.6,,61.9,,,66.7,,,,65.8,70.4,,64.9
890304,,50.0,,,,,,,,,54.5,,,,50.0,56.3,,
900311,88.6,87.0,,,,,,85.7,90.9,,87.7,,,,87.2,87.6,,88.2
900316,80.0,54.2,,,30.8,48.8,,55.6,67.9,,52.8,,,,61.3,57.8,,53.6
900336,90.9,58.9,,,42.9,53.1,,62.5,60.7,,56.3,,,,66.7,63.5,,
900342,82.8,54.2,,,48.0,51.1,,57.5,55.9,,51.8,,,60.0,55.1,57.6,25.0,54.2
900344,,63.4,,,45.5,48.0,,68.4,60.0,,60.0,,,,69.1,68.6,,65.7
900348,84.0,73.1,,,,53.3,,79.2,,,68.8,,,,75.7,74.0,,73.5
900360,95.0,69.4,,,40.0,54.5,,72.2,63.6,,68.0,,,,73.0,70.1,,77.9
900366,95.0,95.0,,,95.0,95.0,,95.0,94.7,,93.6,,,,95.0,95.0,,95.0
900377,92.9,75.9,,,,,,90.0,,,68.4,,,,75.9,76.8,,78.3
900393,92.9,83.5,,,,,,85.7,,,82.9,,,,83.1,83.3,,86.3
910370,92.9,48.4,,,38.9,36.6,,49.1,55.6,,47.2,,,,57.7,51.7,,70.6
920316,94.0,89.2,,95.0,71.4,68.4,,89.8,93.3,,88.8,,,,91.6,91.4,58.3,92.1
920317,92.2,70.1,,90.9,54.5,,,75.0,81.8,,67.3,,,,70.0,70.8,,68.8
920318,95.0,71.2,,53.8,51.9,54.8,,62.9,72.0,,78.9,,,,75.7,72.5,,80.5
920348,92.6,69.6,,,52.8,57.1,,65.5,50.0,,73.7,,,,75.0,73.3,42.9,85.5
920368,95.0,82.4,,95.0,75.9,63.0,,81.4,69.4,,83.0,,,,85.9,86.6,47.4,86.3
