digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
0,450316,H,No,-,No,-,Yes,9:10:11:12,9.56,89,1.53,2002.0,0.55
1,450322,E,Yes,1:2:3:4:5,No,-,No,-,30.86,45,1.32,2002.0,0.61
1,450324,E,No,-,No,-,No,-,36.03,32,1.6,2002.0,0.66
5,450328,M,No,-,No,-,Yes,06:07:08,14.78,66,1.43,2003.0,0.8
1,450332,E,No,-,No,-,Yes,K:1:2:3:4:5,29.2,44,1.16,1998.0,0.75
1,450333,E,No,-,No,-,No,-,25.11,35,1.52,1999.0,1.4
0,450334,H,No,-,No,-,No,-,5.3,59,1.18,2000.0,0.48
0,450335,M,No,-,No,-,Yes,06:07:08,21.08,46,1.21,2000.0,0.85
0,450336,E,No,-,No,-,No,-,19.12,42,1.0,2002.0,0.84
1,450339,E,No,-,No,-,No,-,26.63,41,1.05,2002.0,0.99
0,450340,E,Yes,03:04:05,No,-,No,-,17.62,42,1.4,2004.0,0.82
25,450341,H,No,-,Yes,9:10:11:12,Yes,9:10:11:12,10.23,91,1.26,2005.0,0.53
2,450342,M,No,-,No,-,No,-,15.69,64,1.19,2006.0,0.74
8,450343,T,Yes,9:10:11:12,No,-,Yes,9:10:11:12,,18,0.9,2017.0,0.32
0,450344,E,Yes,04:05:00,No,-,No,-,20.37,41,1.17,2004.0,0.8
0,450346,E,No,-,No,-,No,-,36.67,38,1.58,1999.0,0.94
1,450352,H,No,-,No,-,Yes,9:10:11:12,9.7,86,1.34,1996.0,0.64
-,450354,H,No,-,No,-,Yes,9:10:11:12:13,,18,2.25,,0.59
,450LEA,,,,,,,,19.08,"1,1",1.3,2002.0,0.7
10,45A000,I,Yes,2:3:4:5:6:7:8,No,-,No,-,50.51,9,1.0,2000.0,2.2
-,45B000,E,No,-,No,-,No,-,,12,1.0,1.0,9.13
1,460308,E,No,-,No,-,No,-,42.74,45,1.61,1993.0,0.98
1,460312,E,No,-,No,-,No,-,37.58,51,0.98,2005.0,1.57
1,460318,M,No,-,No,-,No,-,173.32,54,1.54,2005.0,0.8
1,460320,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,16.6,66,1.27,2003.0,0.57
0,460322,H,Yes,10:11:12:13,Yes,9:10:11:12:13,No,-,,6,0.67,2000.0,1.01
0,460332,E,No,-,No,-,No,-,31.62,44,1.47,2001.0,1.27
11,460340,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,13.36,15,1.5,2014.0,0.35
,460LEA,,,,,,,,67.34,281,1.3,2003.0,0.48
1,470310,E,Yes,PK:K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,14.74,47,0.96,2012.0,0.84
1,470312,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,11.3,126,1.05,1996.0,0.78
1,470316,E,Yes,K:1:2:3:4:5,No,-,Yes,K:1:2:3:4:5,31.3,24,1.04,2002.0,0.83
1,470320,M,Yes,06:07:08,No,-,Yes,06:07:08,18.44,57,1.39,2000.0,0.87
1,470328,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,12.66,46,1.1,2007.0,0.84
1,470330,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,30.92,33,1.0,2000.0,0.76
1,470332,M,Yes,06:07:08,No,-,Yes,06:07:08,14.95,58,1.29,2001.0,0.72
1,470336,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,18.69,40,1.11,1999.0,0.73
1,470340,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,15.63,44,0.9,1997.0,0.92
-,470342,T,Yes,6:7:8:9:10:11:12,No,-,Yes,6:7:8:9:10:11:12,,19,1.73,,0.6
1,470346,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,15.5,37,0.74,2002.0,0.84
1,470441,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,22.49,52,1.16,2002.0,0.85
1,470442,M,Yes,06:07:08,No,-,Yes,06:07:08,15.28,41,1.17,2010.0,0.79
-,470443,H,Yes,9:10:11:12:13,No,-,Yes,9:10:11:12:13,,31,1.82,,0.78
,470LEA,,,,,,,,16.36,655,1.1,2002.0,0.4
