agency_code,pct_ready_kea_a_cat_code,pct_ready_kea_e_cat_code,pct_ready_kea_i_cat_code,pct_ready_kea_m_cat_code
450346,,59.1,,
460312,,50.7,,
460332,,22.4,,
470310,,70.5,,
470316,,68.2,,
470328,,59.1,,
470330,,46.3,,
470336,,75.0,,
470340,,92.9,,
470346,,66.1,,
470441,,86.6,,
480306,,48.8,,
480316,66.7,,,
490312,,87.1,,
490316,,67.9,,
490318,,33.6,,
490319,,1.1,,
490324,,78.8,,
490326,,4.8,,
490332,,50.0,,
490336,,50.0,,
490337,,48.2,,
490345,,66.7,,
490348,,40.5,,
490356,,77.3,,
490360,,81.2,,
490363,,47.9,,
490364,,6.9,,
490368,,71.4,,
490390,,96.4,,
491316,,54.7,,
491318,,17.5,,
491320,,29.6,,
500304,,,75.0,
500314,,,87.7,
500316,96.0,96.0,,
500332,,,41.7,
500337,,,61.8,
510326,,36.2,,
510328,,26.5,,
510332,,9.6,9.6,
510334,,58.3,,
510336,,18.6,,
510340,,18.5,,
510343,,40.4,,
510356,,25.7,,
510358,,45.7,,
510360,,,26.8,
510372,,82.3,,
510373,,57.4,,
510374,,22.4,,
510377,,62.1,,
510378,,38.1,,
510388,,29.5,,
510404,,50.0,,
510408,,50.6,,
510410,,10.3,,
510414,,10.5,,
520304,,100.0,,
520308,,7.1,,
520328,,30.4,,
520336,,0.0,,
530302,,27.3,,
530308,,68.0,,
530312,,33.7,,
530320,,71.2,,
530340,,43.6,,
530346,,81.4,,
530354,,89.4,,
540304,,40.8,,
540308,,72.6,72.6,
540316,,47.5,,
540320,,94.6,,
540325,,32.5,,
540326,,37.2,,
540328,,74.3,,
540338,,31.6,,
540340,,20.5,,
550312,,50.0,,
550314,,69.8,,
550316,,59.6,,
550328,,50.0,,
550336,,72.3,,
550340,,80.0,,
550342,,11.7,,
550348,,55.4,,
550356,,59.6,,
550360,,29.6,,
550362,,39.4,,
550364,,18.9,,
560304,,38.9,,
560316,,62.5,,
560324,42.9,,,
560328,,56.6,,
560332,0.0,,,
560338,,59.1,,
570306,,50.0,,
570312,,84.2,,
570320,,54.1,,
580308,,40.4,,
580316,,54.1,,
580324,,85.2,,
580356,,31.4,,
590306,,76.1,76.1,
590316,,41.7,,
590320,,74.2,,
590332,,93.0,,
590336,,42.9,,
590340,,70.5,,
590344,,59.1,,
590352,,77.6,,
600300,,10.4,,
600303,,,32.4,
600314,,22.3,,
600316,,26.4,,
600318,,50.9,,
600319,,29.1,29.1,
600322,,48.0,,
600328,,42.7,,
600329,,28.7,,
600336,,53.1,,
600338,,24.1,,
600344,,10.3,10.3,
600346,,52.2,,
600352,,29.6,,
600357,,48.5,,
600362,,40.5,,
600365,,52.3,,
600366,,,4.7,
600367,,55.5,,
600368,,36.1,,
600369,,55.8,,
600374,,0.0,0.0,
600379,,54.9,,
600382,,50.3,,
600383,,74.5,,
600384,,1.3,,
600385,,83.3,,
600392,,12.9,,
600406,,70.2,,
600408,,43.4,,
600409,,17.1,,
600410,,21.6,,
600411,,27.2,,
600412,,37.1,,
600413,,69.4,,
600414,,0.0,,
600416,,48.9,,
600418,,29.1,,
600420,,42.9,,
600424,,33.8,,
600432,,53.3,,
600433,,59.6,,
600435,,65.4,,
600436,,30.3,,
600437,,53.7,,
600438,,40.7,,
600440,,36.4,,
600442,,57.4,,
600444,,44.6,,
600446,,31.9,,
600447,,32.8,,
600449,,40.7,,
600451,,66.3,,
600453,,24.1,,
600459,,3.8,,
600462,,40.5,40.5,
600463,,35.5,,
600464,,23.6,,
600468,,39.7,,
600471,,44.3,,
600475,,55.0,,
600478,,11.7,,
600484,,17.9,,
600485,,14.7,,
600488,,19.3,19.3,
600489,,38.7,38.7,
600491,,46.8,,
600492,,66.2,,
600493,,9.0,,
600494,,18.9,,
600500,,32.8,,
600501,,72.1,,
600503,,13.8,,
600507,,7.2,,
600512,,36.0,,
600515,,21.8,21.8,
600516,,17.3,,
600517,,0.0,0.0,
600522,,82.6,,
600527,,78.7,,
600530,,86.3,,
600532,,,56.4,
600534,,47.6,,
600545,,35.9,,
600546,,66.7,,
600549,,47.7,,
600553,,33.3,33.3,
600557,,45.7,,
600558,,57.4,,
600562,,22.4,,
600565,,31.3,,
600566,,48.5,,
600571,,62.5,,
600574,,20.8,20.8,
600577,,24.2,24.2,
600586,,14.8,,
600587,,19.8,,
600588,,46.2,,
600589,,0.0,,
600590,,68.9,,
600593,,0.0,,
610320,,62.0,,
610322,,57.7,,
620312,,37.9,,
620318,,8.9,,
620324,,51.4,,
620334,,80.9,,
620336,,50.0,,
630304,,52.0,,
630312,,34.4,,
630316,,56.5,,
630324,,48.7,,
630328,,,33.3,
630342,,84.0,,
630348,,78.7,,
630352,,44.4,,
630364,,67.9,,
630368,,43.6,,
630373,,49.5,,
630376,,,20.7,
640302,,41.1,,
640304,,27.5,,
640306,,7.0,,
640308,,47.0,,
640316,,34.5,,
640324,,61.6,,
640332,,36.0,,
640336,,11.9,,
640348,,73.5,,
640360,,65.9,,
640376,,71.7,,
640396,,5.4,,
640400,,29.2,,
650304,,65.2,,
650308,,47.4,,
650309,,84.4,,
