agency_code,target_list_ltg_detail,subgroup_list_ltg_detail
070325,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
070326,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
070327,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
070328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
070329,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
070330,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
070338,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
070339,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
070340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
070342,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
07A000,"Math Grades 3-8,Reading Grades 3-8","ALL,SWD,WH7"
080311,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10",ALL
080312,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS"
080314,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
080348,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
080356,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
080360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
080362,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD"
08A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
090304,,
090315,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
090317,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
090318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
090320,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
090324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
090328,"Math Grades 3-8,Reading Grades 3-8",ALL
090330,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
090332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
090333,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
090352,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
090365,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
090368,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
09A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
09B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
100302,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
100304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
100307,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
100308,4 Year Graduation Rate,"ALL,EDS,WH7"
100309,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
100310,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
100316,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
100320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
100326,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
100332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
100334,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
100335,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
100336,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
100338,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
100339,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
100340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
100342,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
100344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
100348,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
10A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
10B000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
110303,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
110304,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
110306,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
110308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
110320,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110322,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
110323,4 Year Graduation Rate,"ALL,EDS,WH7"
110324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
110326,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
110332,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
110336,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
110338,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110340,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,ELS,HI7,SWD,WH7"
110342,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
110348,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
110352,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
110356,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
110366,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110368,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110370,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110372,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7"
110376,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110379,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110380,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
110381,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110382,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
