agency_code,pct_met_act workkeys_part,pct_met_biology_part,pct_met_english ii_part,pct_met_high school math_part,pct_met_math grades 3-8_part,pct_met_reading grades 3-8_part,pct_met_science grades 5&8_part,pct_met_the act_part,pct_met_total targets_part,target_assign_act workkeys_part,target_assign_biology_part,target_assign_english ii_part,target_assign_high school math_part,target_assign_math grades 3-8_part,target_assign_reading grades 3-8_part,target_assign_science grades 5&8_part,target_assign_the act_part,target_assign_total targets_part,target_met_act workkeys_part,target_met_biology_part,target_met_english ii_part,target_met_high school math_part,target_met_math grades 3-8_part,target_met_reading grades 3-8_part,target_met_science grades 5&8_part,target_met_the act_part,target_met_total targets_part
320340,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
320341,,,,,0.0,0.0,,,0.0,,,,,3.0,3.0,,,6.0,,,,,0.0,0.0,,,0.0
320342,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
320343,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,5.0,,19.0,,,,,7.0,7.0,5.0,,19.0
320344,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
320346,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
320347,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,1.0,,13.0,,,,,6.0,6.0,1.0,,13.0
320348,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
320352,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,5.0,,17.0,,,,,6.0,6.0,5.0,,17.0
320353,,100.0,,100.0,,,,100.0,100.0,,2.0,,2.0,,,,2.0,6.0,,2.0,,2.0,,,,2.0,6.0
320354,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,1.0,,9.0,,,,,4.0,4.0,1.0,,9.0
320355,,,,,85.7,100.0,83.3,,90.0,,,,,7.0,7.0,6.0,,20.0,,,,,6.0,7.0,5.0,,18.0
320356,66.7,85.7,100.0,100.0,,,,14.3,74.2,3.0,7.0,7.0,7.0,,,,7.0,31.0,2.0,6.0,7.0,7.0,,,,1.0,23.0
320360,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
320362,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
320363,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,3.0,,17.0,,,,,7.0,7.0,3.0,,17.0
320364,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
320365,66.7,100.0,85.7,100.0,,,,0.0,71.0,3.0,7.0,7.0,7.0,,,,7.0,31.0,2.0,7.0,6.0,7.0,,,,0.0,22.0
320366,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,7.0,,23.0,,,,,8.0,8.0,7.0,,23.0
320367,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,1.0,,11.0,,,,,5.0,5.0,1.0,,11.0
320368,100.0,50.0,83.3,100.0,,,,0.0,64.3,4.0,6.0,6.0,6.0,,,,6.0,28.0,4.0,3.0,5.0,6.0,,,,0.0,18.0
320369,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
320370,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,5.0,,19.0,,,,,7.0,7.0,5.0,,19.0
320372,,,,,85.7,85.7,100.0,,88.2,,,,,7.0,7.0,3.0,,17.0,,,,,6.0,6.0,3.0,,15.0
320374,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
320376,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
320388,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
320400,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,2.0,,12.0,,,,,5.0,5.0,2.0,,12.0
320701,,100.0,100.0,100.0,,,,100.0,100.0,,3.0,3.0,3.0,,,,3.0,12.0,,3.0,3.0,3.0,,,,3.0,12.0
32A000,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,5.0,,17.0,,,,,6.0,6.0,5.0,,17.0
32B000,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
32C000,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,3.0,,9.0,,,,,3.0,3.0,3.0,,9.0
32D000,,,,,100.0,100.0,100.0,,100.0,,,,,8.0,8.0,3.0,,19.0,,,,,8.0,8.0,3.0,,19.0
32H000,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
32K000,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,5.0,,19.0,,,,,7.0,7.0,5.0,,19.0
32L000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,3.0,2.0,3.0,7.0,7.0,4.0,3.0,29.0,,3.0,2.0,3.0,7.0,7.0,4.0,3.0,29.0
32M000,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,2.0,,12.0,,,,,5.0,5.0,2.0,,12.0
32N000,,100.0,100.0,100.0,,,,100.0,100.0,,2.0,2.0,2.0,,,,2.0,8.0,,2.0,2.0,2.0,,,,2.0,8.0
32P000,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,1.0,,11.0,,,,,5.0,5.0,1.0,,11.0
32Q000,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,1.0,,11.0,,,,,5.0,5.0,1.0,,11.0
32R000,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,1.0,,9.0,,,,,4.0,4.0,1.0,,9.0
32S000,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,5.0,,17.0,,,,,6.0,6.0,5.0,,17.0
330304,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
330308,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
330312,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
330326,,100.0,100.0,100.0,,,,100.0,100.0,,1.0,1.0,1.0,,,,1.0,4.0,,1.0,1.0,1.0,,,,1.0,4.0
330328,,100.0,100.0,100.0,,,,100.0,100.0,,2.0,3.0,2.0,,,,2.0,9.0,,2.0,3.0,2.0,,,,2.0,9.0
330332,,,,,100.0,100.0,100.0,,100.0,,,,,3.0,3.0,2.0,,8.0,,,,,3.0,3.0,2.0,,8.0
330334,,,,,100.0,100.0,100.0,,100.0,,,,,4.0,4.0,2.0,,10.0,,,,,4.0,4.0,2.0,,10.0
330340,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
330344,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
330348,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
330350,25.0,100.0,100.0,100.0,,,,100.0,85.7,4.0,4.0,5.0,4.0,,,,4.0,21.0,1.0,4.0,5.0,4.0,,,,4.0,18.0
330354,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
330358,100.0,100.0,100.0,100.0,,,,100.0,100.0,2.0,3.0,3.0,3.0,,,,3.0,14.0,2.0,3.0,3.0,3.0,,,,3.0,14.0
330360,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
