agency_code,stu_enroll,cte_enroll,pct
600496,1679,1478,88.03
600497,1070,332,31.03
600498,159,132,83.02
600499,321,119,37.07
600508,1927,1241,64.4
600509,1180,737,62.46
600513,1160,894,77.07
600514,1155,926,80.17
600515,65,62,95.38
600518,1300,954,73.38
600520,536,308,57.46
600532,443,179,40.41
600535,3067,1722,56.15
600537,966,655,67.81
600538,1457,1107,75.98
600553,201,161,80.1
600567,329,278,84.5
600574,99,89,89.9
600576,1366,759,55.56
600579,1235,1007,81.54
600582,212,136,64.15
600583,469,439,93.6
600592,1930,1273,65.96
600594,168,64,38.1
60B000,733,1,0.14
60D000,1397,24,1.72
60G000,706,22,3.12
60I000,836,1,0.12
60K000,299,16,5.35
60S000,683,173,25.33
60V000,223,86,38.57
610302,149,115,77.18
610326,259,215,83.01
610332,131,69,52.67
610334,490,426,86.94
61U000,105,39,37.14
620310,82,37,45.12
620314,508,367,72.24
620316,477,362,75.89
620339,386,315,81.61
620340,414,326,78.74
620350,176,97,55.11
630317,431,217,50.35
630320,241,79,32.78
630328,98,91,92.86
630330,111,14,12.61
630331,631,353,55.94
630332,526,424,80.61
630336,2030,1355,66.75
630350,704,389,55.26
630360,1323,946,71.5
630374,837,455,54.36
630376,107,61,57.01
63B000,225,6,2.67
640320,634,443,69.87
640329,492,414,84.15
640334,265,157,59.25
640335,372,271,72.85
640340,128,17,13.28
640342,48,47,97.92
640346,940,718,76.38
640347,300,81,27.0
640350,1042,824,79.08
640358,912,491,53.84
640361,1104,771,69.84
640362,840,604,71.9
640364,1008,750,74.4
64A000,602,5,0.83
650310,1086,700,64.46
650325,763,372,48.75
650326,2141,1284,59.97
650327,1862,1235,66.33
650332,78,66,84.62
650340,233,72,30.9
650342,1822,1059,58.12
650343,701,498,71.04
650350,926,598,64.58
650351,721,485,67.27
650352,1433,830,57.92
650354,106,71,66.98
650355,114,53,46.49
650364,902,625,69.29
650392,677,482,71.2
650394,248,96,38.71
650395,81,78,96.3
660308,221,66,29.86
660325,144,47,32.64
660336,332,257,77.41
660400,144,93,64.58
66A000,623,11,1.77
670300,104,49,47.12
670318,816,582,71.32
670320,897,651,72.58
670322,778,544,69.92
670324,1202,932,77.54
670325,1084,668,61.62
670331,531,422,79.47
670333,1189,776,65.26
670336,674,520,77.15
670340,904,702,77.65
670344,732,595,81.28
670345,577,350,60.66
670351,873,593,67.93
670352,1088,894,82.17
670356,829,628,75.75
670364,1052,724,68.82
680304,643,496,77.14
680310,1023,710,69.4
680316,650,444,68.31
680327,489,293,59.92
680332,1298,895,68.95
680335,49,19,38.78
681305,874,385,44.05
681308,1504,687,45.68
681309,685,361,52.7
681314,1478,678,45.87
681322,747,370,49.53
681324,670,381,56.87
681336,871,374,42.94
681338,49,17,34.69
68A000,411,37,9.0
690316,299,249,83.28
690320,455,347,76.26
69A000,284,208,73.24
700308,628,439,69.9
700310,42,29,69.05
700317,647,483,74.65
700319,718,577,80.36
700322,599,427,71.29
700325,99,3,3.03
70A000,420,87,20.71
710316,299,234,78.26
710320,494,432,87.45
710321,713,553,77.56
710326,607,476,78.42
710327,227,59,25.99
710328,177,64,36.16
710342,1482,1032,69.64
710346,553,456,82.46
710348,195,156,80.0
710352,524,479,91.41
720316,473,337,71.25
720320,397,359,90.43
730344,486,242,49.79
730350,148,74,50.0
730352,1156,949,82.09
730360,458,336,73.36
73B000,690,15,2.17
740302,790,428,54.18
740308,380,259,68.16
740309,649,508,78.27
740320,91,56,61.54
740324,537,354,65.92
740332,316,90,28.48
740333,1638,1241,75.76
740337,801,373,46.57
740340,666,424,63.66
740344,781,550,70.42
740352,166,55,33.13
740358,171,36,21.05
740362,826,363,43.95
740366,1488,1018,68.41
740374,805,603,74.91
740376,195,43,22.05
740388,1609,1175,73.03
740396,71,29,40.85
740402,394,255,64.72
740500,267,49,18.35
750317,62,27,43.55
750318,621,490,78.9
750319,517,504,97.49
760318,667,545,81.71
760338,559,426,76.21
760339,740,615,83.11
760348,828,722,87.2
760352,702,493,70.23
760354,353,57,16.15
760357,564,362,64.18
760358,900,723,80.33
760360,539,384,71.24
760378,689,416,60.38
760380,682,585,85.78
760382,448,294,65.63
760388,814,647,79.48
761304,1295,1038,80.15
761308,583,374,64.15
761336,497,330,66.4
76A000,1047,129,12.32
770316,240,213,88.75
770328,515,470,91.26
770342,73,4,5.48
770348,1336,1101,82.41
770349,275,57,20.73
770351,469,348,74.2
770360,671,601,89.57
780324,153,146,95.42
780325,623,513,82.34
780326,301,182,60.47
780330,241,2,0.83
780336,465,173,37.2
780341,426,337,79.11
780342,1848,1340,72.51
780344,387,306,79.07
780352,245,160,65.31
780360,188,176,93.62
780368,678,526,77.58
780376,102,1,0.98
780384,323,222,68.73
780385,230,184,80.0
780391,725,510,70.34
780393,527,372,70.59
780396,135,133,98.52
780401,935,757,80.96
780402,456,330,72.37
780403,517,449,86.85
780410,152,70,46.05
780420,1480,1006,67.97
790314,858,671,78.21
790330,674,547,81.16
790354,774,591,76.36
790366,676,417,61.69
790374,608,497,81.74
790378,1058,760,71.83
790379,327,169,51.68
790380,768,611,79.56
790392,49,14,28.57
790394,635,568,89.45
800308,95,51,53.68
800314,838,516,61.58
800320,520,251,48.27
800328,526,317,60.27
800340,955,762,79.79
800361,1200,818,68.17
800363,581,186,32.01
800376,535,439,82.06
800377,466,278,59.66
800394,244,69,28.28
800396,887,631,71.14
800398,754,636,84.35
800400,956,818,85.56
800408,1033,739,71.54
800410,644,339,52.64
810324,694,571,82.28
810326,541,459,84.84
810340,722,621,86.01
810342,603,463,76.78
810378,670,559,83.43
810384,772,530,68.65
810385,190,89,46.84
810386,166,43,25.9
81B000,268,36,13.43
820324,259,54,20.85
820347,419,307,73.27
820348,490,427,87.14
820349,468,352,75.21
820352,786,658,83.72
820354,608,592,97.37
820370,424,294,69.34
820372,429,366,85.31
820388,468,386,82.48
821308,811,670,82.61
821320,719,678,94.3
830304,674,562,83.38
830316,83,47,56.63
830343,1307,1019,77.96
830348,192,47,24.48
830349,612,403,65.85
840302,387,291,75.19
840332,580,503,86.72
840342,76,50,65.79
840350,577,381,66.03
840356,506,401,79.25
840358,383,270,70.5
840361,189,73,38.62
840366,14,5,35.71
840368,735,609,82.86
840370,48,28,58.33
850304,651,472,72.5
850324,110,79,71.82
850332,304,285,93.75
850338,268,207,77.24
850350,409,261,63.81
850352,505,371,73.47
850358,861,644,74.8
850360,180,12,6.67
860306,629,607,96.5
860316,577,451,78.16
860326,405,402,99.26
860330,366,357,97.54
860336,822,678,82.48
860340,485,480,98.97
860352,723,511,70.68
860354,314,94,29.94
861304,105,105,100.0
861308,345,293,84.93
861312,184,181,98.37
862312,547,393,71.85
862316,390,351,90.0
870314,535,437,81.68
870318,452,258,57.08
880308,728,590,81.04
880312,582,382,65.64
880320,97,71,73.2
880328,311,254,81.67
880330,223,174,78.03
890304,193,142,73.58
900308,772,558,72.28
900310,1411,1228,87.03
900311,1833,1362,74.3
900314,890,272,30.56
900316,908,709,78.08
900336,1049,797,75.98
900342,1726,1258,72.89
900343,1274,986,77.39
900344,1108,778,70.22
900346,814,751,92.26
900348,1298,946,72.88
900350,1025,558,54.44
900360,1406,1024,72.83
900362,1230,1210,98.37
900365,256,97,37.89
900366,860,754,87.67
900367,360,132,36.67
900377,1521,950,62.46
900378,1253,816,65.12
900391,1368,1353,98.9
900393,1765,1099,62.27
90A000,944,26,2.75
910316,850,723,85.06
910368,191,91,47.64
910370,1062,853,80.32
910382,205,84,40.98
91A000,448,84,18.75
920312,1026,583,56.82
920315,884,616,69.68
920316,2067,1468,71.02
920317,2457,1485,60.44
920318,2033,1255,61.73
920324,63,44,69.84
920348,1984,1438,72.48
920356,891,562,63.08
920360,1038,835,80.44
920368,2236,1535,68.65
920370,473,383,80.97
920386,109,47,43.12
920388,1213,834,68.76
920391,1361,869,63.85
920394,1123,690,61.44
920399,984,630,64.02
920400,952,604,63.45
920402,821,535,65.16
920404,1327,1084,81.69
920408,823,606,73.63
920410,672,548,81.55
920411,1337,1014,75.84
920412,2426,1438,59.27
920424,1025,607,59.22
920428,2175,1451,66.71
920436,2312,1645,71.15
920438,83,46,55.42
920441,2818,1800,63.88
920442,215,172,80.0
920444,1227,824,67.16
920445,1869,1226,65.6
920450,1120,515,45.98
920455,2133,1265,59.31
920458,1692,1089,64.36
920466,1615,1073,66.44
920471,901,514,57.05
920472,941,638,67.8
920473,2523,1495,59.25
920484,957,668,69.8
920492,1051,699,66.51
920495,2064,1275,61.77
920500,2337,1500,64.18
920502,1758,1130,64.28
920506,616,410,66.56
920508,93,88,94.62
920512,885,729,82.37
920518,224,214,95.54
920526,2778,1916,68.97
920528,124,86,69.35
920529,1027,754,73.42
920545,1171,764,65.24
920546,2241,1434,63.99
920549,1232,633,51.38
920551,1146,742,64.75
920552,1800,1151,63.94
920556,492,107,21.75
920561,754,542,71.88
920562,1537,958,62.33
920581,373,361,96.78
920582,254,149,58.66
920583,328,103,31.4
920585,255,171,67.06
920586,316,125,39.56
920588,2326,1368,58.81
920592,1209,728,60.22
920594,975,615,63.08
920595,1843,1232,66.85
920601,896,575,64.17
920604,1282,557,43.45
920607,1201,790,65.78
920608,857,371,43.29
920636,678,637,93.95
92F000,904,137,15.15
92G000,646,49,7.59
92K000,558,1,0.18
92P000,736,450,61.14
92T000,460,170,36.96
930340,82,82,100.0
930352,362,312,86.19
930354,366,315,86.07
930360,102,31,30.39
930700,135,59,43.7
93A000,88,21,23.86
93N000,132,66,50.0
940316,320,250,78.13
940328,280,246,87.86
940330,43,39,90.7
94Z000,214,185,86.45
950308,51,39,76.47
950312,114,107,93.86
950316,91,81,89.01
950320,144,92,63.89
950322,297,271,91.25
950324,66,66,100.0
950328,175,171,97.71
950332,141,131,92.91
950336,1147,669,58.33
950338,272,233,85.66
960312,380,246,64.74
960324,1171,892,76.17
960326,338,157,46.45
960330,970,629,64.85
960331,532,279,52.44
960335,567,367,64.73
960338,301,225,74.75
960340,306,130,42.48
960348,281,238,84.7
960360,898,565,62.92
960372,481,336,69.85
960374,347,237,68.3
960380,1066,814,76.36
960386,701,582,83.02
960387,501,277,55.29
960488,152,27,17.76
960490,239,91,38.08
960700,463,307,66.31
970315,650,383,58.92
970320,452,361,79.87
970322,398,398,100.0
970356,595,500,84.03
970358,545,523,95.96
970388,653,568,86.98
970389,574,558,97.21
970390,815,572,70.18
970393,233,75,32.19
980306,122,70,57.38
980317,311,301,96.78
980318,769,527,68.53
980324,418,358,85.65
980336,1179,879,74.55
980338,482,435,90.25
980342,1198,888,74.12
980380,334,306,91.62
980384,487,434,89.12
980390,427,349,81.73
980397,122,98,80.33
980398,290,93,32.07
98B000,400,70,17.5
990321,460,274,59.57
990322,836,720,86.12
990325,340,256,75.29
990326,549,479,87.25
990332,209,117,55.98
990340,36,20,55.56
995316,239,217,90.79
995324,281,91,32.38
995330,672,515,76.64
