agency_code,avg_size_00_sar,avg_size_01_sar,avg_size_02_sar,avg_size_03_sar,avg_size_04_sar,avg_size_05_sar,avg_size_06_sar,avg_size_07_sar,avg_size_08_sar,avg_size_biology_sar,avg_size_english ii_sar,avg_size_nc math 1_sar,avg_size_nc math 3_sar
132312,19.0,20.0,16.0,14.0,22.0,22.0,,,,,,,
132314,15.0,16.0,11.0,19.0,19.0,18.0,,,,,,,
132328,21.0,22.0,20.0,17.0,17.0,19.0,,,,,,,
132330,,,,,,,22.0,18.0,24.0,,,25.0,
132332,15.0,16.0,13.0,17.0,13.0,20.0,,,,,,,
132336,22.0,21.0,19.0,17.0,18.0,22.0,,,,,,,
13A000,,,,,,,,,,11.0,11.0,16.0,14.0
13B000,,,,,,,,,,25.0,13.0,17.0,12.0
140304,18.0,16.0,15.0,8.0,24.0,13.0,,,,,,,
140305,,,,,,,,,,11.0,10.0,9.0,12.0
140306,,,,,,,,5.0,5.0,5.0,,7.0,5.0
140308,20.0,17.0,18.0,19.0,17.0,25.0,17.0,18.0,21.0,,,,
140309,,,,,,,,,,24.0,21.0,32.0,23.0
140312,20.0,21.0,20.0,16.0,21.0,15.0,,,,,,,
140316,21.0,19.0,16.0,18.0,17.0,22.0,,,,,,,
140324,19.0,19.0,21.0,19.0,23.0,24.0,,,,,,,
140332,,,,,,,23.0,19.0,25.0,,,,
140336,,,,,,,23.0,24.0,23.0,,,,
140340,21.0,20.0,18.0,15.0,30.0,21.0,,,,,,,
140344,17.0,12.0,14.0,18.0,23.0,15.0,21.0,17.0,23.0,,,,
140348,,,,,,,,,,19.0,20.0,20.0,18.0
140352,19.0,18.0,19.0,17.0,19.0,20.0,,,,,,,
140356,,,,,,,24.0,25.0,23.0,,,,
140360,18.0,18.0,16.0,19.0,17.0,20.0,22.0,15.0,15.0,,,,
140368,,,,,,,25.0,23.0,21.0,,,,
140372,14.0,21.0,12.0,17.0,21.0,23.0,,,,,,,
140376,13.0,7.0,10.0,17.0,10.0,17.0,11.0,13.0,13.0,,,,
140384,21.0,17.0,16.0,14.0,22.0,21.0,,,,,,,
140386,,,,,,,,,,18.0,18.0,15.0,19.0
140388,14.0,15.0,20.0,,,,,,,,,,
140390,,,,,,,,,,17.0,17.0,17.0,19.0
140392,,,,16.0,22.0,15.0,,,,,,,
140396,16.0,11.0,14.0,13.0,13.0,23.0,,,,,,,
150304,,,,,,,,,,16.0,17.0,23.0,26.0
150308,18.0,18.0,18.0,19.0,,,,,,,,,
150310,,,,,18.0,25.0,25.0,,,,,,
150312,,,,,,,,17.0,16.0,,,20.0,
150350,,,,,,,,,,14.0,15.0,23.0,25.0
160304,13.0,17.0,11.0,11.0,13.0,10.0,,,,,,,
160306,19.0,17.0,21.0,16.0,19.0,21.0,,,,,,,
160308,19.0,22.0,15.0,10.0,17.0,17.0,,,,,,,
160310,,,,,,,23.0,22.0,15.0,,,16.0,
160311,,,,,,,16.0,22.0,21.0,,,20.0,
160313,,,,,,,,,,16.0,14.0,16.0,19.0
160314,,,,,,,,,,14.0,17.0,18.0,19.0
160316,21.0,18.0,11.0,17.0,14.0,15.0,,,,,,,
160317,,,,,21.0,20.0,,,,,,,
160318,,,,,,,22.0,20.0,22.0,,,28.0,
160322,17.0,17.0,20.0,21.0,,,,,,,,,
160324,21.0,19.0,16.0,12.0,16.0,17.0,,,,,,,
160326,,,,,,,21.0,23.0,19.0,,,27.0,
160332,22.0,19.0,16.0,12.0,16.0,18.0,21.0,20.0,16.0,,,10.0,
160343,,,,,,,,,,,15.0,19.0,
160344,,,,,,,,,,16.0,19.0,13.0,18.0
160352,17.0,19.0,19.0,22.0,23.0,18.0,,,,,,,
170316,,,,,,,,,,20.0,23.0,19.0,18.0
170334,15.0,16.0,20.0,18.0,17.0,16.0,,,,,,,
170338,,,,,,,14.0,16.0,20.0,,,21.0,
170339,17.0,17.0,17.0,16.0,15.0,18.0,,,,,,,
170342,16.0,18.0,15.0,19.0,16.0,16.0,,,,,,,
170344,8.0,17.0,13.0,10.0,13.0,18.0,,,,,,,
180302,,,,,,,,25.0,21.0,,,,
180304,15.0,21.0,17.0,16.0,26.0,24.0,24.0,,,,,,
180308,,,,,,,,,,20.0,26.0,24.0,28.0
180312,15.0,16.0,19.0,15.0,18.0,25.0,19.0,,,,,,
180316,17.0,18.0,21.0,16.0,19.0,24.0,26.0,,,,,,
180320,,,,,,,,,,22.0,24.0,20.0,22.0
180324,16.0,17.0,16.0,17.0,20.0,18.0,21.0,,,,,,
180325,,,,,,,,,,16.0,17.0,15.0,17.0
180326,20.0,19.0,18.0,18.0,30.0,24.0,27.0,,,,,,
180332,19.0,15.0,16.0,20.0,18.0,19.0,18.0,,,,,,
180336,19.0,15.0,16.0,20.0,20.0,26.0,25.0,,,,,,
180340,,,,,,,,,,18.0,22.0,18.0,24.0
180342,,,,,,,,26.0,26.0,,,,
180343,15.0,16.0,16.0,16.0,21.0,21.0,25.0,,,,,,
180344,21.0,18.0,13.0,22.0,24.0,26.0,26.0,,,,,,
180346,,,,,,,,26.0,26.0,,,,
180348,,,,,,,,,,21.0,21.0,18.0,22.0
180352,,,,,,,,29.0,20.0,,,,
180356,14.0,18.0,17.0,16.0,24.0,24.0,24.0,,,,,,
180360,23.0,18.0,20.0,18.0,20.0,20.0,23.0,,,,,,
180364,,,,,,,,27.0,29.0,,,,
180368,18.0,19.0,17.0,21.0,26.0,25.0,25.0,,,,,,
180372,23.0,17.0,15.0,17.0,23.0,20.0,23.0,,,,,,
180376,,,,,,,,,,17.0,26.0,17.0,25.0
180379,16.0,21.0,18.0,17.0,24.0,22.0,21.0,,,,,,
180380,16.0,19.0,23.0,20.0,26.0,23.0,23.0,,,,,,
180388,14.0,16.0,16.0,17.0,21.0,20.0,24.0,,,,,,
181312,,,,,,,24.0,23.0,26.0,,,32.0,
181316,,,,,,,26.0,23.0,27.0,,,29.0,
181318,,,,,,,,,,13.0,15.0,13.0,13.0
181322,,,,,,,,,,18.0,21.0,21.0,24.0
181326,16.0,17.0,17.0,18.0,31.0,25.0,,,,,,,
181332,,,,17.0,25.0,26.0,,,,,,,
181336,19.0,22.0,20.0,18.0,29.0,28.0,,,,,,,
181342,21.0,19.0,15.0,,,,,,,,,,
181344,19.0,19.0,18.0,18.0,29.0,27.0,,,,,,,
182304,,,,,,,,,,,,7.0,
182316,,,,,,,,,,19.0,22.0,22.0,22.0
182321,,,,,,,30.0,26.0,28.0,,,,
182322,15.0,16.0,17.0,17.0,29.0,25.0,,,,,,,
182324,15.0,12.0,11.0,14.0,11.0,13.0,,,,,,,
182328,19.0,19.0,20.0,18.0,20.0,21.0,,,,,,,
182700,,,,,,,,,,27.0,24.0,19.0,18.0
190304,11.0,11.0,14.0,13.0,20.0,13.0,30.0,20.0,15.0,,,,
190308,12.0,14.0,12.0,17.0,17.0,18.0,14.0,20.0,18.0,,,,
190312,,,,,,,23.0,24.0,23.0,,,25.0,
190316,,,,,,,,,,23.0,19.0,16.0,21.0
190328,,,,,,21.0,12.0,27.0,21.0,,,18.0,
190332,13.0,16.0,14.0,10.0,7.0,13.0,25.0,17.0,33.0,,,,
190336,,,,,,,,,,19.0,20.0,19.0,24.0
190339,,,,,,,24.0,29.0,24.0,,,25.0,
190340,13.0,12.0,17.0,13.0,29.0,17.0,30.0,25.0,19.0,,,22.0,
190341,22.0,21.0,20.0,22.0,26.0,22.0,,,,,,,
190342,,,,,,,,,,23.0,24.0,22.0,27.0
190346,,18.0,20.0,17.0,25.0,19.0,,,,,,,
190348,19.0,19.0,22.0,18.0,25.0,,,,,,,,
190350,,,,,19.0,21.0,,,,,,,
190352,13.0,15.0,10.0,16.0,13.0,20.0,20.0,15.0,13.0,,,18.0,
190370,,,,,14.0,22.0,,,,,,,
190501,,,,,,,,,,9.0,10.0,10.0,14.0
19A000,,,,,,,,,,15.0,16.0,19.0,15.0
19B000,,,,,,,,,,13.0,11.0,11.0,10.0
200304,17.0,16.0,14.0,11.0,22.0,,,,,,,,
200308,,,,,,,,,,8.0,10.0,15.0,12.0
200310,,,,,,13.0,16.0,20.0,14.0,,,18.0,
200312,7.0,9.0,13.0,15.0,17.0,21.0,20.0,15.0,13.0,,,14.0,
