agency_code,lp_school,rlp_school,clpc_school
241316,N,N,N
241320,N,N,N
241LEA,,,
24B000,N,N,Y
24N000,N,N,N
250304,N,N,N
250306,N,N,N
250308,N,N,N
250312,N,N,N
250314,N,N,N
250316,N,N,N
250320,Y,N,N
250321,N,N,N
250324,N,N,N
250328,N,N,N
250332,Y,Y,N
250336,N,N,N
250340,N,N,N
250344,Y,N,N
250348,Y,Y,N
250350,N,N,N
250356,N,N,N
250360,Y,Y,N
250362,N,N,N
250364,N,N,N
250368,N,N,N
250372,N,N,N
250376,Y,Y,N
250378,N,N,N
250380,N,N,N
250LEA,,,
260302,N,N,N
260306,N,N,N
260308,N,N,N
260310,Y,Y,N
260312,N,N,N
260316,N,N,N
260318,N,N,N
260320,N,N,N
260321,Y,Y,N
260322,Y,N,N
260325,N,N,N
260326,N,N,N
260332,N,N,N
260336,Y,Y,N
260338,N,Y,N
260340,N,N,N
260342,N,N,N
260344,N,N,N
260347,N,N,N
260348,N,N,N
260352,N,N,N
260354,N,N,N
260356,N,N,N
260357,N,N,N
260358,Y,Y,N
260359,N,N,N
260361,Y,Y,N
260362,N,N,N
260363,N,N,N
260364,N,N,N
260365,N,N,N
260366,N,N,N
260367,N,N,N
260368,Y,N,N
260369,N,N,N
260370,Y,Y,N
260371,N,Y,N
260372,Y,Y,N
260373,N,N,N
260374,N,N,N
260375,N,N,N
260380,N,N,N
260382,N,N,N
260383,N,N,N
260386,Y,Y,N
260388,N,N,N
260396,Y,Y,N
260397,N,N,N
260398,N,N,N
260400,N,N,N
260401,Y,N,N
260402,Y,Y,N
260403,N,N,N
260404,Y,N,N
260405,Y,N,N
260406,N,N,N
260407,Y,N,N
260408,N,N,N
260410,N,N,N
260411,N,N,N
260412,N,N,N
260413,N,N,N
260414,Y,N,N
260415,N,N,N
260416,N,N,N
260417,N,N,N
260418,N,N,N
260419,Y,N,N
260424,N,N,N
260425,Y,Y,N
260426,Y,Y,N
260427,N,N,N
260428,Y,Y,N
260430,N,N,N
260432,N,N,N
260434,N,N,N
260440,Y,N,N
260444,Y,Y,N
260446,N,N,N
