agency_code,avg_sat_score,pct_sat_participation
600457,934.0,0.574
600466,1199.0,0.642
600480,1064.0,0.45399999999999996
600482,1115.0,0.5720000000000001
600490,1010.0,0.377
600496,1037.0,0.633
600498,923.0,0.027000000000000003
600499,1115.0,0.205
600508,1240.0,0.733
600535,1138.0,0.589
600567,1166.0,0.574
600576,883.0,0.446
600579,904.0,0.055
600592,926.0,0.036000000000000004
600594,1240.0,0.040999999999999995
600LEA,1103.0,0.526
60D000,1218.0,0.9159999999999999
60G000,1078.0,0.40700000000000003
60I000,1161.0,0.8759999999999999
60K000,,
60S000,1085.0,0.605
60U000,,
60V000,861.0,0.263
610332,,
610334,1069.0,0.255
610LEA,1070.0,0.205
61L000,,
620316,965.0,0.48200000000000004
620340,1029.0,0.13699999999999998
620LEA,976.0,0.321
630332,1013.0,0.022000000000000002
630336,1122.0,0.452
630360,1160.0,0.26899999999999996
630LEA,1121.0,0.35200000000000004
640346,994.0,0.342
640347,1079.0,0.44299999999999995
640350,1004.0,0.397
640361,992.0,0.627
640364,963.0,0.027000000000000003
640LEA,1000.0,0.042
64A000,899.0,0.392
650326,1101.0,0.37200000000000005
650327,1113.0,0.34600000000000003
650340,1202.0,0.36700000000000005
650342,1190.0,0.607
650352,1083.0,0.551
650355,,
650394,1154.0,0.457
650LEA,1128.0,0.447
660336,,
660400,,
660LEA,899.0,0.133
66A000,986.0,0.1
670320,1126.0,0.22399999999999998
670324,1040.0,0.43799999999999994
670333,989.0,0.319
670340,1074.0,0.299
670344,1051.0,0.434
670352,1131.0,0.023
670364,1044.0,0.462
670LEA,1054.0,0.344
680310,1193.0,0.5329999999999999
680332,1131.0,0.051
680LEA,1159.0,0.512
681305,1290.0,0.5539999999999999
681308,1272.0,0.7140000000000001
681314,1301.0,0.778
681LEA,1287.0,0.6970000000000001
68A000,1059.0,0.05
690320,1043.0,0.434
690LEA,1043.0,0.434
69A000,,
700317,973.0,0.47200000000000003
700319,1003.0,0.275
700LEA,985.0,0.36200000000000004
70A000,1067.0,0.6729999999999999
710321,945.0,0.28600000000000003
710326,1016.0,0.284
710327,1112.0,0.332
710342,1156.0,0.43200000000000005
710LEA,1090.0,0.35700000000000004
720316,1124.0,0.20600000000000002
720LEA,1124.0,0.20600000000000002
730350,,
730352,1019.0,0.355
730LEA,1020.0,0.35700000000000004
73B000,1103.0,0.046
740309,964.0,0.419
740333,1122.0,0.442
740344,978.0,0.344
740366,1079.0,0.45299999999999996
740374,987.0,0.04
740388,983.0,0.332
740500,,
740LEA,1042.0,0.039
750317,,
750318,1112.0,0.276
750LEA,1112.0,0.27899999999999997
760318,965.0,0.48200000000000004
760339,1039.0,0.28600000000000003
760348,1058.0,0.136
760354,1126.0,0.025
760358,1097.0,0.19699999999999998
760380,1083.0,0.306
760388,1099.0,0.145
760LEA,1052.0,0.24600000000000002
761304,1013.0,0.512
761LEA,1013.0,0.512
76A000,1095.0,0.22899999999999998
770348,1079.0,0.133
770349,1156.0,0.203
770LEA,1095.0,0.139
780325,960.0,0.031
780342,966.0,0.33899999999999997
780385,,
780391,949.0,0.155
780401,931.0,0.0509
780402,872.0,0.324
780420,923.0,0.321
780LEA,946.0,0.261
790314,1039.0,0.495
790354,959.0,0.402
790366,979.0,0.439
790378,1069.0,0.289
790379,,
790LEA,1017.0,0.366
800340,1013.0,0.406
800361,1066.0,0.262
800376,953.0,0.05
800394,1077.0,0.44299999999999995
800396,1032.0,0.457
800400,1041.0,0.301
800408,1009.0,0.354
800LEA,1023.0,0.36700000000000005
810324,1018.0,0.341
810340,1007.0,0.452
810384,1012.0,0.361
810385,1167.0,0.297
810LEA,1021.0,0.36200000000000004
81A000,1201.0,0.884
81B000,,
820324,1150.0,0.124
820348,1012.0,0.292
820349,984.0,0.345
820352,1100.0,0.251
820388,1052.0,0.115
820LEA,1048.0,0.23199999999999998
821308,1068.0,0.524
821LEA,1068.0,0.524
830343,972.0,0.43700000000000006
830348,1104.0,0.413
830LEA,989.0,0.42200000000000004
840302,959.0,0.47600000000000003
840332,974.0,0.402
840356,1014.0,0.319
840361,1124.0,0.332
840368,1092.0,0.396
840LEA,1030.0,0.385
84B000,1177.0,0.9540000000000001
850332,1072.0,0.297
850352,1070.0,0.505
850358,1085.0,0.311
850360,,
850LEA,1078.0,0.32899999999999996
860316,1223.0,0.081
860336,1088.0,0.203
860352,1069.0,0.152
860354,1078.0,0.259
860LEA,1093.0,0.17300000000000001
861308,1108.0,0.34600000000000003
861LEA,1108.0,0.34600000000000003
862312,1080.0,0.327
862LEA,1080.0,0.327
86T000,1117.0,0.069
870314,1074.0,0.18100000000000002
870LEA,1074.0,0.16699999999999998
880308,1155.0,0.35600000000000004
880328,1044.0,0.05
880LEA,1111.0,0.371
890304,853.0,0.465
890LEA,853.0,0.465
900310,,
900311,1145.0,0.975
900314,,
900316,894.0,0.981
900336,891.0,0.099
900342,1014.0,0.915
900343,,
900344,966.0,0.1
900348,1031.0,0.981
900360,1027.0,0.912
900365,,
900366,1191.0,0.1
900367,1169.0,0.545
900377,1208.0,0.1
900393,1222.0,0.1
900LEA,1078.0,0.951
90A000,1121.0,0.7390000000000001
910370,906.0,0.575
910382,1057.0,0.051
910LEA,929.0,0.49200000000000005
91B000,1045.0,0.1
920316,1201.0,0.6779999999999999
920317,1158.0,0.851
920318,1152.0,0.6629999999999999
920348,1149.0,0.589
920368,1156.0,0.502
920386,1104.0,0.076
920411,1021.0,0.428
920412,1272.0,0.667
920428,1118.0,0.466
920436,1051.0,0.47200000000000003
920441,1262.0,0.8
920445,1117.0,0.7490000000000001
920455,1159.0,0.72
920466,975.0,0.413
920473,1172.0,0.075
920495,1161.0,0.062
920500,1131.0,0.583
920518,1018.0,0.542
920526,1270.0,0.8270000000000001
920528,,
920546,1038.0,0.465
920552,1141.0,0.5329999999999999
920556,,
920562,977.0,0.444
920581,971.0,0.22899999999999998
920582,1303.0,0.67
920583,1205.0,0.054000000000000006
920585,1091.0,0.07
920586,1071.0,0.1
920588,1102.0,0.551
920595,1115.0,0.063
920604,,
920LEA,1155.0,0.615
92F000,1199.0,0.9359999999999999
92G000,1111.0,0.244
92K000,1367.0,0.885
92P000,1103.0,0.27699999999999997
92T000,1204.0,0.085
92U000,1171.0,0.695
930352,853.0,0.552
930360,1007.0,0.769
930700,996.0,0.667
930LEA,919.0,0.614
93A000,,
93L000,,
940316,852.0,0.768
940LEA,852.0,0.74
94Z000,1067.0,0.21899999999999997
950336,1205.0,0.508
950338,,
950LEA,1197.0,0.441
960324,1071.0,0.251
960330,961.0,0.424
960335,837.0,0.336
960372,1096.0,0.11800000000000001
960380,944.0,0.237
960386,1027.0,0.009000000000000001
960488,,
960490,1202.0,0.242
960700,1172.0,0.5529999999999999
960LEA,1010.0,0.27699999999999997
970320,1062.0,0.17800000000000002
970356,,
970388,1117.0,0.263
970390,1089.0,0.125
970393,,
970LEA,1089.0,0.161
980318,971.0,0.28600000000000003
980336,1005.0,0.628
980342,1015.0,0.507
980398,1106.0,0.037000000000000005
980LEA,1015.0,0.489
98B000,930.0,0.457
990322,1065.0,0.266
990326,1071.0,0.037000000000000005
990332,,
990LEA,1069.0,0.252
995330,1156.0,0.214
995LEA,1156.0,0.214
NATION,1039.0,
NC-SEA,1091.0,0.457
