agency_code,act_per1000_all_inc2,act_per1000_am7_inc2,act_per1000_as7_inc2,act_per1000_bl7_inc2,act_per1000_eds_inc2,act_per1000_els_inc2,act_per1000_fem_inc2,act_per1000_hi7_inc2,act_per1000_male_inc2,act_per1000_mu7_inc2,act_per1000_pi7_inc2,act_per1000_swd_inc2,act_per1000_wh7_inc2,arr_per1000_all_inc2,arr_per1000_am7_inc2,arr_per1000_as7_inc2,arr_per1000_bl7_inc2,arr_per1000_eds_inc2,arr_per1000_els_inc2,arr_per1000_fem_inc2,arr_per1000_hi7_inc2,arr_per1000_male_inc2,arr_per1000_mu7_inc2,arr_per1000_pi7_inc2,arr_per1000_swd_inc2,arr_per1000_wh7_inc2,bha_per1000_all_inc2,bha_per1000_am7_inc2,bha_per1000_as7_inc2,bha_per1000_bl7_inc2,bha_per1000_eds_inc2,bha_per1000_els_inc2,bha_per1000_fem_inc2,bha_per1000_hi7_inc2,bha_per1000_male_inc2,bha_per1000_mu7_inc2,bha_per1000_pi7_inc2,bha_per1000_swd_inc2,bha_per1000_wh7_inc2,exp_per1000_all_inc2,exp_per1000_am7_inc2,exp_per1000_as7_inc2,exp_per1000_bl7_inc2,exp_per1000_eds_inc2,exp_per1000_els_inc2,exp_per1000_fem_inc2,exp_per1000_hi7_inc2,exp_per1000_male_inc2,exp_per1000_mu7_inc2,exp_per1000_pi7_inc2,exp_per1000_swd_inc2,exp_per1000_wh7_inc2,iss_per1000_all_inc2,iss_per1000_am7_inc2,iss_per1000_as7_inc2,iss_per1000_bl7_inc2,iss_per1000_eds_inc2,iss_per1000_els_inc2,iss_per1000_fem_inc2,iss_per1000_hi7_inc2,iss_per1000_male_inc2,iss_per1000_mu7_inc2,iss_per1000_pi7_inc2,iss_per1000_swd_inc2,iss_per1000_wh7_inc2,lts_per1000_all_inc2,lts_per1000_am7_inc2,lts_per1000_as7_inc2,lts_per1000_bl7_inc2,lts_per1000_eds_inc2,lts_per1000_els_inc2,lts_per1000_fem_inc2,lts_per1000_hi7_inc2,lts_per1000_male_inc2,lts_per1000_mu7_inc2,lts_per1000_pi7_inc2,lts_per1000_swd_inc2,lts_per1000_wh7_inc2,rpt_per1000_all_inc2,rpt_per1000_am7_inc2,rpt_per1000_as7_inc2,rpt_per1000_bl7_inc2,rpt_per1000_eds_inc2,rpt_per1000_els_inc2,rpt_per1000_fem_inc2,rpt_per1000_hi7_inc2,rpt_per1000_male_inc2,rpt_per1000_mu7_inc2,rpt_per1000_pi7_inc2,rpt_per1000_swd_inc2,rpt_per1000_wh7_inc2,sts_per1000_all_inc2,sts_per1000_am7_inc2,sts_per1000_as7_inc2,sts_per1000_bl7_inc2,sts_per1000_eds_inc2,sts_per1000_els_inc2,sts_per1000_fem_inc2,sts_per1000_hi7_inc2,sts_per1000_male_inc2,sts_per1000_mu7_inc2,sts_per1000_pi7_inc2,sts_per1000_swd_inc2,sts_per1000_wh7_inc2
510411,5.9172,,,10.2041,3.7037,25.641,0.0,5.9172,11.5942,22.7273,,15.1515,2.809,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.314,,,30.612,22.222,0.0,0.0,0.0,26.087,45.455,,37.879,11.236,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,156.805,,,295.918,200.0,282.051,57.576,136.095,252.174,272.72700000000003,,265.152,115.169,1.4793,,,0.0,3.7037,0.0,3.0303,0.0,0.0,22.7273,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,144.97,,,224.49,200.0,410.256,42.424,159.763,243.478,500.0,,257.576,73.03399999999998
510412,5.2817,,,25.8621,7.4906,0.0,4.0,0.0,6.2893,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,15.845,,,17.241,26.217,31.25,8.0,24.096,22.013,38.462,,27.523000000000003,7.874,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,295.775,,,586.207,355.805,312.5,168.0,192.771,396.226,346.154,,330.275,228.346,1.7606,,,0.0,3.7453,0.0,4.0,0.0,0.0,0.0,,0.0,3.937,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,82.74600000000002,,,112.069,119.85,31.25,52.0,72.289,106.918,192.308,,100.917,66.929
510414,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,65.153,,,116.129,81.911,14.706,22.222,63.694,104.962,0.0,,80.214,59.19,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,31.589,,,83.87100000000002,64.846,14.706,6.061,19.108,55.344,25.0,,101.604,23.364
51A000,3.2468,,,7.3529,5.291,,0.0,0.0,6.5076,17.5439,,8.4034,1.5773,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.494,,,0.0,5.291,,0.0,10.0,13.015,17.544,,8.402999999999999,6.309,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,7.5758,,,14.7059,21.164,,2.0921,0.0,13.0152,17.5439,,8.4034,6.3091,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,49.784,,,51.471,47.619,,14.644,60.0,84.59899999999998,70.175,,84.03399999999998,45.74100000000001
51B000,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.724,,,17.857,17.750999999999994,0.0,3.289,0.0,14.97,0.0,,25.974,10.309,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,51.864,,,62.5,59.172,62.5,16.447,83.333,80.83800000000002,0.0,,38.961,43.81399999999999,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,119.935,,,187.5,82.84,250.0,23.026,177.083,200.599,62.5,,246.753,87.62899999999998
520304,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,166.667,,,229.508,155.963,,86.42,,200.0,0.0,,272.72700000000003,140.625,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,152.174,,,147.541,91.743,,61.728,,200.0,76.923,,181.818,171.875
520308,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.944,,,47.619,7.0920000000000005,,0.0,0.0,13.514,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,13.889,,,0.0,14.184,,0.0,0.0,27.027,0.0,,0.0,17.699,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,69.444,,,47.619,70.922,,10.638,111.111,121.622,312.5,,95.238,17.699
520320,20.339,,,46.5116,24.0385,,0.0,0.0,41.3793,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,6.78,,,15.504,9.615,,6.061,0.0,6.897,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,3.39,,,7.752000000000002,4.808,,0.0,0.0,6.897,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,6.78,,,15.504,9.615,,6.061,0.0,6.897,,,0.0,0.0,159.322,,,271.318,177.885,,78.788,115.385,234.483,,,235.294,62.069
520324,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,6.803,,,0.0,8.929,,0.0,,12.987,,,35.714,14.493,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,34.014,,,54.545,35.714,,13.333,,51.948,,,71.429,28.986
520328,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,14.925,,,0.0,17.544,,,,24.691,,,100.0,29.851,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,74.627,,,96.154,87.719,,,,123.457,,,400.0,74.627
