agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
110366,5,22,7,0.1470588297,0.6470588446,0.2058823556
110368,3,16,5,0.125,0.6666666864999999,0.2083333284
110370,2,19,4,0.0799999982,0.7599999905,0.1599999964
110372,6,15,1,0.2727272809,0.6818181872,0.0454545468
110376,1,14,11,0.0384615399,0.5384615660000001,0.4230769277000001
110379,2,28,10,0.050000000700000005,0.6999999881,0.25
110380,5,29,28,0.0806451589,0.4677419364,0.4516128898
110381,1,27,9,0.0270270277,0.729729712,0.2432432473
110382,0,17,20,0.0,0.4594594538,0.5405405164
110384,3,16,9,0.1071428582,0.571428597,0.3214285672
110388,1,9,4,0.0714285746,0.6428571343,0.2857142985
110401,3,21,11,0.08571428810000001,0.6000000238000001,0.3142857254
110408,4,27,9,0.1000000015,0.6750000119,0.224999994
110410,5,20,15,0.125,0.5,0.375
110412,0,17,11,0.0,0.6071428657,0.3928571343
110416,10,33,48,0.1098901108,0.3626373708,0.5274725556000001
110420,4,20,21,0.088888891,0.4444444478,0.4666666687
110422,6,33,15,0.1111111119,0.6111111045000001,0.277777791
110425,4,11,20,0.1142857149,0.3142857254,0.571428597
110428,0,16,4,0.0,0.8000000119,0.200000003
110432,1,11,8,0.050000000700000005,0.5500000119,0.400000006
110436,2,24,12,0.0526315793,0.6315789223,0.3157894611
110444,0,11,6,0.0,0.6470588446,0.3529411852
110450,11,20,11,0.2619047761,0.4761904776,0.2619047761
110451,6,18,10,0.1764705926,0.5294117928000001,0.2941176593
110500,0,4,13,0.0,0.2352941185,0.7647058964
111000,0,5,5,0.0,0.5,0.5
111302,6,38,29,0.0821917802,0.5205479264,0.3972602785
111304,6,18,3,0.2222222239,0.6666666864999999,0.1111111119
111306,3,24,3,0.1000000015,0.8000000119,0.1000000015
111307,6,2,2,0.6000000238000001,0.200000003,0.200000003
111312,3,20,8,0.0967741907,0.6451612711,0.2580645084
111332,2,21,12,0.0571428575,0.6000000238000001,0.3428571522
111356,4,22,26,0.0769230798,0.4230769277000001,0.5
111360,2,20,8,0.06666667009999999,0.6666666864999999,0.2666666806
111369,0,4,12,0.0,0.25,0.75
111700,0,11,8,0.0,0.5789473653,0.4210526347
11A000,2,19,10,0.0645161271,0.6129032373,0.3225806355
11B000,6,9,9,0.25,0.375,0.375
11C000,5,38,24,0.074626863,0.5671641827,0.3582089543
11D000,0,3,3,0.0,0.5,0.5
11K000,0,8,6,0.0,0.571428597,0.4285714328
120304,0,2,0,0.0,1.0,0.0
120308,7,8,0,0.4666666687,0.5333333611,0.0
120310,0,2,1,0.0,0.6666666864999999,0.3333333433
120312,0,17,8,0.0,0.6800000072,0.3199999928
120314,8,26,18,0.1538461596,0.5,0.34615385530000004
120315,3,33,1,0.0810810775,0.8918918967,0.0270270277
120316,0,15,6,0.0,0.7142857313,0.2857142985
