agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
900332,18.0,,,5.0,8.0,8.0,8.0,10.0,,,2.0,5.0,1.0,,,0.278,1.0,0.444,0.444,0.556,,,0.111,0.278
900334,20.0,,1.0,3.0,0.0,2.0,3.0,18.0,1.0,,0.0,12.0,1.0,,0.05,0.15,1.0,0.1,0.15,0.9,0.05,,0.0,0.6
900341,8.0,,,2.0,0.0,3.0,,5.0,,,0.0,6.0,1.0,,,0.25,1.0,0.375,,0.625,,,0.0,0.75
900351,18.0,,,4.0,11.0,8.0,14.0,10.0,,,0.0,,1.0,,,0.222,1.0,0.444,0.778,0.556,,,0.0,
900354,30.0,,2.0,4.0,7.0,11.0,14.0,19.0,2.0,,0.0,8.0,1.0,,0.067,0.133,1.0,0.3670000000000001,0.467,0.633,0.067,,0.0,0.267
900356,5.0,,,,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,,,,1.0,0.4,0.2,0.6,0.2,0.2,0.0,0.4
900364,18.0,,,2.0,3.0,12.0,4.0,6.0,1.0,,0.0,11.0,1.0,,,0.111,1.0,0.667,0.222,0.333,0.056,,0.0,0.611
900368,7.0,,,,0.0,1.0,1.0,6.0,,,0.0,6.0,1.0,,,,1.0,0.14300000000000002,0.14300000000000002,0.857,,,0.0,0.857
900370,15.0,,2.0,3.0,7.0,7.0,9.0,8.0,,,0.0,1.0,1.0,,0.133,0.2,1.0,0.467,0.6,0.5329999999999999,,,0.0,0.067
900372,34.0,,,10.0,0.0,16.0,4.0,18.0,3.0,,0.0,17.0,1.0,,,0.294,1.0,0.471,0.118,0.529,0.08800000000000001,,0.0,0.5
900388,18.0,,,7.0,8.0,14.0,10.0,4.0,,,0.0,1.0,1.0,,,0.389,1.0,0.778,0.556,0.222,,,0.0,0.056
910304,36.0,,1.0,10.0,14.0,16.0,17.0,20.0,1.0,,0.0,7.0,1.0,,0.028,0.278,1.0,0.444,0.472,0.556,0.028,,0.0,0.194
