agency_code,pct_enrolled_am7_charter,pct_enrolled_as7_charter,pct_enrolled_bl7_charter,pct_enrolled_eds_charter,pct_enrolled_els_charter,pct_enrolled_hi7_charter,pct_enrolled_mu7_charter,pct_enrolled_pi7_charter,pct_enrolled_swd_charter,pct_enrolled_wh7_charter
61M000,5.0,5.0,30.0,5.0,5.0,10.9,7.8,5.0,9.6,49.4
61N000,5.0,33.6,45.4,8.4,7.0,6.1,9.4,5.0,5.0,5.0
61P000,5.0,5.0,67.8,12.4,5.0,16.5,7.4,5.0,14.9,7.4
61Q000,5.0,11.0,58.8,18.5,5.0,12.1,6.2,5.0,7.8,10.8
61R000,5.0,5.0,28.0,28.6,9.5,20.1,5.0,5.0,12.2,46.3
61S000,5.0,5.1,33.3,5.0,5.0,22.7,6.1,5.0,6.1,32.8
61T000,5.0,5.0,90.7,57.8,5.0,5.0,5.0,5.0,7.5,5.0
61U000,5.0,5.0,86.8,33.3,5.0,12.3,5.0,5.0,17.5,5.0
61V000,5.0,5.0,24.5,16.3,5.0,5.0,6.0,5.0,5.0,60.5
61W000,5.0,10.0,41.4,7.9,6.4,23.6,10.0,5.0,5.0,15.0
61X000,5.0,5.0,35.8,5.0,5.0,6.8,8.2,5.0,5.0,48.1
61Y000,5.0,5.0,57.1,31.6,5.5,24.1,6.9,5.0,5.0,9.7
620000,5.0,5.0,19.8,67.0,8.8,35.7,5.0,5.0,11.9,38.3
62A000,5.0,5.0,8.1,29.0,5.0,5.0,6.5,5.0,8.1,80.6
62J000,5.0,6.3,51.1,29.6,5.2,19.5,8.4,5.0,5.0,14.0
630000,5.0,5.0,14.7,37.9,5.0,14.4,6.5,5.0,13.0,62.4
63A000,5.0,5.0,9.2,5.0,5.0,6.8,12.4,5.0,9.2,68.4
63B000,5.0,5.0,9.2,5.0,5.0,10.9,7.2,5.0,11.8,71.0
63C000,5.0,5.0,16.2,5.0,5.0,10.3,5.0,5.0,5.0,67.5
640000,5.0,5.0,50.9,50.1,5.0,14.0,5.0,5.0,15.0,30.1
64A000,5.0,5.0,82.7,71.2,5.0,5.5,5.0,5.0,12.4,6.3
650000,5.0,5.0,17.9,42.0,5.1,16.1,5.2,5.0,8.5,58.7
65A000,5.0,5.0,5.0,5.0,5.0,5.0,7.2,5.0,14.6,86.1
65B000,5.0,5.0,61.5,18.6,5.0,8.1,5.0,5.0,8.1,25.5
65C000,5.0,5.0,76.2,63.9,5.0,6.6,11.5,5.0,7.4,5.7
65D000,5.0,5.0,5.0,5.0,5.0,6.4,5.0,5.0,14.2,86.8
65F000,5.0,5.0,5.0,5.0,5.0,5.0,6.3,5.0,7.2,88.3
65G000,5.0,5.0,48.0,72.3,5.0,17.9,5.4,5.0,11.8,27.7
65Z000,5.0,5.0,87.7,72.2,5.0,5.2,5.0,5.0,11.3,5.0
660000,5.0,5.0,79.1,59.3,5.0,5.0,5.5,5.0,15.5,10.4
66A000,5.0,5.0,76.3,45.3,5.0,5.6,7.4,5.0,7.1,8.6
670000,5.0,5.0,16.8,44.5,5.0,15.6,10.8,5.0,14.9,54.9
67B000,5.0,5.0,58.9,63.8,5.0,14.1,16.8,5.0,18.4,9.2
680000,5.0,5.0,13.3,38.0,9.2,24.9,7.2,5.0,14.8,52.9
68A000,5.0,5.0,5.0,5.0,5.0,8.2,6.9,5.0,13.6,80.6
68C000,5.0,5.0,5.0,5.0,5.0,6.1,8.1,5.0,10.0,82.2
690000,5.0,5.0,19.7,51.8,5.0,8.9,9.8,5.0,16.2,60.4
69A000,5.0,5.0,9.9,55.7,5.0,9.3,8.9,5.0,18.2,71.3
700000,5.0,5.0,42.6,51.9,5.0,10.3,8.4,5.0,15.7,37.6
70A000,5.0,5.0,17.7,13.3,5.0,5.0,5.8,5.0,8.7,70.8
730000,5.0,5.0,32.9,44.1,5.0,10.9,6.5,5.0,13.8,48.8
73A000,5.0,5.0,11.5,38.5,5.0,8.0,6.8,5.0,8.8,72.3
73B000,5.0,5.0,8.3,5.0,5.0,7.0,5.2,5.0,5.6,79.0
740000,5.0,5.0,44.3,49.8,5.0,12.6,6.3,5.0,12.5,35.1
74B000,5.0,5.0,79.5,19.9,5.0,5.0,6.4,5.0,12.9,8.8
74C000,5.0,5.0,55.6,47.7,5.3,10.7,5.0,5.0,10.4,30.5
74Z000,5.0,5.0,95.0,59.0,5.0,5.0,5.0,5.0,17.9,5.0
760000,5.0,5.0,5.0,49.9,5.5,19.1,5.5,5.0,13.1,69.1
761000,5.0,5.0,13.8,65.8,16.9,49.0,6.8,5.0,13.7,28.6
76A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.3,86.2
780000,40.3,5.0,22.2,71.1,7.4,18.5,6.3,5.0,16.7,12.1
78A000,90.9,5.0,5.0,50.5,5.0,5.0,5.0,5.0,16.1,5.0
78B000,14.9,5.0,9.3,5.0,5.0,5.0,5.0,5.0,10.5,69.0
790000,5.0,5.0,17.3,47.2,5.0,15.0,10.3,5.0,17.2,56.6
79A000,5.0,5.0,8.6,10.4,5.0,6.3,5.5,5.0,12.0,79.0
79Z000,5.0,5.0,61.1,54.8,5.0,11.1,12.4,5.0,13.5,15.1
800000,5.0,5.0,17.3,46.9,7.2,19.7,6.9,5.0,13.4,54.9
80B000,5.0,5.0,72.1,20.5,5.0,13.1,5.0,5.0,5.0,13.1
810000,5.0,5.0,12.8,38.5,5.0,9.3,7.8,5.0,17.7,69.6
81A000,5.0,5.0,6.7,5.0,5.0,8.4,7.5,5.0,6.9,74.9
81B000,5.0,5.0,5.0,5.0,5.0,7.8,5.0,5.0,12.9,83.7
840000,5.0,5.0,13.1,42.6,5.0,9.2,8.9,5.0,17.0,65.7
84B000,5.0,5.0,5.0,5.0,5.0,5.2,5.0,5.0,5.0,85.1
862000,5.0,5.0,7.8,50.7,8.2,22.2,8.0,5.0,14.7,60.8
86T000,5.0,5.0,5.0,5.0,5.0,6.6,5.0,5.0,13.5,86.3
870000,21.1,5.0,5.0,42.0,5.0,6.3,6.0,5.0,17.2,64.8
87A000,9.3,5.0,5.0,7.7,5.0,5.0,6.6,5.0,17.0,78.0
880000,5.0,5.0,5.0,45.4,5.0,10.0,8.4,5.0,14.8,76.4
88A000,5.0,5.0,5.0,5.4,5.0,6.6,6.6,5.0,9.9,82.1
900000,5.0,5.2,12.0,23.5,6.3,18.9,5.0,5.0,9.9,59.1
