agency_code,count_2018_enroll_am7_college,count_2018_enroll_as7_college,count_2018_enroll_all_college,count_2018_enroll_bl7_college,count_2018_enroll_eds_college,count_2018_enroll_els_college,count_2018_enroll_fem_college,count_2018_enroll_hi7_college,count_2018_enroll_male_college,count_2018_enroll_mu7_college,count_2018_enroll_pi7_college,count_2018_enroll_swd_college,count_2018_enroll_wh7_college,count_2018_noenro_am7_college,count_2018_noenro_as7_college,count_2018_noenro_all_college,count_2018_noenro_bl7_college,count_2018_noenro_eds_college,count_2018_noenro_els_college,count_2018_noenro_fem_college,count_2018_noenro_hi7_college,count_2018_noenro_male_college,count_2018_noenro_mu7_college,count_2018_noenro_pi7_college,count_2018_noenro_swd_college,count_2018_noenro_wh7_college,pct_enrolled_2018_enroll_am7_college,pct_enrolled_2018_enroll_as7_college,pct_enrolled_2018_enroll_all_college,pct_enrolled_2018_enroll_bl7_college,pct_enrolled_2018_enroll_eds_college,pct_enrolled_2018_enroll_els_college,pct_enrolled_2018_enroll_fem_college,pct_enrolled_2018_enroll_hi7_college,pct_enrolled_2018_enroll_male_college,pct_enrolled_2018_enroll_mu7_college,pct_enrolled_2018_enroll_swd_college,pct_enrolled_2018_enroll_wh7_college,pct_enrolled_2018_noenro_am7_college,pct_enrolled_2018_noenro_as7_college,pct_enrolled_2018_noenro_all_college,pct_enrolled_2018_noenro_bl7_college,pct_enrolled_2018_noenro_eds_college,pct_enrolled_2018_noenro_els_college,pct_enrolled_2018_noenro_fem_college,pct_enrolled_2018_noenro_hi7_college,pct_enrolled_2018_noenro_male_college,pct_enrolled_2018_noenro_mu7_college,pct_enrolled_2018_noenro_swd_college,pct_enrolled_2018_noenro_wh7_college
070310,,,6.0,5.0,,1.0,5.0,1.0,1.0,,,1.0,0.0,,,40.0,26.0,,2.0,17.0,3.0,23.0,,,5.0,11.0,,,,,,,,,,,,,,,0.05,0.05,,,0.05,,0.05,,,0.05
070311,,1.0,30.0,9.0,12.0,,23.0,7.0,7.0,,,,13.0,,0.0,11.0,3.0,5.0,,5.0,2.0,6.0,,,,6.0,,,0.7317073170999999,,0.7058823529000001,,0.8214285714,,,,,0.6842105262999999,,,0.05,,,,,,,,,
070330,,,61.0,9.0,,,28.0,0.0,33.0,2.0,,2.0,50.0,,,33.0,5.0,,,16.0,8.0,17.0,2.0,,7.0,18.0,,,0.6489361702,,,,0.6363636364,,0.66,,,0.7352941176000001,,,0.05,,,,0.05,,0.05,,,0.05
070339,,,60.0,23.0,,,36.0,3.0,24.0,6.0,,2.0,28.0,,,57.0,19.0,,,20.0,10.0,37.0,5.0,,6.0,23.0,,,0.5128205128,0.5476190476,,,0.6428571429,,0.393442623,,,0.5490196078,,,0.05,0.05,,,0.05,0.05,0.05,,,0.05
070342,,,114.0,28.0,,1.0,75.0,10.0,39.0,4.0,,7.0,72.0,,,113.0,51.0,,3.0,48.0,14.0,65.0,3.0,,11.0,45.0,,,0.5022026432,0.3544303797,,,0.6097560975999999,0.4166666667,0.375,,,0.6153846154,,,0.05,0.05,,,0.05,0.05,0.05,,0.05,0.05
07A000,,,1.0,0.0,,,0.0,,1.0,,,,1.0,,,2.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
080311,1.0,,31.0,17.0,,,18.0,1.0,13.0,0.0,,,12.0,0.0,,13.0,8.0,,,8.0,0.0,5.0,1.0,,,4.0,,,0.7045454545000001,0.68,,,0.6923076923,,0.7222222222,,,0.75,,,0.05,,,,,,,,,
080312,,,49.0,42.0,,,28.0,,21.0,1.0,,3.0,6.0,,,85.0,77.0,,,30.0,,55.0,0.0,,19.0,8.0,,,0.3656716418,0.3529411765,,,0.4827586207,,0.2763157895,,,,,,0.05,0.05,,,0.05,,0.05,,0.05,
090330,1.0,0.0,87.0,50.0,,1.0,41.0,6.0,46.0,4.0,,5.0,26.0,0.0,1.0,68.0,39.0,,3.0,34.0,11.0,34.0,0.0,,8.0,17.0,,,0.5612903226,0.5617977528,,,0.5466666667,,0.575,,,0.6046511628,,,0.05,0.05,,,0.05,0.05,0.05,,,0.05
090368,2.0,,104.0,32.0,,0.0,64.0,10.0,40.0,6.0,,11.0,54.0,2.0,,98.0,30.0,,3.0,42.0,23.0,56.0,3.0,,16.0,40.0,,,0.5148514851,0.5161290323,,,0.6037735849,0.303030303,0.4166666667,,0.4074074074,0.5744680851,,,0.05,0.05,,,0.05,0.05,0.05,,0.05,0.05
