agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
250372,10.0,34.0,10.0,6.0,,,33.0,1.0,,9.0,2.0,11.0,,12.0,
260318,20.0,6.0,,29.0,,5.0,41.0,27.0,,52.0,7.0,12.0,17.0,26.0,1.0
260322,4.0,41.0,8.0,26.0,,21.0,1.0,76.0,5.0,16.0,4.0,,6.0,1.0,
260325,6.0,59.0,8.0,27.0,,,28.0,15.0,,37.0,50.0,3.0,5.0,3.0,
260357,6.0,73.0,1.0,27.0,,,24.0,30.0,,30.0,6.0,1.0,,1.0,
260359,,14.0,,4.0,,,1.0,39.0,2.0,7.0,9.0,,1.0,,2.0
260374,,7.0,1.0,2.0,,,,7.0,,2.0,,2.0,,,
260388,,,,6.0,,,1.0,,,,2.0,,,1.0,
260408,11.0,54.0,2.0,71.0,,,20.0,34.0,2.0,58.0,6.0,3.0,21.0,4.0,
260411,3.0,,,15.0,,,3.0,,,10.0,4.0,,,,
260424,5.0,76.0,8.0,19.0,,13.0,12.0,71.0,4.0,32.0,7.0,12.0,12.0,1.0,1.0
260427,6.0,22.0,19.0,12.0,,,5.0,23.0,3.0,5.0,32.0,2.0,4.0,14.0,
260446,3.0,19.0,3.0,12.0,,1.0,14.0,52.0,1.0,13.0,6.0,3.0,8.0,,
260449,,2.0,,,,,,2.0,,1.0,,,,,
260455,2.0,6.0,,6.0,,,28.0,18.0,3.0,5.0,12.0,,3.0,17.0,3.0
260700,1.0,,,3.0,,,2.0,1.0,,1.0,1.0,,,1.0,
270306,9.0,67.0,16.0,4.0,,,14.0,35.0,,8.0,,,2.0,,16.0
270311,,,,3.0,,,,,1.0,1.0,,2.0,,,1.0
280304,2.0,3.0,5.0,2.0,,,,7.0,,2.0,1.0,,1.0,,
280306,,,1.0,,,,,,,,,,,,
280316,11.0,2.0,9.0,,,,2.0,1.0,,3.0,,1.0,,,1.0
280330,4.0,,5.0,,,,14.0,7.0,,6.0,,,,,
