agency_code,adm_central expense_funds2,adm_employee benefits_funds2,adm_instructional equip._funds2,adm_other objects_funds2,adm_purchased services_funds2,adm_salaries_funds2,adm_supplies & materials_funds2,adm_total_funds2,federal_funds_central expense_funds2,federal_funds_employee benefits_funds2,federal_funds_instructional equip._funds2,federal_funds_other objects_funds2,federal_funds_purchased services_funds2,federal_funds_salaries_funds2,federal_funds_supplies & materials_funds2,federal_funds_total_funds2,federal_ppe_central expense_funds2,federal_ppe_employee benefits_funds2,federal_ppe_instructional equip._funds2,federal_ppe_other objects_funds2,federal_ppe_purchased services_funds2,federal_ppe_salaries_funds2,federal_ppe_supplies & materials_funds2,federal_ppe_total_funds2,local_funds_central expense_funds2,local_funds_employee benefits_funds2,local_funds_instructional equip._funds2,local_funds_other objects_funds2,local_funds_purchased services_funds2,local_funds_salaries_funds2,local_funds_supplies & materials_funds2,local_funds_total_funds2,local_ppe_central expense_funds2,local_ppe_employee benefits_funds2,local_ppe_instructional equip._funds2,local_ppe_other objects_funds2,local_ppe_purchased services_funds2,local_ppe_salaries_funds2,local_ppe_supplies & materials_funds2,local_ppe_total_funds2,state_funds_central expense_funds2,state_funds_employee benefits_funds2,state_funds_instructional equip._funds2,state_funds_other objects_funds2,state_funds_purchased services_funds2,state_funds_salaries_funds2,state_funds_supplies & materials_funds2,state_funds_total_funds2,state_ppe_central expense_funds2,state_ppe_employee benefits_funds2,state_ppe_instructional equip._funds2,state_ppe_other objects_funds2,state_ppe_purchased services_funds2,state_ppe_salaries_funds2,state_ppe_supplies & materials_funds2,state_ppe_total_funds2,total_funds_central expense_funds2,total_funds_employee benefits_funds2,total_funds_instructional equip._funds2,total_funds_other objects_funds2,total_funds_purchased services_funds2,total_funds_salaries_funds2,total_funds_supplies & materials_funds2,total_funds_total_funds2,total_ppe_central expense_funds2,total_ppe_employee benefits_funds2,total_ppe_instructional equip._funds2,total_ppe_other objects_funds2,total_ppe_purchased services_funds2,total_ppe_salaries_funds2,total_ppe_supplies & materials_funds2,total_ppe_total_funds2
830348,190,190,190,190,190,190,190,190,19708.7,29919.3,2414.9,0.0,13161.3,87789.5,40758.8,193749.0,103.73,157.47,12.71,0.0,69.27,462.05,214.52,1019.75,42928.6,57009.5,723.9,0.0,127837.7,135310.4,60307.9,424114.0,225.94,300.05,3.81,0.0,672.83,712.16,317.41,2232.2,55328.0,297103.0,15889.7,0.0,82070.5,859225.6,81534.7,1391149.0,291.2,1563.7,83.63,0.0,431.95,4522.24,429.13,7321.85,117964,384031,19026,0,223068,1082324,182599,2009012,620.87,2021.22,100.15,0.0,1174.05,5696.45,961.06,10573.8
830349,605,605,605,605,605,605,605,605,62756.65,126057.8,5324.0,0.0,52937.5,307987.35,204508.15,759569.0,103.73,208.36,8.8,0.0,87.5,509.07,338.03,1255.49,136693.7,195959.5,1645.6,0.0,446986.1,477018.3,197841.05,1456142.0,225.94,323.9,2.72,0.0,738.82,788.46,327.01,2406.85,176176.0,884891.15,50596.15,0.0,212766.4,2614398.6,203092.45,4141919.0,291.2,1462.63,83.63,0.0,351.68,4321.32,335.69,6846.15,375625,1206907,57565,0,712689,3399403,605441,6357630,620.87,1994.89,95.15,0.0,1178.0,5618.85,1000.73,10508.49
830356,367,367,367,367,367,367,367,367,38068.91,87015.7,4029.66,0.0,28541.59,234380.88,194873.33,586906.0,103.73,237.1,10.98,0.0,77.77,638.64,530.99,1599.21,82919.98,148807.49,1222.11,0.0,230784.28,403769.73,119443.82,986944.0,225.94,405.47,3.33,0.0,628.84,1100.19,325.46,2689.23,106870.4,628953.59,30692.21,0.0,129066.56,1687730.24,123198.23,2706509.0,291.2,1713.77,83.63,0.0,351.68,4598.72,335.69,7374.69,227857,864775,35943,0,388391,2325879,437514,4280359,620.87,2356.34,97.94,0.0,1058.29,6337.55,1192.14,11663.13
830360,429,429,429,429,429,429,429,429,44500.17,161445.57,5371.08,0.0,33972.51,427966.11,207533.04,880787.0,103.73,376.33,12.52,0.0,79.19,997.59,483.76,2053.12,96928.26,150763.47,1613.04,0.0,274825.98,362852.49,140231.52,1027212.0,225.94,351.43,3.76,0.0,640.62,845.81,326.88,2394.44,124924.8,726232.65,35877.27,0.0,150870.72,1986853.44,144011.01,3168767.0,291.2,1692.85,83.63,0.0,351.68,4631.36,335.69,7386.41,266352,1038440,42861,0,459667,2777671,491775,5076766,620.87,2420.61,99.91,0.0,1071.49,6474.76,1146.33,11833.97
830364,562,562,562,562,562,562,562,562,58296.26,162305.6,19018.08,0.0,47281.06,400987.0,220270.28,908157.0,103.73,288.8,33.84,0.0,84.13,713.5,391.94,1615.94,126978.28,334300.08,5434.54,0.0,444176.7,957709.82,227210.98,2095807.0,225.94,594.84,9.67,0.0,790.35,1704.11,404.29,3729.2,163654.4,860163.48,47000.06,0.0,197644.16,2202787.1,188657.78,3659905.0,291.2,1530.54,83.63,0.0,351.68,3919.55,335.69,6512.29,348928,1356768,71452,0,689101,3561483,636137,6663869,620.87,2414.18,127.14,0.0,1226.16,6337.16,1131.92,11857.43
840302,386,386,386,386,386,386,386,386,7604.2,90598.06,829.9,0.0,22310.8,212601.08,108253.7,442195.0,19.7,234.71,2.15,0.0,57.8,550.78,280.45,1145.59,43556.24,100935.14,660.06,0.0,262831.26,289110.14,91292.86,788384.0,112.84,261.49,1.71,0.0,680.91,748.99,236.51,2042.45,72730.12,689044.74,9812.12,0.0,90945.46,1816377.04,67090.66,2745998.0,188.42,1785.09,25.42,0.0,235.61,4705.64,173.81,7113.99,123890,880577,11301,0,376086,2318088,266635,3976577,320.96,2281.29,29.28,0.0,974.32,6005.41,690.77,10302.03
840303,363,363,363,363,363,363,363,363,7151.1,83232.27,780.45,0.0,26201.34,244883.43,109255.74,471502.0,19.7,229.29,2.15,0.0,72.18,674.61,300.98,1298.91,40960.92,94093.23,620.73,0.0,217041.33,253315.92,82847.49,688876.0,112.84,259.21,1.71,0.0,597.91,697.84,228.23,1897.74,68396.46,702016.59,9227.46,0.0,85526.43,1858331.31,63561.3,2787057.0,188.42,1933.93,25.42,0.0,235.61,5119.37,175.1,7677.85,116507,879341,10627,0,328768,2356529,255663,3947435,320.96,2422.43,29.28,0.0,905.7,6491.82,704.31,10874.5
840304,309,309,309,309,309,309,309,309,6087.3,54455.07,664.35,0.0,18141.39,145971.6,75674.1,300992.0,19.7,176.23,2.15,0.0,58.71,472.4,244.9,974.09,34867.56,67423.8,528.39,0.0,154691.58,161078.61,68038.71,486625.0,112.84,218.2,1.71,0.0,500.62,521.29,220.19,1574.85,58221.78,491983.62,7854.78,0.0,72803.49,1305630.06,51504.12,1987995.0,188.42,1592.18,25.42,0.0,235.61,4225.34,166.68,6433.65,99175,613861,9046,0,245635,1612679,195216,2775612,320.96,1986.61,29.28,0.0,794.94,5219.03,631.77,8982.59
840308,503,503,503,503,503,503,503,503,9909.1,88688.96,1081.45,0.0,30094.49,268521.52,131122.04,529415.0,19.7,176.32,2.15,0.0,59.83,533.84,260.68,1052.52,56758.52,70103.11,860.13,0.0,213146.25,168147.87,106983.07,615997.0,112.84,139.37,1.71,0.0,423.75,334.29,212.69,1224.65,94775.26,743182.5,12786.26,0.0,118511.83,1977323.18,84685.08,3031262.0,188.42,1477.5,25.42,0.0,235.61,3931.06,168.36,6026.37,161442,901973,14727,0,361751,2413991,322790,4176674,320.96,1793.19,29.28,0.0,719.19,4799.19,641.73,8303.54
840310,553,553,553,553,553,553,553,553,10894.1,143475.85,1188.95,0.0,45058.44,354461.94,200042.22,755118.0,19.7,259.45,2.15,0.0,81.48,640.98,361.74,1365.5,62400.52,125199.2,945.63,0.0,272529.46,344977.99,132869.31,938919.0,112.84,226.4,1.71,0.0,492.82,623.83,240.27,1697.87,104196.26,882986.16,14057.26,0.0,130292.33,2295906.69,94319.68,3521756.0,188.42,1596.72,25.42,0.0,235.61,4151.73,170.56,6368.46,177490,1151660,16190,0,447879,2995344,427230,5215793,320.96,2082.57,29.28,0.0,809.91,5416.54,772.57,9431.83
