agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
49B000,62.7,
49D000,10.0,
49F000,59.2,38.5
49G000,35.6,
500302,,25.0
500304,43.1,
500314,44.4,
500316,41.4,
500323,,65.0
500324,,5.0
500332,41.4,
500337,8.3,
500340,,36.5
50302,,47.2
50303,,90.7
50310,62.5,
50330,61.7,
50335,59.7,
50A000,57.9,10.0
510310,34.8,
510324,,40.2
510325,,66.2
510327,,44.7
510329,56.0,
510333,,42.3
510342,39.8,
510344,36.0,
510359,44.4,
510360,37.7,
510364,48.8,
510367,,68.1
510368,,12.6
510376,37.8,36.6
510379,43.4,
510382,62.0,
510390,15.1,
510397,25.0,
510399,,21.0
510402,,28.1
510406,,37.6
510411,39.0,
510412,30.0,
51A000,40.3,50.0
51B000,34.8,
520304,52.9,
520308,42.3,
520320,,40.0
520328,47.4,
520336,53.8,
530314,44.7,
530335,,87.7
530336,,37.9
530341,50.6,
530343,,35.6
530356,42.9,
53B000,55.7,
540308,40.0,
540312,53.9,
540315,,10.3
540317,,66.7
540318,,14.3
540324,,37.5
540330,22.3,
540336,,27.9
540344,58.4,
54A000,11.8,
550308,,10.0
550320,,57.5
550322,65.9,
550332,,53.2
550334,38.9,
550344,,58.6
550350,72.2,
550368,,39.5
550372,57.7,
55A000,65.1,66.7
560320,,48.8
560324,43.3,39.5
560329,,90.9
560331,44.1,
560350,,15.8
570317,,76.0
570318,,33.6
570319,65.6,
580344,20.3,18.2
580368,,32.4
580372,34.5,
58B000,51.8,42.9
590310,39.6,
590326,,32.0
590328,,76.5
590330,,26.0
590356,44.3,
590393,76.8,
600301,29.5,
600302,,73.8
600303,33.3,
600305,41.7,
600311,16.1,
600312,,71.1
600313,70.0,
600317,23.1,
600319,25.0,
600333,48.2,
600336,75.9,
600341,30.2,25.0
600344,56.5,
600345,73.3,
600351,20.0,
600353,62.2,
600361,,46.9
600364,,15.7
600366,19.6,
600374,20.4,
600377,,43.0
600381,20.4,
600386,,31.2
600394,51.6,
600397,,11.9
600399,62.6,
600405,,15.9
600413,73.7,
600415,,39.5
600426,,35.5
600428,20.4,
600429,39.6,
600431,73.7,
600434,39.1,
600439,9.5,5.0
600445,,30.3
600448,24.4,
600450,36.3,
600454,,26.7
600455,56.6,
600457,,25.7
600462,31.8,
600466,,60.1
600479,31.2,
