agency_code,pct_met_4 year graduation rate_ltg,pct_met_el progress_ltg,pct_met_math grade 11_ltg,pct_met_math grades 3-8_ltg,pct_met_reading grade 10_ltg,pct_met_reading grades 3-8_ltg,pct_met_total targets_ltg,target_assign_4 year graduation rate_ltg,target_assign_el progress_ltg,target_assign_math grade 11_ltg,target_assign_math grades 3-8_ltg,target_assign_reading grade 10_ltg,target_assign_reading grades 3-8_ltg,target_assign_total targets_ltg,target_met_4 year graduation rate_ltg,target_met_el progress_ltg,target_met_math grade 11_ltg,target_met_math grades 3-8_ltg,target_met_reading grade 10_ltg,target_met_reading grades 3-8_ltg,target_met_total targets_ltg
740330,,,,0.0,,0.0,0.0,,,,5.0,,5.0,10.0,,,,0.0,,0.0,0.0
740332,,,,14.3,,71.4,42.9,,,,7.0,,7.0,14.0,,,,1.0,,5.0,6.0
740333,16.7,0.0,0.0,,0.0,,5.3,6.0,1.0,6.0,,6.0,,19.0,1.0,0.0,0.0,,0.0,,1.0
740334,,,,0.0,,100.0,50.0,,,,4.0,,4.0,8.0,,,,0.0,,4.0,4.0
740336,,100.0,,0.0,,16.7,15.4,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,1.0,2.0
740337,,,,42.9,,57.1,50.0,,,,7.0,,7.0,14.0,,,,3.0,,4.0,7.0
740338,,,,0.0,,0.0,0.0,,,,4.0,,4.0,8.0,,,,0.0,,0.0,0.0
740340,,,,0.0,,16.7,8.3,,,,6.0,,6.0,12.0,,,,0.0,,1.0,1.0
740344,0.0,,100.0,,0.0,,33.3,4.0,,4.0,,4.0,,12.0,0.0,,4.0,,0.0,,4.0
740352,,,,16.7,,16.7,16.7,,,,6.0,,6.0,12.0,,,,1.0,,1.0,2.0
740358,,100.0,,14.3,,57.1,40.0,,1.0,,7.0,,7.0,15.0,,1.0,,1.0,,4.0,6.0
740362,,,,22.2,,11.1,16.7,,,,9.0,,9.0,18.0,,,,2.0,,1.0,3.0
740366,60.0,,0.0,,0.0,,21.4,5.0,,4.0,,5.0,,14.0,3.0,,0.0,,0.0,,3.0
740368,,,,0.0,,25.0,12.5,,,,4.0,,4.0,8.0,,,,0.0,,1.0,1.0
740374,0.0,0.0,0.0,,20.0,,6.3,5.0,1.0,5.0,,5.0,,16.0,0.0,0.0,0.0,,1.0,,1.0
740375,,100.0,,0.0,,20.0,18.2,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,1.0,2.0
740376,,100.0,,14.3,,28.6,26.7,,1.0,,7.0,,7.0,15.0,,1.0,,1.0,,2.0,4.0
740379,,,,0.0,,20.0,10.0,,,,5.0,,5.0,10.0,,,,0.0,,1.0,1.0
740380,,,,0.0,,100.0,50.0,,,,4.0,,4.0,8.0,,,,0.0,,4.0,4.0
740386,,,,0.0,,28.6,14.3,,,,7.0,,7.0,14.0,,,,0.0,,2.0,2.0
740388,0.0,,40.0,,0.0,,13.3,5.0,,5.0,,5.0,,15.0,0.0,,2.0,,0.0,,2.0
740390,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
740396,,,,0.0,,0.0,0.0,,,,4.0,,4.0,8.0,,,,0.0,,0.0,0.0
740400,,,,0.0,,33.3,16.7,,,,3.0,,3.0,6.0,,,,0.0,,1.0,1.0
740402,,,,42.9,,57.1,50.0,,,,7.0,,7.0,14.0,,,,3.0,,4.0,7.0
740404,,0.0,,0.0,,55.6,26.3,,1.0,,9.0,,9.0,19.0,,0.0,,0.0,,5.0,5.0
740500,,,100.0,,100.0,,100.0,,,1.0,,1.0,,2.0,,,1.0,,1.0,,2.0
74B000,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
74C000,,,,0.0,,50.0,25.0,,,,6.0,,6.0,12.0,,,,0.0,,3.0,3.0
74Z000,,,,0.0,,100.0,50.0,,,,2.0,,2.0,4.0,,,,0.0,,2.0,2.0
750304,,,,0.0,,25.0,12.5,,,,4.0,,4.0,8.0,,,,0.0,,1.0,1.0
750314,,,,0.0,,33.3,16.7,,,,3.0,,3.0,6.0,,,,0.0,,1.0,1.0
750317,100.0,,,,,,100.0,2.0,,,,,,2.0,2.0,,,,,,2.0
750318,66.7,,0.0,,0.0,,22.2,3.0,,3.0,,3.0,,9.0,2.0,,0.0,,0.0,,2.0
750319,,,,60.0,,60.0,60.0,,,,5.0,,5.0,10.0,,,,3.0,,3.0,6.0
750320,,,,0.0,,100.0,50.0,,,,2.0,,2.0,4.0,,,,0.0,,2.0,2.0
750328,,,,0.0,,0.0,0.0,,,,2.0,,2.0,4.0,,,,0.0,,0.0,0.0
760304,,100.0,,25.0,,0.0,22.2,,1.0,,4.0,,4.0,9.0,,1.0,,1.0,,0.0,2.0
760308,,,,0.0,,66.7,33.3,,,,6.0,,6.0,12.0,,,,0.0,,4.0,4.0
760316,,,,0.0,,25.0,12.5,,,,4.0,,4.0,8.0,,,,0.0,,1.0,1.0
760318,25.0,0.0,50.0,,0.0,,23.1,4.0,1.0,4.0,,4.0,,13.0,1.0,0.0,2.0,,0.0,,3.0
760320,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
760324,,,,0.0,,0.0,0.0,,,,4.0,,4.0,8.0,,,,0.0,,0.0,0.0
760328,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
760329,,,,0.0,,0.0,0.0,,,,4.0,,4.0,8.0,,,,0.0,,0.0,0.0
760330,,,,25.0,,100.0,62.5,,,,4.0,,4.0,8.0,,,,1.0,,4.0,5.0
760331,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
760332,,0.0,,0.0,,0.0,0.0,,1.0,,4.0,,4.0,9.0,,0.0,,0.0,,0.0,0.0
760336,,100.0,,0.0,,40.0,27.3,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,2.0,3.0
760338,,,,28.6,,28.6,28.6,,,,7.0,,7.0,14.0,,,,2.0,,2.0,4.0
760339,66.7,,100.0,,0.0,,55.6,3.0,,3.0,,3.0,,9.0,2.0,,3.0,,0.0,,5.0
760340,,100.0,,0.0,,16.7,15.4,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,1.0,2.0
760344,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
760348,50.0,0.0,50.0,,100.0,,61.5,4.0,1.0,4.0,,4.0,,13.0,2.0,0.0,2.0,,4.0,,8.0
760352,,100.0,,25.0,,62.5,47.1,,1.0,,8.0,,8.0,17.0,,1.0,,2.0,,5.0,8.0
760354,100.0,,100.0,,100.0,,100.0,2.0,,2.0,,4.0,,8.0,2.0,,2.0,,4.0,,8.0
760356,,,,0.0,,0.0,0.0,,,,3.0,,3.0,6.0,,,,0.0,,0.0,0.0
760357,,,,12.5,,12.5,12.5,,,,8.0,,8.0,16.0,,,,1.0,,1.0,2.0
760358,25.0,100.0,0.0,,0.0,,15.4,4.0,1.0,4.0,,4.0,,13.0,1.0,1.0,0.0,,0.0,,2.0
760359,,100.0,,16.7,,16.7,23.1,,1.0,,6.0,,6.0,13.0,,1.0,,1.0,,1.0,3.0
760360,,,,16.7,,16.7,16.7,,,,6.0,,6.0,12.0,,,,1.0,,1.0,2.0
760364,,,,0.0,,100.0,50.0,,,,3.0,,3.0,6.0,,,,0.0,,3.0,3.0
760368,,,,33.3,,0.0,16.7,,,,3.0,,3.0,6.0,,,,1.0,,0.0,1.0
760376,,,,0.0,,50.0,25.0,,,,4.0,,4.0,8.0,,,,0.0,,2.0,2.0
760378,,,,16.7,,50.0,33.3,,,,6.0,,6.0,12.0,,,,1.0,,3.0,4.0
760380,33.3,,66.7,,0.0,,33.3,3.0,,3.0,,3.0,,9.0,1.0,,2.0,,0.0,,3.0
