agency_code,pct_gce_all_rta,pct_gce_rpf_rta,pct_gce_swd_rta,pct_passed_eog_rta,pct_passed_laa_rta,pct_passed_rta_rta,pct_promoted_rta,pct_retained_rta
260434,10.3,,7.7,72.4,,,95.0,
260440,,,,28.9,,,62.2,37.8
260444,,,,22.6,,,43.4,56.6
260448,18.5,13.9,,71.5,,,95.0,
260450,23.8,,,50.8,,,84.1,15.9
260452,9.6,,,39.4,,,64.4,35.6
260459,29.4,,,39.2,,,90.2,
26B000,,,,62.0,,,91.3,
26C000,,,,52.6,,,70.2,29.8
270304,,,,60.0,,,95.0,
270309,,,,72.5,,,95.0,
270310,,,,63.2,,,95.0,
270312,,,,,,,91.7,
270316,,,,56.4,,,94.1,
270320,,,,52.3,,,86.4,
280302,,,,63.6,,,92.7,
280308,11.5,,,81.6,,,95.0,
280310,,,,79.3,,,85.1,14.9
280312,13.5,,,55.9,,,86.5,13.5
280324,,,,68.5,,,88.9,
290302,,,,63.4,,,95.0,
290306,,,,66.7,,,95.0,
290307,,,,42.9,,,95.0,
290312,,,,54.4,,,82.4,17.6
290316,,,,67.6,,,94.6,
290320,,,,61.5,,,95.0,
290328,,,,50.5,,,81.4,18.6
290330,,,,67.5,,,74.0,26.0
290332,,,,64.9,,,93.5,
290333,,,,67.6,,,95.0,
290344,,,,70.3,,,92.2,
290352,23.4,15.6,,46.9,,,78.1,21.9
290356,,,,42.1,,,64.9,35.1
290364,,,,54.1,,,75.7,
290366,11.6,,11.6,44.2,,,91.6,
290375,,,,37.8,,,73.3,26.7
290380,10.6,,7.8,67.4,,,85.8,14.2
290384,,,,56.4,,,85.1,14.9
291308,31.2,15.6,14.3,39.0,,,95.0,
291340,18.0,,,45.9,,,86.9,
291352,15.6,,,54.5,,,81.8,18.2
292318,13.5,,11.7,44.2,,,71.2,28.8
295300,,,,,,,43.6,56.4
29A000,,,,51.1,,,73.3,26.7
300308,14.5,,14.5,47.0,,,81.9,18.1
300310,17.5,,17.5,61.4,,,94.7,
300320,,,,43.9,,,65.3,34.7
300326,,,,63.6,,,89.8,
300328,,,,75.6,,,94.2,
300336,,,,51.9,,,80.8,19.2
310304,19.4,12.6,,43.7,,,85.4,14.6
310308,22.2,18.5,,54.3,,,84.0,16.0
310330,,,,50.0,,,93.2,
310336,,,,42.7,,,85.3,14.7
310356,33.8,29.4,,38.2,,,95.0,
310360,14.6,11.5,,62.5,,,94.8,
310384,26.8,16.5,,26.8,,,70.9,29.1
310388,9.8,,,40.2,,,71.3,28.7
320304,,,,28.7,,,46.3,53.7
320308,,,,50.0,,,67.2,32.8
320310,,,,21.4,,,47.6,52.4
320313,,,,68.3,,,81.7,18.3
320315,,,,36.8,,,56.6,43.4
320318,13.3,,13.3,53.3,,,88.0,
320319,10.6,,,50.6,,,68.1,31.9
320320,17.1,,8.1,25.2,,,54.5,45.5
320324,,,,51.7,,,62.9,37.1
320327,15.6,,10.4,42.7,,,61.5,38.5
320328,15.1,,,34.9,,,63.2,36.8
320332,14.5,,,47.9,,,76.9,23.1
