agency_code,den_aig_elp,den_all_elp,den_as7_elp,den_bl7_elp,den_eds_elp,den_els_elp,den_fem_elp,den_hi7_elp,den_hms_elp,den_male_elp,den_mig_elp,den_mil_elp,den_neds_elp,den_nswd_elp,den_swd_elp,den_wh7_elp,pct_aig_elp,pct_all_elp,pct_as7_elp,pct_bl7_elp,pct_eds_elp,pct_els_elp,pct_fem_elp,pct_hi7_elp,pct_hms_elp,pct_male_elp,pct_mig_elp,pct_mil_elp,pct_neds_elp,pct_nswd_elp,pct_swd_elp,pct_wh7_elp
980396,,18.0,,,,18.0,10.0,16.0,,,,,12.0,17.0,,,,55.6,,,,55.6,70.0,56.3,,,,,58.3,52.9,,
980400,,38.0,,,16.0,38.0,16.0,36.0,,22.0,,,22.0,32.0,,,,36.8,,,25.0,36.8,50.0,33.3,,27.3,,,45.5,40.6,,
98A000,,140.0,,,73.0,140.0,59.0,136.0,,81.0,,,67.0,118.0,22.0,,,53.6,,,52.1,53.6,54.2,53.7,,53.1,,,55.2,54.2,50.0,
990304,,24.0,,,23.0,24.0,,23.0,,15.0,,,,17.0,,,,20.8,,,21.7,20.8,,21.7,,20.0,,,,29.4,,
990308,,19.0,,,17.0,19.0,,19.0,,13.0,,,,14.0,,,,26.3,,,23.5,26.3,,26.3,,15.4,,,,35.7,,
990312,,15.0,,,15.0,15.0,,15.0,,,,,,12.0,,,,20.0,,,20.0,20.0,,20.0,,,,,,16.7,,
990316,,10.0,,,,10.0,,10.0,,,,,,,,,,40.0,,,,40.0,,40.0,,,,,,,,
990321,,22.0,,,22.0,22.0,,22.0,,16.0,,,,16.0,,,,5.0,,,5.0,5.0,,5.0,,5.0,,,,5.0,,
990322,,26.0,,,25.0,26.0,13.0,26.0,,13.0,,,,20.0,,,,5.0,,,5.0,5.0,5.0,5.0,,5.0,,,,5.0,,
990324,,18.0,,,17.0,18.0,,15.0,,,,,,12.0,,,,27.8,,,29.4,27.8,,20.0,,,,,,33.3,,
990325,,18.0,,,15.0,18.0,,18.0,,12.0,,,,15.0,,,,5.6,,,6.7,5.6,,5.6,,8.3,,,,6.7,,
990326,,33.0,,,28.0,33.0,15.0,33.0,,18.0,,,,23.0,10.0,,,15.2,,,17.9,15.2,20.0,15.2,,11.1,,,,17.4,10.0,
990328,,77.0,,,70.0,77.0,34.0,77.0,,43.0,,,,66.0,11.0,,,41.6,,,41.4,41.6,52.9,41.6,,32.6,,,,39.4,54.5,
990336,,70.0,,,63.0,70.0,26.0,70.0,,44.0,,,,60.0,10.0,,,32.9,,,31.7,32.9,38.5,32.9,,29.5,,,,36.7,10.0,
995312,,52.0,,,50.0,52.0,26.0,48.0,,26.0,,,,40.0,12.0,,,46.2,,,44.0,46.2,61.5,45.8,,30.8,,,,55.0,16.7,
995324,,16.0,,,14.0,16.0,,15.0,,11.0,,,,,,,,12.5,,,7.1,12.5,,13.3,,9.1,,,,,,
995328,,18.0,,,18.0,18.0,,15.0,,13.0,,,,14.0,,,,55.6,,,55.6,55.6,,60.0,,46.2,,,,57.1,,
995330,,19.0,,,18.0,19.0,,19.0,,10.0,,,,,11.0,,,5.3,,,5.0,5.3,,5.3,,5.0,,,,,5.0,
