agency_code,asm_option,subgroup,ma_score,ma_score_masking,ma_grade,rd_score,rd_score_masking,rd_grade,sc_score,sc_score_masking,m1_score,m1_score_masking,e2_score,e2_score_masking,bi_score,bi_score_masking,act_score,act_score_masking,wk_score,wk_score_masking,mcr_score,mcr_score_masking,cgrs_score,cgrs_score_masking,ach_score,ach_score_masking,eg_status,eg_score,spg_score,spg_grade,ma_spg_score,rd_spg_score,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score
450336,,ALL,61.0,,C,61.0,,C,65.0,,,,,,,,,,,,,,,,62.0,,Met,83.4,66.0,C,65.0,66.0,Met,Met,82.4,83.5
450339,,ALL,86.0,,A,80.0,,B,90.0,,,,,,,,,,,,,,,,84.0,,Met,84.6,84.0,B,85.0,81.0,Met,Met,81.2,83.7
450340,,ALL,84.0,,B,73.0,,B,85.0,,,,,,,,,,,,,,,,80.0,,Met,81.0,80.0,B,82.0,75.0,Met,Met,76.7,82.1
450341,,ALL,,,,,,,,,70.0,,67.0,,74.0,,67.0,,82.0,,95.0,1.0,92.0,,78.0,,Exceeded,100.0,83.0,B,,,,,,
450342,,ALL,71.0,,B,77.0,,B,89.0,,95.0,1.0,,,,,,,,,,,,,77.0,,Met,73.6,76.0,B,70.0,77.0,NotMet,Met,64.2,80.1
450343,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450344,,ALL,71.0,,B,55.0,,C,73.0,,,,,,,,,,,,,,,,64.0,,Met,80.6,68.0,C,71.0,61.0,Met,Met,70.8,84.9
450346,,ALL,58.0,,C,54.0,,C,81.0,,,,,,,,,,,,,,,,59.0,,Met,83.9,64.0,C,62.0,59.0,Met,Met,78.5,81.6
450352,,ALL,,,,,,,,,70.0,,73.0,,61.0,,69.0,,80.0,,95.0,1.0,95.0,1.0,78.0,,NotMet,58.8,74.0,B,,,,,,
450354,,ALL,,,,,,,,,95.0,1.0,95.0,1.0,95.0,1.0,95.0,1.0,,,95.0,1.0,95.0,1.0,95.0,1.0,Exceeded,94.6,99.0,A,,,,,,
460308,,ALL,36.0,,D,35.0,,D,40.0,,,,,,,,,,,,,,,,36.0,,NotMet,62.2,41.0,D,44.0,42.0,Met,NotMet,74.3,68.3
460312,,ALL,47.0,,D,38.0,,D,,,,,,,,,,,,,,,,,42.0,,Met,73.1,48.0,D,47.0,45.0,,Met,,73.1
460318,,ALL,26.0,,F,39.0,,D,72.0,,83.0,,,,,,,,,,,,,,43.0,,NotMet,59.7,46.0,D,31.0,46.0,NotMet,Met,53.5,74.3
460320,,ALL,,,,,,,,,19.0,,41.0,,49.0,,29.0,,46.0,,95.0,1.0,78.0,,51.0,,Exceeded,90.9,59.0,C,,,,,,
460322,,ALL,,,,,,,,,72.0,,79.0,,79.0,,72.0,,70.0,,95.0,1.0,95.0,1.0,81.0,,Exceeded,86.9,82.0,B,,,,,,
460332,,ALL,35.0,,D,38.0,,D,44.0,,,,,,,,,,,,,,,,37.0,,NotMet,59.8,42.0,D,40.0,44.0,NotMet,NotMet,63.3,67.6
460340,,ALL,,,,,,,,,44.0,,73.0,,86.0,,26.0,,67.0,,95.0,1.0,95.0,1.0,70.0,,Met,82.0,73.0,B,,,,,,
470310,,ALL,73.0,,B,65.0,,C,73.0,,,,,,,,,,,,,,,,70.0,,Met,81.1,72.0,B,73.0,68.0,Met,Met,74.2,82.3
470312,,ALL,,,,,,,,,67.0,,47.0,,44.0,,37.0,,51.0,,95.0,1.0,80.0,,62.0,,Exceeded,92.1,68.0,C,,,,,,
470316,,ALL,72.0,,B,51.0,,C,83.0,,,,,,,,,,,,,,,,64.0,,Exceeded,86.2,68.0,C,76.0,56.0,Exceeded,Met,91.9,76.6
470320,,ALL,37.0,,D,45.0,,D,81.0,,87.0,,,,,,,,,,,,,,49.0,,NotMet,69.3,53.0,D,42.0,51.0,NotMet,Met,59.0,76.4
470328,,ALL,48.0,,D,36.0,,D,50.0,,,,,,,,,,,,,,,,43.0,,Met,74.9,49.0,D,52.0,45.0,NotMet,Met,67.3,81.7
470330,,ALL,58.0,,C,33.0,,D,80.0,,,,,,,,,,,,,,,,50.0,,Met,83.1,57.0,C,63.0,43.0,Met,Met,82.3,80.3
470332,,ALL,44.0,,D,52.0,,C,69.0,,94.0,,,,,,,,,,,,,,54.0,,Met,73.9,58.0,C,51.0,56.0,Met,Met,79.4,70.4
470336,,ALL,60.0,,C,52.0,,C,60.0,,,,,,,,,,,,,,,,56.0,,Met,84.1,62.0,C,63.0,59.0,Met,Exceeded,75.3,86.5
470340,,ALL,75.0,,B,69.0,,B,84.0,,,,,,,,,,,,,,,,74.0,,NotMet,67.9,72.0,B,72.0,71.0,NotMet,Met,58.7,80.6
470342,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470346,,ALL,65.0,,C,51.0,,C,61.0,,,,,,,,,,,,,,,,58.0,,NotMet,60.4,59.0,C,64.0,55.0,NotMet,Met,59.5,71.3
470441,,ALL,56.0,,C,44.0,,D,52.0,,,,,,,,,,,,,,,,50.0,,Met,76.1,55.0,C,62.0,49.0,Exceeded,Met,85.0,71.5
470442,,ALL,55.0,,C,56.0,,C,77.0,,95.0,1.0,,,,,,,,,,,,,61.0,,Met,81.3,65.0,C,60.0,61.0,Met,Met,79.2,79.8
470443,,ALL,,,,,,,,,86.0,,88.0,,93.0,,79.0,,,,95.0,1.0,95.0,,90.0,,Exceeded,90.2,90.0,A,,,,,,
480306,,ALL,48.0,,D,49.0,,D,81.0,,,,,,,,,,,,,,,,53.0,,Met,77.0,58.0,C,54.0,53.0,Met,Met,77.9,72.4
480316,,ALL,80.0,,B,79.0,,B,89.0,,64.0,,93.0,,89.0,,86.0,,,,83.0,,94.0,,82.0,,NotMet,66.3,79.0,B,78.0,78.0,Met,Met,71.2,73.8
480318,,ALL,30.0,,F,47.0,,D,62.0,,48.0,,83.0,,68.0,,24.0,,40.0,,95.0,1.0,95.0,,55.0,,Met,70.6,58.0,C,39.0,50.0,Met,NotMet,76.1,63.0
