agency_code,dance_cat_arts,music_cat_arts,theatre_cat_arts,va_cat_arts
340495,Y,Y,Y,Y
340496,Y,Y,Y,Y
340504,N,Y,N,Y
340508,N,Y,N,Y
340512,N,Y,N,Y
340514,N,Y,N,Y
340516,N,Y,N,Y
340520,N,Y,N,Y
340528,N,Y,N,Y
340530,N,Y,N,Y
340531,N,Y,N,Y
340532,N,Y,N,Y
340536,N,Y,N,Y
340540,N,Y,N,Y
340542,Y,Y,Y,Y
340544,N,Y,N,Y
340548,N,Y,N,Y
340556,Y,Y,Y,Y
340560,N,Y,N,Y
340564,N,Y,N,Y
340568,Y,Y,N,Y
34B000,N,Y,N,Y
34D000,N,Y,Y,N
34F000,N,Y,N,Y
34G000,Y,Y,N,Y
34H000,Y,Y,Y,Y
34Z000,N,Y,N,Y
350304,N,Y,N,Y
350308,N,Y,N,Y
350310,N,Y,N,Y
350312,N,Y,N,Y
350316,N,Y,N,Y
350317,N,Y,N,Y
350318,N,Y,N,Y
350321,N,Y,Y,Y
350324,N,Y,Y,Y
350330,N,Y,N,Y
350331,N,Y,N,Y
350332,N,Y,N,Y
350336,N,Y,N,Y
350338,N,Y,N,Y
350339,N,Y,N,Y
350340,N,Y,N,Y
35A000,N,Y,N,Y
35B000,N,Y,N,Y
360310,N,Y,Y,Y
360320,N,Y,N,Y
360324,N,Y,N,Y
360332,N,Y,N,Y
360336,N,Y,N,Y
360337,N,N,N,Y
360338,N,Y,N,Y
360339,N,Y,N,Y
360340,N,Y,N,Y
360344,N,Y,N,Y
360348,N,Y,N,Y
360352,N,Y,N,Y
360360,N,Y,Y,Y
360364,N,Y,N,Y
360372,N,Y,N,Y
360376,N,Y,N,Y
360378,N,Y,Y,Y
360380,N,Y,N,Y
360390,Y,Y,Y,Y
360392,N,Y,N,Y
360394,N,Y,N,Y
360396,N,Y,Y,Y
360400,N,Y,N,Y
360408,N,Y,N,Y
360418,N,Y,Y,Y
360420,N,Y,N,Y
360426,N,Y,N,Y
360428,Y,Y,Y,Y
360430,N,Y,N,Y
360431,N,Y,N,Y
360432,N,Y,N,Y
360436,N,Y,N,Y
