agency_code,career_only_cte_end_cte_enroll,career_college_college_unc_cte_end_cte_enroll,college_college_unc_only_cte_end_cte_enroll,college_only_cte_end_cte_enroll,global_language_cte_end_cte_enroll
920445,0.0,107.0,319.0,6.0,54.0
920455,0.0,84.0,317.0,14.0,74.0
920466,0.0,26.0,199.0,8.0,9.0
920473,0.0,91.0,431.0,18.0,100.0
920495,0.0,98.0,336.0,8.0,65.0
920500,0.0,96.0,201.0,30.0,94.0
920518,0.0,2.0,4.0,0.0,1.0
920526,0.0,227.0,303.0,5.0,116.0
920528,0.0,0.0,3.0,0.0,
920546,0.0,111.0,320.0,17.0,23.0
920552,0.0,72.0,245.0,8.0,24.0
920556,0.0,1.0,9.0,3.0,2.0
920562,0.0,46.0,146.0,4.0,9.0
920581,0.0,22.0,40.0,1.0,5.0
920582,0.0,0.0,28.0,1.0,
920583,0.0,0.0,3.0,2.0,
920588,0.0,90.0,348.0,16.0,90.0
920595,0.0,79.0,305.0,5.0,53.0
92F000,0.0,4.0,97.0,0.0,46.0
92G000,0.0,0.0,67.0,0.0,2.0
92K000,,,,,67.0
92P000,0.0,1.0,31.0,7.0,
92T000,0.0,0.0,37.0,0.0,2.0
92U000,0.0,0.0,35.0,0.0,1.0
930352,0.0,14.0,34.0,0.0,
940316,0.0,16.0,32.0,0.0,
950336,0.0,34.0,146.0,14.0,33.0
950338,2.0,28.0,17.0,7.0,1.0
960324,0.0,88.0,105.0,17.0,2.0
960330,0.0,53.0,109.0,7.0,1.0
960335,0.0,8.0,36.0,6.0,2.0
960372,0.0,48.0,31.0,7.0,1.0
960380,8.0,52.0,69.0,15.0,
960386,0.0,37.0,25.0,6.0,
960700,0.0,6.0,23.0,0.0,
970320,0.0,54.0,43.0,4.0,6.0
970356,6.0,37.0,32.0,13.0,2.0
970388,7.0,70.0,37.0,24.0,
970390,2.0,57.0,70.0,13.0,27.0
970393,0.0,2.0,31.0,2.0,8.0
980318,0.0,16.0,53.0,8.0,11.0
980336,0.0,45.0,147.0,8.0,14.0
980342,0.0,36.0,137.0,21.0,5.0
980398,0.0,0.0,54.0,5.0,
990322,15.0,72.0,52.0,16.0,
990326,0.0,31.0,65.0,19.0,4.0
990332,0.0,0.0,33.0,0.0,
995330,0.0,77.0,96.0,30.0,5.0
