year,unit_code,Lea_Name,School_Name,State_Name,category_cd,level,size,lea_size,st_size
2014,380LEA,Graham County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,380LEA,Graham County Schools,,State Of North Carolina,,English II,,14.0,18
2014,380LEA,Graham County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,390LEA,Granville County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,390LEA,Granville County Schools,,State Of North Carolina,,English II,,19.0,18
2014,390LEA,Granville County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,400LEA,Greene County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,400LEA,Greene County Schools,,State Of North Carolina,,English II,,22.0,18
2014,400LEA,Greene County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,410LEA,Guilford County Schools,,State Of North Carolina,,English II,,18.0,18
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,420LEA,Halifax County Schools,,State Of North Carolina,,English II,,15.0,18
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Biology,,19.0,18
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,English II,,19.0,18
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Math I,,19.0,20
2014,422LEA,Weldon City Schools,,State Of North Carolina,,Biology,,12.0,18
2014,422LEA,Weldon City Schools,,State Of North Carolina,,English II,,16.0,18
2014,422LEA,Weldon City Schools,,State Of North Carolina,,Math I,,16.0,20
2014,430LEA,Harnett County Schools,,State Of North Carolina,,Biology,,20.0,18
2014,430LEA,Harnett County Schools,,State Of North Carolina,,English II,,21.0,18
2014,430LEA,Harnett County Schools,,State Of North Carolina,,Math I,,24.0,20
2014,440LEA,Haywood County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,440LEA,Haywood County Schools,,State Of North Carolina,,English II,,17.0,18
2014,440LEA,Haywood County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,450LEA,Henderson County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,450LEA,Henderson County Schools,,State Of North Carolina,,English II,,20.0,18
2014,450LEA,Henderson County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,460LEA,Hertford County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,460LEA,Hertford County Schools,,State Of North Carolina,,English II,,19.0,18
2014,460LEA,Hertford County Schools,,State Of North Carolina,,Math I,,15.0,20
2014,470LEA,Hoke County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,470LEA,Hoke County Schools,,State Of North Carolina,,English II,,16.0,18
2014,470LEA,Hoke County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,480LEA,Hyde County Schools,,State Of North Carolina,,Biology,,13.0,18
2014,480LEA,Hyde County Schools,,State Of North Carolina,,English II,,13.0,18
2014,480LEA,Hyde County Schools,,State Of North Carolina,,Math I,,11.0,20
2014,490LEA,Iredell-Statesville Schools,,State Of North Carolina,,Biology,,18.0,18
2014,490LEA,Iredell-Statesville Schools,,State Of North Carolina,,English II,,19.0,18
2014,490LEA,Iredell-Statesville Schools,,State Of North Carolina,,Math I,,22.0,20
2014,491LEA,Mooresville City Schools,,State Of North Carolina,,Biology,,23.0,18
2014,491LEA,Mooresville City Schools,,State Of North Carolina,,English II,,18.0,18
2014,491LEA,Mooresville City Schools,,State Of North Carolina,,Math I,,25.0,20
2014,500LEA,Jackson County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,500LEA,Jackson County Schools,,State Of North Carolina,,English II,,16.0,18
2014,500LEA,Jackson County Schools,,State Of North Carolina,,Math I,,15.0,20
2014,510LEA,Johnston County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,510LEA,Johnston County Schools,,State Of North Carolina,,English II,,20.0,18
2014,510LEA,Johnston County Schools,,State Of North Carolina,,Math I,,23.0,20
2014,520LEA,Jones County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,520LEA,Jones County Schools,,State Of North Carolina,,English II,,14.0,18
2014,520LEA,Jones County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,530LEA,Lee County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,530LEA,Lee County Schools,,State Of North Carolina,,English II,,18.0,18
2014,530LEA,Lee County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,540LEA,Lenoir County Public Schools,,State Of North Carolina,,Biology,,18.0,18
2014,540LEA,Lenoir County Public Schools,,State Of North Carolina,,English II,,17.0,18
2014,540LEA,Lenoir County Public Schools,,State Of North Carolina,,Math I,,18.0,20
2014,550LEA,Lincoln County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,550LEA,Lincoln County Schools,,State Of North Carolina,,English II,,21.0,18
2014,550LEA,Lincoln County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,560LEA,Macon County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,560LEA,Macon County Schools,,State Of North Carolina,,English II,,16.0,18
2014,560LEA,Macon County Schools,,State Of North Carolina,,Math I,,15.0,20
2014,570LEA,Madison County Schools,,State Of North Carolina,,Biology,,15.0,18
2014,570LEA,Madison County Schools,,State Of North Carolina,,English II,,19.0,18
2014,570LEA,Madison County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,580LEA,Martin County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,580LEA,Martin County Schools,,State Of North Carolina,,English II,,16.0,18
2014,580LEA,Martin County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,590LEA,McDowell County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,590LEA,McDowell County Schools,,State Of North Carolina,,English II,,17.0,18
2014,590LEA,McDowell County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,600LEA,Charlotte-Mecklenburg Schools,,State Of North Carolina,,Biology,,20.0,18
2014,600LEA,Charlotte-Mecklenburg Schools,,State Of North Carolina,,English II,,20.0,18
2014,600LEA,Charlotte-Mecklenburg Schools,,State Of North Carolina,,Math I,,24.0,20
2014,610LEA,Mitchell County Schools,,State Of North Carolina,,Biology,,8.0,18
