year,unit_code,Lea_Name,School_Name,State_Name,category_cd,Part_Targets,percent_met,targets_met,targets_assigned
2014,300LEA,Davie County Schools,,State Of North Carolina,,Science Grade 11,0.417,5,12
2014,300LEA,Davie County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,16,16
2014,300LEA,Davie County Schools,,State Of North Carolina,,The ACT,1.0,12,12
2014,300LEA,Davie County Schools,,State Of North Carolina,,Total Targets,0.891,115,129
2014,310LEA,Duplin County Schools,,State Of North Carolina,,ACT WorkKeys,0.917,11,12
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Current Year EOC,1.0,8,8
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,8,16
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.526,10,19
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Reading Grade 10,0.563,9,16
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.579,11,19
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Science Grade 11,0.429,6,14
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.706,12,17
2014,310LEA,Duplin County Schools,,State Of North Carolina,,The ACT,0.714,10,14
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Total Targets,0.66,99,150
2014,320LEA,Durham Public Schools,,State Of North Carolina,,ACT WorkKeys,0.667,8,12
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Current Year EOC,1.0,11,11
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,10,20
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.636,14,22
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Reading Grade 10,0.45,9,20
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.636,14,22
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Science Grade 11,0.25,5,20
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Science Grades 5 and 8,0.7,14,20
2014,320LEA,Durham Public Schools,,State Of North Carolina,,The ACT,0.3,6,20
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Total Targets,0.58,109,188
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,ACT WorkKeys,0.5,4,8
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Current Year EOC,1.0,7,7
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Mathematics Grade 10,0.5,6,12
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Mathematics Grades 3 through 8,0.5,9,18
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Reading Grade 10,0.75,9,12
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Reading Grades 3 through 8,0.5,9,18
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Science Grade 11,0.5,6,12
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Science Grades 5 and 8,0.5,7,14
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,The ACT,0.417,5,12
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Total Targets,0.543,69,127
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,ACT WorkKeys,0.583,7,12
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Current Year EOC,1.0,11,11
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Mathematics Grade 10,0.65,13,20
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.682,15,22
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Reading Grade 10,0.65,13,20
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.682,15,22
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Science Grade 11,0.6,12,20
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.85,17,20
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,The ACT,0.6,12,20
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Total Targets,0.707,133,188
