agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
49E000,A,8859.03,0.478,0.154,0.28300000000000003,0.066,0.019,0.0,,3251.02,5479.28,128.73
49F000,A,8417.74,0.411,0.095,0.39,0.075,0.029,0.0,,2684.63,5540.41,192.7
49G000,I,8836.2,0.452,0.077,0.348,0.103,0.02,0.0,,2693.71,5774.84,367.65
500LEA,,9990.68,0.594,0.22,0.08800000000000001,0.079,0.019,0.0,,2292.26,6519.23,1179.19
50A000,I,9715.85,0.612,0.14,0.182,0.065,0.001,0.0,,3323.47,6240.29,152.09
50Z000,,,,,,,,,,,,
510LEA,,8719.74,0.615,0.22,0.087,0.07,0.008,0.0,,1978.8,6049.95,690.99
51A000,A,7514.34,0.534,0.194,0.234,0.032,0.006,0.0,,1369.67,5911.95,232.72
520LEA,,14112.78,0.598,0.208,0.097,0.07200000000000001,0.025,0.0,,2183.51,10030.65,1898.62
530LEA,,9367.44,0.619,0.222,0.076,0.066,0.017,0.0,,2162.37,6182.88,1022.19
540LEA,,9413.69,0.573,0.203,0.121,0.093,0.01,0.0,,1380.4,6611.66,1421.63
54A000,I,13351.26,0.423,0.114,0.219,0.233,0.011,0.0,,3518.07,5900.13,3933.06
550LEA,,8187.75,0.645,0.232,0.064,0.057,0.002,0.0,,1695.04,5725.69,767.02
55A000,A,7026.38,0.588,0.151,0.188,0.062,0.011,0.0,,1309.84,5566.53,150.01
560LEA,,9856.62,0.619,0.227,0.07,0.081,0.003,0.0,,2289.98,6545.82,1020.82
570LEA,,10579.94,0.6,0.21600000000000005,0.083,0.097,0.004,0.0,,1646.23,7782.46,1151.25
580LEA,,11498.84,0.612,0.224,0.083,0.075,0.006,0.0,,2088.99,7842.52,1567.33
58B000,T,9381.61,0.503,0.173,0.154,0.076,0.094,0.0,,2128.34,7118.43,134.84
590LEA,,9730.85,0.628,0.225,0.058,0.085,0.004,0.0,,1721.74,6794.73,1214.38
600LEA,,9178.36,0.624,0.213,0.083,0.073,0.006999999999999999,0.0,,2493.6,5721.18,963.58
60B000,A,8918.63,0.64,0.098,0.133,0.104,0.025,0.0,,2786.6,5578.13,553.9
60D000,A,19691.41,0.208,0.077,0.6509999999999999,0.019,0.045,0.0,,14125.96,5426.89,138.56
60F000,I,8735.23,0.58,0.13699999999999998,0.211,0.039,0.033,0.0,,3416.85,5197.4,120.98
60G000,A,7815.95,0.45,0.092,0.412,0.046,0.0,0.0,,2112.86,5532.88,170.21
60I000,A,13617.38,0.348,0.111,0.256,0.016,0.269,0.0,,7809.82,5643.95,163.61
60J000,I,9037.22,0.532,0.171,0.253,0.042,0.002,0.0,,3409.15,5484.23,143.84
60K000,T,8625.07,0.4970000000000001,0.185,0.289,0.029,0.0,0.0,,1762.81,6491.98,370.28
60L000,I,11247.95,0.431,0.156,0.325,0.065,0.023,0.0,,4642.06,5936.05,669.84
60M000,I,8119.27,0.522,0.189,0.245,0.024,0.02,0.0,,2170.82,5788.89,159.56
60N000,E,11372.48,0.486,0.084,0.306,0.105,0.019,0.0,,2535.58,6869.22,1967.68
60P000,I,12318.46,0.523,0.113,0.261,0.098,0.005,0.0,,4002.51,6708.74,1607.21
60Q000,I,8745.11,0.514,0.168,0.278,0.04,0.0,0.0,,2704.05,5764.82,276.24
60S000,A,8189.96,0.547,0.128,0.23,0.081,0.014,0.0,,2491.28,5526.19,172.49
60U000,H,9911.88,0.254,0.063,0.632,0.051,0.0,0.0,,2996.0,6915.88,0.0
60V000,T,10847.2,0.513,0.091,0.303,0.087,0.006,0.0,,3295.92,6853.21,698.07
60Y000,E,12722.58,0.416,0.161,0.28600000000000003,0.022,0.115,0.0,,6377.0,6182.75,162.83
610LEA,,10886.9,0.603,0.21600000000000005,0.094,0.07200000000000001,0.015,0.0,,1606.96,8253.87,1026.07
61J000,I,10755.89,0.5870000000000001,0.106,0.261,0.046,0.0,0.0,,3997.89,6337.6,420.4
61K000,E,9417.15,0.51,0.103,0.344,0.038,0.005,0.0,,2710.86,6381.09,325.2
61L000,H,9308.46,0.35200000000000004,0.036000000000000004,0.575,0.037000000000000005,0.0,0.0,,3160.15,6148.31,0.0
61M000,E,9863.57,0.517,0.103,0.314,0.032,0.034,0.0,,4303.84,5424.23,135.5
61N000,I,7062.84,0.525,0.116,0.28,0.063,0.016,0.0,,1590.62,5390.17,82.05
61P000,E,10486.27,0.565,0.112,0.252,0.071,0.0,0.0,,4470.98,5799.15,216.14
61Q000,I,9089.58,0.424,0.08,0.412,0.064,0.02,0.0,,3443.05,5420.2,226.33
61R000,I,8550.34,0.362,0.11,0.461,0.067,0.0,0.0,,2845.78,5472.96,231.6
61S000,E,8022.47,0.5539999999999999,0.084,0.269,0.077,0.016,0.0,,2481.47,5397.41,143.59
61T000,E,9473.56,0.581,0.107,0.243,0.069,0.0,0.0,,3184.91,5967.52,321.13
61U000,M,9447.44,0.532,0.052000000000000005,0.28300000000000003,0.125,0.008,0.0,,2009.36,6732.76,705.32
620LEA,,10636.21,0.599,0.219,0.076,0.092,0.014,0.0,,2164.16,7052.84,1419.21
630LEA,,9352.77,0.635,0.222,0.061,0.069,0.013,0.0,,2522.49,5893.49,936.79
63A000,E,22489.08,0.17600000000000002,0.058,0.726,0.013,0.027000000000000003,0.0,,16623.25,5699.07,166.76
63B000,A,11066.92,0.385,0.121,0.459,0.028,0.006999999999999999,0.0,,5164.11,5652.91,249.9
640LEA,,9425.28,0.61,0.215,0.08900000000000001,0.076,0.01,0.0,,1714.52,6424.51,1286.25
64A000,A,8275.43,0.517,0.07400000000000001,0.306,0.08800000000000001,0.015,0.0,,1438.77,6351.43,485.23
650LEA,,9914.22,0.627,0.222,0.08199999999999999,0.065,0.004,0.0,,3151.37,5823.23,939.62
65A000,I,8838.55,0.565,0.18,0.201,0.035,0.019,0.0,,2707.29,5957.9,173.36
65B000,I,8792.32,0.569,0.211,0.17,0.041,0.009000000000000001,0.0,,2620.77,5610.93,560.62
65C000,E,11026.98,0.42,0.075,0.457,0.048,0.0,0.0,,3866.62,6297.97,862.39
65D000,I,10728.08,0.557,0.14800000000000002,0.209,0.07200000000000001,0.014,0.0,,4355.5,6083.79,288.79
65F000,E,6836.72,0.469,0.107,0.293,0.121,0.01,0.0,,1216.05,5484.96,135.71
