agency_code,num_concentrators_AAVC,num_concentrators_AGNR,num_concentrators_ARCH,num_concentrators_BMA,num_concentrators_EDUC,num_concentrators_FINA,num_concentrators_HLTH,num_concentrators_HOSP,num_concentrators_HUMA,num_concentrators_INFO,num_concentrators_LAW,num_concentrators_MANU,num_concentrators_MRKT,num_concentrators_STEM,num_concentrators_TRAN
110416,6,20,5,2,0,0,27,15,2,7,75,3,4,0,5
111302,3,1,0,3,0,2,7,10,9,1,9,7,0,0,0
111700,0,0,0,0,0,0,4,3,1,0,3,8,0,0,0
120308,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
120310,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
120314,6,18,28,3,0,0,14,7,5,3,0,1,0,0,0
120318,3,11,12,2,0,0,20,5,0,5,1,6,0,0,3
120346,7,8,7,1,0,0,13,7,1,9,3,1,0,0,0
120370,3,6,8,0,0,0,13,11,0,4,7,1,0,0,8
130307,0,37,26,25,0,0,21,36,2,36,0,2,13,12,7
130310,4,76,38,13,0,2,27,16,2,7,0,1,3,43,1
130314,0,22,12,8,0,0,42,41,1,5,29,0,4,0,0
130316,11,36,25,6,0,0,24,24,7,7,1,3,1,14,10
130317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130324,9,35,5,0,0,0,24,7,4,6,3,0,0,0,6
130326,20,72,13,9,0,0,39,27,8,5,1,6,5,10,22
130332,6,25,11,11,0,1,64,25,5,16,1,4,3,23,16
130333,2,6,5,21,0,0,4,1,0,1,0,0,2,0,0
132304,19,19,28,18,0,0,48,21,11,8,0,12,8,50,2
140305,15,0,1,21,0,0,27,0,0,3,0,2,0,15,0
140348,0,18,21,27,0,0,9,3,6,11,2,0,0,0,2
140386,2,24,57,10,0,0,47,25,7,4,2,2,2,15,16
140390,2,19,15,1,0,0,20,14,1,1,0,1,0,2,6
150304,0,13,6,0,0,0,25,7,0,0,0,0,0,5,0
150350,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
160313,4,42,11,3,0,0,1,9,1,0,0,0,0,0,0
160314,0,34,12,2,0,0,4,27,0,3,0,0,0,7,0
160344,1,22,11,6,0,0,2,24,0,4,0,0,2,7,0
170316,0,55,6,22,0,0,7,45,6,3,6,10,10,0,29
180308,9,48,5,2,0,0,13,23,6,4,0,23,2,0,0
180320,15,17,3,12,0,0,25,2,1,15,0,28,0,0,0
180323,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
180325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180340,0,18,11,2,0,0,23,14,1,21,0,4,0,1,0
180348,3,3,8,6,0,0,23,20,5,21,1,2,3,0,17
180376,2,7,27,14,0,0,27,3,3,9,0,16,4,5,0
181318,16,1,0,7,0,0,0,8,0,1,8,0,4,0,0
181322,3,24,8,6,0,0,8,31,0,9,1,0,4,0,7
182316,4,17,22,0,0,0,24,2,2,7,0,2,0,0,0
182700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
