agency_code,welcome_url
040311,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040316,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040324,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040328,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040330,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
080311,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
080312,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
080314,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
080348,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
080356,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
080360,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
080362,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
100302,https://www.bcswan.net/domain/41
100304,https://www.bcswan.net/domain/41
100307,https://www.bcswan.net/domain/41
100308,https://www.bcswan.net/domain/41
100309,https://www.bcswan.net/domain/41
100310,https://www.bcswan.net/domain/41
100316,https://www.bcswan.net/domain/41
100320,https://www.bcswan.net/domain/41
100326,https://www.bcswan.net/domain/41
100332,https://www.bcswan.net/domain/41
100334,https://www.bcswan.net/domain/41
100335,https://www.bcswan.net/domain/41
100336,https://www.bcswan.net/domain/41
100338,https://www.bcswan.net/domain/41
100339,https://www.bcswan.net/domain/41
100340,https://www.bcswan.net/domain/41
100342,https://www.bcswan.net/domain/41
100344,https://www.bcswan.net/domain/41
100348,https://www.bcswan.net/domain/41
140304,https://www.caldwellschools.com/Page/2218
140305,https://www.caldwellschools.com/Page/2218
140306,https://www.caldwellschools.com/Page/2218
140307,https://www.caldwellschools.com/Page/2218
140308,https://www.caldwellschools.com/Page/2218
140309,https://www.caldwellschools.com/Page/2218
140312,https://www.caldwellschools.com/Page/2218
140316,https://www.caldwellschools.com/Page/2218
140324,https://www.caldwellschools.com/Page/2218
140332,https://www.caldwellschools.com/Page/2218
140336,https://www.caldwellschools.com/Page/2218
140340,https://www.caldwellschools.com/Page/2218
140344,https://www.caldwellschools.com/Page/2218
140348,https://www.caldwellschools.com/Page/2218
140352,https://www.caldwellschools.com/Page/2218
140356,https://www.caldwellschools.com/Page/2218
140360,https://www.caldwellschools.com/Page/2218
140368,https://www.caldwellschools.com/Page/2218
140372,https://www.caldwellschools.com/Page/2218
140376,https://www.caldwellschools.com/Page/2218
140384,https://www.caldwellschools.com/Page/2218
140386,https://www.caldwellschools.com/Page/2218
140388,https://www.caldwellschools.com/Page/2218
140390,https://www.caldwellschools.com/Page/2218
140392,https://www.caldwellschools.com/Page/2218
140396,https://www.caldwellschools.com/Page/2218
150304,https://ccsnc.org/information/report-card/
150308,https://ccsnc.org/information/report-card/
150310,https://ccsnc.org/information/report-card/
150312,https://ccsnc.org/information/report-card/
150350,https://ccsnc.org/information/report-card/
170316,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
170334,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
170338,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
170339,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
170342,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
170344,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
182304,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
182316,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
182321,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
182322,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
182324,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
182328,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
182700,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
210304,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
210306,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
210312,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
210316,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
220308,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
220310,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
220312,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
230304,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230308,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230312,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230316,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230320,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230322,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230324,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230328,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230330,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230334,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230336,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230340,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230342,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230344,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230346,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230348,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230350,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230351,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230352,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230355,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230357,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230359,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230361,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
230362,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
