agency_code,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
360482,1.0,,0.056,0.278,1.0,0.389,0.111,0.611,0.056,,0.0,0.5
360488,1.0,,0.028,0.333,1.0,0.444,0.139,0.556,,,0.0,0.5
360499,1.0,,0.012,0.099,1.0,0.444,0.025,0.556,0.012,,0.012,0.852
360504,1.0,,,0.095,1.0,0.5479999999999999,0.14300000000000002,0.452,0.024,,0.024,0.738
360510,1.0,,0.111,0.056,1.0,0.444,0.16699999999999998,0.556,,,0.0,0.667
360LEA,1.0,,0.02,0.149,1.0,0.475,0.18600000000000005,0.525,0.036000000000000004,,0.011,0.609
370316,1.0,,,0.294,1.0,0.382,,0.618,0.206,,0.0,0.5
370LEA,1.0,,,0.294,1.0,0.382,,0.618,0.206,,0.0,0.5
380306,1.0,0.162,,,1.0,0.405,0.027000000000000003,0.595,,,0.0,0.8109999999999999
380308,1.0,0.125,,,1.0,0.438,,0.563,,,0.0,0.875
380LEA,1.0,0.151,,,1.0,0.415,0.019,0.585,,,0.0,0.83
390311,1.0,,,0.211,1.0,0.579,0.579,0.421,0.105,,0.0,0.105
390316,1.0,,,0.444,1.0,0.444,0.278,0.556,,,0.0,0.278
390333,1.0,,0.045,0.182,1.0,0.455,0.091,0.545,,,0.0,0.682
390336,1.0,,,0.444,1.0,0.556,0.111,0.444,0.056,,0.0,0.389
390360,1.0,,,0.278,1.0,0.389,0.222,0.611,0.056,,0.0,0.444
390362,1.0,,0.118,0.235,1.0,0.529,0.118,0.471,0.059,,0.0,0.471
390364,1.0,,0.054000000000000006,0.35100000000000003,1.0,0.378,0.324,0.622,0.027000000000000003,,0.0,0.243
390LEA,1.0,,0.034,0.309,1.0,0.463,0.255,0.537,0.04,,0.0,0.362
410304,1.0,0.056,0.16699999999999998,0.444,1.0,0.5,0.056,0.5,,,0.0,0.278
410307,1.0,,,0.28600000000000003,1.0,0.457,0.314,0.5429999999999999,,,0.0,0.4
410310,1.0,,0.345,0.172,1.0,0.483,0.241,0.517,0.034,,0.0,0.207
410322,1.0,,0.467,0.267,1.0,0.4,0.2,0.6,,0.067,0.0,
410328,1.0,0.024,,0.69,1.0,0.405,0.214,0.595,0.024,,0.0,0.048
410334,1.0,,,0.8059999999999999,1.0,0.5,0.139,0.5,,,0.0,0.056
410340,1.0,,,0.229,1.0,0.5429999999999999,0.114,0.457,,,0.0,0.657
410346,1.0,,0.25,0.2,1.0,0.6,0.15,0.4,,,0.0,0.4
410349,1.0,,,0.75,1.0,0.25,0.1,0.75,,,0.0,0.15
410361,1.0,,,0.722,1.0,0.556,0.14800000000000002,0.444,0.019,,0.0,0.111
410364,1.0,,0.095,0.5710000000000001,1.0,0.619,0.238,0.381,,,0.0,0.095
410366,1.0,,0.056,0.611,1.0,0.389,0.333,0.611,,,0.0,
410370,1.0,0.059,0.294,0.412,1.0,0.235,0.059,0.765,,,0.0,0.17600000000000002
410373,1.0,,0.133,0.267,1.0,0.333,0.5329999999999999,0.667,,,0.0,0.067
410376,1.0,,0.111,0.444,1.0,0.5,0.333,0.5,,,0.0,0.111
410379,1.0,,0.029,0.529,1.0,0.412,0.118,0.588,0.029,,0.029,0.294
410382,1.0,,0.056,0.278,1.0,0.389,0.056,0.611,0.222,,0.0,0.389
410385,1.0,,,0.8240000000000001,1.0,0.353,0.118,0.647,0.059,,0.0,
410400,1.0,,,0.448,1.0,0.345,0.241,0.655,0.069,,0.0,0.241
410403,1.0,,,0.838,1.0,0.514,0.108,0.486,,,0.0,0.054000000000000006
410409,1.0,,0.075,0.321,1.0,0.472,0.547,0.528,,,0.0,0.057
410412,1.0,,0.267,0.133,1.0,0.333,0.4,0.667,,,0.0,0.2
