agency_code,pct_ALL_CHRON_ABSENT,pct_AM7_CHRON_ABSENT,pct_AS7_CHRON_ABSENT,pct_BL7_CHRON_ABSENT,pct_ELS_CHRON_ABSENT,pct_FEM_CHRON_ABSENT,pct_HI7_CHRON_ABSENT,pct_MALE_CHRON_ABSENT,pct_MU7_CHRON_ABSENT,pct_PI7_CHRON_ABSENT,pct_SWD_CHRON_ABSENT,pct_WH7_CHRON_ABSENT
410534,1.7058,,,1.1764,,0.5294,0.1176,1.1764,0.1764,,0.2941,0.2352
410535,0.1728,,,0.0806,0.0092,0.076,0.0276,0.0967,0.0092,,0.0506,0.0552
410538,0.1809,,0.0019,0.1089,0.0214,0.0719,0.0428,0.1089,0.0116,0.0019,0.0252,0.0136
410541,0.1534,,0.0074,0.0519,0.0123,0.0767,0.0222,0.0767,0.0148,,0.0272,0.0569
410542,0.0801,,,0.0419,,0.0305,0.0133,0.0496,0.0076,0.0019,0.019,0.0152
410544,0.3809,0.0042,0.0176,0.1799,0.0538,0.1808,0.132,0.2001,0.0176,0.0042,0.0756,0.0252
410545,0.0825,,0.0097,0.0436,0.0048,0.0339,0.0194,0.0485,0.0097,,0.0097,
410547,0.2105,0.0022,0.003,0.043,0.0045,0.1041,0.0226,0.1064,0.0075,,0.0483,0.132
410550,0.1363,0.0021,0.0021,0.0126,0.001,0.0623,0.0147,0.0739,0.0084,,0.0327,0.0961
410553,0.1447,0.0033,,0.0067,0.0437,0.0875,0.0707,0.0572,0.0067,,0.0336,0.0572
410556,0.2936,0.0037,0.0232,0.092,0.0399,0.131,0.0892,0.1626,0.0139,,0.052000000000000005,0.0715
410559,0.0476,,0.0088,0.0033,0.0099,0.0232,0.0055,0.0243,0.0022,,0.0088,0.0277
410562,0.1253,0.0006,0.0089,0.0547,0.0095,0.0559,0.0095,0.0693,0.0057,,0.0216,0.0458
410565,0.168,,0.0067,0.0705,0.0084,0.0831,0.0126,0.0848,0.0109,,0.0277,0.0672
410568,0.0526,,,0.0175,0.005,0.03,0.005,0.0225,,,0.0125,0.03
410571,0.1046,,,0.0018,0.0018,0.0429,0.0093,0.0616,0.0056,,0.0168,0.0878
410574,0.0507,0.0015,0.0015,0.003,0.0015,0.0323,0.0092,0.0184,0.0092,,0.0092,0.0261
410577,0.1677,0.0032,,0.0937,0.0098,0.0773,0.0296,0.0904,0.0115,,0.0213,0.0296
410578,0.0933,,0.0045,0.0706,0.0091,0.0523,0.0045,0.041,0.0045,,0.0205,0.0091
410579,0.0099,,,0.0099,,0.0099,,,,,,
410580,0.1599,0.0018,0.011,0.0955,0.0165,0.0827,0.0275,0.0772,0.011,,0.0202,0.0128
410583,0.1645,,,0.1212,0.0086,0.0779,0.0216,0.0865,0.0129,,0.0259,0.0086
410586,0.1329,,,0.1234,0.0031,0.0601,0.0063,0.0727,,,0.0158,0.0031
410589,0.1381,,,0.0131,,0.1085,0.0098,0.0296,0.0164,,,0.0986
410592,0.2758,,0.0086,0.1752,0.0201,0.1379,0.0402,0.1379,0.0143,,0.0402,0.0373
410595,0.2459,0.0024,0.0016,0.095,0.0139,0.1295,0.0606,0.1163,0.0188,0.0008,0.0401,0.0663
410598,0.3797,,,0.3379,0.0174,0.1672,0.0383,0.2125,,,0.0871,0.0034
410LEA,0.1829,0.0022,0.0087,0.0889,0.017,0.08800000000000001,0.0321,0.0957,0.0095,0.0018,0.0363,0.047
41B000,0.0517,,0.0013,0.0053,,0.0278,0.0039,0.0239,,,0.0106,0.0411
41C000,0.1044,,,0.0923,,0.0642,0.008,0.0401,0.004,,0.012,
41D000,0.1706,0.0032,0.0153,0.047,0.0043,0.0787,0.0098,0.0919,0.0164,,0.0393,0.0787
41F000,0.1178,,0.0016,0.0652,0.0066,0.0484,0.025,0.0693,0.0066,,0.0167,0.0192
41G000,0.0914,0.0009,0.0018,0.0102,,0.0382,0.0074,0.0531,0.0065,,0.0111,0.0643
41H000,0.1236,,,0.1021,0.0017,0.0627,0.0089,0.0609,0.0125,,0.0143,
