agency_code,highqual_class_pct_A,highqual_class_pct_E,highqual_class_pct_H,highqual_class_pct_I,highqual_class_pct_M,highqual_class_pct_T
260326,,0.86,,,,
260332,,1.0,,,,
260336,,,,,0.924,
260338,,0.8690000000000001,,,,
260340,,0.838,,,,
260342,,0.929,,,,
260344,,0.857,,,,
260347,,,1.0,,,
260348,,0.97,,,,
260352,,0.986,,,,
260354,,,1.0,,,
260356,,1.0,,,,
260357,,,0.955,,,
260358,,,,,0.8440000000000001,
260359,,,0.841,,,
260361,,0.957,,,,
260362,,,,,0.899,
260363,,1.0,,,,
260364,,0.922,,,,
260365,,,,,0.991,
260366,,1.0,,,,
260367,,1.0,,,,
260368,,,,,0.916,
260369,,,,,0.961,
260370,,1.0,,,,
260371,,,,,1.0,
260372,,,,,0.732,
260373,,1.0,,,,
260374,,,1.0,,,
260375,,0.963,,,,
260380,,1.0,,,,
260382,,0.846,,,,
260383,,,,,0.907,
260386,,0.9,,,,
260388,,,1.0,,,
260396,,0.989,,,,
260397,,0.901,,,,
260398,,0.933,,,,
260400,,0.963,,,,
260401,,0.994,,,,
260402,,0.89,,,,
260403,,0.953,,,,
260404,,0.989,,,,
260405,,0.992,,,,
260406,,,,,0.894,
260407,,0.974,,,,
260408,,,0.901,,,
260410,,0.986,,,,
260411,,,1.0,,,
260412,,1.0,,,,
260413,,,,,0.7170000000000001,
260414,,1.0,,,,
260415,,0.974,,,,
260416,,1.0,,,,
260417,,,,,0.991,
260418,,,,,0.923,
260419,,,,,1.0,
260424,,,0.8240000000000001,,,
260425,,,,,0.722,
260426,,0.962,,,,
260427,,,0.898,,,
260428,,,,,0.7929999999999999,
260430,,0.942,,,,
260432,,1.0,,,,
260434,,1.0,,,,
260440,,0.973,,,,
260444,,1.0,,,,
260446,,,0.918,,,
260448,,0.982,,,,
260449,,,0.6859999999999999,,,
260450,,0.926,,,,
260452,,1.0,,,,
260454,,,,,0.821,
260455,,,0.7490000000000001,,,
260459,,0.963,,,,
260700,,,1.0,,,
260LEA,,0.962,0.924,,0.8809999999999999,
26B000,,,,0.4370000000000001,,
26C000,,0.612,,,,
270304,,1.0,,,,
270306,,,0.92,,,
270308,,,,,0.812,
270309,,0.99,,,,
270310,,1.0,,,,
270311,,,1.0,,,
270312,,1.0,,,,
270316,,1.0,,,,
270318,,,,,0.97,
270320,,0.985,,,,
270LEA,,0.996,0.942,,0.912,
27A000,,0.28600000000000003,,,,
280302,,1.0,,,,
280304,,,,,,0.93
280306,,,1.0,,,
280308,,0.981,,,,
280310,,0.988,,,,
280312,,0.995,,,,
280316,,,0.989,,,
280320,,,,,0.8390000000000001,
280324,,0.926,,,,
280328,,,,,0.968,
280330,,,0.984,,,
280LEA,,0.981,0.986,,0.914,0.929
290302,,0.947,,,,
290306,,1.0,,,,
290307,,0.994,,,,
290308,,,1.0,,,
290309,,,,,0.936,
290310,0.983,,,,,
290312,,1.0,,,,
290314,,,,,,1.0
290315,,,1.0,,,
290316,,1.0,,,,
290320,,1.0,,,,
290322,,,,,1.0,
290324,,,0.985,,,
290328,,1.0,,,,
290330,,0.992,,,,
290332,,1.0,,,,
290333,,1.0,,,,
290334,,,,,0.941,
290336,,,0.987,,,
290344,,0.987,,,,
290348,,,0.98,,,
290350,,,,,0.976,
290351,,,,,1.0,
290352,,0.986,,,,
290356,,1.0,,,,
290364,,1.0,,,,
290365,,,0.961,,,
290366,,0.97,,,,
290367,,,,,1.0,
290375,,1.0,,,,
290376,,,,,0.984,
290380,,1.0,,,,
290384,,1.0,,,,
290388,,,1.0,,,
290389,,,1.0,,,
290LEA,0.983,0.993,0.987,,0.973,1.0
291308,,1.0,,,,
291332,,,,,0.913,
291336,,,1.0,,,
291340,,1.0,,,,
291348,,1.0,,,,
291350,1.0,,,,,
291352,,1.0,,,,
291LEA,1.0,1.0,1.0,,0.913,
292316,,0.947,,,,
292318,,1.0,,,,
292320,,,,,0.962,
292324,,,0.944,,,
292LEA,,0.984,0.944,,0.962,
300308,,1.0,,,,
300310,,0.968,,,,
300312,,,0.965,,,
300314,,,1.0,,,
300320,,0.965,,,,
300325,,,,,0.992,
300326,,0.945,,,,
300328,,1.0,,,,
300330,,,,,0.917,
300336,,0.989,,,,
300337,,,,,0.9,
300LEA,,0.978,0.967,,0.933,
310304,,,,0.997,,
310308,,,,0.984,,
310324,,,,,0.96,
310330,,,,0.987,,
310336,,1.0,,,,
310338,,,1.0,,,
310340,,,,,0.927,
