agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_SWD_MCR,pct_WH7_MCR
920441,95.0,95.0,,95.0,95.0,91.7,95.0,,95.0,94.3,,95.0,,95.0,66.7,95.0
920445,95.0,90.7,,94.4,86.5,77.6,66.7,,93.8,79.4,,87.9,,85.7,54.3,95.0
920455,95.0,95.0,,90.0,92.9,89.1,80.0,,95.0,95.0,,94.6,,90.5,71.2,95.0
920466,95.0,91.2,,,92.7,90.2,82.9,,95.0,88.0,,84.8,,95.0,62.5,89.1
920473,95.0,91.2,,95.0,78.7,70.9,65.0,,92.3,80.0,,89.9,,95.0,40.0,95.0
920495,95.0,89.9,,,74.3,77.8,63.3,,93.9,80.9,,86.6,,93.3,49.2,95.0
920500,95.0,91.2,,94.4,83.4,78.6,72.2,,92.5,89.7,,89.8,,85.0,47.9,95.0
920526,95.0,95.0,,95.0,94.4,87.1,95.0,,95.0,95.0,,95.0,,95.0,56.5,95.0
920528,,87.1,,,88.9,91.7,,,85.7,,,90.0,,,,
920546,95.0,92.8,,95.0,93.3,88.0,70.7,,94.4,84.7,,91.2,,95.0,72.7,95.0
920552,95.0,90.5,,,85.7,84.1,72.4,,91.4,84.5,,89.4,,83.3,61.5,94.1
920556,46.2,18.9,,,22.0,21.4,17.6,,23.5,14.9,,14.1,,,5.0,21.1
920562,95.0,74.3,,,72.1,68.8,53.3,,81.6,71.2,,67.7,,,42.6,91.3
920581,,92.9,,,94.1,95.0,,,95.0,95.0,,85.2,,,83.3,88.9
920582,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0
920583,95.0,95.0,,,95.0,,,,95.0,95.0,,95.0,,,,95.0
920585,95.0,95.0,,,95.0,,,,,,,95.0,,,,
920586,,95.0,,,95.0,95.0,,,95.0,,,,,,,
920588,95.0,93.3,,95.0,87.0,88.8,83.3,,95.0,84.8,,91.4,,94.4,63.9,95.0
920595,95.0,89.6,,92.6,86.9,81.3,78.6,,93.3,83.8,,85.3,,95.0,69.0,92.0
920LEA,95.0,90.2,90.9,95.0,84.2,80.6,71.2,63.6,92.5,81.6,67.0,87.9,93.0,89.9,55.3,94.6
92F000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
92G000,93.3,95.0,,,,,,,95.0,,,93.3,,,,95.0
92K000,,95.0,,95.0,,,,,95.0,,,95.0,,,,95.0
92P000,,84.6,,,,,,,95.0,,,76.7,,,33.3,86.7
92U000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
930352,95.0,95.0,,,95.0,93.5,,,95.0,,,94.6,,,54.5,90.0
930360,,95.0,,,,,,,,,,,,,,
930700,,95.0,,,95.0,,,,95.0,,,95.0,,,,
930LEA,95.0,95.0,,,95.0,94.8,,,95.0,95.0,,95.0,,,61.5,95.0
93A000,,92.9,91.7,,,,,,,,,,,,,
93L000,,30.0,,,16.7,20.0,,,34.8,44.4,,25.9,,,,
940308,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
940316,,94.4,,,95.0,94.1,,,95.0,,,92.3,,,,
940LEA,95.0,95.0,,,95.0,95.0,,,95.0,,,94.5,,,71.4,94.1
94Z000,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
950336,95.0,95.0,,,,90.5,,,95.0,90.9,,94.2,,81.8,71.0,95.0
950338,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,95.0,95.0
950LEA,95.0,95.0,,,,93.8,,,95.0,93.3,,95.0,,83.3,78.6,95.0
960324,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,94.4,,64.7,95.0
960330,95.0,94.0,,,93.1,91.8,80.0,,95.0,88.9,,91.6,93.3,,52.6,95.0
960332,,5.0,,,,,,,,,,,,,5.0,
960335,,88.7,,,88.5,90.0,,,89.2,,,88.1,,,38.9,
960372,95.0,91.7,,,90.5,82.1,,,94.1,76.9,,90.0,,,35.7,93.8
960380,95.0,95.0,,,92.2,95.0,88.9,,95.0,95.0,,94.3,,,45.0,95.0
960386,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,95.0,,,70.0,94.2
960488,,84.6,,,,,,,,,,80.0,,,,
960490,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
960700,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0
960LEA,95.0,94.0,,95.0,90.6,92.3,92.1,,95.0,95.0,81.8,92.5,95.0,95.0,45.8,95.0
970320,95.0,95.0,,,,90.0,,,95.0,,,95.0,,,,95.0
970356,95.0,88.7,,,,84.0,,,93.5,95.0,,83.9,,,29.2,87.6
970388,95.0,95.0,,,,89.7,,,95.0,95.0,,95.0,,,73.7,95.0
970390,95.0,85.0,,,78.3,84.1,95.0,,91.3,87.5,,78.1,,90.0,17.2,84.9
970393,,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
970LEA,95.0,91.6,,,76.0,86.6,95.0,,94.7,93.1,88.2,88.8,,85.7,38.3,92.1
980306,,41.7,,,,,,,,,,,,,,
980318,95.0,93.0,,,92.9,91.8,,,95.0,85.4,,90.2,,,,95.0
980336,95.0,77.7,,,70.5,62.3,,,81.1,69.2,,74.1,,,10.5,87.3
980342,95.0,91.6,,,89.7,88.3,75.0,,94.2,87.5,,88.9,,,57.1,94.2
980398,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0
980LEA,95.0,87.0,,90.0,83.4,80.9,53.3,,89.9,83.5,,83.9,,93.3,32.0,92.5
990322,95.0,91.0,,,,78.9,73.3,,91.6,85.4,,90.4,,,41.7,94.3
990326,95.0,90.8,,,,84.6,,,91.0,86.7,,90.5,,,45.0,93.0
990332,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
990LEA,95.0,91.3,,,66.7,82.1,73.9,,91.7,88.2,,90.9,,,42.9,93.8
995330,95.0,94.7,,,,92.5,,,95.0,91.7,,92.1,,,52.6,94.8
995LEA,95.0,94.7,,,,92.5,,,95.0,91.7,,92.1,,,52.6,94.8
NC-SEA,95.0,92.9,93.2,95.0,90.0,89.5,86.2,82.4,94.8,92.0,88.8,91.0,95.0,93.1,54.3,94.4
