agency_code,arre_per1000_ALL,arre_per1000_AM7,arre_per1000_AS7,arre_per1000_BL7,arre_per1000_EDS,arre_per1000_ELS,arre_per1000_FEM,arre_per1000_HI7,arre_per1000_MALE,arre_per1000_MU7,arre_per1000_PI7,arre_per1000_SWD,arre_per1000_WH7,blhr_per1000_ALL,blhr_per1000_AM7,blhr_per1000_AS7,blhr_per1000_BL7,blhr_per1000_EDS,blhr_per1000_ELS,blhr_per1000_FEM,blhr_per1000_HI7,blhr_per1000_MALE,blhr_per1000_MU7,blhr_per1000_PI7,blhr_per1000_SWD,blhr_per1000_WH7,crime_per1000_ALL,crime_per1000_AM7,crime_per1000_AS7,crime_per1000_BL7,crime_per1000_EDS,crime_per1000_ELS,crime_per1000_FEM,crime_per1000_HI7,crime_per1000_MALE,crime_per1000_MU7,crime_per1000_PI7,crime_per1000_SWD,crime_per1000_WH7,exp_per1000_ALL,exp_per1000_AM7,exp_per1000_AS7,exp_per1000_BL7,exp_per1000_EDS,exp_per1000_ELS,exp_per1000_FEM,exp_per1000_HI7,exp_per1000_MALE,exp_per1000_MU7,exp_per1000_PI7,exp_per1000_SWD,exp_per1000_WH7,iss_per1000_ALL,iss_per1000_AM7,iss_per1000_AS7,iss_per1000_BL7,iss_per1000_EDS,iss_per1000_ELS,iss_per1000_FEM,iss_per1000_HI7,iss_per1000_MALE,iss_per1000_MU7,iss_per1000_PI7,iss_per1000_SWD,iss_per1000_WH7,lts_per1000_ALL,lts_per1000_AM7,lts_per1000_AS7,lts_per1000_BL7,lts_per1000_EDS,lts_per1000_ELS,lts_per1000_FEM,lts_per1000_HI7,lts_per1000_MALE,lts_per1000_MU7,lts_per1000_PI7,lts_per1000_SWD,lts_per1000_WH7,rplw_per1000_ALL,rplw_per1000_AM7,rplw_per1000_AS7,rplw_per1000_BL7,rplw_per1000_EDS,rplw_per1000_ELS,rplw_per1000_FEM,rplw_per1000_HI7,rplw_per1000_MALE,rplw_per1000_MU7,rplw_per1000_PI7,rplw_per1000_SWD,rplw_per1000_WH7,sts_per1000_ALL,sts_per1000_AM7,sts_per1000_AS7,sts_per1000_BL7,sts_per1000_EDS,sts_per1000_ELS,sts_per1000_FEM,sts_per1000_HI7,sts_per1000_MALE,sts_per1000_MU7,sts_per1000_PI7,sts_per1000_SWD,sts_per1000_WH7
530358,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,333.333,,0.0,500.0,8.547,0.0,0.0,0.0,142.857,0.0,,333.333,0.0,6833.3333,,0.0,5750.0,333.3333,17.2414,0.0,1000.0,4428.5714,17000.0,,9333.3333,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,8.547,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,1500.0,,0.0,1500.0,68.376,0.0,0.0,0.0,1142.857,3000.0,,2000.0,0.0,,,0.0,,153.846,17.241,0.0,,,,,,
530LEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.799,32.787,0.0,55.958,30.087,11.773,10.49,16.615,37.87300000000001,44.737,0.0,40.0,13.106,13.6193,32.7869,0.0,21.7077,16.2555,11.7734,6.5817,10.138,20.0157,57.8947,0.0,37.0732,7.6016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,344.039,311.475,94.595,670.043,397.975,206.77,183.258,245.846,489.403,492.105,,501.463,238.27,0.1016,0.0,0.0,0.4824,0.1426,0.0,0.0,0.0,0.1962,0.0,,0.9756,0.0,3.4560000000000004,0.0,0.0,6.752999999999999,4.135,2.208,1.028,1.408,5.691,7.895,0.0,6.829,3.145,194.125,262.295,27.027,400.86800000000005,227.292,122.149,94.2,135.736,284.9290000000001,297.368,,381.463,122.149
540304,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.844,,0.0,25.0,13.453,0.0,11.45,0.0,14.085,76.923,,12.658,6.8260000000000005,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,113.761,,,243.75,156.951,60.0,30.534,92.105,190.141,384.615,,215.19,37.543,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,177.982,,,412.5,295.964,60.0,30.534,65.789,313.38,153.846,,430.38,78.498
540308,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.153,,,0.0,0.0,0.0,0.0,0.0,2.146,0.0,,0.0,3.247,1.1534,,,0.0,1.8519,0.0,2.4631,0.0,0.0,0.0,,0.0,3.2468,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.46,,,4.728,5.556,0.0,0.0,7.813,6.438,,,7.0920000000000005,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,158.016,,,215.13,157.407,0.0,91.133,62.5,214.592,,,212.766,107.143
540312,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,22.0,,0.0,29.851,30.568,0.0,4.032,35.29400000000001,39.216,58.824,,0.0,5.127999999999999,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,286.0,,,487.562,393.013,500.0,157.25799999999995,235.294,407.843,235.294,,292.308,107.692,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,282.0,,,427.861,371.179,750.0,108.871,400.0,447.059,352.941,,415.385,76.923
540315,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.13,,0.0,10.622,9.281,0.0,0.0,0.0,19.444000000000006,0.0,,21.978,0.0,17.3661,,0.0,18.2094,23.2019,0.0,14.1243,0.0,19.4444,0.0,,10.989,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,196.816,,,192.716,238.979,,104.52,266.66700000000003,275.0,272.72700000000003,,307.692,52.632,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,371.925,,,358.11800000000005,443.155,,211.864,666.6669999999998,505.556,636.364,,692.308,210.526
540316,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.032,,,4.808,0.0,0.0,0.0,0.0,8.197000000000001,0.0,,31.25,7.407,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,74.597,,,120.192,67.797,0.0,35.433,9.091,114.754,162.162,,156.25,37.037,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,72.581,,,115.385,53.672,16.393,66.929,9.091,77.869,135.135,,250.0,44.444
540317,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,5.051,,,,0.0,,0.0,,14.085,,,,9.259
540318,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,27.027,,,64.5161,14.0845,0.0,52.6316,,23.8095,0.0,,21.7391,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,770.27,,,1258.065,507.042,,789.4739999999998,,1000.0,,,434.783,695.6519999999998
540320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,155.702,,,259.615,192.857,33.333,41.86,21.277,248.996,434.783,,320.988,133.333,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,177.632,,,355.769,242.857,33.333,32.558,10.638,297.189,173.91299999999995,,567.901,154.167
